,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,0.09289681050656683,-173.9546757973738,0.0191369551559884,2.0,40.0,3.623,0.31,9.888,13.511
AB-05AA023,0.29413570634037817,-553.7295305895439,0.06716605760597727,1.0,30.0,8.53,0.261,28.365,36.895
AB-05AD003,0.29027027027027075,-529.7589189189198,0.07537388042646553,1.0,37.0,10.45,0.209,44.686,55.136
AB-05AD005,0.20198672356567082,-380.3464058795635,0.02620511999582814,2.0,37.0,7.272,0.316,19.385,26.657
AB-05BA002,0.07634705228031154,-136.10993103448288,0.12439805232435586,0.0,30.0,2.214,0.134,15.439,17.653
AB-05BB001,-0.032465753424657566,164.5535616438357,0.11696402662221556,-0.0,39.0,-1.266,-0.013,100.304,99.038
AB-05BL022,0.04896491228070175,-92.2267136083452,0.02838132344434202,2.0,37.0,1.763,0.317,4.675,6.438
AB-05DA007,-0.018150782361308626,54.94062588904684,0.10434716096818014,-0.0,37.0,-0.653,-0.035,19.02,18.367
AB-05DA009,-0.21671955356165898,597.134150344677,0.12627784653560642,-0.0,38.0,-8.018,-0.049,168.246,160.228
AB-05DA010,0.0029836962468541405,-4.757196410985882,0.23746662374390975,0.0,38.0,0.11,0.091,1.148,1.258
AB-07AA001,0.09592697961119007,-159.42996206733034,0.0816585306853505,1.0,37.0,3.453,0.107,30.41,33.863
AB-07AA002,0.06342465753424656,115.68616438356176,0.20455064559009853,0.0,39.0,2.473,0.01,241.204,243.677
AB-07CD001,1.5887242026266433,-2967.2503189493464,0.02278569971107325,2.0,40.0,61.96,0.298,176.835,238.795
AB-07GG001,-0.0656779922779922,142.36761158301144,0.12181622261605812,-0.0,36.0,-2.299,-0.205,12.391,10.092
AK-15072000,0.1239024390243856,589.0409756097656,0.210748045955239,0.0,40.0,4.832,0.006,834.244,839.076
AK-15085100,0.38573279352226747,-659.0279676113365,0.1009652848763114,0.0,39.0,14.658,0.131,104.337,118.995
AK-15129500,2.357508342602899,-4143.541297738242,0.07310949621469931,1.0,30.0,68.368,0.118,545.543,613.911
AK-15239050,-0.04761133603238876,246.57506072874517,0.23312562972209355,-0.0,39.0,-1.81,-0.012,152.305,150.495
AK-15266300,3.206378986866759,7934.551594746782,0.14396112345685985,0.0,40.0,125.048,0.009,14279.976,14405.024
AK-15290000,-2.883373741362296,6313.460550444237,0.02573900207705786,-2.0,34.0,-112.452,-0.201,607.264,494.812
AK-15292700,-36.58292682926836,83518.22926829281,0.007554148646521683,-3.0,40.0,-1426.734,-0.137,11120.617,9693.883
