,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,-0.006412941101256873,17.775834326686056,0.12295593578600916,-0.0,40.0,-0.25,-0.05,5.085,4.835
AB-05AA023,-0.006179545087617733,16.863492066799473,0.09794835904739513,-1.0,30.0,-0.179,-0.039,4.634,4.455
AB-05AD003,-0.01964321330321065,42.42558472864031,0.10248921998794489,-0.0,37.0,-0.707,-0.221,3.552,2.845
AB-05AD005,-0.022516903932463667,49.18156508588403,0.18592226014481517,-0.0,37.0,-0.811,-0.192,4.621,3.81
AB-05BA002,0.006061169118031542,-4.867939970167639,0.20761875603112023,0.0,30.0,0.176,0.024,7.163,7.339
AB-05BB001,-0.002013713356174324,12.12485797430537,0.25,-0.0,39.0,-0.079,-0.01,8.14,8.061
AB-05BL022,-0.00010583400685302556,4.887445922478367,0.15711090917707382,-0.0,37.0,-0.004,-0.001,4.678,4.674
AB-05DA007,0.014198704668103721,-17.882525238006618,0.21624752939563557,0.0,37.0,0.511,0.049,10.217,10.728
AB-05DA009,0.020079885374451458,-29.41010564260746,0.15376283039132832,0.0,38.0,0.743,0.069,10.328,11.071
AB-05DA010,0.04089785745005911,-73.81061122792565,0.09134288712715521,1.0,38.0,1.513,0.192,7.126,8.639
AB-07AA001,0.009666843410017969,-12.457376292795402,0.12618937005006525,0.0,37.0,0.348,0.051,6.673,7.021
AB-07AA002,-0.006876969613616762,23.666138354123966,0.2022071576271,-0.0,39.0,-0.269,-0.027,10.057,9.788
AB-07CD001,0.012227187599887264,-15.776842940563384,0.2337497009926262,0.0,40.0,0.477,0.055,8.421,8.898
AB-07GG001,-0.05720680492108741,119.51468904328794,0.06456279762852413,-1.0,36.0,-2.002,-0.378,6.302,4.3
AK-15072000,0.06752630362896486,-125.05199124393387,0.05982337794139614,1.0,40.0,2.633,0.266,8.583,11.216
AK-15085100,0.10816086492760126,-209.3586968721532,0.01834993244930294,2.0,39.0,4.11,0.609,4.692,8.802
AK-15129500,-0.0818253692766202,176.8265463558663,0.16712915562017733,-0.0,30.0,-2.373,-0.184,14.076,11.703
AK-15239050,0.014731687673886877,-12.979804361780843,0.15285130060868243,0.0,39.0,0.56,0.034,16.189,16.749
AK-15266300,0.04685083125742279,-78.42031848766132,0.11221495521601232,0.0,40.0,1.828,0.12,14.297,16.125
