,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,-0.09454419651414972,212.6537565804791,0.041400621207653865,-2.0,40.0,-3.687,-0.156,25.551,21.864
AB-05AA023,-0.04341481930855285,108.89523092842245,0.09309132554950675,-1.0,30.0,-1.259,-0.056,22.977,21.718
AB-05AD003,0.041271854991725476,-59.95594341104498,0.16650748003543714,0.0,37.0,1.486,0.066,21.721,23.207
AB-05AD005,0.00957980906936853,6.158822352357436,0.1434622606778857,0.0,37.0,0.345,0.014,25.117,25.462
AB-05BA002,0.06455327431980191,-87.13358828810323,0.07519293985869463,1.0,30.0,1.872,0.045,41.005,42.877
AB-05BB001,-0.09519006588081061,233.41171340295972,0.05209118157600734,-1.0,39.0,-3.713,-0.086,45.031,41.318
AB-05BL022,-0.08480462909549584,192.2491750920298,0.03314074994222261,-2.0,37.0,-3.053,-0.133,24.421,21.368
AB-05DA007,-0.03221749458265019,122.80427184039824,0.0637944584889916,-1.0,37.0,-1.16,-0.02,59.046,57.886
AB-05DA009,-0.016070954212253255,92.98491236850899,0.10892747818789453,-0.0,38.0,-0.594,-0.01,61.18,60.586
AB-05DA010,-0.04727801086680969,145.08742563600674,0.1812070657174381,-0.0,38.0,-1.749,-0.035,51.524,49.775
AB-07AA001,-0.09231398188947056,222.412910902246,0.06941984944410559,-1.0,37.0,-3.324,-0.087,39.724,36.4
AB-07AA002,-0.07951717902318364,212.48995534438146,0.028953247503171596,-2.0,39.0,-3.101,-0.058,55.125,52.024
AB-07CD001,0.03304734934225078,-35.19545756841076,0.16660104574623197,0.0,40.0,1.289,0.042,30.205,31.494
AB-07GG001,-0.30672495838346286,641.5056319661791,0.059002603335975706,-1.0,36.0,-10.735,-0.369,34.497,23.762
AK-15072000,0.13925955179822366,-256.137311328434,0.023923477087909817,2.0,40.0,5.431,0.245,19.457,24.888
AK-15085100,0.15848049137471465,-304.6309665480566,0.01934294888036714,2.0,39.0,6.022,0.501,9.002,15.024
