,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,0.014440661616340413,-26.695372145916693,0.028936092107458955,2.0,40.0,0.563,0.26,1.883,2.446
AB-05AA023,0.0406798644195857,-76.95493707893466,0.08383474087118292,1.0,30.0,1.179,0.285,3.551,4.73
AB-05AD003,0.02047109423226597,-34.717741015593425,0.1524994904686522,0.0,37.0,0.737,0.12,5.795,6.532
AB-05AD005,0.004104947797847511,-4.74038161920612,0.16650748003543714,0.0,37.0,0.148,0.043,3.383,3.531
AB-05BA002,0.0014931790039246855,-1.4337010409889184,0.14201465590789875,0.0,30.0,0.044,0.028,1.53,1.574
AB-05BB001,0.042668442235078506,-72.94923090810508,0.03499815914182408,2.0,39.0,1.664,0.135,11.492,13.156
AB-05BL022,0.0019657331114630084,-3.48081634638612,0.19589503760728494,0.0,37.0,0.071,0.16,0.409,0.48
AB-05DA007,0.007399945874374883,-13.397598846363765,0.06379445848899157,1.0,37.0,0.266,0.193,1.247,1.513
AB-05DA009,0.0482094259105183,-85.90429151345991,0.024254201532085795,2.0,38.0,1.784,0.172,9.502,11.286
AB-05DA010,0.00012358139592499165,-0.1653425424316704,0.20524313557713592,0.0,38.0,0.005,0.061,0.079,0.084
AB-07AA001,0.013495564829973971,-24.772508085294838,0.02551959207686494,2.0,37.0,0.486,0.223,1.935,2.421
AB-07AA002,0.06934203821779837,-117.22227800406948,0.07454653220396878,1.0,39.0,2.704,0.127,20.006,22.71
AB-07CD001,0.29114167758150705,-505.0032582126796,0.043207152712083086,2.0,40.0,11.355,0.148,71.166,82.521
AB-07GG001,0.007917213035137573,-13.88440319362491,0.17320962793241695,0.0,36.0,0.277,0.144,1.784,2.061
AK-15072000,-0.5512898686679185,1538.7493827215144,0.13809412631587598,-0.0,40.0,-21.501,-0.049,447.747,426.246
AK-15085100,0.0636770873118941,-64.824751024878,0.2403518572614835,0.0,39.0,2.42,0.039,61.192,63.612
AK-15129500,-0.3330840346716477,983.1363949111872,0.2428839684719984,-0.0,30.0,-9.659,-0.031,320.632,310.973
AK-15239050,0.09486959552364224,-175.47170534145604,0.023761097550426213,2.0,39.0,3.605,0.254,12.37,15.975
AK-15266300,-2.424455732946297,7933.575725689401,0.192710086316148,-0.0,40.0,-94.554,-0.031,3135.578,3041.024
AK-15290000,-0.04855110357801411,155.40290227420883,0.15880684841803794,-0.0,34.0,-1.893,-0.032,59.32,57.427
AK-15292700,3.715232840100535,-6278.722429997522,0.13041203721113082,0.0,40.0,144.894,0.126,1073.723,1218.617
AK-15484000,5.28094622818507,-10019.072216273145,0.006133698406580235,3.0,40.0,205.957,0.385,431.92,637.877
AK-15493000,2.8247119367057243,-5372.01522531771,0.009796386792645995,3.0,40.0,110.163,0.403,218.09,328.253
AK-15511000,0.9127687705759494,-1724.9459823356576,0.06964151241423616,1.0,40.0,35.598,0.359,81.423,117.021
AK-15896000,3.0437115207617977,-6015.84325490283,0.00020656328964563375,3.0,40.0,118.705,1.771,7.662,126.367
AK-15908000,6.438320463320466,-12687.674945363158,7.05070997142343e-08,3.0,36.0,225.341,1.173,79.515,304.856
AL-02342933,1.4775587374813262,-2794.0611230149952,0.1371250984030325,0.0,32.0,45.804,0.3,130.028,175.832
AL-02361000,-1.6903744380332033,4448.734375730111,0.2245053155330704,-0.0,40.0,-65.924,-0.062,1103.483,1037.559
AL-02363000,-5.974797093730979,12705.490380325622,0.08529968792659048,-1.0,31.0,-179.244,-0.243,827.594,648.35
AL-02369800,-0.6204586003044348,1397.8915127084128,0.13809412631587598,-0.0,40.0,-24.198,-0.153,170.004,145.806
