,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,0.027626956143474143,-30.614181682790807,0.700619648328836,0.0,41.0,1.16,0.047,24.06,25.22
AB-05AA023,0.15124358884453765,-272.26618938179166,0.2849752678232518,0.0,30.0,6.352,0.21,27.045,33.397
AB-05AD003,0.06770363239613471,-104.05568201169291,0.21793165186589158,0.0,39.0,2.843,0.09,29.93,32.773
AB-05AD005,0.19919473184774886,-369.2988159391165,0.039709797346107356,2.0,37.0,8.366,0.297,24.908,33.274
AB-05BA002,0.14783348829570242,-267.21400285669506,0.5359057917615426,0.0,30.0,6.209,0.213,25.348,31.557
AB-05BB001,0.01929603763611961,-12.617297053136948,0.6457450970456375,0.0,40.0,0.81,0.031,25.57,26.38
AB-05BL022,0.15852862366592393,-281.31576278510056,0.706056827224919,0.0,39.0,6.659,0.181,32.412,39.071
AB-05CA009,0.16020229068991737,-295.31966610440304,0.32678580538480606,0.0,39.0,6.728,0.265,21.721,28.449
AB-05DA007,0.012953352829773293,-5.022360848412678,0.9398714539943918,0.0,39.0,0.544,0.026,20.612,21.156
AB-05DA009,-0.007965477990347115,36.26343780362302,0.3971171572571701,-0.0,40.0,-0.335,-0.016,20.5,20.165
AB-05DA010,0.014679747229973852,-1.1819134089855154,0.8655164609304618,0.0,40.0,0.617,0.022,27.869,28.486
AB-06AD006,0.14408281014708832,-274.52499981549903,0.042054462810222626,2.0,42.0,6.051,0.39,10.615,16.666
AB-07AA001,-0.039491291253199924,111.71658005270524,1.0,-0.0,39.0,-1.658,-0.051,33.563,31.905
AB-07AA002,-0.006290554389927269,35.343830097395085,0.8612638836213089,-0.0,41.0,-0.264,-0.012,22.895,22.631
AB-07AG003,0.03150084299585372,-45.72223896713637,0.614239541598542,0.0,35.0,1.323,0.072,16.618,17.941
AB-07BB002,0.17450875328966528,-331.09428551317086,0.11318006551620097,0.0,39.0,7.329,0.389,14.259,21.588
AB-07BJ001,-0.0666736258713287,151.16794202875496,0.8405809140670599,-0.0,39.0,-2.8,-0.143,19.221,16.421
AB-07CD001,0.0025014309759913266,7.30086581987303,0.883909392651155,0.0,42.0,0.105,0.008,12.251,12.356
AB-07GG001,-0.05819973679792215,132.25477333789763,0.7239911390149285,-0.0,38.0,-2.444,-0.132,17.077,14.633
AK-15024800,-0.025047971010372864,69.12524749558929,0.24731745742367428,-0.0,42.0,-1.052,-0.053,19.555,18.503
AK-15052500,0.055893140278786474,-97.76064677875776,0.07737179552146856,1.0,40.0,2.347,0.17,12.852,15.199
AK-15072000,-0.009901492750186858,27.79438239593214,1.0,-0.0,43.0,-0.416,-0.053,8.199,7.783
AK-15085100,-0.000995659645127045,5.616505992536619,0.9398714539943918,-0.0,39.0,-0.042,-0.011,3.646,3.604
AK-15129500,-0.037635567451962615,81.0614571059198,0.35354576844992414,-0.0,31.0,-1.581,-0.272,6.581,5.0
AK-15239050,0.09044835921585903,-165.43245919887275,0.10502173077524635,0.0,40.0,3.799,0.238,13.565,17.364
AK-15258000,0.05945095811133747,-103.61679312300163,0.06865529995440767,1.0,43.0,2.497,0.158,14.037,16.534
AK-15266300,0.027866316465801833,-43.45470764075427,0.41225516799167616,0.0,42.0,1.17,0.094,11.693,12.863
AK-15290000,0.02857403333203005,-31.716534676160617,0.5516478210183582,0.0,42.0,1.201,0.048,24.831,26.032
AK-15292000,-0.03031594947605143,81.12572232923779,0.4602261776270049,-0.0,36.0,-1.273,-0.062,21.13,19.857
AK-15292700,-0.03731505109533373,95.2416272248324,0.5367357981091128,-0.0,42.0,-1.567,-0.078,21.395,19.828
AK-15302000,-0.07862520494218013,176.50012566462786,0.17512514633807807,-0.0,31.0,-3.302,-0.17,20.901,17.599
AK-15304000,-0.08814916436079649,190.14962089178232,0.03257979221151275,-2.0,39.0,-3.702,-0.264,15.702,12.0
AK-15356000,-0.07260794552036937,165.0232690766011,0.10339115177329683,-0.0,42.0,-3.049,-0.152,21.332,18.283
AK-15484000,-0.13024103074581786,277.3351879629493,0.1861143787191537,-0.0,43.0,-5.47,-0.327,19.588,14.118
AK-15493000,-0.08996257585443174,193.04503870689143,0.357906094864779,-0.0,40.0,-3.778,-0.258,15.009,11.231
AK-15511000,-0.04485344146847144,101.30942302674826,0.6632086746173176,-0.0,40.0,-1.883,-0.148,12.544,10.661
AK-15514000,-0.05028861956733177,113.17878897244843,0.41225516799167616,-0.0,42.0,-2.113,-0.156,13.658,11.545
AK-15515500,-0.010554835677273378,35.758783287292154,0.5975679869340738,-0.0,42.0,-0.444,-0.03,14.871,14.427
AK-15565447,-0.10023116977671159,219.51155883281166,0.06909725970750502,-1.0,36.0,-4.21,-0.214,21.154,16.944
AK-15744500,-0.14252470865420325,307.16459038953684,0.20848766222654147,-0.0,32.0,-5.986,-0.253,25.108,19.122
AK-15896000,-0.5454725840023847,1140.9239051975803,0.017791022959138703,-2.0,42.0,-22.91,-0.443,61.434,38.524
AK-15908000,-0.19657206524363743,421.778195730019,0.16400104161437512,-0.0,36.0,-8.256,-0.28,32.762,24.506
AL-02342500,0.02577450512740657,-49.56637062836343,0.22482884061570196,0.0,43.0,1.083,0.319,1.441,2.524
AL-02342933,-0.042937242755123214,87.70423776973799,0.09578337281012361,-1.0,32.0,-1.803,-0.486,2.731,0.928
AL-02361000,-0.0110556319193217,26.06345046541641,0.48793753671895557,-0.0,43.0,-0.464,-0.1,4.184,3.72
