,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,0.00426376811594203,-7.441140579710146,0.0003761306212259896,3.0,40.0,0.166,0.144,0.997,1.163
AB-05AA023,0.02159999999999999,-41.31659999999998,5.062143524359186e-07,3.0,30.0,0.626,0.347,1.43,2.056
AB-05AD003,0.007787368421052628,-13.073374736842098,0.01653427595399304,2.0,37.0,0.28,0.11,2.338,2.618
AB-05AD005,0.003050000000000003,-5.014850000000006,0.10784726003433587,0.0,37.0,0.11,0.091,1.021,1.131
AB-05BA002,0.0,0.791,0.9351371640039396,0.0,30.0,0.0,0.0,0.791,0.791
AB-05BB001,0.021111111111111056,-34.61199999999989,2.0260232262980793e-06,3.0,39.0,0.823,0.109,7.167,7.99
AB-05BL022,0.00044833333333333373,-0.7253216666666674,0.29702819564295724,0.0,37.0,0.016,0.092,0.162,0.178
AB-05DA007,0.003107279693486591,-5.645237547892722,1.2508216684636864e-11,3.0,37.0,0.112,0.2,0.504,0.616
AB-05DA009,0.006428571428571418,-8.21207142857141,0.0004111212348953952,3.0,38.0,0.238,0.051,4.51,4.748
AB-05DA010,-0.0004166666666666666,0.8622916666666666,3.540312229644016e-05,-3.0,38.0,-0.016,-0.566,0.038,0.022
AB-07AA001,0.006333333333333335,-11.85766666666667,2.1006890160713e-07,3.0,37.0,0.228,0.284,0.676,0.904
AB-07AA002,0.018888888888888882,-27.749999999999986,3.154289351336992e-05,3.0,39.0,0.737,0.072,9.631,10.368
AB-07CD001,0.1628571428571428,-277.31999999999994,0.002662167251294978,3.0,40.0,6.352,0.136,44.974,51.326
AB-07GG001,-0.0019499999999999958,4.179174999999992,0.10268423822225548,-0.0,36.0,-0.068,-0.239,0.32,0.252
AK-15072000,0.47878571428571437,-855.9532500000001,0.08098571221188111,1.0,40.0,18.672,0.19,91.564,110.236
AK-15085100,0.002000000000000046,0.9959999999999076,0.9752481266317714,0.0,39.0,0.076,0.015,4.954,5.03
AK-15129500,-0.7666666666666657,1621.9766666666646,0.01124437147007118,-2.0,30.0,-22.234,-0.249,97.077,74.843
AK-15239050,0.007692307692307699,-12.34692307692309,0.13340129379674348,0.0,39.0,0.292,0.09,2.884,3.176
AK-15266300,-6.0,13191.0,0.00772425225929152,-3.0,40.0,-234.0,-0.186,1317.0,1083.0
AK-15290000,0.04,-58.12,0.02153134786372579,2.0,34.0,1.56,0.072,21.04,22.6
AK-15292700,-1.3611111111111112,3220.1805555555557,0.07398245920832847,-1.0,40.0,-53.084,-0.108,526.542,473.458
AK-15484000,1.7274535809018567,-3242.3159814323603,0.018282992579983226,2.0,40.0,67.37,0.303,176.315,243.685
AK-15493000,1.343137254901961,-2576.759803921569,0.00046657975340003155,3.0,40.0,52.382,0.491,81.309,133.691
AK-15511000,0.25,-472.625,0.01753995702098532,2.0,40.0,9.75,0.267,22.125,31.875
AK-15896000,0.0,0.0,1.0,0.0,40.0,0.0,,0.0,0.0
AK-15908000,2.5,-4984.75,1.668358118322999e-09,3.0,36.0,87.5,1.883,-27.25,60.25
AL-02342933,-0.024917293233082727,52.406541353383496,0.08715522678351495,-1.0,32.0,-0.772,-0.178,3.095,2.323
