,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,0.007261292209677406,-12.945645707790295,0.0020824954609064417,3.0,41.0,0.305,0.176,1.424,1.729
AB-05AA023,0.014072580645161314,-25.68610887096779,0.0644762403880359,1.0,30.0,0.591,0.202,2.164,2.755
AB-05AD003,0.036774193548387096,-69.67258065806452,9.012167456745601e-09,3.0,39.0,1.544,0.313,3.104,4.648
AB-05AD005,0.01865512333965843,-35.230410341555945,1.4918484225745487e-09,3.0,37.0,0.784,0.315,1.688,2.472
AB-05BA002,0.004193548387096717,-7.023870967741821,0.06169747539082193,1.0,30.0,0.176,0.129,1.275,1.451
AB-05BB001,0.012621113862874268,-14.17748960172842,0.09963299021418659,1.0,40.0,0.53,0.049,10.8,11.33
AB-05BL022,0.0010728110368663606,-1.8721538723041498,0.025317237241746948,2.0,39.0,0.045,0.139,0.251,0.296
AB-05CA009,0.019824039002932524,-33.19552674076241,0.0014559713520012618,3.0,39.0,0.833,0.132,6.036,6.869
AB-05DA007,0.0026359458986175027,-4.207103778986157,0.007317782622181079,3.0,39.0,0.111,0.107,1.009,1.12
AB-05DA009,0.02376397507283226,-39.71149772015205,5.34709013004786e-05,3.0,40.0,0.998,0.131,7.317,8.315
AB-05DA010,-2.53456290322572e-05,0.11479840128225632,0.8355681770138825,-0.0,40.0,-0.001,-0.014,0.065,0.064
AB-06AD006,0.055393549032258106,-108.09843354000009,0.0025222689098416406,3.0,42.0,2.327,0.645,1.525,3.852
AB-07AA001,0.005439515860215034,-9.264926882258026,0.057697097115843254,1.0,39.0,0.228,0.14,1.5,1.728
AB-07AA002,0.04858220954734645,-80.50293357546813,0.0038140004172761977,3.0,41.0,2.041,0.119,15.641,17.682
AB-07AG003,0.0007258063440860515,-0.7878062373118878,0.8983474765595825,0.0,35.0,0.03,0.037,0.649,0.679
AB-07BB002,0.008991936155913908,-14.53137231693534,0.4205472219927886,0.0,39.0,0.377,0.1,3.264,3.641
AB-07BJ001,0.011674730913978507,-22.40962849645164,0.006700492094675381,3.0,39.0,0.49,0.442,0.695,1.185
AB-07CD001,0.5767280921658988,-1090.942013963134,6.126545937235051e-10,3.0,42.0,24.222,0.363,50.403,74.625
AB-07GG001,0.0019161291612903198,-3.317419611129027,0.4319749067912717,0.0,38.0,0.08,0.13,0.475,0.555
