,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,0.004909694013954994,-5.520882748711819,0.45930235142285936,0.0,41.0,0.207,0.042,4.195,4.402
AB-05AA023,-0.019322603285484984,42.24385413400716,0.07370385274727553,-1.0,30.0,-0.811,-0.202,4.004,3.193
AB-05AD003,0.0005936690507959419,1.6228536515870298,0.812560044346577,0.0,39.0,0.025,0.007,2.798,2.823
AB-05AD005,-0.012100823958655527,28.180674537223602,0.23657399908151167,-0.0,37.0,-0.508,-0.112,4.233,3.725
AB-05BA002,0.015387428685854557,-26.021911619931068,0.2248262803069916,0.0,30.0,0.646,0.132,4.43,5.076
AB-05BB001,0.016090594983236273,-27.157424539619836,0.025380973771575555,2.0,40.0,0.676,0.124,4.686,5.362
AB-05BL022,-0.012574917576822104,28.331220105175383,0.0549285656048617,-1.0,39.0,-0.528,-0.142,3.445,2.917
AB-05CA009,-0.0005428845847331055,7.075218614473659,0.9535074436556585,-0.0,39.0,-0.023,-0.004,6.001,5.978
AB-05DA007,0.0027421754155516473,-1.1374626443978375,0.7403106192702027,0.0,39.0,0.115,0.024,4.289,4.404
AB-05DA009,-0.00018492802790467,4.3270876678206776,1.0,-0.0,40.0,-0.008,-0.002,3.961,3.953
AB-05DA010,-0.0030950193542459304,9.903243638781424,0.790153303036133,-0.0,40.0,-0.13,-0.03,3.778,3.648
AB-06AD006,-0.00017771336753136247,4.940774511514256,1.0,-0.0,42.0,-0.007,-0.001,4.589,4.582
AB-07AA001,0.019099717290745142,-33.958894360492735,0.001107723770108926,3.0,39.0,0.803,0.172,3.839,4.642
AB-07AA002,0.0053280775314406975,-5.927428955945975,0.35113747009475293,0.0,41.0,0.224,0.043,4.617,4.841
AB-07AG003,-0.0051653344941281765,14.053485627622779,0.687370359423775,-0.0,35.0,-0.217,-0.042,3.831,3.614
AB-07BB002,-0.029109553076578455,62.29917473477388,0.001040682164431761,-3.0,39.0,-1.222,-0.222,4.691,3.469
AB-07BJ001,-0.00621629694196895,15.686790617170292,0.39551188371677615,-0.0,39.0,-0.261,-0.067,3.385,3.124
AB-07CD001,0.01140225868796807,-14.864128908141597,0.2068518850515373,0.0,42.0,0.479,0.058,7.701,8.18
AB-07GG001,-0.014695310761998334,32.24736024658025,0.3479794001603578,-0.0,38.0,-0.617,-0.182,3.165,2.548
AK-15024800,-0.04136420742314326,90.60268827265709,0.00010239359133490389,-3.0,42.0,-1.737,-0.211,8.743,7.006
AK-15052500,-0.13085368125826452,270.6352251118135,0.0,-3.0,40.0,-5.496,-0.585,11.676,6.18
AK-15072000,-0.05781771383446019,127.59726997030658,0.001147715410479977,-3.0,43.0,-2.428,-0.19,13.176,10.748
AK-15085100,0.026930239150483457,-40.30101977737954,0.10612465923099723,0.0,39.0,1.131,0.089,12.994,14.125
AK-15129500,-0.02422573958167244,62.21080503648565,0.42315068941497547,-0.0,31.0,-1.017,-0.074,14.268,13.251
AK-15239050,0.04228471177573118,-77.92682136537297,0.003280674531670691,3.0,40.0,1.776,0.223,5.755,7.531
AK-15258000,-0.014067393189932829,37.71352345115084,0.4385877474095181,-0.0,43.0,-0.591,-0.059,9.874,9.283
AK-15266300,0.007343946119013422,-3.9397482703972813,0.6066037528164534,0.0,42.0,0.308,0.029,10.594,10.902
AK-15290000,0.009267681810656148,-12.613699143414383,0.503034946801246,0.0,42.0,0.389,0.054,5.727,6.116
AK-15292000,0.01358481792678036,-21.102122865471696,0.12784192052941212,0.0,36.0,0.571,0.09,5.782,6.353
AK-15292700,0.04844249732872011,-90.7977313136255,2.211872240254209e-05,3.0,42.0,2.035,0.299,5.07,7.105
AK-15302000,0.04020259984511387,-69.24779806658535,0.077621757587087,1.0,31.0,1.689,0.159,10.313,12.002
AK-15304000,0.10994415687301742,-210.44368031772018,0.0,3.0,39.0,4.617,0.46,7.136,11.753
AK-15356000,0.0224268804064708,-37.052158831541185,7.540116087056958e-09,3.0,42.0,0.942,0.12,7.331,8.273
AK-15484000,0.025297376716344546,-43.94017537151542,1.0802196790171692e-05,3.0,43.0,1.063,0.159,6.123,7.186
AK-15493000,0.03748038664166972,-67.9438702437296,0.010569957946430897,2.0,40.0,1.574,0.21,6.23,7.804
AK-15511000,0.03364465407541811,-59.0238370890304,0.02464885501583014,2.0,40.0,1.413,0.163,7.559,8.972
AK-15514000,0.045339765086738794,-82.46389765976913,0.0013978516687642717,3.0,42.0,1.905,0.227,7.263,9.168
AK-15515500,0.020172958137890735,-34.164596563066596,2.0207467255062284e-08,3.0,42.0,0.847,0.132,5.758,6.605
AK-15565447,0.03404780301559418,-58.23296341131548,0.0008533480403516425,3.0,36.0,1.43,0.146,9.148,10.578
AK-15744500,0.03673804010172069,-65.7105058660753,0.11687128033392713,0.0,32.0,1.543,0.203,6.994,8.537
AK-15896000,0.0428192950346967,-83.78871391579278,1.3739129833822972e-09,3.0,42.0,1.798,0.789,0.951,2.749
AK-15908000,0.02089503033226836,-38.48526331516056,0.022807796537186675,2.0,36.0,0.878,0.264,2.866,3.744
AL-02342500,0.006699756360359584,-12.240402071078082,0.42554073751445354,0.0,43.0,0.282,0.116,1.018,1.3
AL-02342933,0.0010072801094735042,-0.850897480419905,0.9218552302588743,0.0,32.0,0.042,0.025,1.143,1.185
AL-02361000,0.024647798729209643,-46.04497624952943,0.008810961088870917,3.0,43.0,1.035,0.291,2.733,3.768
AL-02363000,-0.040133638742089695,82.11038442579272,0.0004854826098918963,-3.0,32.0,-1.686,-0.625,2.686,1.0
AL-02369800,0.057748128242292765,-111.20647001949176,2.1484813128580527e-07,3.0,43.0,2.425,0.451,3.077,5.502
AL-02371500,0.013456322882496853,-25.183910100201757,0.12230562777401288,0.0,43.0,0.565,0.206,1.446,2.011
AL-02372250,0.004666168992807123,-7.439659875077691,0.5652819784046219,0.0,40.0,0.196,0.065,1.795,1.991
AL-02374500,0.018872276111140788,-33.44998177297174,0.04021645463029322,2.0,43.0,0.793,0.155,3.898,4.691
AL-02408540,-0.011901414610268996,25.623355501455595,0.050229381230052716,-1.0,39.0,-0.499,-0.176,2.07,1.571
AL-02414500,0.0372178082099987,-71.04265887577819,3.425341251972469e-06,3.0,43.0,1.564,0.352,2.611,4.175
AL-02415000,-0.02398611200117734,49.98279564085266,0.0035396056318441893,-3.0,33.0,-1.007,-0.357,2.514,1.507
AL-02422500,-0.00900389555060453,20.943374215950158,0.024244840686821645,-2.0,41.0,-0.378,-0.117,3.125,2.747
AL-02424000,-0.0035991083954022406,9.593590994384511,0.5573986766983803,-0.0,43.0,-0.151,-0.048,2.471,2.32
AL-02427250,-0.004362467606676427,10.39079894177107,0.5905577444983579,-0.0,30.0,-0.183,-0.065,1.757,1.574
AL-02450000,0.008551041837168356,-15.161625628285512,0.04619664988506145,2.0,36.0,0.359,0.139,1.761,2.12
AL-02450250,0.008596816640786598,-16.1271556820083,0.3218444138209029,0.0,43.0,0.361,0.157,0.886,1.247
AL-02456500,-0.007668891573418984,16.71262212506634,0.2770016439509919,-0.0,41.0,-0.322,-0.124,1.536,1.214
AL-02464000,-0.006513386809340524,13.880316719759321,0.18131929840903127,-0.0,41.0,-0.273,-0.126,0.99,0.717
AL-02464146,0.0005751146264958884,1.587570452221951,1.0,0.0,33.0,0.024,0.007,2.726,2.75
AL-02464360,-0.011394260894728917,26.101629548394886,0.053668581996676235,-1.0,31.0,-0.478,-0.116,3.552,3.074
AL-02465493,-0.03016671651164999,65.28425023514068,0.061443665313041906,-1.0,41.0,-1.267,-0.239,5.584,4.317
AL-02467000,0.003940880888117831,-5.8406992620874725,0.7452409886833411,0.0,43.0,0.166,0.061,1.958,2.124
AL-02467500,-0.0006439641950610753,3.7412021509118754,0.9299679172973812,-0.0,43.0,-0.027,-0.008,2.467,2.44
AL-02469800,0.012967609276042125,-24.635998833240507,0.048081298178110465,2.0,41.0,0.545,0.253,1.027,1.572
AL-03574500,0.002491334876906412,-3.7274058524041846,0.5412780952154339,0.0,43.0,0.105,0.047,1.203,1.308
AL-03586500,0.0025636477485442453,-3.5966387956388166,0.3545725158486106,0.0,35.0,0.107,0.038,1.477,1.584
AR-07056000,0.012924899514733185,-25.06051419747647,0.002355391629655923,3.0,42.0,0.543,0.226,0.518,1.061
AR-07060710,-0.008194787642495469,17.931152993426917,0.07988742064223908,-1.0,43.0,-0.345,-0.125,1.714,1.369
AR-07069500,-0.011868367169457179,26.78021366263012,0.31812036278839617,-0.0,34.0,-0.499,-0.116,3.293,2.794
AR-07072000,-0.00245325240219782,8.871404509156402,0.7019454853677554,-0.0,37.0,-0.103,-0.022,4.016,3.913
AR-07075300,-0.001482960818029178,3.625753737514679,0.6882494569362874,-0.0,36.0,-0.062,-0.026,0.691,0.629
AR-07077380,-0.00410550858442908,9.71963951491141,0.37937408727464206,-0.0,43.0,-0.173,-0.043,1.595,1.422
AR-07195800,-0.02648979456627969,57.23962441491158,0.12338535495548486,-0.0,41.0,-1.112,-0.169,4.816,3.704
AR-07196900,0.009031185646874563,-16.78704396523836,0.14741466051316987,0.0,41.0,0.379,0.084,1.086,1.465
AR-07247000,0.000910209313870708,-0.8514033920934363,0.5860016301732256,0.0,43.0,0.038,0.013,0.95,0.988
