,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,0.03939709658816426,-72.70355695213166,0.002747462709661974,3.0,41.0,1.655,0.271,5.263,6.918
AB-05AA023,0.04350724637681142,-71.77174999999966,0.40463753130084923,0.0,30.0,1.827,0.119,14.329,16.156
AB-05AD003,-0.0038695672826085216,28.100852112173563,0.9194315707012211,-0.0,39.0,-0.163,-0.008,20.443,20.28
AB-05AD005,-0.011375679347826073,33.057122961956495,0.29507180936658006,-0.0,37.0,-0.478,-0.047,10.545,10.067
AB-05BA002,-0.037673913043478356,79.10779347826106,1.2581713448867049e-11,-3.0,30.0,-1.582,-0.417,4.551,2.969
AB-05BB001,0.01401461496470905,-5.737610191210166,0.7417860598531716,0.0,40.0,0.589,0.026,21.997,22.586
AB-05BL022,0.0075536693070652194,-13.076742156277177,0.1582970172058995,0.0,39.0,0.317,0.146,1.872,2.189
AB-05CA009,0.025701083152173964,-39.07935105217401,0.12693767328400907,0.0,39.0,1.08,0.076,11.783,12.863
AB-05DA007,0.005765700845410639,-8.92418549630437,0.4340367311776463,0.0,39.0,0.242,0.089,2.486,2.728
AB-05DA009,0.08052271944633152,-141.18085047381962,0.16081675030836395,0.0,40.0,3.382,0.16,18.174,21.556
AB-05DA010,6.944467439613837e-05,0.05107894901823051,0.9415523471983498,0.0,40.0,0.002,0.01,0.189,0.191
AB-06AD006,0.2550862063718141,-493.9541631420728,0.0018299926194798033,3.0,42.0,10.714,0.591,10.861,21.575
AB-07AA001,0.05034593325614352,-92.96504422805737,0.12734745160409555,0.0,39.0,2.114,0.27,6.67,8.784
AB-07AA002,0.2284737322463769,-418.96344730507263,0.03901253223844514,2.0,41.0,9.596,0.234,33.186,42.782
AB-07AG003,0.03978830191511389,-74.77407019158908,6.423997692595051e-05,3.0,35.0,1.671,0.346,3.967,5.638
AB-07BB002,0.19481227697628417,-363.72590760513754,5.679578560791043e-06,3.0,39.0,8.182,0.33,21.808,29.99
AB-07BJ001,0.18172022736294888,-344.69525344725884,0.010745021558393297,2.0,39.0,7.632,0.409,14.929,22.561
AB-07CD001,0.4469203079710127,-773.8432429076051,0.022508423544631118,2.0,42.0,18.771,0.148,110.612,129.383
AB-07GG001,0.044422109221014715,-80.72917402723776,0.022127062150310683,2.0,38.0,1.866,0.24,7.182,9.048
AK-15024800,5.70022575250838,-10484.741826923115,0.008873263660676756,3.0,42.0,239.409,0.252,796.005,1035.414
AK-15052500,0.1212432682806324,-231.90795915884382,2.535537739767335e-07,3.0,40.0,5.093,0.484,8.032,13.125
AK-15072000,-0.013842391304347744,38.35542065217375,0.14842784465678815,-0.0,43.0,-0.581,-0.054,10.961,10.38
AK-15085100,-0.002302046338672767,5.887461573798623,0.050551817695592804,-1.0,39.0,-0.097,-0.073,1.332,1.235
AK-15129500,-0.028974372909699023,65.08636548494988,0.10337137936931584,-0.0,31.0,-1.217,-0.181,7.746,6.529
AK-15239050,0.002028639910813823,-3.842837360367891,2.194777352948485e-05,3.0,40.0,0.085,0.332,0.172,0.257
AK-15258000,0.11611495859213268,-199.4388302277436,0.0015828049327204496,3.0,43.0,4.877,0.14,30.353,35.23
AK-15266300,0.1758797953964199,-290.54826502557637,0.042860319437528105,2.0,42.0,7.387,0.115,57.518,64.905
AK-15290000,0.015546070234113713,-28.42539786789298,4.272005610150842e-05,3.0,42.0,0.653,0.199,2.34,2.993
AK-15292000,1.758102006688962,-3322.363210702339,0.0,3.0,36.0,73.84,0.392,156.921,230.761
AK-15292700,0.2999184782608708,-542.3848804347851,0.00030277186022420466,3.0,42.0,12.596,0.19,51.154,63.75
AK-15302000,1.1746404244306419,-2255.333549792961,0.005247292370031964,3.0,31.0,49.335,0.494,69.28,118.615
AK-15304000,5.898396739130419,-10725.59233695649,0.004317502137471729,3.0,39.0,247.732,0.231,947.335,1195.067
AK-15356000,-3.913729096989947,9521.855622909661,0.12494414715389279,-0.0,42.0,-164.377,-0.098,1776.586,1612.209
AK-15484000,0.37626136363636353,-708.6008196640314,0.0003454651630534489,3.0,43.0,15.803,0.362,36.02,51.823
AK-15493000,0.09596109601449283,-170.81625581974654,0.07270175259850964,1.0,40.0,4.03,0.198,19.091,23.121
AK-15511000,0.015317651059085906,-24.82712890245275,0.4528150607479646,0.0,40.0,0.643,0.109,5.487,6.13
AK-15514000,0.17041521739130444,-303.86909673913067,0.05723337792023919,1.0,42.0,7.157,0.197,33.383,40.54
AK-15515500,1.3760362318840635,-2314.7646630434892,0.0005101819324284662,3.0,42.0,57.794,0.129,408.411,466.205
AK-15565447,50.100274667353844,-95840.18206902411,1.3745111493435047e-08,3.0,36.0,2104.212,0.513,3308.261,5412.473
AK-15744500,3.82212090103938,-7277.037311036087,0.022966343257881494,2.0,32.0,160.529,0.51,286.94,447.469
AK-15896000,0.49832608695652214,-979.9074945652183,0.0006921267718487112,3.0,42.0,20.93,0.787,6.28,27.21
AK-15908000,0.420564006916996,-825.833894750494,7.905182064504856e-09,3.0,36.0,17.664,1.1,6.462,24.126
AL-02342500,-0.20501663848631232,424.2409228421899,4.853914734592735e-07,-3.0,43.0,-8.611,-0.492,18.513,9.902
AL-02342933,-6.357246376816525e-05,4.701828648550823,0.9522642911120676,-0.0,32.0,-0.003,-0.001,4.576,4.573
AL-02361000,-0.22805185869565142,484.6421141304333,5.841367642922535e-07,-3.0,43.0,-9.578,-0.288,33.327,23.749
AL-02363000,-0.3009407334211681,621.0692148440929,6.439959676640683e-12,-3.0,32.0,-12.64,-0.567,25.508,12.868
AL-02369800,-0.019335403726707945,42.11673234472023,0.028617641075250333,-2.0,43.0,-0.812,-0.172,3.852,3.04
AL-02371500,-0.18882047101449237,399.88812572463695,2.2044901795137406e-06,-3.0,43.0,-7.93,-0.314,26.212,18.282
AL-02372250,-0.2379937717391305,495.3275066250001,8.748557434046234e-13,-3.0,40.0,-9.996,-0.426,24.338,14.342
AL-02374500,-0.08710099325337331,182.50403759370315,2.1970678246274744e-05,-3.0,43.0,-3.658,-0.377,10.131,6.473
AL-02408540,-0.04375733695652162,103.82962391304324,0.10542021441146554,-0.0,39.0,-1.838,-0.113,17.234,15.396
AL-02414500,-0.5258314311594207,1139.3011949275372,0.019682718188018145,-2.0,43.0,-22.085,-0.219,98.681,76.596
AL-02415000,-0.055077798369564876,122.1978936402167,0.4324905827539838,-0.0,33.0,-2.313,-0.19,13.199,10.886
AL-02422500,-0.06992026601830667,150.58674872711677,0.2556910251774702,-0.0,41.0,-2.937,-0.241,12.215,9.278
AL-02424000,0.14320893719806765,-220.93444287439618,0.5055504640440873,0.0,43.0,6.015,0.09,62.476,68.491
AL-02427250,-0.12773451086956522,266.77521779891305,6.622865068028894e-05,-3.0,30.0,-5.365,-0.41,13.989,8.624
AL-02450000,-0.1609040663819875,348.14873266207286,0.29773569112626275,-0.0,36.0,-6.758,-0.23,29.72,22.962
AL-02450250,0.026275479066022487,-45.76511030595802,0.3970451123248071,0.0,43.0,1.104,0.15,6.234,7.338
AL-02456500,0.08238484654731523,-101.36821150895271,0.7977361606373679,0.0,41.0,3.461,0.051,61.671,65.132
AL-02464000,-0.07988996578099833,174.00722963969395,0.38593420157126324,-0.0,41.0,-3.355,-0.207,15.905,12.55
AL-02464146,3.563583778286151e-05,0.25789783524027743,1.0,0.0,33.0,0.002,0.005,0.328,0.33
AL-02464360,-0.005805415019762858,14.469359347826114,0.4426064904875764,-0.0,31.0,-0.243,-0.08,2.98,2.737
AL-02465493,-0.004513752860411896,10.37585501144164,0.3766485714407146,-0.0,41.0,-0.189,-0.13,1.443,1.254
AL-02467000,1.7519276494565261,-2454.4789945652265,0.5603257723364645,0.0,43.0,73.581,0.064,1012.586,1086.167
AL-02467500,-0.004396994884910926,42.59587890025663,1.0,-0.0,43.0,-0.184,-0.005,33.894,33.71
AL-02469800,-0.04018297984189721,89.06232507351774,0.5035351897151099,-0.0,41.0,-1.687,-0.168,9.54,7.853
AL-03574500,-0.004883288043478373,37.8057239130437,0.9272481587954067,-0.0,43.0,-0.205,-0.007,28.142,27.937
AL-03586500,-0.04713334239130451,105.40922532608728,0.44513948177577234,-0.0,35.0,-1.979,-0.163,12.132,10.153
AR-07056000,0.5463397920604918,-1037.9759783553882,1.8934754544286392e-06,3.0,42.0,22.947,0.377,43.23,66.177
AR-07060710,0.020705141304347825,-38.951627826086956,2.131399279292623e-09,3.0,43.0,0.869,0.319,2.024,2.893
AR-07069500,0.8521786231884066,-1636.7414713768133,1.4069807541261525e-09,3.0,34.0,35.792,0.483,49.72,85.512
AR-07072000,0.9496640462115438,-1847.698513327931,2.8341773372630996e-12,3.0,37.0,39.886,0.674,31.687,71.573
AR-07075300,0.13919808023715408,-266.4523889326085,0.0009683878785580191,3.0,36.0,5.846,0.457,9.021,14.867
AR-07077380,0.40250597826087076,-772.1476586956545,0.004817609334709871,3.0,43.0,16.905,0.468,24.412,41.317
AR-07195800,0.0019180472607103032,-3.2472898437251136,0.13414847923413964,0.0,41.0,0.08,0.132,0.549,0.629
AR-07196900,0.013945806418219471,-25.71480876915116,0.0036553599293422945,3.0,41.0,0.586,0.26,1.884,2.47
AR-07247000,0.03596095705196178,-61.00119019088007,0.535518250962413,0.0,43.0,1.51,0.118,10.166,11.676
AR-07252000,0.42250054347826094,-815.4641923913044,6.850218836618183e-09,3.0,39.0,17.745,0.555,20.664,38.409
AR-07261000,0.08383490489130452,-156.8260803260873,0.01134759139727648,2.0,43.0,3.521,0.278,9.083,12.604
AR-07261500,0.1539735326086954,-282.1634120108691,0.17442938473745517,0.0,37.0,6.467,0.214,22.55,29.017
AR-07263295,0.033302596273291976,-63.883708545031155,0.019721642108620818,2.0,30.0,1.399,0.429,2.022,3.421
AR-07340000,0.6601722049689442,-1149.6738773291927,0.33902377427165065,0.0,43.0,27.727,0.154,156.807,184.534
AR-07340300,0.039264052795031076,-71.02829798136649,0.19996516785406282,0.0,43.0,1.649,0.199,6.675,8.324
AR-07359610,0.09000886775362305,-170.72070358695623,0.17696000987244265,0.0,31.0,3.78,0.353,7.407,11.187
AR-07361500,0.033053737458194114,-53.73053143812736,0.5248011796867771,0.0,43.0,1.388,0.104,11.683,13.071
AR-07362100,-0.08010871259057972,175.48053059900366,0.2731544258912879,-0.0,41.0,-3.364,-0.167,16.945,13.581
AR-07362587,0.018367315217391298,-34.80036849999999,0.2212714012663668,0.0,30.0,0.771,0.348,1.549,2.32
AR-07363500,0.8260831521739123,-1532.4723771739114,0.2075194335780175,0.0,43.0,34.696,0.239,102.346,137.042
AZ-09384000,-0.015690606884057965,32.180090725543465,0.15567791921456342,-0.0,42.0,-0.659,-0.486,1.128,0.469
AZ-09402000,-0.21837924308300397,441.4702516007905,0.0013636384416897407,-3.0,43.0,-9.172,-1.088,9.298,0.126
AZ-09415000,-0.1296151185770751,265.48115345849806,1.2584212610411427e-05,-3.0,43.0,-5.444,-0.485,8.973,3.529
AZ-09444500,-0.13819833333333342,281.9637688405799,0.00021387290509666812,-3.0,43.0,-5.804,-0.723,8.469,2.665
AZ-09447800,-0.0034934094202898475,7.098314175724623,2.9105606813573104e-12,-3.0,38.0,-0.147,-0.896,0.185,0.038
AZ-09448500,-0.3505734878516625,712.5647952685423,1.2242111883331575e-05,-3.0,43.0,-14.724,-0.869,18.78,4.056
AZ-09471000,-0.004053346408317585,8.36386906663517,0.0003920802037269411,-3.0,43.0,-0.17,-0.484,0.342,0.172
AZ-09480000,-0.0007555975877192984,1.522047893545004,5.883930396244352e-06,-3.0,37.0,-0.032,-0.856,0.027,-0.005
AZ-09484000,-0.01340981657608696,27.04167279891305,0.0003037039890954052,-3.0,31.0,-0.564,-1.165,0.504,-0.06
AZ-09484600,-0.0017073901601830654,3.4432163967391283,7.866321594107717e-09,-3.0,30.0,-0.071,-1.515,0.064,-0.007
AZ-09492400,-0.048197027626811606,98.2561082259964,0.0,-3.0,41.0,-2.024,-1.047,2.874,0.85
AZ-09494000,-0.3649660463554989,739.0288625342075,0.0,-3.0,41.0,-15.329,-1.357,16.761,1.432
AZ-09497800,-0.03593371453089247,72.68978011098402,2.120222530521687e-05,-3.0,39.0,-1.509,-1.056,1.577,0.068
AZ-09497980,-0.01891215902459955,38.37518658925202,1.8411921821614996e-05,-3.0,40.0,-0.794,-0.818,0.948,0.154
AZ-09498500,-1.1573193778110942,2345.81674257871,3.445626006737257e-10,-3.0,43.0,-48.608,-1.165,55.482,6.874
AZ-09505200,-0.018431528532608682,37.790332711956495,2.0495711974266584e-06,-3.0,35.0,-0.774,-0.596,1.314,0.54
AZ-09505350,-0.07101322938067368,143.39491338466766,0.0,-3.0,40.0,-2.983,-1.45,2.86,-0.123
AZ-09505800,-0.04883928894927535,99.450166870471,6.633078913687029e-06,-3.0,41.0,-2.051,-0.844,2.797,0.746
AZ-09508300,-0.007028175120772949,14.287370524154595,3.5380355345449033e-06,-3.0,43.0,-0.296,-0.761,0.379,0.083
AZ-09510200,-0.014751375,29.844495570652175,0.002790296683186755,-3.0,41.0,-0.62,-0.693,0.652,0.032
AZ-09512280,-0.001951264492753623,3.9364766811594194,0.0012726206933362239,-3.0,39.0,-0.082,-0.609,0.075,-0.007
AZ-09513780,-0.0031759133022774325,6.411984245600414,0.020915281204984204,-2.0,41.0,-0.134,-0.442,0.127,-0.007
AZ-09535100,0.0,0.0008736086956521727,1.0,0.0,37.0,0.0,0.0,0.001,0.001
BC-07EC002,0.8547314549232747,-1613.0630441055007,0.0001030306759075561,3.0,42.0,35.898,0.374,78.451,114.349
BC-07EE007,0.8083727145220083,-1403.6584134831032,0.012789986743638293,2.0,40.0,33.952,0.159,196.111,230.063
BC-07EE009,0.01691260370907412,-21.24931133204115,0.3946086688627011,0.0,40.0,0.71,0.056,12.221,12.931
BC-07FB001,1.6132608744565209,-2997.03066190027,0.0003513386276865482,3.0,40.0,67.757,0.279,195.613,263.37
BC-07FB004,0.012179842010375495,-23.492269986938936,0.006715987155264447,3.0,39.0,0.511,0.509,0.612,1.123
BC-07FB008,0.14721178604110058,-281.1509988304849,0.0024744447799285307,3.0,40.0,6.183,0.427,10.181,16.364
BC-07FC003,0.06798913275359318,-126.59152635165016,0.017403875353804832,2.0,41.0,2.856,0.272,7.959,10.815
BC-08CD001,0.09768363427465174,-147.0482431055002,0.25010877308484813,0.0,40.0,4.102,0.084,46.268,50.37
BC-08CG001,1.4485974726507718,-2633.1826030652182,0.00018048568435768964,3.0,42.0,60.841,0.228,233.592,294.433
BC-08DA005,0.06871702343569477,-126.37516674371471,0.00024464040822258504,3.0,41.0,2.886,0.265,9.616,12.502
BC-08DB001,2.530096618961353,-4414.847923912441,0.0035207696967600732,3.0,41.0,106.264,0.16,592.213,698.477
BC-08EB004,0.1367584073137308,-218.2740779288435,0.12940022256388306,0.0,41.0,5.744,0.104,52.371,58.115
BC-08ED001,0.15584600717409153,-289.0716031540524,0.004490597816142694,3.0,41.0,6.545,0.287,19.348,25.893
BC-08EE008,0.0033824108003952624,-4.63381766653756,0.27126174822407156,0.0,39.0,0.142,0.064,2.06,2.202
BC-08EE012,0.0023678348889817603,-4.44767780897407,0.000642031409547883,3.0,40.0,0.1,0.363,0.238,0.338
BC-08EE025,-0.0005713733922527375,1.2689485932999016,0.045207586516147424,-2.0,37.0,-0.024,-0.18,0.138,0.114
BC-08EG012,0.07658869197940485,-118.11720844617813,0.24971687164178213,0.0,41.0,3.217,0.088,33.452,36.669
BC-08FB006,0.2580724628623189,-483.0307083034421,0.0024047299723997106,3.0,37.0,10.839,0.33,27.695,38.534
BC-08FE003,0.24990218931159353,-464.7937101756327,0.003880910175648067,3.0,40.0,10.496,0.292,29.763,40.259
