,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
AB-05AA008,8.134358113853104,-14653.967872202355,3.2991220181521896e-05,3.0,41.0,341.643,0.205,1443.927,1785.57
AB-05AA023,32.46241379310355,-60903.381896551924,0.005736856348743435,3.0,30.0,1363.421,0.319,3339.735,4703.156
AB-05AD003,19.133684070263058,-32129.000785185588,5.894957318730576e-06,3.0,39.0,803.615,0.132,5736.56,6540.175
AB-05AD005,18.568663793103404,-33988.4115948275,3.7592149126908225e-07,3.0,37.0,779.884,0.256,2758.974,3538.858
AB-05BA002,5.1494117647060405,-8169.043823529728,0.1713627487654228,0.0,30.0,216.275,0.101,2021.642,2237.917
AB-05BB001,8.021211681313698,-2626.6815440054233,0.38916658403926574,0.0,40.0,336.891,0.025,13247.296,13584.187
AB-05BL022,4.7653000430000105,-8858.188484904022,1.214916128366994e-06,3.0,39.0,200.143,0.291,572.34,772.483
AB-05CA009,18.71777791111112,-30154.990244600016,0.00932872948880159,3.0,39.0,786.147,0.099,6887.492,7673.639
AB-05DA007,1.3761358699999742,-448.36947027994756,0.2606029930710172,0.0,39.0,57.798,0.025,2275.003,2332.801
AB-05DA009,10.917398198494492,-2222.8053128412357,0.07523484892160015,1.0,40.0,458.53,0.023,19382.726,19841.256
AB-05DA010,0.21735097977778278,-281.364932720099,0.03665492445363672,2.0,40.0,9.128,0.059,148.773,157.901
AB-06AD006,84.5571512272724,-165129.68486510115,1.7594159158473843e-06,3.0,42.0,3551.401,0.682,2208.917,5760.318
AB-07AA001,7.100003584284942,-10585.463156741314,0.041049027034521846,2.0,39.0,298.2,0.079,3465.444,3763.644
AB-07AA002,49.94416293879574,-68840.95171435268,0.0012004707959729632,3.0,41.0,2097.655,0.066,29998.547,32096.202
AB-07AG003,-1.884884550000038,4999.240563430075,0.5201486590603639,-0.0,35.0,-79.165,-0.053,1269.054,1189.889
AB-07BB002,-2.757618276191005,12614.48130512963,0.9000995321531204,-0.0,39.0,-115.82,-0.015,7157.155,7041.335
AB-07BJ001,1.1672009846665483,1760.521432526235,0.8907154510088062,0.0,39.0,49.023,0.011,4070.412,4119.435
