,mean,slp,chg,pvalue
0,0.52,0.0,0.0,0.813
1,0.51,0.0,0.0,0.486
2,0.53,0.0,0.0,0.475
3,0.529,-0.001,-0.038,0.325
4,0.528,-0.001,-0.047,0.258
5,0.539,-0.001,-0.05,0.349
6,0.538,-0.002,-0.069,0.168
7,0.538,-0.002,-0.071,0.269
8,0.539,-0.001,-0.036,0.278
9,0.538,-0.001,-0.059,0.269
10,0.529,-0.001,-0.05,0.293
11,0.539,-0.001,-0.05,0.31
12,0.54,-0.001,-0.039,0.416
13,0.529,-0.001,-0.034,0.283
14,0.539,-0.001,-0.044,0.236
15,0.539,-0.001,-0.046,0.24
16,0.538,-0.002,-0.074,0.133
17,0.529,-0.001,-0.06,0.119
18,0.53,-0.001,-0.031,0.198
19,0.539,-0.001,-0.048,0.305
20,0.54,-0.001,-0.031,0.354
21,0.529,-0.001,-0.03,0.437
22,0.54,-0.0,-0.019,0.62
23,0.53,0.0,0.0,0.693
24,0.54,-0.0,-0.017,0.652
25,0.54,-0.001,-0.021,0.491
26,0.569,-0.001,-0.05,0.464
27,0.54,-0.001,-0.033,0.485
28,0.538,-0.002,-0.084,0.285
29,0.538,-0.002,-0.066,0.305
30,0.568,-0.002,-0.07,0.245
31,0.619,-0.001,-0.036,0.373
32,0.618,-0.002,-0.063,0.29
33,0.61,-0.0,-0.016,0.62
34,0.619,-0.001,-0.034,0.661
35,0.569,-0.001,-0.042,0.536
36,0.569,-0.001,-0.024,0.543
37,0.57,-0.001,-0.025,0.521
38,0.609,-0.001,-0.04,0.62
39,0.619,-0.001,-0.04,0.686
40,0.619,-0.001,-0.058,0.544
41,0.736,-0.004,-0.158,0.285
42,0.658,-0.003,-0.105,0.465
43,0.678,-0.002,-0.074,0.521
44,0.718,-0.003,-0.107,0.464
45,0.646,-0.004,-0.153,0.393
46,1.041,-0.009,-0.382,0.177
47,1.083,-0.017,-0.718,0.096
48,0.994,-0.026,-1.102,0.052
49,1.356,-0.023,-0.967,0.085
50,1.34,-0.02,-0.844,0.123
51,1.251,-0.019,-0.794,0.052
52,1.064,-0.016,-0.691,0.092
53,1.07,-0.01,-0.42,0.147
54,1.01,-0.01,-0.432,0.126
55,0.897,-0.013,-0.546,0.077
56,0.914,-0.015,-0.647,0.079
57,0.897,-0.013,-0.553,0.078
58,1.062,-0.019,-0.781,0.181
59,1.836,-0.004,-0.177,0.653
60,2.389,-0.001,-0.044,0.902
61,2.518,-0.002,-0.072,0.77
62,2.648,-0.002,-0.094,0.727
63,2.657,-0.004,-0.155,0.551
64,2.697,-0.004,-0.161,0.536
65,2.66,-0.011,-0.441,0.412
66,3.212,-0.018,-0.758,0.333
67,2.9,-0.01,-0.439,0.317
68,2.748,-0.021,-0.901,0.212
69,2.602,-0.029,-1.207,0.138
70,3.13,-0.04,-1.664,0.096
71,2.852,-0.058,-2.436,0.074
72,2.284,-0.046,-1.94,0.074
73,2.027,-0.063,-2.66,0.03
74,1.734,-0.046,-1.94,0.027
75,1.442,-0.028,-1.19,0.058
76,1.466,-0.034,-1.443,0.044
77,1.284,-0.047,-1.957,0.038
78,1.179,-0.061,-2.562,0.015
79,1.527,-0.053,-2.244,0.019
80,1.342,-0.079,-3.309,0.009
81,1.186,-0.064,-2.707,0.009
82,1.025,-0.055,-2.322,0.014
83,1.4,-0.05,-2.091,0.013
84,1.18,-0.049,-2.079,0.009
85,1.03,-0.05,-2.1,0.004
86,0.9,-0.05,-2.114,0.004
87,0.825,-0.045,-1.883,0.004
88,0.723,-0.037,-1.568,0.003
89,0.65,-0.03,-1.273,0.003
90,0.621,-0.029,-1.209,0.002
91,0.686,-0.024,-1.014,0.0
92,0.658,-0.023,-0.945,0.0
93,0.628,-0.021,-0.889,0.0
94,0.597,-0.022,-0.939,0.0
95,0.584,-0.036,-1.516,0.0
96,0.642,-0.039,-1.625,0.0
97,0.68,-0.029,-1.237,0.0
98,0.686,-0.024,-1.018,0.0
99,0.659,-0.022,-0.907,0.0
100,0.632,-0.018,-0.75,0.001
101,0.605,-0.015,-0.64,0.001
102,0.607,-0.013,-0.56,0.001
103,0.578,-0.012,-0.487,0.001
104,0.558,-0.012,-0.492,0.001
105,0.608,-0.012,-0.496,0.0
106,0.609,-0.011,-0.441,0.0
107,0.608,-0.012,-0.485,0.0
108,0.58,-0.01,-0.441,0.0
109,0.58,-0.01,-0.42,0.001
110,0.56,-0.009,-0.393,0.001
111,0.56,-0.01,-0.414,0.0
112,0.561,-0.009,-0.376,0.0
113,0.542,-0.008,-0.323,0.0
114,0.532,-0.008,-0.33,0.0
115,0.522,-0.008,-0.32,0.0
116,0.523,-0.007,-0.304,0.0
117,0.532,-0.008,-0.321,0.0
118,0.503,-0.007,-0.306,0.0
119,0.502,-0.007,-0.315,0.0
