,mean,slp,chg,pvalue
0,2.15,-0.032,-1.359,0.337
1,1.94,-0.02,-0.84,0.598
2,3.5,0.003,0.109,0.988
3,2.822,-0.003,-0.127,0.963
4,3.219,0.01,0.428,0.804
5,3.087,0.026,1.08,0.676
6,2.694,0.071,2.995,0.188
7,3.246,0.091,3.827,0.245
8,3.967,0.098,4.13,0.233
9,3.974,0.024,1.008,0.71
10,3.727,0.016,0.666,0.852
11,3.4,-0.005,-0.217,0.804
12,3.651,-0.033,-1.374,0.394
13,5.143,-0.071,-2.977,0.361
14,4.884,-0.068,-2.876,0.299
15,4.168,-0.009,-0.395,0.816
16,4.018,0.085,3.585,0.278
17,3.356,0.139,5.823,0.15
18,3.176,0.184,7.71,0.028
19,3.327,0.128,5.384,0.047
20,3.094,0.086,3.63,0.08
21,3.165,0.064,2.678,0.183
22,3.541,0.057,2.402,0.271
23,3.435,0.066,2.778,0.306
24,3.518,0.056,2.339,0.251
25,2.97,0.067,2.834,0.209
26,2.759,0.058,2.426,0.245
27,3.276,0.026,1.097,0.664
28,3.461,0.037,1.566,0.546
29,4.02,-0.013,-0.531,0.914
30,3.351,-0.0,-0.012,1.0
31,3.839,-0.057,-2.406,0.369
32,4.087,-0.072,-3.012,0.183
33,3.444,-0.056,-2.345,0.159
34,2.737,-0.022,-0.911,0.411
35,3.802,-0.003,-0.133,0.901
36,3.407,0.001,0.028,1.0
37,3.863,-0.011,-0.457,0.889
38,2.897,0.011,0.45,0.816
39,2.658,0.023,0.961,0.698
40,2.484,0.024,1.003,0.577
41,2.652,0.007,0.293,0.828
42,3.081,-0.01,-0.43,0.852
43,2.984,-0.009,-0.361,0.926
44,2.757,-0.012,-0.492,0.653
45,2.69,-0.002,-0.097,0.963
46,2.728,0.003,0.123,0.963
47,3.279,-0.01,-0.408,0.792
48,2.94,-0.017,-0.731,0.631
49,2.72,-0.025,-1.045,0.457
50,2.566,-0.016,-0.692,0.546
51,2.33,-0.022,-0.944,0.394
52,2.404,-0.056,-2.352,0.041
53,2.208,-0.052,-2.191,0.07
54,2.34,-0.04,-1.68,0.072
55,2.242,-0.031,-1.283,0.204
56,2.09,-0.027,-1.145,0.158
57,1.996,-0.019,-0.799,0.271
58,1.976,-0.021,-0.898,0.429
59,2.039,-0.007,-0.302,0.71
60,1.928,-0.007,-0.301,0.768
61,2.173,-0.021,-0.863,0.369
62,2.346,-0.031,-1.32,0.278
63,2.322,-0.028,-1.178,0.245
64,2.145,-0.024,-0.998,0.466
65,2.08,-0.02,-0.84,0.438
66,2.314,-0.031,-1.305,0.188
67,2.558,-0.042,-1.76,0.178
68,2.788,-0.052,-2.189,0.111
69,2.942,-0.041,-1.711,0.198
70,3.256,-0.032,-1.327,0.361
71,3.338,-0.007,-0.297,0.852
72,3.804,0.011,0.482,0.768
73,3.252,0.022,0.929,0.609
74,2.682,0.012,0.502,0.757
75,3.066,-0.019,-0.805,0.466
76,3.353,-0.036,-1.5,0.345
