,mean,slp,chg,pvalue
0,12.07,0.07,2.931,0.381
1,11.742,0.043,1.787,0.653
2,11.226,0.026,1.096,0.745
3,11.114,0.014,0.603,0.866
4,10.946,0.045,1.903,0.493
5,11.992,0.092,3.848,0.323
6,10.414,0.114,4.799,0.208
7,10.432,0.132,5.53,0.147
8,12.149,0.149,6.258,0.099
9,12.65,0.15,6.3,0.108
10,12.148,0.147,6.189,0.16
11,12.912,0.112,4.683,0.243
12,12.594,0.093,3.919,0.419
13,11.762,0.062,2.602,0.479
14,11.638,0.038,1.617,0.745
15,13.048,0.047,1.991,0.728
16,13.075,0.075,3.15,0.412
17,12.316,0.115,4.843,0.225
18,12.108,0.108,4.522,0.208
19,12.596,0.097,4.057,0.238
20,11.778,0.078,3.27,0.296
21,11.679,0.079,3.324,0.291
22,11.984,0.084,3.526,0.323
23,11.883,0.083,3.5,0.2
24,12.176,0.076,3.202,0.387
25,12.09,0.089,3.753,0.238
26,12.5,0.1,4.2,0.204
27,12.214,0.114,4.786,0.127
28,12.522,0.122,5.126,0.094
29,12.527,0.127,5.338,0.094
30,12.416,0.116,4.87,0.164
31,12.211,0.111,4.658,0.243
32,12.0,0.099,4.175,0.281
33,11.9,0.1,4.2,0.174
34,11.715,0.115,4.822,0.164
35,11.698,0.099,4.145,0.144
36,11.4,0.1,4.2,0.216
37,11.197,0.097,4.06,0.204
38,11.095,0.095,4.0,0.2
39,11.1,0.1,4.2,0.208
40,10.888,0.088,3.69,0.212
41,10.986,0.085,3.585,0.212
42,10.668,0.068,2.862,0.271
43,10.66,0.06,2.52,0.334
44,10.672,0.073,3.045,0.296
45,10.58,0.081,3.381,0.256
46,10.46,0.06,2.537,0.369
47,10.146,0.046,1.934,0.472
48,10.222,0.022,0.928,0.762
49,10.218,0.018,0.741,0.857
50,10.112,0.012,0.497,0.937
51,10.522,0.022,0.912,0.762
52,11.238,0.038,1.588,0.669
53,11.442,0.042,1.773,0.567
54,11.733,0.032,1.359,0.661
55,11.82,0.02,0.84,0.805
56,11.606,0.006,0.256,0.955
57,10.5,0.0,0.0,1.0
58,10.497,-0.004,-0.155,0.937
59,11.692,-0.009,-0.361,0.946
60,12.103,0.003,0.122,0.982
61,12.302,0.002,0.101,0.991
62,12.492,-0.008,-0.321,0.946
63,12.985,-0.015,-0.626,0.884
64,12.781,-0.019,-0.79,0.849
65,12.683,-0.017,-0.71,0.779
66,12.976,-0.023,-0.983,0.753
67,12.888,-0.012,-0.525,0.84
68,12.988,-0.012,-0.495,0.857
69,13.195,-0.005,-0.2,0.991
70,13.111,0.011,0.454,0.946
71,13.624,0.024,1.002,0.805
72,13.248,0.049,2.047,0.728
73,16.17,0.071,2.975,0.582
74,16.11,0.11,4.601,0.4
75,16.023,0.123,5.164,0.363
76,16.006,0.106,4.473,0.445
77,16.883,0.084,3.511,0.438
78,17.197,0.097,4.068,0.419
79,18.373,0.073,3.066,0.486
80,18.791,0.091,3.806,0.486
81,18.387,0.087,3.668,0.522
82,19.484,0.084,3.509,0.479
83,19.493,0.093,3.91,0.445
84,19.11,0.11,4.616,0.472
85,18.998,0.098,4.115,0.375
86,19.224,0.124,5.198,0.229
87,20.226,0.126,5.277,0.257
88,21.449,0.149,6.256,0.261
89,22.624,0.224,9.397,0.193
90,23.383,0.283,11.88,0.178
91,24.182,0.282,11.831,0.15
92,24.769,0.269,11.3,0.193
93,25.072,0.272,11.429,0.261
94,25.574,0.274,11.5,0.196
95,25.018,0.318,13.346,0.189
96,28.331,0.331,13.9,0.174
97,27.712,0.412,17.314,0.167
98,27.433,0.433,18.186,0.164
