,mean,slp,chg,pvalue
01-01,4.9,-0.017,-0.724,0.79
01-02,4.87,-0.024,-1.024,0.708
01-03,6.06,-0.059,-2.482,0.418
01-04,5.55,-0.035,-1.476,0.646
01-05,6.59,-0.045,-1.896,0.663
01-06,6.51,-0.004,-0.15,0.981
01-07,5.89,-0.026,-1.102,0.646
01-08,6.25,-0.011,-0.454,0.875
01-09,6.06,0.061,2.558,0.529
01-10,5.74,0.047,1.978,0.595
01-11,6.37,0.034,1.418,0.69
01-12,6.65,0.057,2.406,0.506
01-13,6.0,0.074,3.12,0.371
01-14,4.61,0.028,1.188,0.699
01-15,6.45,0.011,0.466,0.933
01-16,7.33,0.024,1.0,0.828
01-17,6.74,0.042,1.776,0.62
01-18,10.779,0.161,6.783,0.287
01-19,9.71,0.288,12.102,0.088
01-20,9.68,0.265,11.116,0.09
01-21,8.6,0.217,9.124,0.113
01-22,10.02,0.095,4.004,0.545
01-23,11.83,-0.012,-0.494,0.981
01-24,12.9,-0.032,-1.348,0.847
01-25,11.83,0.01,0.42,0.923
01-26,10.95,-0.018,-0.744,0.942
01-27,10.95,-0.057,-2.386,0.672
01-28,11.38,-0.062,-2.596,0.672
01-29,10.13,-0.062,-2.612,0.553
01-30,10.33,-0.086,-3.612,0.578
01-31,10.41,-0.056,-2.37,0.646
02-01,9.34,-0.064,-2.678,0.498
02-02,7.95,-0.116,-4.888,0.298
02-03,6.79,-0.066,-2.772,0.377
02-04,7.07,-0.067,-2.8,0.529
02-05,6.06,-0.044,-1.86,0.628
02-06,6.34,0.004,0.168,0.99
02-07,6.82,-0.037,-1.568,0.663
02-08,7.41,-0.0,-0.016,0.99
02-09,7.1,0.027,1.136,0.772
02-10,8.09,0.012,0.506,0.866
02-11,6.68,-0.019,-0.777,0.866
02-12,7.27,-0.104,-4.348,0.241
02-13,8.49,-0.295,-12.4,0.066
02-14,10.87,-0.264,-11.096,0.073
02-15,10.33,-0.165,-6.916,0.175
02-16,9.57,-0.142,-5.955,0.31
02-17,8.66,-0.222,-9.345,0.113
02-18,11.74,-0.213,-8.94,0.108
02-19,11.49,-0.272,-11.445,0.086
02-20,10.73,-0.224,-9.424,0.127
02-21,10.1,-0.197,-8.27,0.196
02-22,10.9,-0.135,-5.662,0.371
02-23,10.02,-0.108,-4.528,0.371
02-24,10.36,-0.071,-3.0,0.611
02-25,9.2,-0.029,-1.218,0.772
02-26,9.0,-0.005,-0.21,0.952
02-27,10.75,0.055,2.322,0.753
02-28,9.08,0.045,1.88,0.772
03-01,8.43,0.01,0.4,0.981
03-02,10.58,-0.044,-1.864,0.717
03-03,9.57,0.001,0.042,1.0
03-04,11.63,0.019,0.782,0.942
03-05,12.28,0.014,0.588,0.971
