,mean,slp,chg,pvalue
01-01,0.03,0.001,0.025,0.0
01-02,0.03,0.001,0.025,0.0
01-03,0.03,0.001,0.025,0.0
01-04,0.03,0.001,0.025,0.0
01-05,0.03,0.001,0.023,0.0
01-06,0.03,0.001,0.023,0.0
01-07,0.03,0.001,0.021,0.001
01-08,0.03,0.001,0.021,0.001
01-09,0.03,0.001,0.023,0.002
01-10,0.03,0.0,0.021,0.002
01-11,0.03,0.0,0.021,0.002
01-12,0.03,0.0,0.021,0.004
01-13,0.02,0.0,0.018,0.007
01-14,0.02,0.0,0.017,0.006
01-15,0.02,0.0,0.017,0.005
01-16,0.02,0.0,0.016,0.006
01-17,0.02,0.0,0.016,0.006
01-18,0.02,0.0,0.015,0.008
01-19,0.02,0.0,0.015,0.008
01-20,0.02,0.0,0.015,0.008
01-21,0.02,0.0,0.014,0.013
01-22,0.02,0.0,0.014,0.013
01-23,0.02,0.0,0.015,0.008
01-24,0.02,0.0,0.006,0.026
01-25,0.02,0.0,0.006,0.025
01-26,0.02,0.0,0.0,0.045
01-27,0.02,0.0,0.0,0.045
01-28,0.02,0.0,0.006,0.025
01-29,0.02,0.0,0.006,0.025
01-30,0.02,0.0,0.011,0.023
01-31,0.02,0.0,0.011,0.023
02-01,0.02,0.0,0.0,0.051
02-02,0.02,0.0,0.0,0.055
02-03,0.02,0.0,0.0,0.037
02-04,0.02,0.0,0.0,0.051
02-05,0.02,0.0,0.0,0.051
02-06,0.02,0.0,0.0,0.051
02-07,0.02,0.0,0.0,0.051
02-08,0.02,0.0,0.0,0.051
02-09,0.02,0.0,0.0,0.052
02-10,0.02,0.0,0.0,0.052
02-11,0.02,0.0,0.0,0.052
02-12,0.02,0.0,0.0,0.052
02-13,0.02,0.0,0.0,0.052
02-14,0.02,0.0,0.0,0.052
02-15,0.02,0.0,0.0,0.052
02-16,0.02,0.0,0.0,0.061
02-17,0.02,0.0,0.0,0.061
02-18,0.02,0.0,0.0,0.083
02-19,0.02,0.0,0.0,0.116
02-20,0.02,0.0,0.0,0.057
02-21,0.02,0.0,0.0,0.057
02-22,0.02,0.0,0.0,0.052
02-23,0.02,0.0,0.0,0.054
02-24,0.02,0.0,0.0,0.054
02-25,0.02,0.0,0.0,0.054
02-26,0.02,0.0,0.0,0.054
02-27,0.02,0.0,0.0,0.054
02-28,0.02,0.0,0.0,0.054
03-01,0.02,0.0,0.0,0.027
03-02,0.02,0.0,0.0,0.085
03-03,0.02,0.0,0.0,0.07
03-04,0.02,0.0,0.0,0.07
03-05,0.02,0.0,0.0,0.038
03-06,0.02,0.0,0.0,0.023
03-07,0.02,0.0,0.0,0.031
03-08,0.02,0.0,0.0,0.031
03-09,0.02,0.0,0.0,0.031
03-10,0.02,0.0,0.0,0.05
03-11,0.02,0.0,0.0,0.061
03-12,0.02,0.0,0.0,0.039
03-13,0.02,0.0,0.0,0.039
03-14,0.02,0.0,0.0,0.041
03-15,0.02,0.0,0.0,0.014
03-16,0.02,0.0,0.0,0.017
03-17,0.02,0.0,0.0,0.026
03-18,0.02,0.0,0.0,0.026
03-19,0.02,0.0,0.0,0.017
03-20,0.02,0.0,0.0,0.017
03-21,0.02,0.0,0.0,0.015
03-22,0.02,0.0,0.0,0.015
03-23,0.02,0.0,0.0,0.015
03-24,0.02,0.0,0.0,0.012
03-25,0.02,0.0,0.0,0.017
03-26,0.02,0.0,0.0,0.007
03-27,0.02,0.0,0.0,0.01
03-28,0.02,0.0,0.0,0.02
03-29,0.02,0.0,0.0,0.025
03-30,0.02,0.0,0.0,0.019
03-31,0.02,0.0,0.0,0.019
04-01,0.02,0.0,0.013,0.005
04-02,0.02,0.0,0.012,0.008
04-03,0.02,0.0,0.012,0.008
04-04,0.02,0.0,0.0,0.011
04-05,0.02,0.0,0.0,0.02
04-06,0.02,0.0,0.0,0.023
04-07,0.02,0.0,0.0,0.023
04-08,0.02,0.0,0.0,0.029
04-09,0.02,0.0,0.012,0.016
04-10,0.02,0.0,0.012,0.025
04-11,0.02,0.0,0.019,0.005
04-12,0.02,0.0,0.015,0.01
04-13,0.02,0.0,0.02,0.002
04-14,0.03,0.001,0.021,0.001
04-15,0.03,0.001,0.021,0.001
04-16,0.03,0.0,0.021,0.003
04-17,0.03,0.0,0.017,0.007
04-18,0.03,0.0,0.017,0.023
04-19,0.03,0.001,0.023,0.026
04-20,0.03,0.0,0.017,0.056
04-21,0.03,0.0,0.011,0.09
04-22,0.03,0.0,0.0,0.148
04-23,0.04,0.0,0.015,0.13
04-24,0.03,0.0,0.013,0.139
04-25,0.03,0.0,0.0,0.203
04-26,0.03,0.0,0.0,0.211
04-27,0.04,0.0,0.0,0.546
04-28,0.04,0.0,0.0,0.532
04-29,0.04,0.0,0.013,0.408
04-30,0.04,0.0,0.017,0.262
05-01,0.05,0.0,0.019,0.304
05-02,0.041,0.001,0.026,0.167
05-03,0.05,0.0,0.019,0.293
05-04,0.05,0.0,0.014,0.435
05-05,0.05,0.0,0.015,0.484
05-06,0.081,0.001,0.038,0.27
05-07,0.092,0.001,0.061,0.149
05-08,0.091,0.001,0.046,0.344
05-09,0.1,0.001,0.027,0.574
05-10,0.11,0.001,0.035,0.559
05-11,0.111,0.001,0.038,0.5
05-12,0.132,0.001,0.055,0.471
05-13,0.152,0.002,0.099,0.242
05-14,0.173,0.003,0.116,0.22
05-15,0.174,0.004,0.147,0.11
05-16,0.214,0.004,0.168,0.141
05-17,0.254,0.004,0.18,0.15
05-18,0.274,0.004,0.187,0.174
05-19,0.314,0.004,0.182,0.238
05-20,0.355,0.004,0.185,0.174
05-21,0.426,0.006,0.236,0.132
05-22,0.446,0.007,0.285,0.192
05-23,0.467,0.007,0.304,0.141
05-24,0.486,0.006,0.245,0.312
05-25,0.658,0.007,0.303,0.317
05-26,0.748,0.007,0.307,0.212
05-27,0.826,0.006,0.24,0.301
05-28,0.744,0.003,0.133,0.597
05-29,0.785,0.005,0.21,0.582
05-30,0.919,0.009,0.36,0.363
05-31,0.858,0.008,0.346,0.393
06-01,1.002,0.012,0.504,0.261
06-02,1.064,0.014,0.598,0.103
06-03,1.247,0.017,0.695,0.108
06-04,1.384,0.023,0.975,0.027
06-05,1.529,0.029,1.22,0.006
06-06,1.357,0.027,1.134,0.006
06-07,1.554,0.024,1.004,0.011
06-08,1.603,0.023,0.972,0.055
06-09,1.684,0.023,0.987,0.045
06-10,1.588,0.028,1.193,0.016
06-11,1.446,0.026,1.1,0.019
06-12,1.442,0.022,0.943,0.062
06-13,1.503,0.023,0.952,0.074
06-14,1.61,0.02,0.84,0.082
06-15,1.626,0.016,0.672,0.076
06-16,1.514,0.014,0.586,0.108
06-17,1.614,0.015,0.619,0.189
06-18,1.508,0.008,0.323,0.291
06-19,1.648,0.008,0.336,0.5
06-20,1.592,0.011,0.483,0.375
06-21,1.553,0.013,0.546,0.323
06-22,1.473,0.003,0.12,0.866
06-23,1.5,0.0,0.0,0.982
06-24,1.39,0.0,0.0,1.0
06-25,1.39,0.0,0.0,1.0
06-26,1.34,0.0,0.0,1.0
06-27,1.33,-0.0,-0.017,0.964
06-28,1.29,0.0,0.0,0.991
06-29,1.268,-0.002,-0.074,0.884
06-30,1.25,-0.0,-0.01,0.982
07-01,1.19,-0.001,-0.025,0.955
07-02,1.017,-0.003,-0.114,0.805
07-03,0.958,-0.002,-0.063,0.796
07-04,0.929,-0.001,-0.036,0.902
07-05,0.909,-0.001,-0.036,0.937
07-06,0.852,0.002,0.064,0.796
07-07,0.822,0.002,0.07,0.744
07-08,0.762,0.001,0.061,0.779
07-09,0.761,0.001,0.044,0.884
07-10,0.72,0.0,0.0,0.928
07-11,0.681,0.001,0.06,0.813
07-12,0.65,0.0,0.0,0.919
07-13,0.6,0.0,0.007,0.946
07-14,0.58,0.0,0.0,0.946
07-15,0.591,0.001,0.05,0.849
07-16,0.54,0.0,0.0,0.937
07-17,0.568,-0.002,-0.097,0.702
07-18,0.547,-0.003,-0.12,0.574
07-19,0.508,-0.002,-0.076,0.59
07-20,0.478,-0.002,-0.082,0.637
07-21,0.479,-0.001,-0.06,0.669
07-22,0.459,-0.001,-0.06,0.77
07-23,0.448,-0.002,-0.093,0.589
07-24,0.478,-0.003,-0.105,0.438
07-25,0.38,0.0,0.0,0.973
07-26,0.372,0.001,0.055,0.669
07-27,0.351,0.001,0.05,0.678
07-28,0.362,0.002,0.067,0.661
07-29,0.352,0.002,0.071,0.637
07-30,0.332,0.002,0.073,0.59
07-31,0.28,0.0,0.0,0.928
08-01,0.269,-0.001,-0.034,0.677
08-02,0.279,-0.001,-0.021,0.796
08-03,0.28,0.0,0.0,0.937
08-04,0.27,0.0,0.012,0.866
08-05,0.25,0.001,0.027,0.753
08-06,0.262,0.001,0.059,0.507
08-07,0.262,0.002,0.077,0.425
08-08,0.252,0.002,0.105,0.38
08-09,0.232,0.002,0.09,0.418
08-10,0.222,0.001,0.051,0.559
08-11,0.212,0.002,0.074,0.381
08-12,0.202,0.001,0.063,0.418
08-13,0.2,0.001,0.035,0.653
08-14,0.201,0.001,0.038,0.613
08-15,0.19,-0.001,-0.021,0.613
08-16,0.19,0.0,0.0,0.839
08-17,0.18,0.0,0.0,0.919
08-18,0.18,-0.0,-0.015,0.831
08-19,0.179,-0.001,-0.028,0.669
08-20,0.179,-0.001,-0.042,0.485
08-21,0.169,-0.001,-0.035,0.478
08-22,0.17,0.0,0.0,0.848
08-23,0.17,0.0,0.0,0.946
08-24,0.169,-0.001,-0.034,0.514
08-25,0.169,-0.001,-0.025,0.528
08-26,0.159,-0.001,-0.025,0.581
08-27,0.16,0.0,0.0,0.982
08-28,0.16,0.0,0.0,1.0
08-29,0.15,-0.001,-0.023,0.644
08-30,0.15,-0.0,-0.012,0.71
08-31,0.15,0.0,0.0,0.91
09-01,0.14,-0.0,-0.012,0.668
09-02,0.14,0.0,0.0,0.884
09-03,0.13,0.0,0.0,0.901
09-04,0.13,0.0,0.0,0.727
09-05,0.13,0.0,0.021,0.543
09-06,0.12,0.001,0.025,0.443
09-07,0.12,0.0,0.014,0.534
09-08,0.12,0.0,0.0,0.884
09-09,0.12,0.001,0.031,0.405
09-10,0.121,0.001,0.044,0.373
09-11,0.111,0.001,0.038,0.349
09-12,0.111,0.001,0.032,0.398
09-13,0.111,0.001,0.046,0.322
09-14,0.101,0.001,0.046,0.203
09-15,0.102,0.001,0.063,0.114
09-16,0.111,0.001,0.048,0.274
09-17,0.111,0.002,0.067,0.123
09-18,0.101,0.001,0.06,0.153
09-19,0.101,0.001,0.044,0.27
09-20,0.101,0.001,0.032,0.373
09-21,0.101,0.001,0.03,0.437
09-22,0.111,0.001,0.038,0.211
09-23,0.1,0.001,0.039,0.284
09-24,0.101,0.001,0.038,0.275
09-25,0.091,0.001,0.038,0.392
09-26,0.09,0.0,0.019,0.551
09-27,0.101,0.001,0.038,0.295
09-28,0.101,0.001,0.048,0.242
09-29,0.101,0.001,0.038,0.316
09-30,0.101,0.001,0.052,0.191
10-01,0.091,0.001,0.05,0.15
10-02,0.092,0.001,0.055,0.131
10-03,0.092,0.001,0.053,0.195
10-04,0.091,0.001,0.042,0.233
10-05,0.101,0.001,0.04,0.311
10-06,0.091,0.001,0.046,0.18
10-07,0.092,0.001,0.051,0.112
10-08,0.092,0.001,0.051,0.152
10-09,0.091,0.001,0.046,0.166
10-10,0.081,0.001,0.06,0.091
10-11,0.082,0.002,0.063,0.057
10-12,0.082,0.002,0.065,0.042
10-13,0.081,0.001,0.044,0.155
10-14,0.081,0.001,0.042,0.139
10-15,0.082,0.001,0.053,0.086
10-16,0.081,0.001,0.05,0.084
10-17,0.082,0.001,0.055,0.097
10-18,0.082,0.001,0.055,0.089
10-19,0.082,0.001,0.053,0.068
10-20,0.082,0.001,0.049,0.08
10-21,0.071,0.001,0.05,0.069
10-22,0.072,0.001,0.053,0.071
10-23,0.061,0.001,0.04,0.121
10-24,0.061,0.001,0.044,0.081
10-25,0.061,0.001,0.034,0.068
10-26,0.061,0.001,0.04,0.062
10-27,0.061,0.001,0.04,0.056
10-28,0.061,0.001,0.04,0.078
10-29,0.061,0.001,0.04,0.049
10-30,0.061,0.001,0.042,0.031
10-31,0.061,0.001,0.042,0.044
11-01,0.051,0.001,0.04,0.024
11-02,0.051,0.001,0.044,0.014
11-03,0.061,0.001,0.046,0.013
11-04,0.052,0.001,0.051,0.007
