,mean,slp,chg,pvalue
01-01,2.01,0.036,1.512,0.04
01-02,2.07,0.036,1.512,0.072
01-03,2.32,0.032,1.344,0.092
01-04,2.43,0.027,1.14,0.112
01-05,2.5,0.028,1.156,0.137
01-06,2.32,0.025,1.07,0.149
01-07,2.45,0.029,1.2,0.109
01-08,2.55,0.024,1.024,0.177
01-09,2.55,0.016,0.692,0.336
01-10,2.41,0.018,0.756,0.286
01-11,2.49,0.018,0.742,0.315
01-12,2.52,0.016,0.654,0.379
01-13,2.66,0.024,1.018,0.161
01-14,2.53,0.024,1.004,0.132
01-15,2.67,0.023,0.945,0.164
01-16,2.65,0.025,1.036,0.086
01-17,2.42,0.028,1.155,0.09
01-18,2.72,0.032,1.35,0.067
01-19,3.06,0.028,1.19,0.143
01-20,3.28,0.026,1.085,0.198
01-21,3.14,0.011,0.462,0.586
01-22,3.06,0.017,0.724,0.33
01-23,3.17,0.019,0.784,0.267
01-24,3.23,0.027,1.128,0.177
01-25,3.17,0.019,0.794,0.32
01-26,3.28,0.002,0.082,0.892
01-27,3.34,0.002,0.084,0.917
01-28,3.28,0.01,0.42,0.63
01-29,3.2,0.015,0.62,0.586
01-30,3.08,0.013,0.552,0.503
01-31,2.97,0.012,0.49,0.457
02-01,2.971,0.019,0.805,0.229
02-02,3.17,0.02,0.82,0.254
02-03,3.17,0.021,0.892,0.315
02-04,3.11,0.024,0.99,0.217
02-05,3.08,0.026,1.098,0.198
02-06,3.03,0.025,1.07,0.241
02-07,3.06,0.025,1.05,0.233
02-08,3.03,0.025,1.056,0.202
02-09,2.94,0.022,0.922,0.379
02-10,2.97,0.023,0.952,0.225
02-11,3.14,0.034,1.408,0.094
02-12,3.51,0.027,1.146,0.286
02-13,3.4,0.026,1.085,0.233
02-14,3.34,0.037,1.552,0.055
02-15,3.25,0.032,1.352,0.209
02-16,3.23,0.037,1.554,0.116
02-17,3.14,0.034,1.412,0.134
02-18,3.37,0.031,1.312,0.245
02-19,3.65,0.022,0.924,0.391
02-20,3.34,0.015,0.642,0.593
02-21,3.28,0.013,0.534,0.615
02-22,3.4,0.014,0.574,0.483
02-23,3.42,0.009,0.38,0.714
02-24,3.4,-0.004,-0.168,0.884
02-25,3.4,0.001,0.06,0.933
02-26,3.37,0.004,0.178,0.842
02-27,3.42,0.003,0.135,0.859
02-28,3.31,0.004,0.15,0.81
03-01,3.28,0.012,0.512,0.483
03-02,3.25,0.014,0.604,0.503
03-03,3.2,0.015,0.648,0.477
03-04,3.28,0.013,0.552,0.47
03-05,3.2,0.004,0.168,0.761
03-06,3.17,0.0,0.0,1.0
03-07,3.68,0.009,0.368,0.802
03-08,3.82,0.011,0.466,0.706
03-09,3.57,0.013,0.542,0.586
03-10,3.57,0.011,0.466,0.63
03-11,3.85,0.007,0.28,0.753
03-12,3.65,0.005,0.21,0.867
03-13,3.62,-0.004,-0.16,0.908
03-14,3.68,-0.003,-0.14,0.95
03-15,3.96,0.002,0.076,0.975
03-16,3.85,0.001,0.028,0.983
03-17,3.79,0.0,0.0,0.983
03-18,3.74,-0.015,-0.61,0.523
03-19,3.79,-0.021,-0.864,0.402
03-20,3.71,-0.009,-0.396,0.699
03-21,3.76,-0.01,-0.42,0.73
03-22,3.68,-0.002,-0.084,0.9
03-23,3.68,-0.002,-0.094,0.967
03-24,3.54,-0.006,-0.252,0.81
03-25,3.74,-0.013,-0.55,0.668
03-26,3.51,-0.014,-0.6,0.523
03-27,3.93,-0.025,-1.05,0.281
03-28,3.76,-0.019,-0.788,0.503
03-29,3.62,-0.013,-0.56,0.66
03-30,3.74,-0.017,-0.71,0.451
03-31,3.91,-0.02,-0.84,0.374
04-01,3.91,-0.021,-0.9,0.42
04-02,3.68,-0.02,-0.82,0.32
04-03,3.57,-0.018,-0.77,0.451
04-04,3.96,-0.031,-1.32,0.184
04-05,4.02,-0.033,-1.404,0.14
04-06,3.99,-0.03,-1.26,0.126
04-07,3.82,-0.026,-1.078,0.174
04-08,3.74,-0.028,-1.182,0.198
04-09,3.74,-0.03,-1.248,0.167
04-10,3.65,-0.047,-1.986,0.061
04-11,3.48,-0.04,-1.68,0.092
04-12,3.57,-0.037,-1.566,0.105
04-13,3.57,-0.03,-1.26,0.088
04-14,3.68,-0.031,-1.314,0.116
04-15,3.93,-0.022,-0.924,0.305
04-16,3.88,-0.019,-0.794,0.426
04-17,3.74,-0.017,-0.7,0.464
04-18,3.62,-0.025,-1.044,0.305
04-19,3.48,-0.024,-1.002,0.341
04-20,3.68,-0.01,-0.44,0.638
04-21,3.71,-0.008,-0.352,0.699
04-22,3.74,-0.014,-0.608,0.432
04-23,3.54,-0.014,-0.568,0.379
04-24,3.4,-0.017,-0.716,0.254
04-25,3.54,-0.012,-0.494,0.551
04-26,3.48,-0.01,-0.42,0.432
04-27,3.48,-0.012,-0.494,0.445
04-28,3.4,-0.021,-0.902,0.184
04-29,3.25,-0.022,-0.916,0.119
04-30,3.23,-0.023,-0.964,0.14
05-01,3.17,-0.019,-0.794,0.263
05-02,3.2,-0.018,-0.756,0.29
05-03,3.2,-0.012,-0.504,0.483
05-04,3.2,-0.004,-0.18,0.802
05-05,3.2,-0.013,-0.56,0.516
05-06,3.08,-0.015,-0.636,0.445
05-07,3.2,-0.017,-0.712,0.379
05-08,3.23,-0.018,-0.77,0.272
05-09,3.08,-0.018,-0.766,0.267
05-10,3.03,-0.018,-0.765,0.209
05-11,2.94,-0.015,-0.646,0.187
05-12,3.0,-0.012,-0.506,0.374
05-13,2.97,-0.003,-0.126,0.834
05-14,2.94,-0.003,-0.13,0.81
05-15,2.78,-0.008,-0.33,0.63
05-16,2.69,-0.007,-0.306,0.558
05-17,2.58,-0.006,-0.256,0.593
05-18,2.74,-0.011,-0.472,0.457
05-19,2.69,-0.01,-0.42,0.47
05-20,2.66,-0.008,-0.35,0.558
05-21,2.46,-0.007,-0.28,0.608
05-22,2.46,-0.001,-0.06,0.818
05-23,2.69,-0.003,-0.114,0.859
05-24,2.66,-0.001,-0.028,0.958
05-25,2.69,-0.009,-0.398,0.53
05-26,2.8,-0.009,-0.392,0.53
05-27,2.69,-0.009,-0.368,0.66
05-28,2.63,-0.006,-0.254,0.615
05-29,2.58,-0.005,-0.226,0.675
05-30,2.43,-0.006,-0.258,0.683
05-31,2.351,-0.008,-0.315,0.699
06-01,2.32,-0.006,-0.242,0.706
06-02,2.38,-0.004,-0.188,0.746
06-03,2.29,-0.005,-0.194,0.699
06-04,2.21,-0.014,-0.598,0.31
06-05,2.32,-0.016,-0.662,0.221
06-06,2.26,-0.019,-0.806,0.149
06-07,2.29,-0.019,-0.804,0.152
06-08,2.21,-0.022,-0.91,0.202
06-09,2.15,-0.019,-0.794,0.237
06-10,2.12,-0.016,-0.688,0.286
06-11,2.01,-0.013,-0.538,0.336
06-12,1.92,-0.01,-0.434,0.357
06-13,1.92,-0.01,-0.42,0.315
06-14,1.88,-0.012,-0.525,0.325
06-15,1.91,-0.007,-0.296,0.464
06-16,1.87,-0.008,-0.346,0.426
06-17,1.75,-0.006,-0.254,0.483
06-18,1.78,-0.01,-0.42,0.362
06-19,1.76,-0.008,-0.352,0.464
06-20,1.75,-0.006,-0.252,0.593
06-21,1.75,-0.005,-0.23,0.544
06-22,1.67,-0.009,-0.382,0.445
06-23,1.61,-0.007,-0.306,0.51
06-24,1.61,-0.005,-0.21,0.551
06-25,1.53,-0.005,-0.21,0.623
06-26,1.5,-0.003,-0.13,0.769
06-27,1.55,-0.005,-0.226,0.668
06-28,1.64,-0.005,-0.194,0.638
06-29,1.44,-0.003,-0.108,0.826
06-30,1.61,-0.006,-0.236,0.608
07-01,1.44,-0.006,-0.264,0.496
07-02,1.53,-0.003,-0.11,0.826
07-03,1.5,-0.005,-0.224,0.601
07-04,1.46,-0.005,-0.23,0.579
07-05,1.52,-0.007,-0.3,0.49
07-06,1.48,-0.007,-0.28,0.601
07-07,1.42,0.001,0.022,0.933
07-08,1.28,0.0,0.0,0.992
07-09,1.25,0.003,0.106,0.722
07-10,1.32,0.009,0.364,0.3
07-11,1.33,0.01,0.42,0.267
07-12,1.2,0.007,0.28,0.31
07-13,1.31,0.001,0.062,0.785
07-14,1.37,0.004,0.186,0.668
07-15,1.27,0.008,0.332,0.368
07-16,1.27,0.005,0.21,0.53
07-17,1.21,0.001,0.028,0.9
07-18,1.24,0.0,0.0,0.975
07-19,1.16,0.0,0.0,0.95
07-20,1.1,0.001,0.06,0.842
07-21,1.1,0.001,0.038,0.892
07-22,1.05,0.002,0.07,0.785
07-23,1.08,0.0,0.0,0.933
07-24,1.1,0.001,0.024,0.917
07-25,1.15,0.0,0.0,1.0
07-26,1.14,0.0,0.0,0.958
07-27,1.1,-0.001,-0.054,0.883
07-28,1.1,-0.001,-0.038,0.925
07-29,1.02,0.001,0.054,0.859
07-30,1.02,0.0,0.0,1.0
07-31,1.08,-0.001,-0.024,0.933
08-01,1.16,0.002,0.102,0.826
08-02,1.13,0.005,0.21,0.537
08-03,1.08,0.003,0.106,0.802
08-04,1.16,0.001,0.032,0.908
08-05,1.08,0.002,0.064,0.859
08-06,1.09,-0.0,-0.012,0.942
08-07,1.21,0.0,0.0,1.0
08-08,1.21,0.002,0.098,0.777
08-09,1.19,-0.001,-0.05,0.892
08-10,1.1,0.003,0.108,0.746
08-11,1.15,0.001,0.056,0.917
08-12,1.12,-0.003,-0.116,0.653
08-13,1.18,0.001,0.026,0.95
08-14,1.1,0.004,0.158,0.544
08-15,1.09,0.003,0.12,0.73
08-16,1.17,-0.001,-0.048,0.842
08-17,1.1,-0.002,-0.07,0.834
08-18,1.16,0.0,0.0,0.983
08-19,1.27,-0.001,-0.044,0.859
08-20,1.15,-0.003,-0.126,0.761
08-21,1.16,-0.003,-0.124,0.698
08-22,1.2,-0.001,-0.038,0.883
08-23,1.1,-0.001,-0.022,0.958
08-24,1.12,0.0,0.0,0.992
08-25,1.08,-0.001,-0.052,0.942
08-26,1.04,-0.001,-0.02,0.933
08-27,1.08,0.001,0.052,0.818
08-28,1.05,0.001,0.04,0.875
08-29,1.02,-0.001,-0.056,0.785
08-30,1.08,-0.001,-0.058,0.867
08-31,1.08,-0.0,-0.012,0.967
09-01,1.13,0.004,0.158,0.699
09-02,1.13,0.006,0.244,0.53
09-03,1.02,0.006,0.258,0.432
09-04,1.08,0.008,0.344,0.368
09-05,1.1,0.007,0.276,0.47
09-06,1.05,0.006,0.272,0.336
09-07,1.02,0.008,0.346,0.32
09-08,0.99,0.007,0.28,0.408
09-09,0.99,0.007,0.28,0.396
09-10,1.02,0.012,0.49,0.272
09-11,0.96,0.013,0.56,0.191
09-12,0.93,0.01,0.42,0.124
09-13,1.05,0.01,0.42,0.213
09-14,1.05,0.008,0.334,0.281
09-15,1.05,0.01,0.406,0.267
09-16,1.02,0.007,0.315,0.432
09-17,1.02,0.004,0.164,0.586
09-18,1.02,0.004,0.186,0.516
09-19,1.19,0.011,0.47,0.281
09-20,1.02,0.01,0.44,0.254
09-21,0.99,0.012,0.494,0.276
09-22,1.1,0.005,0.222,0.516
09-23,1.06,0.005,0.198,0.579
09-24,1.03,0.005,0.23,0.483
09-25,1.1,0.007,0.274,0.537
09-26,1.08,0.001,0.05,0.875
09-27,1.08,-0.0,-0.02,0.942
09-28,1.19,0.003,0.136,0.683
09-29,1.13,0.008,0.324,0.408
09-30,1.15,0.012,0.5,0.17
10-01,1.25,0.013,0.56,0.126
10-02,1.27,0.013,0.56,0.082
10-03,1.25,0.014,0.584,0.121
10-04,1.27,0.011,0.442,0.184
10-05,1.13,0.01,0.408,0.217
10-06,1.08,0.012,0.504,0.198
10-07,1.06,0.012,0.526,0.209
10-08,1.11,0.014,0.572,0.137
10-09,1.13,0.014,0.602,0.151
10-10,1.1,0.015,0.63,0.132
10-11,1.11,0.015,0.624,0.164
10-12,1.16,0.017,0.732,0.109
10-13,1.12,0.017,0.7,0.098
10-14,1.11,0.017,0.706,0.094
10-15,1.13,0.019,0.786,0.073
10-16,1.13,0.019,0.819,0.046
10-17,1.09,0.019,0.818,0.044
10-18,1.1,0.017,0.73,0.053
10-19,1.19,0.012,0.496,0.249
10-20,1.16,0.014,0.58,0.129
10-21,1.13,0.016,0.654,0.084
10-22,1.13,0.015,0.63,0.119
10-23,1.13,0.013,0.55,0.119
10-24,1.21,0.012,0.52,0.187
10-25,1.19,0.01,0.42,0.357
10-26,1.16,0.007,0.31,0.385
10-27,1.16,0.013,0.546,0.202
10-28,1.13,0.014,0.592,0.151
10-29,1.19,0.029,1.206,0.022
10-30,1.2,0.038,1.596,0.008
10-31,1.23,0.032,1.366,0.013
11-01,1.23,0.028,1.184,0.014
11-02,1.29,0.027,1.12,0.025
11-03,1.27,0.028,1.172,0.04
11-04,1.24,0.025,1.05,0.029
11-05,1.27,0.028,1.184,0.037
11-06,1.25,0.026,1.084,0.042
11-07,1.33,0.027,1.12,0.024
11-08,1.31,0.027,1.136,0.036
11-09,1.3,0.028,1.162,0.048
11-10,1.42,0.027,1.155,0.052
11-11,1.34,0.027,1.134,0.04
11-12,1.38,0.028,1.158,0.049
11-13,1.42,0.026,1.098,0.073
11-14,1.4,0.027,1.13,0.044
11-15,1.38,0.025,1.042,0.079
11-16,1.5,0.025,1.05,0.077
11-17,1.45,0.023,0.972,0.05
11-18,1.43,0.023,0.98,0.055
11-19,1.39,0.022,0.924,0.088
11-20,1.37,0.02,0.84,0.075
11-21,1.5,0.017,0.726,0.119
11-22,1.59,0.02,0.84,0.137
11-23,1.56,0.021,0.866,0.096
11-24,1.6,0.02,0.84,0.084
11-25,1.56,0.02,0.826,0.102
11-26,1.64,0.02,0.84,0.132
11-27,1.67,0.019,0.79,0.14
11-28,1.67,0.017,0.72,0.184
11-29,1.9,0.01,0.404,0.516
11-30,1.78,0.012,0.504,0.414
12-01,1.7,0.015,0.638,0.254
12-02,1.64,0.014,0.584,0.33
12-03,1.61,0.012,0.52,0.374
12-04,1.61,0.011,0.462,0.374
12-05,1.81,0.011,0.442,0.47
12-06,1.64,0.01,0.4,0.51
12-07,1.87,0.015,0.63,0.32
12-08,1.73,0.018,0.77,0.263
12-09,1.73,0.022,0.918,0.137
12-10,1.87,0.022,0.91,0.205
12-11,1.81,0.018,0.735,0.272
12-12,1.86,0.023,0.952,0.229
12-13,1.75,0.019,0.806,0.267
12-14,1.75,0.013,0.56,0.305
12-15,1.7,0.01,0.434,0.445
12-16,1.87,0.009,0.36,0.601
12-17,1.98,0.014,0.582,0.325
12-18,2.01,0.015,0.618,0.315
12-19,1.92,0.014,0.598,0.32
12-20,2.09,0.014,0.588,0.33
12-21,2.21,0.018,0.765,0.225
12-22,2.14,0.026,1.074,0.116
12-23,2.12,0.025,1.042,0.146
12-24,2.07,0.029,1.226,0.107
12-25,2.27,0.031,1.32,0.146
12-26,2.16,0.028,1.164,0.14
12-27,2.2,0.032,1.342,0.109
12-28,2.16,0.029,1.234,0.132
12-29,2.15,0.028,1.176,0.146
12-30,2.09,0.03,1.28,0.098
12-31,2.01,0.029,1.228,0.08
