,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.08490000000000002,-157.77250000000004,0.6080676611826197,0.0,43.0,3.565,0.117,10.245,13.81
01-02,0.077542,-142.03769999999997,0.7219721517415345,0.0,43.0,3.257,0.109,11.418,14.675
01-03,0.06777105263157895,-121.76000526315791,0.6985458285655686,0.0,43.0,2.846,0.095,12.359,15.205
01-04,0.07984642857142855,-145.3447571428571,0.6602298753375493,0.0,43.0,3.354,0.111,12.671,16.025
01-05,0.055313636363636356,-96.19427272727272,0.7535494327517966,0.0,43.0,2.324,0.075,13.271,15.595
01-06,0.09197499999999999,-168.9227,0.737705458452796,0.0,43.0,3.863,0.121,13.096,16.959
01-07,0.06367499999999998,-111.98309999999996,0.8835141491217922,0.0,43.0,2.674,0.079,14.03,16.704
01-08,0.038076363636363644,-59.34252727272728,0.8505806821024309,0.0,43.0,1.599,0.043,16.011,17.61
01-09,0.0491390909090909,-79.6284818181818,0.8752528040453418,0.0,43.0,2.064,0.054,17.618,19.682
01-10,0.009055999999999998,2.490400000000001,0.9666053072856646,0.0,43.0,0.381,0.01,20.412,20.793
01-11,0.01150866666666667,-4.707233333333342,0.9666089629043519,0.0,43.0,0.484,0.013,18.068,18.552
01-12,-0.02136193548387097,61.23207096774193,0.8423770475738914,-0.0,43.0,-0.897,-0.024,18.957,18.06
01-13,-0.045526086956521716,109.50377391304343,0.8178862658389356,-0.0,43.0,-1.912,-0.052,19.408,17.496
01-14,-0.14561636363636365,313.4765272727273,0.49632111557385095,-0.0,43.0,-6.116,-0.167,25.302,19.186
01-15,-0.15160714285714302,325.62788571428604,0.44485679135035916,-0.0,43.0,-6.367,-0.177,25.597,19.23
01-16,-0.13584000000000002,291.29190000000006,0.4702000697036357,-0.0,43.0,-5.706,-0.159,22.465,16.759
01-17,-0.13657370370370372,291.76880740740745,0.4511433381462897,-0.0,43.0,-5.736,-0.159,21.489,15.753
01-18,-0.10820588235294124,239.3347647058825,0.47668240722040744,-0.0,43.0,-4.544,-0.126,25.195,20.651
01-19,-0.13583999999999996,294.17849999999993,0.48316474693493383,-0.0,43.0,-5.705,-0.154,25.351,19.646
01-20,-0.14149999999999985,304.7626999999997,0.4324831630856889,-0.0,43.0,-5.943,-0.156,24.734,18.791
01-21,-0.1598117647058824,341.9239294117648,0.414326973448099,-0.0,43.0,-6.712,-0.175,25.656,18.944
01-22,-0.24762499999999998,519.0503,0.3050748813375779,-0.0,43.0,-10.4,-0.267,29.0,18.6
01-23,-0.2391806451612903,501.1144903225806,0.3681063271849119,-0.0,43.0,-10.046,-0.238,27.776,17.73
01-24,-0.2849517241379312,594.5810482758624,0.29531084070475133,-0.0,43.0,-11.968,-0.262,30.662,18.694
01-25,-0.33059545454545447,684.8780090909089,0.2857055748050956,-0.0,43.0,-13.885,-0.276,30.63,16.745
01-26,-0.3140609756097562,653.0259512195124,0.2764169138485879,-0.0,43.0,-13.19,-0.236,31.499,18.309
01-27,-0.35375000000000023,732.5172000000005,0.25836440296788155,-0.0,43.0,-14.858,-0.252,32.446,17.588
01-28,-0.3891250000000001,802.3050000000002,0.2627728623577372,-0.0,43.0,-16.344,-0.266,32.227,15.883
01-29,-0.4532528,933.3906000000001,0.24965150506915368,-0.0,43.0,-19.036,-0.302,36.403,17.367
01-30,-0.488175,1001.5936,0.2672858752494309,-0.0,43.0,-20.503,-0.313,35.495,14.992
01-31,-0.49242,1008.9799,0.20917019225053202,-0.0,43.0,-20.682,-0.312,34.481,13.799
02-01,-0.5201081081081081,1066.2522162162163,0.17697968015160925,-0.0,43.0,-21.844,-0.333,36.958,15.114
02-02,-0.529776,1083.8051,0.17036087527750632,-0.0,43.0,-22.25,-0.352,35.378,13.128
02-03,-0.5417428571428572,1113.4837142857145,0.2495996408749035,-0.0,43.0,-22.754,-0.382,41.375,18.621
02-04,-0.49760833333333326,1032.2896666666666,0.2495996408749035,-0.0,43.0,-20.9,-0.373,47.523,26.623
02-05,-0.5749616666666667,1182.1853333333336,0.2328466829852629,-0.0,43.0,-24.148,-0.455,44.336,20.188
02-06,-0.5860170731707317,1202.5981463414635,0.2207556514494664,-0.0,43.0,-24.612,-0.469,42.87,18.258
02-07,-0.5168473684210526,1069.9187368421053,0.29525794445998166,-0.0,43.0,-21.708,-0.373,47.078,25.37
02-08,-0.56883,1179.261,0.30013992452421645,-0.0,43.0,-23.89,-0.387,53.546,29.656
02-09,-0.6509,1340.5710000000001,0.25836440296788155,-0.0,43.0,-27.338,-0.438,52.44,25.102
02-10,-0.6053055555555553,1243.4391111111106,0.25395594521777776,-0.0,43.0,-25.422,-0.409,45.539,20.117
02-11,-0.5988279999999999,1231.3329999999996,0.22475200898884973,-0.0,43.0,-25.15,-0.4,46.252,21.102
02-12,-0.6886333333333333,1418.8676666666668,0.28575834826955737,-0.0,43.0,-28.922,-0.443,56.062,27.14
02-13,-0.6446111111111108,1337.3322222222216,0.28575834826955737,-0.0,43.0,-27.074,-0.41,61.647,34.573
02-14,-0.6426458333333334,1323.4966666666667,0.2207556514494664,-0.0,43.0,-26.992,-0.395,51.701,24.709
02-15,-0.654759090909091,1349.421181818182,0.2207556514494664,-0.0,43.0,-27.5,-0.397,53.653,26.153
