,mean,slp,chg,pvalue
0,0.17,0.002,0.062,0.335
1,0.18,0.002,0.086,0.216
2,0.18,0.003,0.114,0.096
3,0.17,0.002,0.066,0.351
4,0.16,0.001,0.038,0.438
5,0.15,0.001,0.042,0.39
6,0.15,0.001,0.034,0.496
7,0.16,0.001,0.032,0.571
8,0.15,0.0,0.0,0.842
9,0.14,0.0,0.016,0.721
10,0.14,0.0,0.02,0.69
11,0.14,0.0,0.0,0.916
12,0.13,0.0,0.0,0.875
13,0.13,-0.0,-0.014,0.651
14,0.13,-0.001,-0.034,0.413
15,0.13,-0.001,-0.034,0.438
16,0.12,-0.0,-0.015,0.659
17,0.13,0.0,0.0,0.85
18,0.13,0.0,0.02,0.675
19,0.12,0.001,0.03,0.407
20,0.13,0.001,0.038,0.482
21,0.13,0.001,0.024,0.607
22,0.12,0.0,0.0,0.975
23,0.12,0.0,0.018,0.675
24,0.14,0.0,0.015,0.721
25,0.15,0.0,0.02,0.729
26,0.16,0.0,0.016,0.737
27,0.16,0.0,0.0,0.925
28,0.14,0.001,0.03,0.372
29,0.14,0.0,0.02,0.682
30,0.14,0.0,0.0,0.95
31,0.12,0.0,0.0,1.0
32,0.1,0.001,0.02,0.461
33,0.12,0.001,0.032,0.339
34,0.12,0.0,0.02,0.585
35,0.1,0.0,0.0,0.752
36,0.1,0.0,0.0,0.664
37,0.09,0.0,0.0,0.606
38,0.12,0.0,0.0,0.925
39,0.1,0.0,0.0,0.809
40,0.12,-0.001,-0.022,0.508
41,0.13,-0.0,-0.021,0.578
42,0.12,0.0,0.0,0.992
43,0.12,0.0,0.0,0.826
44,0.12,0.0,0.0,0.916
45,0.12,0.0,0.0,0.842
46,0.13,0.0,0.0,0.975
47,0.151,0.001,0.035,0.356
48,0.14,0.003,0.12,0.096
49,0.13,0.003,0.11,0.136
50,0.17,0.001,0.056,0.319
51,0.12,0.001,0.046,0.193
52,0.17,0.0,0.0,0.883
53,0.14,0.0,0.0,1.0
54,0.14,0.0,0.0,0.983
55,0.19,0.0,0.0,0.892
56,0.19,0.002,0.096,0.236
57,0.16,0.002,0.074,0.335
58,0.2,0.003,0.14,0.164
59,0.17,0.002,0.106,0.177
60,0.16,0.0,0.018,0.81
61,0.17,0.0,0.018,0.745
62,0.18,0.001,0.042,0.536
63,0.16,0.001,0.035,0.622
64,0.17,0.001,0.052,0.451
65,0.23,0.004,0.152,0.205
66,0.26,0.004,0.168,0.151
67,0.26,0.004,0.172,0.098
68,0.23,0.002,0.084,0.28
69,0.2,0.001,0.028,0.659
70,0.22,0.001,0.044,0.482
71,0.2,0.0,0.0,0.983
72,0.2,-0.001,-0.024,0.729
