,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.02122500000000027,49.58513750000054,0.6179800399090687,-0.0,42.0,-0.892,-0.066,7.581,6.689
01-02,-0.021561904761904754,50.40027857142856,0.6104388988395533,-0.0,42.0,-0.905,-0.082,7.729,6.824
01-03,-0.009943243243243258,27.239514864864894,0.7449925968439928,-0.0,42.0,-0.418,-0.039,7.562,7.144
01-04,-0.011791666666666681,31.260887500000027,0.8114809367983342,-0.0,42.0,-0.495,-0.046,7.925,7.43
01-05,-0.01664705882352938,41.351294117646994,0.7697461701738206,-0.0,42.0,-0.699,-0.068,8.407,7.708
01-06,0.0,7.71175,1.0,0.0,42.0,0.0,0.0,7.712,7.712
01-07,0.015238461538461551,-23.111303846153874,0.6488070849862198,0.0,42.0,0.64,0.059,7.046,7.686
01-08,0.006658823529411815,-5.446917647058925,0.9395090133654707,0.0,42.0,0.28,0.025,7.731,8.011
01-09,0.01286363636363634,-17.513840909090863,0.9136755414867497,0.0,42.0,0.541,0.048,7.943,8.484
01-10,0.011915789473684208,-15.477121052631572,0.8368514571414307,0.0,42.0,0.501,0.043,8.104,8.605
01-11,0.009796153846153902,-11.606809615384726,0.7947651193205123,0.0,42.0,0.411,0.036,7.78,8.191
01-12,-0.01959230769230767,47.62236923076918,0.6645684611390035,-0.0,42.0,-0.823,-0.078,8.849,8.026
01-13,-0.03215909090909093,73.06095227272732,0.6180763755491765,-0.0,42.0,-1.351,-0.127,9.418,8.067
01-14,-0.038205000000000044,84.92334750000009,0.4743917385049379,-0.0,42.0,-1.605,-0.154,9.316,7.711
01-15,-0.04559444444444442,99.62779166666661,0.31863147995104635,-0.0,42.0,-1.915,-0.176,9.396,7.481
01-16,-0.0399102564102564,88.07830769230767,0.4039283011471517,-0.0,42.0,-1.676,-0.155,9.096,7.42
01-17,-0.025469999999999972,59.28991499999994,0.5510205808874986,-0.0,42.0,-1.07,-0.088,8.885,7.815
01-18,0.0,8.489999999999998,1.0,0.0,42.0,0.0,0.0,8.49,8.49
01-19,0.025727272727272706,-43.03658181818178,0.6256597135625634,0.0,42.0,1.08,0.085,7.878,8.958
01-20,0.03859090909090914,-68.68667272727284,0.35132852409266,0.0,42.0,1.621,0.136,7.685,9.306
01-21,0.02476250000000002,-40.58396875000004,0.6180763755491765,0.0,42.0,1.04,0.093,8.421,9.461
01-22,0.011472972972973,-14.450209459459513,0.7205701755261635,0.0,42.0,0.482,0.044,8.255,8.737
01-23,0.0017687499999999856,5.575984375000029,0.9136654351043076,0.0,42.0,0.075,0.007,9.076,9.151
01-24,-0.0011791666666666571,11.41374374999998,0.9654147674181202,-0.0,42.0,-0.049,-0.004,9.08,9.031
01-25,0.012577777777777775,-16.17816666666666,0.7124465771794866,0.0,42.0,0.529,0.043,8.713,9.242
01-26,0.005660000000000043,-2.2328700000000854,0.9222957975961696,0.0,42.0,0.238,0.019,8.968,9.206
01-27,0.008413513513513493,-7.582870270270229,0.8283850612764243,0.0,42.0,0.354,0.029,9.067,9.421
01-28,0.010612499999999988,-12.404243749999976,0.7614949754361184,0.0,42.0,0.446,0.038,8.598,9.044
01-29,0.0424500000000001,-76.0491750000002,0.4742186050029604,0.0,42.0,1.783,0.158,7.959,9.742
01-30,0.05518499999999997,-101.24395749999994,0.3683002447381547,0.0,42.0,2.318,0.197,7.967,10.285
01-31,0.05145454545454544,-93.2896636363636,0.3918849289164674,0.0,42.0,2.161,0.164,8.539,10.7
02-01,0.035375,-61.251812499999986,0.5953749395318924,0.0,42.0,1.486,0.104,8.755,10.241
02-02,0.029479166666666685,-49.49139375000003,0.7287136307401898,0.0,42.0,1.238,0.094,8.848,10.086
02-03,0.060137499999999955,-111.28798124999992,0.3401837295103265,0.0,42.0,2.526,0.204,7.724,10.25
02-04,0.06544375,-121.671428125,0.27848056798213805,0.0,42.0,2.748,0.226,7.842,10.59
02-05,0.11319999999999997,-217.01854999999992,0.1405125707499737,0.0,42.0,4.755,0.362,7.004,11.759
02-06,0.12809473684210526,-247.19677631578946,0.0994601047212329,1.0,42.0,5.38,0.385,6.303,11.683
02-07,0.09578461538461536,-182.0266884615384,0.1754961934962176,0.0,42.0,4.023,0.236,7.531,11.554
02-08,0.07145750000000002,-133.51197125000004,0.19714613150053806,0.0,42.0,3.002,0.194,7.902,10.904
