,mean,slp,chg,pvalue
0,3.2,0.072,3.02,0.164
1,2.75,0.06,2.52,0.134
2,2.55,0.101,4.224,0.033
3,2.97,0.073,3.07,0.07
4,2.38,0.061,2.566,0.054
5,2.3,0.049,2.04,0.064
6,2.05,0.033,1.384,0.152
7,1.79,0.032,1.344,0.126
8,1.83,0.035,1.47,0.046
9,1.98,0.056,2.368,0.007
10,2.09,0.084,3.516,0.004
11,1.86,0.09,3.78,0.002
12,1.7,0.078,3.255,0.004
13,1.84,0.069,2.886,0.008
14,2.09,0.06,2.52,0.013
15,1.7,0.043,1.792,0.023
16,1.51,0.049,2.072,0.025
17,1.84,0.07,2.96,0.032
18,2.06,0.073,3.064,0.017
19,2.15,0.047,1.96,0.067
20,2.47,0.035,1.47,0.18
21,2.45,0.03,1.278,0.286
22,2.17,0.028,1.166,0.391
23,2.35,0.019,0.808,0.47
24,2.12,0.007,0.31,0.738
25,1.98,0.018,0.756,0.551
26,1.98,0.019,0.796,0.42
27,1.93,0.028,1.18,0.17
28,1.7,0.028,1.176,0.137
29,1.84,0.024,1.002,0.167
30,1.98,0.031,1.31,0.126
31,2.03,0.028,1.18,0.164
32,2.51,0.018,0.742,0.537
33,2.26,0.01,0.42,0.794
34,2.29,0.002,0.07,0.95
35,2.35,0.017,0.714,0.551
36,2.09,0.029,1.232,0.286
37,2.09,0.043,1.808,0.116
38,1.95,0.042,1.785,0.035
39,1.88,0.035,1.456,0.05
40,1.9,0.034,1.412,0.067
41,1.84,0.014,0.606,0.457
42,1.7,0.004,0.158,0.875
43,1.78,0.005,0.2,0.802
44,1.92,0.005,0.196,0.818
45,2.04,-0.0,-0.014,0.942
46,2.63,-0.004,-0.18,0.761
47,2.69,-0.012,-0.52,0.572
48,3.08,-0.018,-0.765,0.638
49,3.06,-0.02,-0.84,0.516
50,3.11,-0.016,-0.654,0.503
51,3.31,-0.054,-2.264,0.116
52,3.0,-0.065,-2.73,0.121
53,3.08,-0.027,-1.12,0.457
54,2.8,0.016,0.66,0.638
55,3.11,0.034,1.416,0.51
56,3.48,0.063,2.64,0.174
57,3.42,0.062,2.604,0.143
58,3.37,0.052,2.188,0.107
59,3.14,0.071,2.982,0.021
60,2.89,0.072,3.02,0.058
61,3.51,0.088,3.696,0.06
62,3.14,0.062,2.59,0.064
63,4.44,-0.003,-0.144,0.875
64,3.82,-0.025,-1.042,0.537
65,3.51,-0.013,-0.542,0.623
66,3.08,0.005,0.19,0.859
67,3.85,0.039,1.624,0.305
68,4.81,0.091,3.808,0.084
69,5.07,0.04,1.696,0.315
70,4.3,0.051,2.126,0.225
71,3.85,0.033,1.374,0.439
72,3.71,0.03,1.278,0.402
