,mean,slp,chg,pvalue
0,0.79,0.006,0.248,0.263
1,0.82,0.004,0.184,0.438
2,0.87,0.004,0.152,0.53
3,0.74,0.003,0.122,0.73
4,0.74,0.002,0.09,0.761
5,0.76,0.003,0.118,0.675
6,0.76,0.005,0.21,0.402
7,0.74,0.006,0.24,0.362
8,0.71,0.006,0.262,0.357
9,0.72,0.007,0.284,0.272
10,0.85,0.006,0.231,0.213
11,0.76,0.005,0.21,0.32
12,0.74,0.004,0.184,0.408
13,0.74,0.004,0.15,0.379
14,0.79,0.005,0.21,0.315
15,0.79,0.007,0.292,0.187
16,0.73,0.006,0.262,0.254
17,0.76,0.006,0.266,0.272
18,0.74,0.006,0.245,0.367
19,0.73,0.006,0.24,0.325
20,0.68,0.004,0.182,0.426
21,0.68,0.003,0.134,0.53
22,0.68,0.004,0.182,0.408
23,0.68,0.004,0.182,0.414
24,0.71,0.005,0.21,0.357
25,0.71,0.006,0.24,0.281
26,0.69,0.006,0.27,0.237
27,0.74,0.006,0.262,0.241
28,0.74,0.006,0.262,0.295
29,0.74,0.007,0.3,0.295
30,0.74,0.007,0.284,0.396
31,0.71,0.007,0.28,0.373
32,0.71,0.005,0.226,0.402
33,0.74,0.008,0.336,0.213
34,0.72,0.008,0.356,0.201
35,0.71,0.005,0.228,0.373
36,0.71,0.006,0.258,0.346
37,0.8,0.008,0.324,0.258
38,0.82,0.007,0.308,0.271
39,0.85,0.004,0.164,0.483
40,0.84,0.003,0.126,0.593
41,0.83,0.002,0.084,0.738
42,0.82,0.003,0.128,0.652
43,0.82,0.005,0.21,0.565
44,0.79,0.003,0.116,0.66
45,0.77,0.002,0.074,0.785
46,0.86,0.001,0.046,0.859
47,0.88,-0.002,-0.084,0.785
48,0.96,-0.002,-0.062,0.818
49,1.05,-0.002,-0.076,0.851
50,1.13,-0.004,-0.172,0.714
51,1.08,-0.006,-0.272,0.53
52,1.1,-0.015,-0.618,0.276
53,1.16,-0.014,-0.57,0.254
54,1.04,-0.009,-0.392,0.483
55,0.99,-0.005,-0.21,0.615
56,0.96,-0.003,-0.14,0.777
57,0.91,-0.003,-0.14,0.73
58,0.85,-0.005,-0.218,0.558
59,0.82,-0.004,-0.162,0.668
60,0.81,-0.004,-0.16,0.608
61,0.82,-0.003,-0.112,0.638
62,0.85,0.0,0.0,0.958
63,0.85,-0.005,-0.224,0.565
64,0.85,-0.005,-0.224,0.464
65,1.03,-0.009,-0.392,0.237
66,0.99,-0.009,-0.378,0.228
67,0.99,-0.007,-0.286,0.385
68,0.96,-0.004,-0.168,0.586
69,0.91,-0.003,-0.128,0.746
70,0.91,-0.003,-0.146,0.706
71,0.98,-0.003,-0.114,0.73
72,1.05,-0.003,-0.126,0.601
73,1.05,0.0,0.0,0.983
74,1.05,0.0,0.0,0.967
75,1.05,-0.003,-0.135,0.706
76,0.99,-0.007,-0.29,0.565
77,1.02,-0.011,-0.444,0.305
78,0.96,-0.01,-0.42,0.276
79,1.05,-0.009,-0.378,0.315
80,1.16,-0.006,-0.234,0.42
81,1.05,-0.002,-0.092,0.777
82,1.05,-0.001,-0.04,0.851
83,1.02,0.0,0.0,1.0
84,1.1,-0.005,-0.21,0.516
85,1.08,-0.007,-0.28,0.445
86,1.08,-0.005,-0.21,0.593
87,1.07,-0.005,-0.198,0.623
88,1.07,-0.006,-0.26,0.615
89,1.16,-0.007,-0.286,0.565
90,1.1,-0.008,-0.315,0.483
91,1.08,-0.01,-0.42,0.408
92,1.12,-0.011,-0.46,0.352
93,1.27,-0.008,-0.356,0.426
94,1.22,-0.005,-0.198,0.691
95,1.16,-0.003,-0.11,0.834
96,1.1,-0.001,-0.042,0.908
97,1.21,0.0,0.0,1.0
98,1.16,-0.001,-0.06,0.9
99,1.27,-0.0,-0.02,0.95
100,1.25,0.0,0.0,0.958
101,1.63,-0.01,-0.436,0.483
102,1.5,-0.016,-0.672,0.229
103,1.43,-0.009,-0.388,0.385
104,1.38,-0.004,-0.184,0.66
105,1.45,0.001,0.04,0.958
106,1.47,0.003,0.126,0.738
107,1.42,0.005,0.194,0.586
108,1.42,0.0,0.0,1.0
109,1.44,-0.008,-0.352,0.49
110,1.39,-0.01,-0.42,0.374
111,1.3,-0.005,-0.204,0.638
112,1.3,-0.002,-0.084,0.867
113,1.3,0.003,0.14,0.769
114,1.3,0.009,0.388,0.445
115,1.27,0.019,0.812,0.126
116,1.26,0.015,0.63,0.177
117,1.1,0.006,0.27,0.572
118,1.22,0.003,0.126,0.826
119,1.27,0.001,0.052,0.883
120,1.22,0.002,0.09,0.859
121,1.5,0.015,0.63,0.432
122,1.45,0.008,0.336,0.579
123,1.61,0.019,0.812,0.305
124,1.4,0.01,0.42,0.579
125,1.64,0.0,0.0,0.983
126,1.56,-0.008,-0.318,0.683
127,1.51,-0.002,-0.096,0.925
128,1.58,0.013,0.55,0.53
129,1.56,-0.001,-0.05,0.95
130,1.43,-0.009,-0.374,0.565
131,1.33,0.0,0.0,0.983
132,1.28,0.004,0.189,0.834
133,1.271,0.002,0.075,0.967
134,1.44,-0.007,-0.304,0.722
135,1.53,0.007,0.28,0.785
136,1.5,-0.004,-0.164,0.859
137,1.42,-0.012,-0.49,0.593
138,1.58,-0.011,-0.46,0.464
139,1.47,-0.006,-0.252,0.668
140,1.51,-0.005,-0.21,0.73
141,1.42,-0.007,-0.298,0.698
142,1.42,-0.008,-0.356,0.579
143,1.33,-0.003,-0.106,0.867
144,1.22,0.003,0.14,0.794
145,1.33,0.028,1.162,0.281
146,1.92,0.052,2.17,0.194
147,2.26,0.03,1.26,0.315
148,1.58,0.004,0.178,0.842
149,2.09,0.011,0.48,0.594
150,1.7,0.009,0.386,0.722
151,1.78,0.014,0.595,0.391
152,1.56,0.012,0.49,0.464
153,1.67,0.018,0.776,0.281
154,1.53,0.015,0.618,0.31
155,1.71,0.008,0.32,0.746
156,1.58,0.028,1.176,0.164
157,1.56,0.019,0.778,0.33
158,1.49,0.013,0.56,0.391
159,1.35,0.013,0.55,0.362
160,1.33,0.012,0.514,0.414
161,1.28,0.01,0.4,0.457
162,1.44,0.013,0.56,0.357
163,1.39,0.012,0.484,0.402
164,1.25,0.009,0.37,0.483
165,1.22,0.013,0.542,0.368
166,1.19,0.01,0.42,0.579
167,1.13,0.012,0.484,0.457
168,1.08,0.01,0.42,0.432
169,1.02,0.01,0.42,0.362
170,1.04,0.012,0.516,0.336
171,0.99,0.011,0.478,0.177
172,1.01,0.001,0.04,0.967
173,1.01,-0.005,-0.21,0.608
174,0.86,-0.002,-0.09,0.859
175,0.94,-0.001,-0.034,0.958
176,0.91,0.005,0.21,0.593
177,0.94,0.011,0.47,0.352
178,0.96,0.005,0.202,0.722
179,0.91,0.007,0.286,0.579
180,0.93,-0.002,-0.076,0.851
181,0.85,-0.004,-0.156,0.761
182,0.84,-0.003,-0.12,0.785
183,0.79,-0.005,-0.218,0.601
184,0.69,-0.001,-0.054,0.892
185,0.76,-0.002,-0.084,0.842
186,0.72,-0.001,-0.038,0.942
187,0.68,-0.001,-0.054,0.908
188,0.65,-0.002,-0.07,0.834
189,0.68,-0.0,-0.02,0.942
190,0.68,0.0,0.0,1.0
191,0.84,-0.002,-0.094,0.842
192,0.68,0.0,0.0,0.992
193,0.68,0.0,0.0,1.0
194,0.57,0.0,0.0,0.983
195,0.54,0.002,0.106,0.638
196,0.68,0.003,0.11,0.753
197,0.79,0.006,0.268,0.476
198,0.68,0.005,0.22,0.496
199,0.62,0.0,0.0,0.933
200,0.57,-0.0,-0.014,0.925
201,0.65,0.003,0.146,0.683
202,0.67,0.004,0.17,0.698
203,0.63,0.0,0.0,0.967
204,0.54,-0.002,-0.068,0.842
205,0.51,0.0,0.0,0.992
206,0.59,-0.001,-0.04,0.801
207,0.65,-0.001,-0.044,0.9
208,0.62,0.0,0.0,0.983
209,0.64,0.005,0.218,0.593
210,0.54,0.005,0.21,0.537
211,0.62,0.007,0.28,0.335
212,0.65,0.005,0.21,0.51
213,0.62,0.004,0.178,0.66
214,0.54,0.001,0.05,0.917
215,0.57,-0.001,-0.032,0.925
216,0.57,0.003,0.14,0.653
217,0.54,0.004,0.172,0.537
218,0.54,0.004,0.186,0.601
219,0.54,0.003,0.12,0.691
220,0.66,0.004,0.148,0.544
221,0.62,0.005,0.21,0.551
222,0.62,0.007,0.3,0.439
223,0.59,0.006,0.248,0.368
224,0.59,0.004,0.165,0.615
225,0.59,0.004,0.16,0.489
226,0.58,0.005,0.226,0.438
227,0.65,0.004,0.16,0.645
228,0.57,0.003,0.136,0.63
229,0.61,0.003,0.114,0.714
230,0.59,0.002,0.068,0.722
231,0.71,0.003,0.114,0.593
232,0.7,0.002,0.078,0.802
233,0.62,0.0,0.02,0.9
234,0.65,0.006,0.244,0.483
235,0.65,0.007,0.28,0.336
236,0.63,0.008,0.336,0.267
237,0.65,0.01,0.42,0.164
238,0.61,0.007,0.306,0.267
239,0.59,0.004,0.152,0.53
240,0.57,0.003,0.122,0.558
241,0.57,0.003,0.114,0.558
242,0.51,0.003,0.114,0.476
243,0.51,0.003,0.14,0.544
244,0.53,-0.001,-0.042,0.753
245,0.54,0.005,0.21,0.457
246,0.51,0.007,0.28,0.191
247,0.48,0.005,0.228,0.295
248,0.48,0.003,0.114,0.53
249,0.48,0.003,0.112,0.496
250,0.48,0.003,0.126,0.51
251,0.47,0.002,0.1,0.623
252,0.491,0.002,0.105,0.623
253,0.48,0.003,0.14,0.426
254,0.48,0.006,0.272,0.161
255,0.5,0.006,0.258,0.131
256,0.45,0.004,0.168,0.276
257,0.45,0.004,0.168,0.432
258,0.48,0.002,0.096,0.698
259,0.49,0.002,0.082,0.706
260,0.51,0.003,0.126,0.645
261,0.54,0.005,0.198,0.451
262,0.48,0.004,0.174,0.341
263,0.48,0.005,0.194,0.391
264,0.48,0.004,0.189,0.373
265,0.51,0.004,0.15,0.438
266,0.48,0.003,0.14,0.516
267,0.43,0.003,0.128,0.47
268,0.48,0.003,0.118,0.438
269,0.46,0.003,0.14,0.379
270,0.46,0.004,0.184,0.276
271,0.42,0.003,0.124,0.489
272,0.41,0.002,0.106,0.496
273,0.48,0.003,0.114,0.537
274,0.48,0.004,0.168,0.335
275,0.45,0.004,0.154,0.285
276,0.48,0.005,0.2,0.18
277,0.48,0.004,0.18,0.233
278,0.48,0.003,0.128,0.426
279,0.48,0.004,0.164,0.325
280,0.48,0.002,0.096,0.496
281,0.48,0.003,0.11,0.579
282,0.48,0.004,0.162,0.476
283,0.48,0.003,0.126,0.586
284,0.51,0.003,0.14,0.53
285,0.54,0.004,0.166,0.464
286,0.54,0.006,0.24,0.29
287,0.57,0.006,0.236,0.281
288,0.68,0.003,0.12,0.551
289,0.62,0.001,0.048,0.917
290,0.62,0.002,0.084,0.683
291,0.59,0.001,0.062,0.745
292,0.57,0.001,0.052,0.769
293,0.57,-0.002,-0.084,0.722
294,0.57,-0.002,-0.084,0.691
295,0.54,0.0,0.01,0.908
296,0.54,0.002,0.066,0.73
297,0.53,0.002,0.064,0.652
