,mean,slp,chg,pvalue
0,2.02,0.04,1.68,0.067
1,2.09,0.038,1.616,0.07
2,1.98,0.038,1.59,0.053
3,2.18,0.045,1.904,0.026
4,2.34,0.038,1.575,0.067
5,2.1,0.034,1.432,0.048
6,2.12,0.029,1.22,0.041
7,1.77,0.03,1.26,0.035
8,1.42,0.027,1.152,0.019
9,1.9,0.031,1.32,0.005
10,1.81,0.031,1.3,0.022
11,1.91,0.054,2.258,0.002
12,1.84,0.052,2.188,0.001
13,1.78,0.037,1.57,0.008
14,1.74,0.036,1.522,0.013
15,1.7,0.047,1.97,0.002
16,1.67,0.038,1.61,0.001
17,1.84,0.035,1.47,0.006
18,1.9,0.03,1.246,0.008
19,1.73,0.024,0.996,0.075
20,1.55,0.017,0.72,0.094
21,1.66,0.018,0.74,0.102
22,1.64,0.017,0.726,0.161
23,1.7,0.019,0.79,0.124
24,1.92,0.02,0.84,0.124
25,1.75,0.019,0.816,0.174
26,1.61,0.02,0.84,0.116
27,1.53,0.017,0.705,0.119
28,1.52,0.02,0.84,0.075
29,1.61,0.02,0.84,0.082
30,1.56,0.016,0.652,0.155
31,1.56,0.013,0.546,0.18
32,1.58,0.002,0.076,0.802
33,1.63,0.004,0.18,0.826
34,1.68,-0.002,-0.074,0.933
35,1.65,0.005,0.21,0.746
36,1.54,0.008,0.35,0.503
37,1.47,0.009,0.372,0.391
38,1.47,0.011,0.476,0.286
39,1.42,0.012,0.514,0.245
40,1.42,0.015,0.616,0.205
41,1.44,0.011,0.442,0.457
42,1.42,0.009,0.374,0.477
43,1.47,0.001,0.058,0.95
44,1.61,-0.006,-0.256,0.675
45,1.43,-0.001,-0.048,0.983
46,1.57,0.009,0.364,0.47
47,1.33,0.008,0.352,0.379
48,1.33,0.008,0.324,0.414
49,1.51,0.006,0.262,0.464
50,1.49,0.004,0.158,0.777
51,1.71,-0.011,-0.448,0.477
52,1.56,-0.009,-0.366,0.523
53,1.69,-0.01,-0.4,0.432
54,1.7,-0.01,-0.42,0.489
55,1.7,0.004,0.152,0.738
56,1.58,0.005,0.22,0.699
57,1.68,0.015,0.63,0.315
58,1.75,0.016,0.652,0.229
59,1.88,0.013,0.56,0.47
60,1.88,0.0,0.0,0.967
61,1.75,0.01,0.42,0.503
62,1.53,0.005,0.204,0.699
63,1.88,0.002,0.07,0.925
64,1.81,0.003,0.11,0.73
65,2.04,0.002,0.076,0.942
66,2.32,-0.013,-0.56,0.439
67,2.29,-0.01,-0.404,0.601
68,2.4,-0.006,-0.244,0.73
69,2.86,-0.01,-0.42,0.738
70,2.72,0.001,0.038,0.983
71,2.55,0.008,0.35,0.785
72,3.45,0.013,0.534,0.623
73,3.14,0.009,0.396,0.754
74,3.0,0.014,0.572,0.544
75,3.06,-0.008,-0.33,0.73
76,2.97,-0.016,-0.69,0.523
77,2.97,-0.009,-0.382,0.722
78,2.77,-0.006,-0.248,0.769
79,2.55,-0.019,-0.778,0.42
80,3.25,-0.036,-1.504,0.25
81,2.94,-0.031,-1.298,0.286
82,2.8,-0.036,-1.522,0.167
83,3.03,-0.047,-1.986,0.098
84,3.57,-0.069,-2.894,0.039
85,3.93,-0.062,-2.61,0.055
86,4.61,-0.039,-1.65,0.263
87,4.78,-0.018,-0.765,0.579
88,5.6,0.001,0.048,1.0
89,5.43,-0.017,-0.728,0.586
90,5.12,-0.018,-0.756,0.714
91,4.78,-0.015,-0.63,0.761
92,5.09,-0.018,-0.742,0.675
93,6.28,0.014,0.604,0.754
94,5.6,0.002,0.096,0.983
95,5.04,-0.014,-0.59,0.66
96,4.53,0.0,0.0,1.0
97,4.44,0.011,0.48,0.565
98,4.44,0.017,0.722,0.565
99,4.47,0.007,0.302,0.842
100,4.33,-0.003,-0.14,0.867
101,4.02,0.0,0.012,0.975
102,3.91,0.022,0.934,0.51
103,4.47,0.014,0.6,0.722
104,4.24,0.028,1.155,0.379
105,4.27,0.017,0.72,0.551
106,4.73,0.007,0.3,0.867
107,4.36,-0.002,-0.084,0.983
108,3.96,-0.005,-0.204,0.908
109,3.79,0.0,0.0,1.0
110,3.79,-0.003,-0.12,0.925
111,3.65,-0.011,-0.452,0.699
112,3.4,0.003,0.134,0.842
113,3.45,-0.001,-0.044,0.958
114,3.06,-0.004,-0.162,0.769
115,3.14,-0.0,-0.014,0.958
116,2.97,0.003,0.116,0.9
117,3.14,-0.008,-0.328,0.683
118,3.03,-0.002,-0.096,0.95
119,2.91,0.001,0.036,0.942
120,2.81,0.012,0.484,0.63
121,3.23,0.014,0.606,0.464
122,2.8,0.011,0.48,0.586
123,2.69,0.011,0.452,0.615
124,2.91,0.016,0.652,0.374
125,2.69,0.009,0.36,0.516
126,2.45,0.008,0.342,0.523
127,2.3,0.013,0.566,0.29
128,2.15,0.013,0.55,0.281
129,2.2,0.012,0.5,0.391
130,2.29,0.008,0.35,0.379
131,2.21,0.003,0.132,0.746
132,2.04,-0.0,-0.01,0.933
133,2.03,0.004,0.18,0.683
134,2.31,0.004,0.186,0.714
135,2.22,0.008,0.318,0.746
136,2.06,0.007,0.306,0.683
137,1.93,0.002,0.078,0.917
138,1.96,0.006,0.27,0.761
139,1.8,0.001,0.032,0.933
140,1.69,0.002,0.102,0.73
141,1.67,0.007,0.31,0.51
142,1.7,0.003,0.14,0.738
143,1.78,-0.007,-0.28,0.706
144,1.7,-0.01,-0.436,0.53
145,1.7,-0.009,-0.384,0.601
146,1.7,-0.007,-0.3,0.691
147,1.63,-0.006,-0.256,0.675
148,1.6,-0.002,-0.07,0.761
149,1.78,-0.001,-0.056,0.9
150,1.7,-0.011,-0.448,0.464
151,1.54,-0.008,-0.34,0.445
152,1.44,-0.013,-0.56,0.161
153,1.44,-0.007,-0.28,0.391
154,1.42,-0.003,-0.128,0.746
155,1.34,-0.001,-0.06,0.826
156,1.59,0.0,0.0,0.992
157,1.44,-0.009,-0.386,0.47
158,1.33,-0.005,-0.21,0.601
159,1.25,-0.002,-0.084,0.818
160,1.16,-0.003,-0.112,0.802
161,1.16,0.004,0.16,0.722
162,1.22,0.001,0.026,0.908
163,1.4,0.007,0.306,0.402
164,1.44,0.006,0.246,0.586
165,1.25,0.007,0.284,0.451
166,1.13,0.001,0.036,0.958
167,1.08,0.0,0.0,0.975
168,1.02,0.005,0.226,0.496
169,0.93,0.007,0.304,0.414
170,0.88,0.0,0.0,1.0
171,0.82,0.001,0.04,0.908
172,0.87,0.004,0.168,0.675
173,1.02,0.001,0.022,0.908
174,0.8,0.004,0.18,0.408
175,0.88,0.007,0.298,0.267
176,0.98,0.01,0.42,0.164
177,0.87,0.007,0.308,0.29
178,1.02,0.007,0.315,0.32
179,1.0,0.004,0.18,0.691
180,1.02,0.007,0.286,0.391
181,0.921,0.007,0.315,0.221
182,0.91,0.008,0.332,0.295
183,0.91,0.01,0.42,0.225
184,0.81,0.01,0.42,0.217
185,0.81,0.007,0.298,0.31
186,0.87,0.006,0.266,0.351
187,0.76,0.007,0.28,0.451
188,0.7,0.006,0.24,0.414
189,0.83,0.014,0.578,0.109
190,0.76,0.012,0.504,0.116
191,0.71,0.01,0.42,0.105
192,0.68,0.006,0.256,0.31
193,0.64,0.005,0.198,0.396
194,0.64,0.007,0.28,0.184
195,0.59,0.006,0.236,0.254
196,0.62,0.004,0.158,0.523
197,0.68,0.008,0.315,0.164
198,0.66,0.008,0.336,0.121
199,0.62,0.006,0.272,0.249
200,0.63,0.004,0.16,0.457
201,0.59,0.002,0.094,0.698
202,0.62,0.004,0.158,0.396
203,0.66,0.016,0.686,0.036
204,0.62,0.013,0.55,0.007
205,0.54,0.009,0.388,0.009
206,0.56,0.008,0.346,0.08
207,0.68,0.007,0.312,0.249
208,0.55,0.008,0.33,0.167
209,0.62,0.007,0.296,0.233
210,0.57,0.006,0.268,0.213
211,0.59,0.01,0.42,0.055
212,0.54,0.008,0.336,0.114
213,0.51,0.01,0.42,0.075
214,0.48,0.006,0.234,0.161
215,0.55,0.012,0.49,0.015
216,0.56,0.009,0.398,0.062
217,0.49,0.005,0.21,0.281
218,0.48,0.005,0.218,0.205
219,0.53,0.008,0.345,0.09
220,0.46,0.008,0.352,0.079
221,0.57,0.01,0.42,0.037
222,0.54,0.012,0.483,0.057
223,0.51,0.01,0.4,0.109
224,0.51,0.008,0.328,0.126
225,0.56,0.011,0.458,0.04
226,0.62,0.012,0.49,0.109
227,0.59,0.007,0.304,0.148
228,0.48,0.006,0.245,0.157
229,0.54,0.007,0.304,0.105
230,0.49,0.006,0.234,0.224
231,0.46,0.004,0.186,0.281
232,0.54,0.008,0.346,0.161
233,0.48,0.012,0.518,0.025
234,0.45,0.01,0.42,0.043
235,0.48,0.008,0.324,0.114
236,0.46,0.006,0.24,0.174
237,0.47,0.005,0.226,0.158
238,0.42,0.007,0.28,0.04
239,0.4,0.006,0.238,0.05
240,0.51,0.008,0.324,0.088
241,0.42,0.007,0.286,0.073
242,0.42,0.004,0.164,0.245
243,0.45,0.004,0.158,0.253
244,0.4,0.007,0.28,0.112
245,0.46,0.006,0.24,0.241
246,0.45,0.006,0.256,0.213
247,0.38,0.006,0.24,0.111
248,0.35,0.005,0.204,0.151
249,0.34,0.005,0.23,0.123
250,0.39,0.005,0.21,0.164
251,0.42,0.004,0.189,0.241
252,0.4,0.006,0.24,0.187
253,0.42,0.011,0.444,0.042
254,0.37,0.007,0.28,0.08
255,0.34,0.007,0.29,0.091
256,0.45,0.006,0.27,0.164
257,0.39,0.005,0.226,0.232
258,0.4,0.007,0.28,0.184
259,0.45,0.006,0.248,0.209
260,0.48,0.006,0.24,0.167
261,0.45,0.009,0.376,0.072
262,0.48,0.007,0.28,0.126
263,0.49,0.004,0.164,0.368
264,0.57,0.002,0.094,0.608
265,0.62,0.001,0.05,0.769
266,0.51,0.002,0.066,0.818
267,0.52,0.001,0.058,0.683
268,0.49,0.003,0.108,0.586
269,0.71,0.001,0.038,0.925
270,0.85,0.002,0.072,0.794
271,0.71,0.003,0.14,0.426
272,0.82,0.02,0.84,0.037
273,0.84,0.016,0.654,0.046
274,0.79,0.01,0.42,0.194
275,0.74,0.007,0.315,0.29
276,0.76,0.003,0.108,0.722
277,0.82,0.002,0.064,0.777
278,0.82,0.0,0.0,1.0
279,0.82,0.006,0.258,0.362
280,0.87,0.006,0.272,0.346
281,0.82,0.004,0.182,0.558
282,0.83,0.004,0.162,0.608
283,0.79,0.003,0.14,0.593
284,0.76,0.005,0.202,0.451
285,0.88,0.003,0.146,0.601
286,0.88,0.005,0.21,0.544
287,1.05,0.004,0.186,0.551
288,1.1,0.018,0.756,0.161
289,1.05,0.025,1.042,0.024
290,0.94,0.018,0.736,0.082
291,1.1,0.012,0.512,0.191
292,1.1,0.014,0.588,0.18
293,1.1,0.009,0.36,0.29
294,1.1,0.008,0.336,0.414
295,1.3,0.017,0.71,0.167
296,1.3,0.01,0.406,0.341
297,1.33,0.014,0.584,0.217
298,1.34,0.008,0.334,0.439
299,1.61,0.019,0.794,0.177
300,1.5,0.022,0.912,0.177
301,1.78,0.036,1.512,0.03
302,1.7,0.047,1.966,0.004
303,1.64,0.043,1.8,0.005
304,1.67,0.047,1.99,0.003
305,1.51,0.043,1.8,0.005
306,1.53,0.034,1.436,0.029
307,1.44,0.035,1.488,0.021
308,1.56,0.026,1.102,0.112
309,2.07,0.021,0.864,0.109
310,1.84,0.025,1.05,0.077
311,1.7,0.019,0.792,0.143
312,1.7,0.017,0.7,0.276
313,1.87,0.008,0.35,0.594
314,1.98,0.003,0.118,0.769
315,1.89,-0.001,-0.036,0.933
316,1.82,-0.002,-0.088,0.9
317,1.75,-0.003,-0.132,0.81
318,1.79,0.002,0.094,0.933
319,1.9,0.006,0.252,0.722
320,1.9,0.002,0.096,0.917
321,1.87,0.002,0.082,0.884
322,1.96,0.014,0.592,0.391
323,2.15,0.015,0.62,0.397
324,1.98,-0.001,-0.036,0.958
325,2.14,-0.003,-0.105,0.867
326,2.1,0.007,0.296,0.738
327,1.92,0.007,0.304,0.601
328,2.26,-0.004,-0.168,0.81
329,2.35,0.01,0.404,0.537
330,2.55,0.017,0.735,0.457
331,2.69,0.004,0.164,0.958
332,2.83,-0.004,-0.158,0.753
333,2.97,0.018,0.756,0.325
334,3.2,0.052,2.17,0.046
335,3.06,0.042,1.78,0.072
336,2.75,0.037,1.564,0.116
337,2.55,0.024,1.002,0.258
338,2.58,0.015,0.644,0.362
339,2.5,0.021,0.868,0.241
340,2.38,0.019,0.806,0.286
341,2.18,0.014,0.59,0.281
342,2.15,0.02,0.84,0.18
343,1.98,0.024,0.998,0.105
344,1.98,0.029,1.236,0.058
345,2.12,0.036,1.512,0.042
346,2.12,0.026,1.092,0.103
347,2.07,0.025,1.05,0.114
348,2.07,0.028,1.156,0.072
349,1.95,0.021,0.9,0.152
350,2.26,0.022,0.914,0.221
351,2.14,0.036,1.512,0.015
352,2.07,0.028,1.16,0.059
353,1.91,0.026,1.082,0.034
354,2.04,0.035,1.462,0.024
355,2.26,0.04,1.68,0.014
356,2.38,0.049,2.068,0.004
357,2.41,0.054,2.264,0.004
358,2.24,0.05,2.116,0.013
359,2.18,0.052,2.184,0.013
360,2.43,0.066,2.76,0.007
361,2.35,0.058,2.426,0.003
362,2.32,0.047,1.96,0.02
363,2.24,0.049,2.076,0.017
364,2.04,0.049,2.064,0.013
