,mean,slp,chg,pvalue
0,11.83,0.209,8.768,0.01
1,11.86,0.144,6.06,0.053
2,10.61,0.135,5.67,0.069
3,11.86,0.121,5.102,0.082
4,11.4,0.083,3.5,0.272
5,10.81,0.066,2.772,0.451
6,10.47,0.068,2.864,0.305
7,10.53,0.045,1.89,0.503
8,10.3,0.068,2.856,0.33
9,9.59,0.091,3.84,0.105
10,9.2,0.099,4.148,0.1
11,9.54,0.123,5.17,0.098
12,9.31,0.164,6.908,0.049
13,9.76,0.185,7.77,0.019
14,9.34,0.184,7.728,0.026
15,9.2,0.153,6.426,0.057
16,9.2,0.18,7.56,0.026
17,9.06,0.149,6.276,0.08
18,9.99,0.16,6.702,0.06
19,9.74,0.136,5.712,0.107
20,9.11,0.097,4.08,0.158
21,8.66,0.081,3.388,0.18
22,8.91,0.056,2.338,0.305
23,9.62,0.061,2.558,0.385
24,10.36,0.1,4.2,0.305
25,11.29,0.155,6.498,0.155
26,12.74,0.132,5.548,0.281
27,10.58,0.117,4.932,0.267
28,9.2,0.08,3.376,0.397
29,8.91,0.076,3.192,0.402
30,9.25,0.104,4.358,0.281
31,9.06,0.077,3.246,0.346
32,9.06,0.058,2.446,0.432
33,8.91,-0.007,-0.28,0.917
34,8.94,-0.031,-1.298,0.722
35,9.65,-0.031,-1.312,0.653
36,9.17,-0.053,-2.24,0.601
37,9.25,-0.047,-1.974,0.653
38,8.6,-0.031,-1.294,0.794
39,8.07,-0.045,-1.878,0.722
40,8.07,-0.039,-1.64,0.683
41,7.5,-0.011,-0.472,0.777
42,7.87,-0.005,-0.218,0.884
43,7.98,-0.02,-0.86,0.818
44,7.78,-0.03,-1.248,0.594
45,8.41,-0.014,-0.58,0.754
46,8.8,-0.005,-0.198,0.975
47,8.41,0.004,0.18,0.958
48,8.49,-0.006,-0.244,0.908
49,8.43,0.006,0.252,0.933
50,8.69,0.007,0.286,0.933
51,8.52,0.001,0.063,1.0
52,8.69,-0.021,-0.868,0.769
53,8.83,-0.012,-0.525,0.802
54,9.28,0.0,0.0,0.992
55,10.64,-0.002,-0.102,1.0
56,9.71,0.033,1.368,0.623
57,8.49,0.048,2.016,0.42
58,9.79,0.073,3.05,0.267
59,9.279,0.071,2.975,0.209
60,10.5,0.069,2.906,0.217
61,11.09,0.064,2.684,0.263
62,12.17,0.096,4.016,0.161
63,11.04,0.083,3.496,0.177
64,9.93,0.054,2.268,0.379
65,9.76,0.06,2.52,0.408
66,10.56,0.057,2.376,0.363
67,10.87,0.058,2.448,0.496
68,10.95,0.058,2.434,0.483
69,12.28,0.061,2.566,0.565
70,13.44,0.075,3.13,0.53
71,15.59,0.111,4.672,0.391
72,15.42,0.092,3.848,0.537
73,15.23,0.005,0.228,0.967
74,17.38,0.003,0.134,0.992
75,16.27,0.008,0.328,0.942
76,16.5,-0.077,-3.248,0.374
77,16.27,-0.123,-5.156,0.357
78,16.53,-0.124,-5.192,0.286
79,17.77,-0.138,-5.786,0.385
80,17.09,-0.166,-6.97,0.281
81,17.66,-0.245,-10.304,0.233
82,16.87,-0.196,-8.214,0.352
83,16.27,-0.218,-9.135,0.198
84,19.53,-0.272,-11.424,0.054
85,21.62,-0.357,-15.006,0.006
86,23.04,-0.393,-16.49,0.005
87,26.32,-0.351,-14.758,0.04
88,30.85,-0.146,-6.12,0.49
89,30.56,-0.034,-1.442,0.908
90,27.56,-0.03,-1.26,0.933
91,28.58,0.091,3.826,0.706
92,30.56,0.14,5.88,0.523
93,30.851,0.087,3.675,0.73
94,31.7,-0.056,-2.366,0.738
95,30.28,-0.177,-7.428,0.336
96,27.22,-0.118,-4.97,0.32
97,28.58,-0.08,-3.36,0.66
98,24.539,-0.055,-2.331,0.586
99,26.21,-0.019,-0.8,0.794
100,30.0,-0.166,-6.992,0.254
101,30.85,-0.157,-6.606,0.325
102,29.72,-0.032,-1.354,0.867
103,30.28,0.208,8.754,0.368
104,29.72,0.271,11.366,0.198
105,27.62,0.249,10.438,0.198
106,28.87,0.219,9.204,0.3
107,27.11,0.134,5.64,0.503
108,24.31,0.026,1.11,0.917
109,21.71,0.056,2.368,0.722
110,21.79,0.101,4.224,0.483
111,23.77,0.104,4.365,0.523
112,24.03,0.098,4.132,0.66
113,23.97,0.119,4.98,0.53
114,24.48,0.06,2.52,0.777
115,23.6,0.121,5.1,0.572
116,23.35,0.215,9.044,0.305
117,21.68,0.12,5.04,0.544
118,20.72,0.036,1.528,0.761
119,21.56,-0.038,-1.575,0.761
120,20.8,-0.044,-1.86,0.859
121,19.98,0.055,2.33,0.834
122,18.82,0.055,2.318,0.675
123,17.6,0.01,0.42,0.917
124,17.04,0.036,1.522,0.818
125,15.71,0.045,1.904,0.615
126,16.56,-0.035,-1.47,0.769
127,15.25,-0.045,-1.904,0.653
128,15.85,-0.044,-1.854,0.601
129,15.23,-0.004,-0.158,0.975
130,14.77,0.015,0.65,0.851
131,13.56,0.025,1.05,0.706
132,13.13,-0.01,-0.42,0.942
133,13.56,-0.078,-3.276,0.341
134,12.54,-0.07,-2.94,0.363
135,11.74,-0.026,-1.088,0.544
136,14.72,-0.026,-1.1,0.761
137,12.93,-0.034,-1.428,0.645
138,15.73,-0.038,-1.592,0.645
139,14.63,0.011,0.476,0.967
140,13.3,-0.017,-0.71,0.9
141,11.55,-0.035,-1.47,0.714
142,11.24,-0.036,-1.506,0.572
143,11.6,-0.037,-1.575,0.579
144,11.52,-0.064,-2.672,0.374
145,11.8,-0.096,-4.036,0.213
146,10.84,-0.074,-3.114,0.29
147,10.02,-0.085,-3.582,0.205
148,10.58,-0.083,-3.496,0.202
149,10.27,-0.092,-3.86,0.245
150,9.57,-0.103,-4.328,0.14
151,9.4,-0.101,-4.236,0.129
152,10.22,-0.102,-4.305,0.1
153,10.36,-0.142,-5.946,0.055
154,9.23,-0.119,-5.01,0.079
155,8.43,-0.085,-3.57,0.105
156,8.6,-0.051,-2.15,0.3
157,8.77,-0.068,-2.856,0.267
158,8.8,-0.048,-2.008,0.379
159,8.21,-0.051,-2.142,0.233
160,8.15,-0.078,-3.266,0.137
161,7.81,-0.065,-2.746,0.198
162,7.56,-0.038,-1.582,0.503
163,6.71,-0.05,-2.09,0.42
164,7.22,-0.02,-0.84,0.738
165,7.07,-0.015,-0.63,0.746
166,6.45,-0.024,-1.02,0.608
167,6.14,-0.039,-1.648,0.397
168,6.57,-0.029,-1.2,0.374
169,6.48,-0.027,-1.142,0.516
170,6.06,-0.03,-1.26,0.362
171,5.74,-0.017,-0.72,0.675
172,5.89,-0.025,-1.062,0.523
173,6.03,-0.018,-0.752,0.544
174,5.41,-0.01,-0.42,0.645
175,5.12,-0.009,-0.376,0.63
176,5.09,-0.003,-0.124,0.925
