,mean,slp,chg,pvalue
01-01,12.37,-0.035,-1.462,0.81
01-02,12.4,-0.02,-0.86,0.826
01-03,12.42,-0.008,-0.326,0.9
01-04,13.7,-0.053,-2.228,0.699
01-05,13.75,-0.037,-1.54,0.754
01-06,13.16,-0.061,-2.568,0.683
01-07,12.88,-0.065,-2.73,0.668
01-08,12.79,-0.055,-2.31,0.706
01-09,12.62,-0.044,-1.832,0.683
01-10,12.37,-0.005,-0.218,0.992
01-11,12.51,0.028,1.186,0.859
01-12,11.97,0.074,3.116,0.503
01-13,13.36,0.134,5.62,0.258
01-14,13.81,0.155,6.496,0.233
01-15,13.5,0.137,5.75,0.276
01-16,13.44,0.127,5.32,0.221
01-17,13.44,0.165,6.93,0.225
01-18,14.69,0.184,7.736,0.158
01-19,13.84,0.112,4.722,0.341
01-20,13.92,0.037,1.57,0.834
01-21,13.78,-0.001,-0.058,0.992
01-22,14.21,-0.03,-1.26,0.826
01-23,13.75,-0.021,-0.87,0.842
01-24,13.05,-0.021,-0.898,0.925
01-25,13.5,0.046,1.926,0.81
01-26,17.18,0.057,2.416,0.699
01-27,16.58,0.078,3.255,0.668
01-28,14.91,0.05,2.1,0.794
01-29,15.03,0.075,3.136,0.63
01-30,14.49,0.07,2.94,0.683
01-31,15.17,0.057,2.38,0.653
02-01,14.18,0.029,1.2,0.875
02-02,14.8,-0.044,-1.832,0.834
02-03,14.26,-0.143,-6.012,0.315
02-04,14.35,-0.191,-8.004,0.258
02-05,15.14,-0.124,-5.222,0.397
02-06,14.38,-0.048,-2.006,0.754
02-07,14.04,0.016,0.682,0.9
02-08,17.35,0.046,1.946,0.802
02-09,16.41,0.021,0.886,0.867
02-10,16.7,0.038,1.612,0.754
02-11,15.71,-0.013,-0.542,0.9
02-12,16.95,0.0,0.0,1.0
02-13,15.9,0.0,0.0,1.0
02-14,14.97,-0.024,-0.988,0.9
02-15,15.96,-0.105,-4.41,0.53
02-16,18.99,-0.233,-9.79,0.174
02-17,23.46,-0.432,-18.15,0.039
02-18,23.35,-0.338,-14.176,0.055
02-19,20.35,-0.317,-13.3,0.072
02-20,21.0,-0.278,-11.69,0.098
02-21,20.06,-0.155,-6.502,0.385
02-22,21.14,-0.17,-7.14,0.385
02-23,19.87,-0.135,-5.684,0.379
02-24,19.05,-0.055,-2.326,0.746
02-25,18.82,0.078,3.272,0.683
02-26,20.83,0.225,9.468,0.341
02-27,20.09,0.166,6.992,0.49
02-28,20.09,0.131,5.518,0.49
03-01,19.87,0.1,4.2,0.586
03-02,20.43,0.113,4.76,0.477
03-03,18.85,0.051,2.162,0.867
03-04,17.83,-0.011,-0.448,0.975
03-05,20.6,0.043,1.808,0.777
03-06,21.99,-0.037,-1.556,0.884
03-07,21.59,-0.063,-2.65,0.786
03-08,20.35,-0.052,-2.184,0.769
03-09,19.33,0.035,1.484,0.875
03-10,18.76,0.089,3.758,0.53
03-11,18.93,0.155,6.51,0.305
03-12,23.15,0.288,12.105,0.17
03-13,23.94,0.272,11.436,0.267
03-14,25.24,0.26,10.936,0.25
03-15,22.61,0.205,8.63,0.184
03-16,20.52,0.21,8.82,0.272
03-17,23.49,0.248,10.424,0.237
03-18,21.71,0.197,8.278,0.516
03-19,23.86,0.155,6.5,0.503
03-20,27.76,0.101,4.24,0.722
03-21,27.51,-0.051,-2.132,0.9
03-22,26.6,-0.073,-3.084,0.769
03-23,26.97,-0.033,-1.4,0.851
03-24,25.33,-0.06,-2.535,0.786
03-25,24.59,0.008,0.356,0.992
03-26,26.57,0.237,9.95,0.31
03-27,29.43,0.672,28.204,0.043
03-28,25.98,0.518,21.772,0.047
03-29,27.17,0.371,15.6,0.158
03-30,30.85,0.149,6.256,0.645
03-31,31.13,0.031,1.295,0.967
04-01,33.11,-0.071,-2.97,0.917
04-02,31.13,-0.037,-1.552,0.933
04-03,29.72,0.126,5.288,0.653
04-04,29.15,0.048,2.024,0.834
04-05,30.0,0.117,4.908,0.675
04-06,26.15,0.145,6.106,0.675
04-07,22.72,0.189,7.958,0.368
04-08,23.21,0.193,8.124,0.408
04-09,26.26,0.138,5.79,0.51
04-10,24.48,0.067,2.82,0.786
04-11,25.13,0.102,4.27,0.645
04-12,25.1,0.173,7.28,0.445
04-13,25.47,0.127,5.34,0.516
04-14,26.63,0.109,4.588,0.653
04-15,30.85,0.093,3.92,0.653
04-16,29.43,0.038,1.61,0.884
04-17,29.15,-0.004,-0.188,0.975
04-18,29.43,-0.141,-5.938,0.414
04-19,26.94,-0.23,-9.66,0.315
04-20,24.2,-0.256,-10.762,0.134
04-21,23.94,-0.165,-6.92,0.191
04-22,22.27,-0.139,-5.842,0.346
04-23,22.3,-0.027,-1.14,0.851
04-24,22.87,0.194,8.148,0.341
04-25,27.99,0.657,27.58,0.033
04-26,27.25,0.655,27.516,0.006
04-27,27.28,0.668,28.042,0.014
04-28,26.01,0.467,19.635,0.116
04-29,30.0,0.744,31.248,0.024
04-30,27.93,0.554,23.268,0.054
05-01,34.53,0.932,39.132,0.009
05-02,28.19,0.613,25.742,0.042
05-03,28.1,0.562,23.616,0.062
05-04,25.36,0.463,19.46,0.187
05-05,33.96,0.406,17.068,0.184
05-06,32.26,0.401,16.836,0.14
05-07,33.68,0.404,16.98,0.152
05-08,33.11,0.486,20.43,0.134
05-09,25.84,0.375,15.75,0.202
05-10,23.29,0.399,16.776,0.072
05-11,22.64,0.401,16.832,0.036
05-12,25.16,0.491,20.626,0.014
05-13,23.35,0.441,18.526,0.031
05-14,21.54,0.305,12.826,0.161
05-15,23.12,0.281,11.8,0.194
05-16,24.54,0.164,6.888,0.496
05-17,24.14,0.204,8.55,0.391
05-18,22.64,0.115,4.818,0.615
05-19,20.18,0.124,5.204,0.483
05-20,20.23,0.173,7.28,0.477
05-21,21.0,0.234,9.816,0.225
05-22,22.44,0.294,12.344,0.161
05-23,20.01,0.186,7.832,0.315
05-24,18.2,0.153,6.44,0.402
05-25,19.07,0.088,3.712,0.608
05-26,19.73,0.1,4.2,0.496
05-27,20.09,0.089,3.758,0.601
05-28,17.46,0.16,6.738,0.305
05-29,16.84,0.143,6.012,0.315
05-30,16.33,0.111,4.65,0.432
05-31,15.79,0.122,5.128,0.408
06-01,14.74,0.087,3.64,0.615
06-02,13.27,0.073,3.064,0.496
06-03,13.05,0.071,2.994,0.572
06-04,13.33,0.055,2.31,0.63
06-05,13.05,0.085,3.55,0.414
06-06,13.92,0.071,2.984,0.63
06-07,14.6,-0.011,-0.454,0.975
06-08,13.9,-0.035,-1.458,0.81
06-09,12.54,-0.037,-1.552,0.917
06-10,12.11,0.028,1.186,0.722
06-11,13.07,0.127,5.342,0.286
06-12,12.06,0.108,4.53,0.346
06-13,11.52,0.091,3.826,0.368
06-14,11.6,0.068,2.835,0.397
06-15,10.81,0.054,2.284,0.544
06-16,10.27,0.05,2.1,0.558
06-17,9.62,0.051,2.124,0.49
06-18,9.9,0.053,2.228,0.457
06-19,9.51,0.048,2.037,0.439
06-20,9.96,0.0,0.0,1.0
06-21,9.65,-0.004,-0.154,0.95
06-22,9.28,0.002,0.066,0.975
06-23,9.11,0.026,1.085,0.746
06-24,9.51,0.045,1.88,0.645
06-25,8.6,0.036,1.504,0.691
06-26,8.29,0.056,2.372,0.457
06-27,9.03,0.119,4.988,0.167
06-28,9.34,0.125,5.25,0.105
06-29,8.66,0.09,3.78,0.205
06-30,8.41,0.094,3.966,0.233
07-01,7.98,0.058,2.416,0.352
07-02,7.27,0.055,2.32,0.315
07-03,7.1,0.048,2.008,0.379
07-04,7.44,0.018,0.777,0.81
07-05,7.16,0.025,1.062,0.714
07-06,7.3,0.049,2.04,0.397
07-07,7.98,0.042,1.785,0.385
07-08,7.56,0.032,1.354,0.594
07-09,6.82,0.019,0.794,0.675
07-10,6.74,0.023,0.962,0.653
07-11,6.71,0.031,1.306,0.53
07-12,6.82,0.026,1.072,0.432
07-13,6.59,0.025,1.05,0.579
07-14,6.48,0.027,1.116,0.523
07-15,6.45,0.056,2.358,0.194
07-16,6.71,0.086,3.598,0.112
07-17,6.2,0.083,3.478,0.077
07-18,5.72,0.075,3.164,0.069
07-19,5.77,0.081,3.381,0.05
07-20,5.97,0.079,3.318,0.074
07-21,5.94,0.054,2.254,0.177
07-22,5.89,0.046,1.952,0.241
07-23,6.08,0.05,2.1,0.32
07-24,6.06,0.037,1.566,0.397
07-25,5.97,0.028,1.176,0.53
07-26,5.74,0.015,0.63,0.746
07-27,5.58,0.005,0.198,0.884
07-28,6.34,-0.035,-1.49,0.544
07-29,5.6,-0.018,-0.744,0.753
07-30,5.69,0.009,0.362,0.892
07-31,5.74,0.014,0.598,0.786
08-01,5.97,0.019,0.796,0.81
08-02,5.77,0.002,0.096,0.95
08-03,5.66,0.01,0.436,0.867
08-04,5.66,0.012,0.49,0.842
08-05,5.66,-0.012,-0.504,0.884
08-06,5.58,-0.03,-1.26,0.544
08-07,5.58,-0.022,-0.938,0.615
08-08,5.35,-0.008,-0.356,0.761
