,mean,slp,chg,pvalue
0,2.79,0.0,0.0,0.927
1,2.74,0.0,0.0,0.958
2,2.675,0.005,0.21,0.521
3,2.715,0.002,0.072,0.763
4,2.689,0.004,0.152,0.521
5,2.72,0.0,0.0,0.979
6,2.72,0.003,0.144,0.592
7,2.68,0.007,0.287,0.277
8,2.784,-0.001,-0.06,0.753
9,2.79,-0.003,-0.14,0.538
10,2.728,-0.006,-0.263,0.339
11,2.7,-0.004,-0.147,0.53
12,2.682,0.003,0.107,0.685
13,2.721,-0.004,-0.158,0.61
14,2.693,-0.001,-0.044,0.793
15,2.69,0.0,0.0,0.99
16,2.664,0.002,0.087,0.753
17,2.647,0.008,0.326,0.278
18,2.702,0.003,0.121,0.638
19,2.698,0.004,0.168,0.601
20,2.682,0.003,0.11,0.675
21,2.666,0.001,0.047,0.695
22,2.697,0.004,0.187,0.424
23,2.661,0.003,0.126,0.744
24,2.646,0.005,0.191,0.48
25,2.668,0.001,0.037,0.763
26,2.676,0.001,0.051,0.875
27,2.662,0.003,0.119,0.647
28,2.66,0.0,0.0,0.979
29,2.622,0.003,0.109,0.387
30,2.649,0.004,0.159,0.44
31,2.66,0.0,0.0,0.948
32,2.643,0.002,0.102,0.647
33,2.617,0.004,0.175,0.289
34,2.559,0.0,0.016,0.783
35,2.606,0.001,0.045,0.714
36,2.66,0.0,0.007,0.896
37,2.576,0.002,0.065,0.656
38,2.61,0.006,0.271,0.333
39,2.612,0.006,0.261,0.41
40,2.634,0.005,0.218,0.504
41,2.612,-0.004,-0.168,0.656
42,2.654,0.002,0.095,0.875
43,2.601,0.003,0.115,0.753
44,2.6,0.003,0.14,0.424
45,2.586,0.005,0.205,0.326
46,2.6,0.003,0.144,0.61
47,2.585,0.005,0.214,0.388
48,2.588,0.001,0.035,0.733
49,2.58,0.0,0.0,0.969
50,2.604,-0.001,-0.056,0.824
51,2.586,-0.002,-0.091,0.538
52,2.592,-0.004,-0.168,0.367
53,2.568,-0.003,-0.11,0.409
54,2.583,-0.001,-0.048,0.834
55,2.593,-0.004,-0.186,0.209
56,2.563,-0.004,-0.184,0.255
57,2.559,-0.003,-0.124,0.38
58,2.554,-0.001,-0.061,0.724
59,2.567,-0.006,-0.24,0.082
60,2.605,-0.005,-0.214,0.228
61,2.613,-0.004,-0.18,0.353
62,2.562,-0.004,-0.179,0.32
63,2.646,-0.005,-0.215,0.142
64,2.632,-0.001,-0.028,0.824
65,2.601,-0.0,-0.018,0.917
66,2.639,-0.003,-0.132,0.353
67,2.611,-0.004,-0.158,0.326
68,2.612,-0.004,-0.166,0.277
69,2.644,-0.005,-0.191,0.295
70,2.603,-0.004,-0.184,0.313
71,2.653,-0.004,-0.18,0.283
72,2.7,-0.003,-0.143,0.424
73,2.694,-0.002,-0.067,0.714
74,2.696,-0.002,-0.084,0.733
75,2.695,-0.002,-0.07,0.685
76,2.681,-0.004,-0.147,0.601
77,2.7,-0.004,-0.151,0.41
78,2.724,-0.001,-0.059,0.704
79,2.726,-0.002,-0.093,0.619
80,2.726,-0.002,-0.075,0.763
81,2.72,0.0,0.0,0.896
82,2.778,-0.003,-0.117,0.666
83,2.764,-0.005,-0.196,0.547
84,2.785,-0.005,-0.21,0.417
85,2.737,-0.006,-0.24,0.239
86,2.733,-0.004,-0.178,0.48
87,2.732,-0.004,-0.172,0.592
88,2.775,-0.008,-0.346,0.2
89,2.773,-0.008,-0.318,0.295
90,2.826,-0.009,-0.364,0.255
91,2.782,-0.011,-0.455,0.165
92,2.832,-0.011,-0.443,0.129
93,2.972,-0.011,-0.459,0.139
94,3.082,-0.007,-0.313,0.36
