,mean,slp,chg,pvalue
0,3.59,0.027,1.14,0.391
1,3.79,0.032,1.342,0.237
2,3.79,0.029,1.2,0.368
3,3.37,0.013,0.56,0.675
4,3.42,0.015,0.63,0.572
5,3.37,0.024,1.024,0.374
6,3.74,0.018,0.752,0.516
7,3.54,0.012,0.514,0.63
8,3.48,0.015,0.622,0.565
9,3.51,0.019,0.794,0.336
10,3.42,0.035,1.49,0.137
11,3.76,0.044,1.838,0.09
12,3.59,0.048,2.012,0.121
13,4.13,0.051,2.134,0.129
14,3.79,0.047,1.986,0.155
15,3.76,0.051,2.124,0.146
16,3.82,0.047,1.982,0.096
17,3.79,0.036,1.491,0.3
18,3.74,0.032,1.33,0.258
19,4.27,0.012,0.484,0.73
20,4.13,-0.01,-0.435,0.653
21,4.02,-0.016,-0.664,0.579
22,4.61,0.009,0.374,0.786
23,4.67,0.017,0.694,0.683
24,4.27,0.011,0.476,0.645
25,4.16,0.027,1.146,0.325
26,4.13,0.027,1.12,0.325
27,3.99,0.024,0.994,0.276
28,3.85,0.029,1.232,0.221
29,3.59,0.026,1.088,0.209
30,3.65,0.012,0.512,0.439
31,3.59,0.006,0.236,0.714
32,3.54,0.001,0.064,0.967
33,3.54,0.014,0.6,0.445
34,4.02,0.018,0.74,0.503
35,3.71,0.026,1.098,0.346
36,3.48,0.03,1.276,0.258
37,3.48,0.027,1.142,0.213
38,3.4,0.037,1.55,0.079
39,3.23,0.029,1.236,0.126
40,3.17,0.028,1.184,0.161
41,3.25,0.009,0.378,0.699
42,3.62,0.0,0.0,0.992
43,3.51,0.01,0.42,0.653
44,3.59,0.01,0.42,0.53
45,3.88,0.005,0.228,0.917
46,3.99,0.0,0.016,1.0
47,3.71,-0.014,-0.6,0.623
48,3.99,-0.009,-0.388,0.73
49,3.96,-0.009,-0.376,0.81
50,4.02,-0.016,-0.668,0.66
51,4.02,-0.019,-0.794,0.42
52,4.56,-0.012,-0.504,0.623
53,4.78,-0.035,-1.462,0.368
54,4.53,-0.033,-1.384,0.276
55,4.3,-0.023,-0.96,0.47
56,4.22,-0.012,-0.51,0.668
57,4.1,-0.02,-0.84,0.544
58,4.13,-0.036,-1.494,0.315
59,4.58,0.003,0.126,0.992
60,4.39,0.0,0.0,1.0
61,4.33,-0.009,-0.388,0.818
62,4.9,-0.02,-0.84,0.615
63,4.7,-0.037,-1.55,0.237
64,4.67,-0.062,-2.62,0.126
65,4.44,-0.068,-2.868,0.084
66,4.81,-0.078,-3.29,0.088
67,4.58,-0.058,-2.42,0.08
68,4.39,-0.039,-1.62,0.25
69,4.1,-0.031,-1.302,0.213
70,3.93,-0.016,-0.69,0.503
71,3.85,-0.01,-0.42,0.516
72,3.74,-0.017,-0.7,0.391
73,3.74,-0.016,-0.67,0.464
74,4.24,-0.002,-0.084,0.933
75,4.39,-0.021,-0.87,0.33
76,4.73,-0.003,-0.126,0.95
77,4.87,-0.011,-0.47,0.53
78,4.27,-0.017,-0.726,0.49
79,4.56,-0.036,-1.522,0.229
80,4.44,-0.027,-1.148,0.174
81,4.39,-0.053,-2.232,0.04
82,4.22,-0.043,-1.792,0.077
83,4.36,-0.02,-0.824,0.579
84,4.27,-0.019,-0.818,0.503
85,4.19,-0.031,-1.32,0.276
86,4.24,-0.034,-1.428,0.241
87,4.41,-0.043,-1.794,0.267
88,4.36,-0.045,-1.89,0.258
89,4.67,-0.03,-1.276,0.402
90,4.33,-0.01,-0.42,0.699
91,4.27,-0.01,-0.42,0.753
92,3.91,-0.021,-0.892,0.464
93,4.08,-0.032,-1.344,0.191
94,4.16,-0.03,-1.26,0.245
95,4.33,-0.027,-1.14,0.305
96,4.36,-0.013,-0.56,0.503
97,4.16,-0.013,-0.55,0.623
98,3.99,-0.014,-0.572,0.503
99,3.68,-0.018,-0.76,0.439
100,3.57,-0.019,-0.788,0.379
101,3.65,-0.019,-0.79,0.445
102,3.82,-0.012,-0.506,0.81
103,3.65,0.0,0.0,1.0
104,4.78,0.006,0.266,0.942
105,4.95,0.009,0.36,0.892
106,4.411,0.001,0.021,0.958
107,4.27,0.007,0.274,0.794
108,4.44,0.021,0.878,0.558
109,4.95,0.018,0.742,0.623
110,4.7,0.014,0.6,0.706
111,4.53,0.025,1.064,0.439
112,4.36,0.042,1.785,0.194
113,4.08,0.03,1.26,0.276
114,4.16,0.034,1.408,0.263
115,4.44,0.01,0.44,0.769
116,4.19,0.006,0.256,0.818
117,3.85,0.002,0.068,0.942
118,4.19,0.01,0.406,0.746
119,4.16,0.006,0.256,0.81
120,3.96,0.015,0.61,0.653
121,4.22,0.015,0.622,0.544
122,3.91,0.025,1.05,0.276
123,3.85,0.024,1.02,0.379
124,3.74,0.032,1.348,0.25
125,3.4,0.03,1.26,0.229
126,3.68,0.018,0.766,0.445
127,3.54,0.02,0.86,0.391
128,3.34,0.02,0.84,0.426
129,3.14,0.016,0.665,0.496
130,3.45,-0.003,-0.11,0.892
131,3.25,0.005,0.196,0.761
132,3.25,0.008,0.35,0.746
133,3.23,-0.008,-0.315,0.746
