,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.0005327058823529351,-0.9058663529411645,0.671942531405666,0.0,39.0,0.023,0.129,0.148,0.171
01-02,0.0007074999999999917,-1.2463319999999833,0.5212016542156581,0.0,39.0,0.03,0.178,0.154,0.184
01-03,0.00042449999999997524,-0.6896709999999506,0.7075561168254834,0.0,39.0,0.018,0.11,0.15,0.168
01-04,0.0004285428571428543,-0.708219628571423,0.7075016290991354,0.0,39.0,0.018,0.11,0.14,0.158
01-05,0.00022640000000000068,-0.2995272000000013,0.8654774597119534,0.0,39.0,0.009,0.053,0.149,0.158
01-06,-3.4303030303030125e-05,0.2326774545454541,0.9613961380694356,-0.0,39.0,-0.002,-0.012,0.165,0.163
01-07,0.0002572727272727272,-0.35102290909090894,0.9037017826348919,0.0,39.0,0.011,0.065,0.158,0.169
01-08,0.0005064210526315785,-0.8590092631578939,0.6718822159004285,0.0,39.0,0.021,0.125,0.143,0.164
01-09,0.0002921290322580648,-0.4082138064516135,0.7807173921670281,0.0,39.0,0.012,0.071,0.17,0.182
01-10,-0.00025727272727273727,0.683830909090929,0.7622461537361289,-0.0,39.0,-0.011,-0.063,0.175,0.164
01-11,3.5374999999999525e-05,0.11100675000000093,0.8940618480589531,0.0,39.0,0.001,0.005,0.181,0.182
01-12,3.144444444444505e-05,0.11829399999999879,0.9806952427766427,0.0,39.0,0.001,0.006,0.181,0.182
01-13,-7.075000000000038e-05,0.3054985000000007,0.9710442773457328,-0.0,39.0,-0.002,-0.011,0.165,0.163
01-14,-0.0002943200000000046,0.7663413600000091,0.8464839052874908,-0.0,39.0,-0.012,-0.063,0.184,0.172
01-15,-0.00033445454545454685,0.8408701818181845,0.799397206108803,-0.0,39.0,-0.014,-0.078,0.179,0.165
01-16,-4.2878787878787865e-05,0.25660381818181816,0.9710485136315283,-0.0,39.0,-0.002,-0.008,0.172,0.17
01-17,-6.288888888888907e-05,0.3067720000000004,0.9325025188883742,-0.0,39.0,-0.002,-0.009,0.182,0.18
01-18,-0.0003329411764705865,0.8406764705882319,0.7714267015464749,-0.0,39.0,-0.014,-0.073,0.182,0.168
01-19,0.00031444444444443204,-0.44996999999997533,0.7715026347020606,0.0,39.0,0.014,0.073,0.172,0.186
01-20,0.00036913043478260495,-0.5620626086956446,0.6984163000447459,0.0,39.0,0.016,0.084,0.168,0.184
01-21,0.0005826470588235227,-0.9886688235293983,0.6985983321482421,0.0,39.0,0.025,0.131,0.164,0.189
01-22,-0.00015722222222222217,0.5014759999999998,0.8749648273975181,-0.0,39.0,-0.006,-0.028,0.19,0.184
01-23,-0.0003691304347826086,0.9243026086956518,0.7901381702817245,-0.0,39.0,-0.016,-0.08,0.194,0.178
01-24,-0.0001286363636363636,0.4437954545454543,0.9228938445738832,-0.0,39.0,-0.005,-0.026,0.189,0.184
01-25,0.00019592307692307325,-0.20467430769230047,0.8749950973626683,0.0,39.0,0.008,0.043,0.183,0.191
01-26,0.0,0.1867799999999999,1.0,0.0,39.0,0.0,0.0,0.187,0.187
01-27,0.0007074999999999998,-1.2324649999999997,0.6113008842734067,0.0,39.0,0.029,0.155,0.168,0.197
01-28,0.0003329411764705816,-0.48126647058822203,0.81816771660292,0.0,39.0,0.014,0.069,0.178,0.192
01-29,-5.390476190476691e-05,0.30410371428572425,0.9710442773457328,-0.0,39.0,-0.002,-0.005,0.197,0.195
01-30,-0.0008490000000000006,1.8661020000000013,0.48285298661836995,-0.0,39.0,-0.036,-0.151,0.186,0.15
01-31,4.192592592592571e-05,0.09169200000000043,0.922852556375747,0.0,39.0,0.001,0.005,0.175,0.176
02-01,-0.00023583333333332518,0.6503339999999838,0.8275791315570846,-0.0,39.0,-0.01,-0.036,0.184,0.174
02-02,0.0005006923076923067,-0.8305832307692288,0.6456484773738547,0.0,39.0,0.021,0.097,0.16,0.181
02-03,0.0007074999999999998,-1.2324649999999997,0.7166352928364792,0.0,39.0,0.029,0.116,0.168,0.197
02-04,0.0,0.197817,1.0,0.0,39.0,0.0,0.0,0.198,0.198
02-05,0.0,0.207156,0.9806886472083278,0.0,39.0,0.0,0.0,0.207,0.207
02-06,7.074999999999211e-05,0.06891050000001567,0.8749890451283351,0.0,39.0,0.003,0.011,0.209,0.212
02-07,0.000943333333333333,-1.6750769999999995,0.5291839171705979,0.0,39.0,0.039,0.165,0.192,0.231
02-08,0.00040877777777777744,-0.6073179999999992,0.8276039753532303,0.0,39.0,0.017,0.065,0.202,0.219
02-09,0.0005145454545454595,-0.824301818181828,0.7900681544166643,0.0,39.0,0.022,0.099,0.194,0.216
02-10,0.00023583333333333326,-0.25611499999999987,0.8274879456697106,0.0,39.0,0.01,0.041,0.211,0.221
02-11,0.00021769230769230763,-0.24250923076923064,0.9421196277086188,0.0,39.0,0.009,0.032,0.188,0.197
02-12,0.0006898124999999995,-1.191465374999999,0.6631624184793212,0.0,39.0,0.029,0.124,0.174,0.203
02-13,0.0009999333333333322,-1.8093887999999978,0.49807353886540096,0.0,39.0,0.042,0.144,0.169,0.211
02-14,0.0007074999999999998,-1.2324649999999997,0.6113008842734067,0.0,39.0,0.029,0.115,0.168,0.197
02-15,0.0005053571428571427,-0.828583571428571,0.6369455208212187,0.0,39.0,0.021,0.082,0.172,0.193
02-16,0.0008085714285714303,-1.4400657142857178,0.7807278258537886,0.0,39.0,0.034,0.098,0.16,0.194
02-17,0.00074712,-1.32294576,0.5451652272860428,0.0,39.0,0.031,0.1,0.156,0.187
02-18,-0.00048514285714285727,1.1617554285714289,0.7075424977460631,-0.0,39.0,-0.021,-0.046,0.202,0.181
02-19,-0.000713652173913044,1.6183170434782619,0.6111268344181604,-0.0,39.0,-0.03,-0.042,0.206,0.176
02-20,-0.0007491176470588233,1.7061570588235289,0.7347391993203605,-0.0,39.0,-0.032,-0.081,0.224,0.192
02-21,-0.0016980000000000467,3.6139100000000934,0.5372441947929323,-0.0,39.0,-0.072,-0.176,0.254,0.182
02-22,-0.002199681818181823,4.593347272727281,0.28702049480199987,-0.0,39.0,-0.092,-0.265,0.24,0.148
02-23,-0.0021225000000000003,4.444515000000001,0.24528964044127344,-0.0,39.0,-0.089,-0.319,0.244,0.155
02-24,-0.0005660000000000054,1.3459480000000108,0.6807100214618851,-0.0,39.0,-0.024,-0.082,0.226,0.202
02-25,-0.0008085714285714284,1.855226714285714,0.6456001379450422,-0.0,39.0,-0.034,-0.127,0.255,0.221
02-26,-0.002947916666666666,6.093131499999999,0.2170901975388735,-0.0,39.0,-0.124,-0.403,0.259,0.135
02-27,-0.0037047272727272814,7.611465090909109,0.09247358054506183,-1.0,39.0,-0.156,-0.601,0.28,0.124
02-28,-0.0021224999999999994,4.4515899999999995,0.3208470994741681,-0.0,39.0,-0.089,-0.318,0.251,0.162
03-01,-0.002016375000000001,4.265305250000002,0.31525288371038407,-0.0,39.0,-0.085,-0.313,0.275,0.19
03-02,-0.0023583333333333325,4.955612999999998,0.23566238606195355,-0.0,39.0,-0.099,-0.086,0.288,0.189
03-03,-0.002223571428571428,4.669095714285713,0.4038611395052456,-0.0,39.0,-0.094,-0.083,0.269,0.175
03-04,-0.003699214285714278,7.640070142857128,0.15687951088333074,-0.0,39.0,-0.155,-0.205,0.319,0.164
03-05,-0.0024964642857142863,5.229334642857144,0.30942237371118964,-0.0,39.0,-0.105,-0.152,0.289,0.184
03-06,-0.0014149999999999996,3.0583809999999994,0.5135456648074745,-0.0,39.0,-0.059,-0.07,0.258,0.199
03-07,-0.0024790800000000033,5.1880918400000064,0.2815436851085269,-0.0,39.0,-0.104,-0.169,0.282,0.178
03-08,-0.002829999999999999,5.866589999999999,0.13972193399010902,-0.0,39.0,-0.119,-0.284,0.266,0.147
03-09,-0.00376116129032258,7.766104258064515,0.1640902845452099,-0.0,39.0,-0.158,-0.338,0.323,0.165
03-10,-0.002861444444444445,5.961678000000001,0.2499750462553405,-0.0,39.0,-0.12,-0.343,0.299,0.179
03-11,-0.004087777777777777,8.436513,0.04573969483852558,-2.0,39.0,-0.172,-0.467,0.347,0.175
03-12,-0.0032721875000000025,6.7897006250000045,0.12432633393668668,-0.0,39.0,-0.137,-0.358,0.314,0.177
03-13,-0.0034186400000000006,7.0794827200000014,0.07732844750887047,-1.0,39.0,-0.144,-0.413,0.314,0.17
03-14,-0.0029972272727272764,6.228727090909098,0.0558096575583753,-1.0,39.0,-0.126,-0.391,0.297,0.171
03-15,-0.002056466666666669,4.362388400000005,0.31522926687495856,-0.0,39.0,-0.087,-0.261,0.293,0.206
03-16,-0.0018394999999999846,3.913040999999969,0.3269611565809418,-0.0,39.0,-0.078,-0.282,0.273,0.195
03-17,-0.0027134705882352933,5.662064235294116,0.22633096369362882,-0.0,39.0,-0.114,-0.384,0.292,0.178
03-18,-0.002572727272727267,5.37519909090908,0.22633096369362882,-0.0,39.0,-0.108,-0.14,0.284,0.176
03-19,-0.004244999999999992,8.730549999999983,0.03425071664250301,-2.0,39.0,-0.179,-0.327,0.33,0.151
03-20,-0.004320466666666666,8.880766399999997,0.040902099466055164,-2.0,39.0,-0.182,-0.605,0.331,0.149
03-21,-0.0035042058823529405,7.232048352941176,0.10232699303109394,-0.0,39.0,-0.147,-0.474,0.297,0.15
03-22,-0.0035449473684210525,7.308638842105263,0.04196545745052194,-2.0,39.0,-0.149,-0.325,0.293,0.144
03-23,-0.0035291764705882357,7.280524588235295,0.055845566146635495,-1.0,39.0,-0.148,-0.098,0.296,0.148
03-24,-0.0031028928571428566,6.442959928571428,0.06243539313863633,-1.0,39.0,-0.13,-0.242,0.302,0.172
03-25,-0.0030245624999999995,6.280795874999999,0.09978488899738935,-1.0,39.0,-0.127,-0.281,0.295,0.168
03-26,-0.003183749999999999,6.593192499999998,0.09739107374194966,-1.0,39.0,-0.134,-0.334,0.293,0.159
03-27,-0.003537500000000013,7.325455000000026,0.15333535238160545,-0.0,39.0,-0.149,-0.367,0.325,0.176
03-28,-0.003171551724137935,6.588630344827594,0.11295764197988234,-0.0,39.0,-0.133,-0.364,0.312,0.179
03-29,-0.004312380952380952,8.838009142857143,0.025194147561877767,-2.0,39.0,-0.181,-0.542,0.304,0.123
03-30,-0.002830000000000008,5.900550000000015,0.14318220751962074,-0.0,39.0,-0.119,-0.231,0.3,0.181
03-31,-0.0016647058823529375,3.569462352941169,0.4980106259437247,-0.0,39.0,-0.07,-0.144,0.275,0.205
04-01,-0.0028719259259259227,5.984600999999993,0.22633096369362882,-0.0,39.0,-0.121,-0.278,0.301,0.18
04-02,-0.0025155555555555456,5.26945999999998,0.23566238606195355,-0.0,39.0,-0.105,-0.211,0.291,0.186
04-03,-0.004573279999999996,9.377963439999993,0.08574941076750853,-1.0,39.0,-0.192,-0.339,0.327,0.135
04-04,-0.00471666666666667,9.653130000000008,0.045856198258758196,-2.0,39.0,-0.198,-0.535,0.319,0.121
04-05,-0.0028771666666666694,5.980639000000005,0.06408481323059267,-1.0,39.0,-0.121,-0.358,0.287,0.166
04-06,-0.002447567567567567,5.122299999999999,0.1641520130868983,-0.0,39.0,-0.103,-0.326,0.279,0.176
04-07,-0.0019149666666666695,4.048258400000006,0.2171799520514981,-0.0,39.0,-0.081,-0.253,0.259,0.178
04-08,-0.002198692307692316,4.627877230769247,0.15679855689969813,-0.0,39.0,-0.093,-0.294,0.277,0.184
04-09,-0.0010753999999999985,2.3976891999999967,0.6196665846907419,-0.0,39.0,-0.045,-0.151,0.269,0.224
04-10,-7.648648648648046e-06,0.2671519999999988,0.9421111650628937,-0.0,39.0,0.0,0.0,0.252,0.252
