,mean,slp,chg,pvalue
0,0.14,-0.001,-0.058,0.148
1,0.13,-0.002,-0.074,0.08
2,0.12,-0.001,-0.06,0.108
3,0.13,-0.001,-0.052,0.201
4,0.13,-0.001,-0.038,0.227
5,0.14,-0.002,-0.07,0.128
6,0.16,-0.002,-0.07,0.157
7,0.17,-0.001,-0.05,0.314
8,0.17,-0.001,-0.06,0.33
9,0.15,-0.001,-0.056,0.345
10,0.18,-0.002,-0.07,0.176
11,0.2,-0.002,-0.076,0.17
12,0.19,-0.002,-0.105,0.041
13,0.18,-0.003,-0.105,0.064
14,0.17,-0.003,-0.11,0.031
15,0.15,-0.002,-0.098,0.035
16,0.15,-0.002,-0.084,0.087
17,0.15,-0.002,-0.09,0.04
18,0.15,-0.002,-0.098,0.05
19,0.16,-0.002,-0.082,0.096
20,0.15,-0.001,-0.052,0.244
21,0.15,-0.001,-0.056,0.166
22,0.16,-0.002,-0.07,0.134
23,0.16,-0.002,-0.088,0.109
24,0.15,-0.002,-0.084,0.075
25,0.16,-0.002,-0.088,0.095
26,0.16,-0.002,-0.08,0.139
27,0.18,-0.001,-0.056,0.179
28,0.18,-0.002,-0.074,0.121
29,0.19,-0.002,-0.094,0.091
30,0.19,-0.002,-0.074,0.136
31,0.17,-0.002,-0.08,0.106
32,0.16,-0.002,-0.094,0.113
33,0.16,-0.002,-0.064,0.275
34,0.16,-0.002,-0.066,0.157
35,0.15,-0.002,-0.078,0.089
36,0.15,-0.002,-0.076,0.142
37,0.16,-0.001,-0.06,0.249
38,0.17,-0.002,-0.076,0.224
39,0.16,-0.002,-0.07,0.232
40,0.16,-0.002,-0.068,0.201
41,0.16,-0.002,-0.074,0.19
42,0.17,-0.002,-0.082,0.137
43,0.17,-0.003,-0.106,0.034
44,0.18,-0.003,-0.126,0.058
45,0.19,-0.003,-0.12,0.039
46,0.18,-0.003,-0.118,0.046
47,0.17,-0.003,-0.128,0.02
48,0.17,-0.003,-0.14,0.01
49,0.17,-0.003,-0.136,0.015
50,0.16,-0.003,-0.12,0.02
51,0.15,-0.003,-0.126,0.013
52,0.14,-0.003,-0.12,0.016
53,0.15,-0.002,-0.1,0.055
54,0.16,-0.003,-0.106,0.029
55,0.15,-0.003,-0.146,0.013
56,0.15,-0.003,-0.126,0.009
57,0.15,-0.003,-0.126,0.01
58,0.17,-0.002,-0.106,0.023
59,0.16,-0.002,-0.094,0.07
60,0.16,-0.002,-0.082,0.084
61,0.18,-0.002,-0.094,0.06
62,0.16,-0.002,-0.078,0.116
63,0.16,-0.002,-0.09,0.08
64,0.16,-0.002,-0.07,0.163
65,0.16,-0.002,-0.072,0.136
66,0.18,-0.002,-0.078,0.151
67,0.17,-0.002,-0.072,0.16
68,0.17,-0.002,-0.084,0.106
69,0.18,-0.002,-0.076,0.087
70,0.17,-0.002,-0.07,0.134
71,0.19,-0.001,-0.06,0.142
72,0.18,-0.002,-0.068,0.166
73,0.18,-0.002,-0.078,0.131
74,0.18,-0.002,-0.068,0.113
75,0.18,-0.002,-0.078,0.179
76,0.19,-0.002,-0.074,0.18
77,0.21,-0.001,-0.052,0.362
78,0.19,-0.001,-0.026,0.645
79,0.21,-0.001,-0.032,0.529
80,0.2,-0.001,-0.022,0.615
81,0.2,-0.001,-0.024,0.63
82,0.21,0.0,0.0,0.9
83,0.22,-0.0,-0.016,0.721
84,0.21,-0.0,-0.012,0.826
85,0.23,-0.001,-0.038,0.615
86,0.22,-0.001,-0.036,0.593
87,0.21,-0.001,-0.03,0.564
88,0.22,-0.001,-0.036,0.6
89,0.23,-0.001,-0.034,0.63
90,0.22,-0.001,-0.05,0.483
91,0.22,-0.001,-0.038,0.457
92,0.25,-0.001,-0.036,0.66
93,0.26,0.0,0.0,0.925
94,0.25,-0.001,-0.04,0.63
95,0.27,-0.0,-0.012,0.859
96,0.27,0.0,0.0,0.917
97,0.27,-0.0,-0.012,0.892
98,0.28,0.0,0.0,0.942
99,0.29,0.0,0.0,0.975
100,0.31,0.0,0.0,0.942
101,0.31,-0.0,-0.014,0.883
102,0.32,0.0,0.0,0.942
103,0.34,0.0,0.0,0.983
104,0.31,0.0,0.0,1.0
105,0.32,-0.0,-0.012,0.883
106,0.34,-0.0,-0.014,0.875
107,0.34,-0.0,-0.014,0.85
108,0.33,-0.001,-0.058,0.579
109,0.35,-0.002,-0.07,0.55
110,0.37,-0.002,-0.07,0.586
111,0.42,-0.001,-0.058,0.652
112,0.4,-0.001,-0.034,0.737
113,0.48,-0.001,-0.024,0.801
114,0.46,-0.001,-0.036,0.794
115,0.48,-0.0,-0.014,0.9
116,0.48,-0.001,-0.032,0.883
117,0.51,-0.001,-0.04,0.81
118,0.62,-0.002,-0.106,0.601
119,0.57,-0.004,-0.182,0.451
120,0.48,-0.003,-0.108,0.63
121,0.55,-0.002,-0.084,0.698
122,0.59,-0.003,-0.132,0.516
123,0.66,-0.005,-0.198,0.408
124,0.661,-0.006,-0.245,0.295
125,0.74,-0.006,-0.262,0.368
126,0.74,-0.006,-0.245,0.379
127,0.77,-0.006,-0.24,0.47
128,0.78,-0.005,-0.198,0.586
129,0.79,-0.004,-0.178,0.586
130,0.71,-0.003,-0.144,0.668
131,0.71,-0.004,-0.16,0.675
132,0.71,-0.006,-0.252,0.537
133,0.7,-0.004,-0.172,0.586
134,0.68,-0.007,-0.28,0.464
135,0.69,-0.008,-0.35,0.305
136,0.68,-0.01,-0.42,0.241
137,0.68,-0.008,-0.315,0.357
138,0.74,-0.008,-0.332,0.42
139,1.02,-0.007,-0.298,0.503
140,1.08,-0.011,-0.448,0.363
141,1.25,-0.006,-0.234,0.63
142,1.34,-0.006,-0.262,0.615
143,1.22,-0.011,-0.47,0.32
144,1.18,-0.022,-0.914,0.184
145,1.1,-0.024,-1.012,0.129
146,0.98,-0.021,-0.892,0.149
147,1.04,-0.022,-0.932,0.129
148,1.05,-0.021,-0.868,0.1
149,1.0,-0.023,-0.966,0.08
150,0.96,-0.021,-0.87,0.06
151,0.93,-0.022,-0.91,0.062
152,0.93,-0.023,-0.945,0.037
153,0.91,-0.019,-0.78,0.058
154,0.88,-0.017,-0.724,0.086
155,0.84,-0.015,-0.63,0.121
156,0.93,-0.016,-0.674,0.079
157,0.74,-0.016,-0.68,0.058
158,0.72,-0.018,-0.735,0.041
159,0.76,-0.027,-1.146,0.01
160,0.7,-0.024,-0.992,0.022
161,0.71,-0.021,-0.862,0.022
162,0.65,-0.019,-0.808,0.025
163,0.62,-0.016,-0.672,0.041
164,0.84,-0.019,-0.784,0.026
165,0.67,-0.017,-0.714,0.035
166,0.73,-0.02,-0.84,0.006
167,0.7,-0.017,-0.708,0.021
