,mean,slp,chg,pvalue
01-01,30.27,0.477,20.047,0.01
01-02,29.4,0.486,20.4,0.01
01-03,28.27,0.406,17.04,0.018
01-04,27.452,0.343,14.419,0.04
01-05,27.85,0.3,12.6,0.07
01-06,27.862,0.275,11.551,0.057
01-07,28.088,0.254,10.661,0.058
01-08,27.406,0.23,9.676,0.094
01-09,26.666,0.219,9.185,0.141
01-10,26.794,0.213,8.937,0.165
01-11,27.672,0.178,7.473,0.205
01-12,27.141,0.197,8.29,0.169
01-13,27.104,0.244,10.255,0.173
01-14,26.821,0.263,11.052,0.21
01-15,26.99,0.269,11.282,0.161
01-16,26.925,0.278,11.695,0.258
01-17,25.53,0.28,11.76,0.225
01-18,24.038,0.225,9.463,0.186
01-19,24.501,0.243,10.208,0.2
01-20,24.53,0.251,10.562,0.21
01-21,25.3,0.3,12.6,0.145
01-22,25.75,0.3,12.6,0.105
01-23,25.034,0.324,13.599,0.07
01-24,26.383,0.367,15.394,0.089
01-25,27.069,0.377,15.833,0.077
01-26,26.776,0.379,15.915,0.086
01-27,26.763,0.389,16.351,0.074
01-28,27.31,0.417,17.52,0.091
01-29,29.038,0.339,14.256,0.114
01-30,27.717,0.29,12.2,0.149
01-31,27.03,0.266,11.165,0.186
02-01,26.734,0.238,10.004,0.225
02-02,26.533,0.224,9.392,0.205
02-03,27.056,0.202,8.481,0.247
02-04,27.76,0.174,7.315,0.391
02-05,28.62,0.092,3.847,0.673
02-06,28.284,0.053,2.217,0.806
02-07,26.79,0.04,1.683,0.817
02-08,25.901,0.029,1.21,0.87
02-09,24.74,0.026,1.077,0.902
02-10,23.855,0.016,0.662,0.978
02-11,22.566,-0.01,-0.403,0.967
02-12,21.799,-0.043,-1.81,0.892
02-13,21.569,-0.037,-1.565,0.935
02-14,20.993,-0.002,-0.075,0.989
02-15,20.564,0.033,1.375,0.859
02-16,20.454,0.058,2.444,0.796
02-17,19.81,0.06,2.52,0.723
02-18,19.528,0.036,1.531,0.744
02-19,19.273,0.078,3.278,0.663
02-20,19.255,0.087,3.667,0.605
02-21,19.752,0.115,4.833,0.549
02-22,19.966,0.119,4.994,0.586
02-23,20.792,0.055,2.313,0.744
02-24,20.782,0.067,2.795,0.713
02-25,20.464,0.032,1.363,0.806
02-26,20.23,0.066,2.755,0.754
02-27,21.052,0.058,2.42,0.806
02-28,22.512,0.103,4.34,0.663
03-01,23.218,0.162,6.816,0.693
03-02,23.128,0.165,6.936,0.595
03-03,24.849,0.157,6.586,0.693
03-04,27.646,0.085,3.55,0.703
03-05,29.553,0.144,6.042,0.723
03-06,29.304,0.144,6.048,0.673
