,mean,slp,chg,pvalue
0,6.994,0.004,0.157,0.901
1,7.092,-0.009,-0.36,0.972
2,7.161,-0.052,-2.184,0.655
3,7.159,-0.092,-3.85,0.335
4,7.155,-0.105,-4.394,0.253
5,7.344,-0.098,-4.111,0.232
6,7.104,-0.087,-3.66,0.292
7,6.682,-0.06,-2.539,0.432
8,6.45,-0.044,-1.832,0.605
9,5.951,-0.009,-0.395,0.83
10,6.008,0.027,1.12,0.735
11,5.788,0.08,3.34,0.225
12,5.637,0.081,3.42,0.112
13,6.305,0.114,4.77,0.116
14,6.804,0.051,2.144,0.52
15,6.935,0.0,0.0,0.943
16,7.652,-0.043,-1.808,0.655
17,7.77,-0.109,-4.58,0.269
18,7.88,-0.09,-3.78,0.292
19,7.589,-0.092,-3.85,0.276
20,7.009,-0.088,-3.701,0.239
21,6.954,-0.073,-3.045,0.198
22,6.998,-0.07,-2.961,0.211
23,7.16,-0.1,-4.2,0.362
24,6.86,-0.048,-2.019,0.617
25,6.685,-0.05,-2.1,0.63
26,6.281,0.001,0.028,0.943
27,6.001,-0.008,-0.354,0.929
28,5.996,-0.026,-1.073,0.803
29,5.842,-0.033,-1.388,0.681
30,5.594,-0.019,-0.794,0.655
31,5.52,0.0,0.0,0.929
32,5.18,0.01,0.42,0.901
33,5.404,0.016,0.66,0.681
34,5.263,0.047,1.96,0.509
35,5.08,0.065,2.714,0.326
36,5.073,0.081,3.412,0.268
37,4.585,0.092,3.854,0.217
38,4.57,0.095,3.972,0.217
39,4.299,0.093,3.905,0.267
40,4.474,0.113,4.746,0.204
41,4.655,0.105,4.43,0.186
42,4.584,0.113,4.747,0.186
43,4.796,0.106,4.463,0.047
44,4.366,0.106,4.463,0.077
45,4.332,0.087,3.65,0.097
46,4.038,0.115,4.819,0.083
47,4.095,0.13,5.46,0.05
48,4.108,0.141,5.932,0.063
49,4.824,0.114,4.775,0.086
50,5.01,0.067,2.823,0.253
51,5.498,0.094,3.948,0.211
52,5.684,0.076,3.18,0.326
53,6.198,0.057,2.38,0.509
54,5.877,0.089,3.728,0.412
55,5.708,0.084,3.528,0.422
56,5.768,0.084,3.528,0.508
57,5.676,0.093,3.885,0.317
58,5.644,0.107,4.474,0.268
59,5.502,0.116,4.872,0.245
60,5.243,0.099,4.176,0.284
61,5.618,0.09,3.801,0.421
62,6.607,0.043,1.82,0.52
63,5.689,0.015,0.62,0.748
64,5.669,0.006,0.235,0.929
65,6.918,-0.023,-0.98,0.872
66,7.008,-0.036,-1.512,0.83
67,8.074,-0.061,-2.55,0.58
68,9.004,-0.137,-5.76,0.475
69,10.843,-0.093,-3.92,0.486
70,10.532,-0.011,-0.469,0.789
71,9.182,0.088,3.683,0.643
72,8.758,0.147,6.169,0.412
73,8.218,0.165,6.93,0.412
74,7.805,0.22,9.24,0.301
75,8.322,0.161,6.78,0.232
76,8.631,0.134,5.647,0.292
77,8.765,0.13,5.46,0.392
78,8.832,0.087,3.654,0.568
79,8.775,0.1,4.2,0.475
80,8.285,0.096,4.045,0.509
81,8.617,0.023,0.98,0.789
82,9.41,0.02,0.84,0.817
83,9.492,-0.01,-0.439,0.872
84,10.869,-0.083,-3.465,0.762
85,14.006,-0.251,-10.549,0.225
86,13.899,-0.368,-15.456,0.108
87,15.926,-0.323,-13.56,0.159
88,19.855,-0.284,-11.912,0.392
89,18.078,-0.117,-4.912,0.803
90,19.055,-0.051,-2.136,0.858
91,20.014,0.099,4.165,0.656
92,19.937,0.119,4.984,0.617
93,21.993,0.213,8.95,0.556
94,25.695,0.229,9.622,0.392
95,22.895,0.17,7.14,0.544
96,22.47,-0.015,-0.646,0.972
97,23.883,0.093,3.906,0.803
98,20.6,0.08,3.36,0.789
99,21.08,0.088,3.701,0.748
100,22.515,-0.011,-0.462,0.943
101,19.508,-0.132,-5.565,0.748
102,18.22,0.14,5.88,0.748
103,19.426,0.494,20.767,0.412
104,21.029,0.306,12.84,0.568
105,24.786,-0.045,-1.878,0.844
106,25.078,-0.093,-3.92,0.915
107,23.712,0.093,3.92,0.762
108,20.256,0.035,1.484,0.887
109,20.482,-0.071,-2.992,0.817
110,26.324,-0.238,-9.991,0.58
111,26.98,-0.56,-23.52,0.112
112,31.1,-0.63,-26.46,0.148
113,26.969,-0.437,-18.36,0.254
114,26.722,-0.475,-19.941,0.187
115,21.535,-0.252,-10.574,0.292
116,20.606,-0.078,-3.29,0.887
117,20.006,0.019,0.794,0.915
118,18.57,-0.063,-2.637,0.775
119,15.965,0.022,0.914,0.972
120,17.665,-0.006,-0.27,1.0
121,18.878,0.057,2.38,0.972
122,19.816,0.014,0.6,0.887
123,18.051,0.044,1.86,0.929
124,16.636,0.014,0.571,0.915
125,14.435,0.0,0.0,1.0
126,14.933,-0.157,-6.59,0.284
127,13.672,-0.085,-3.571,0.412
128,13.737,-0.057,-2.38,0.63
129,13.108,0.012,0.509,0.901
130,12.732,0.006,0.252,0.986
131,12.174,0.079,3.327,0.486
132,11.654,-0.004,-0.18,0.972
133,10.58,-0.02,-0.84,0.929
134,10.338,0.011,0.476,0.929
135,10.52,0.143,5.997,0.402
136,12.537,0.161,6.78,0.301
137,11.447,0.098,4.11,0.475
138,10.127,0.026,1.092,0.872
139,10.222,0.025,1.051,0.901
140,9.395,0.0,0.0,1.0
141,9.003,0.058,2.455,0.643
142,9.572,0.15,6.319,0.269
143,9.207,0.106,4.452,0.301
144,9.308,0.014,0.588,0.957
145,9.539,0.026,1.08,0.901
146,9.092,-0.017,-0.7,0.844
147,8.535,0.01,0.42,0.957
148,7.779,0.028,1.194,0.83
149,9.466,0.206,8.66,0.232
150,8.842,0.173,7.245,0.159
151,9.62,0.044,1.832,0.708
152,8.618,0.034,1.428,0.803
153,7.649,0.081,3.406,0.422
154,7.196,0.091,3.813,0.443
155,7.345,0.131,5.498,0.164
156,6.544,0.218,9.135,0.042
157,8.154,0.236,9.896,0.101
158,7.18,0.14,5.88,0.094
159,6.879,0.138,5.81,0.143
160,6.7,0.094,3.967,0.301
161,7.06,0.111,4.655,0.193
162,6.758,0.173,7.267,0.087
163,6.4,0.18,7.56,0.143
164,7.07,0.136,5.693,0.276
165,6.298,0.137,5.74,0.246
166,5.896,0.055,2.32,0.422
167,5.877,0.053,2.24,0.475
168,5.193,0.057,2.38,0.486
169,5.556,0.125,5.259,0.253
170,4.909,0.163,6.84,0.108
171,4.441,0.129,5.414,0.169
172,4.917,0.076,3.189,0.254
173,5.21,0.076,3.203,0.412
174,4.352,0.127,5.325,0.193
175,4.38,0.172,7.219,0.059
176,3.695,0.17,7.14,0.083
177,4.0,0.14,5.88,0.097
178,5.124,0.177,7.449,0.143
179,5.466,0.226,9.503,0.08
180,4.45,0.209,8.784,0.027
181,4.854,0.182,7.639,0.032
182,4.062,0.149,6.244,0.032
183,3.772,0.133,5.565,0.022
184,3.675,0.104,4.349,0.108
185,3.238,0.089,3.723,0.139
186,2.944,0.075,3.138,0.261
187,2.953,0.047,1.96,0.261
188,2.931,0.069,2.894,0.218
189,3.885,0.058,2.446,0.335
190,4.19,0.066,2.788,0.382
191,4.021,0.087,3.66,0.284
192,3.522,0.126,5.297,0.072
193,2.825,0.13,5.46,0.027
194,2.802,0.1,4.221,0.061
195,3.588,0.099,4.145,0.097
196,3.569,0.061,2.562,0.354
197,3.214,0.072,3.024,0.187
198,3.071,0.074,3.12,0.143
199,3.918,0.044,1.855,0.498
200,3.814,0.045,1.879,0.443
201,3.362,0.042,1.781,0.382
202,3.092,0.042,1.785,0.254
203,3.44,0.028,1.186,0.402
204,3.388,0.047,1.995,0.218
205,2.914,0.055,2.301,0.153
206,2.892,0.045,1.89,0.112
207,2.713,0.063,2.65,0.087
