,mean,slp,chg,pvalue
0,20.069,0.138,5.815,0.045
1,19.918,0.138,5.775,0.038
2,19.766,0.132,5.559,0.048
3,19.565,0.13,5.46,0.049
4,19.314,0.128,5.376,0.044
5,19.112,0.124,5.195,0.047
6,18.962,0.124,5.208,0.046
7,18.762,0.124,5.2,0.045
8,18.51,0.12,5.04,0.044
9,18.308,0.117,4.9,0.037
10,18.058,0.115,4.817,0.036
11,17.906,0.111,4.667,0.03
12,17.756,0.112,4.725,0.03
13,17.557,0.113,4.76,0.031
14,17.359,0.118,4.95,0.03
15,17.206,0.113,4.747,0.029
16,17.058,0.117,4.9,0.033
17,16.908,0.115,4.83,0.032
18,16.758,0.117,4.9,0.035
19,16.608,0.117,4.9,0.029
20,16.508,0.116,4.863,0.029
21,16.356,0.114,4.773,0.027
22,16.258,0.118,4.941,0.023
23,16.162,0.123,5.155,0.025
24,16.014,0.128,5.366,0.017
25,15.91,0.122,5.113,0.017
26,15.762,0.123,5.169,0.017
27,15.662,0.125,5.25,0.017
28,15.562,0.124,5.222,0.017
29,15.412,0.123,5.169,0.016
30,15.311,0.122,5.113,0.015
31,15.211,0.122,5.134,0.015
32,15.061,0.121,5.1,0.017
33,14.91,0.122,5.113,0.016
34,14.712,0.123,5.155,0.014
35,14.563,0.125,5.25,0.012
36,14.412,0.124,5.188,0.009
37,14.213,0.125,5.25,0.009
38,14.011,0.122,5.134,0.007
39,13.912,0.123,5.169,0.007
40,13.762,0.125,5.25,0.006
41,13.561,0.122,5.113,0.004
42,13.311,0.121,5.1,0.004
43,13.162,0.125,5.25,0.003
44,12.963,0.125,5.25,0.003
45,12.812,0.123,5.169,0.004
46,12.762,0.125,5.25,0.004
47,12.563,0.125,5.25,0.004
48,12.463,0.126,5.296,0.003
49,12.313,0.125,5.25,0.004
50,12.16,0.12,5.04,0.004
51,11.958,0.118,4.935,0.004
52,11.86,0.119,4.987,0.005
53,11.658,0.116,4.863,0.005
54,11.558,0.115,4.83,0.005
55,11.408,0.115,4.846,0.005
56,11.258,0.115,4.83,0.006
57,11.058,0.115,4.83,0.007
58,10.907,0.114,4.8,0.007
59,10.756,0.112,4.694,0.009
60,10.655,0.111,4.65,0.005
61,10.554,0.108,4.518,0.005
62,10.503,0.107,4.511,0.006
63,10.454,0.106,4.471,0.006
64,10.353,0.105,4.41,0.007
65,10.352,0.104,4.368,0.007
66,10.353,0.107,4.48,0.007
67,10.302,0.105,4.421,0.005
68,10.252,0.104,4.356,0.004
69,10.152,0.104,4.375,0.003
70,10.25,0.1,4.2,0.004
71,10.449,0.098,4.104,0.003
72,10.35,0.1,4.2,0.004
73,10.301,0.102,4.27,0.004
74,10.2,0.1,4.2,0.003
75,10.2,0.1,4.2,0.005
76,10.204,0.108,4.536,0.004
77,10.207,0.114,4.8,0.003
78,10.156,0.112,4.685,0.006
79,10.106,0.112,4.706,0.006
80,10.104,0.108,4.55,0.007
81,10.052,0.105,4.421,0.006
82,10.142,0.105,4.393,0.006
83,10.0,0.1,4.2,0.008
84,9.868,0.104,4.377,0.008
85,10.062,0.104,4.355,0.008
86,10.114,0.106,4.471,0.011
