,mean,slp,chg,pvalue
01-01,9.808,0.007,0.315,0.845
01-02,9.602,0.005,0.221,0.905
01-03,9.388,0.006,0.233,0.905
01-04,9.226,0.003,0.111,0.974
01-05,9.065,0.001,0.022,0.983
01-06,8.915,0.0,0.0,0.983
01-07,8.796,0.002,0.07,0.965
01-08,8.632,0.006,0.243,0.957
01-09,8.517,0.004,0.154,0.957
01-10,8.388,0.005,0.226,0.957
01-11,8.204,0.007,0.3,0.922
01-12,8.027,0.004,0.148,0.914
01-13,7.826,0.004,0.155,0.957
01-14,7.713,-0.003,-0.126,0.974
01-15,7.648,-0.004,-0.175,0.922
01-16,7.518,-0.005,-0.221,0.948
01-17,7.388,-0.004,-0.177,0.897
01-18,7.256,-0.008,-0.33,0.845
01-19,7.131,-0.008,-0.344,0.879
01-20,7.047,-0.006,-0.242,0.862
01-21,7.325,0.0,0.0,1.0
01-22,7.352,0.005,0.191,0.897
01-23,7.304,0.008,0.342,0.845
01-24,7.178,0.008,0.323,0.82
01-25,7.055,0.01,0.42,0.778
01-26,6.906,0.011,0.467,0.811
01-27,6.83,0.01,0.42,0.845
01-28,6.804,0.008,0.323,0.786
01-29,6.756,0.011,0.469,0.795
01-30,6.68,0.01,0.42,0.795
01-31,6.655,0.01,0.42,0.762
02-01,6.633,0.007,0.28,0.762
02-02,6.588,0.007,0.287,0.803
02-03,6.549,0.008,0.315,0.862
02-04,6.482,0.006,0.247,0.871
02-05,6.447,0.005,0.196,0.879
02-06,6.457,0.005,0.196,0.888
02-07,6.462,0.003,0.115,0.948
02-08,6.387,0.003,0.14,0.965
02-09,6.326,0.001,0.025,0.991
02-10,6.315,-0.0,-0.02,0.983
02-11,6.284,-0.001,-0.041,0.974
02-12,6.2,0.0,0.0,0.991
02-13,6.113,-0.004,-0.15,0.931
02-14,6.227,-0.007,-0.28,0.871
02-15,6.198,-0.002,-0.105,0.905
02-16,6.166,-0.007,-0.285,0.812
02-17,6.136,-0.008,-0.332,0.712
02-18,6.108,-0.005,-0.193,0.786
02-19,6.074,-0.011,-0.482,0.704
02-20,6.042,-0.017,-0.709,0.558
02-21,6.004,-0.021,-0.877,0.488
02-22,5.979,-0.022,-0.934,0.455
02-23,6.01,-0.021,-0.879,0.481
02-24,5.956,-0.019,-0.801,0.537
02-25,5.9,-0.02,-0.855,0.522
02-26,5.876,-0.019,-0.787,0.537
02-27,5.847,-0.018,-0.735,0.544
02-28,5.816,-0.018,-0.762,0.551
03-01,5.763,-0.014,-0.582,0.566
03-02,5.733,-0.015,-0.614,0.537
03-03,5.698,-0.015,-0.617,0.588
03-04,5.628,-0.013,-0.533,0.626
