,mean,slp,chg,pvalue
0,1.18,-0.016,-0.66,0.011
1,1.19,-0.014,-0.58,0.018
2,1.23,-0.012,-0.494,0.086
3,1.19,-0.01,-0.43,0.096
4,1.27,-0.015,-0.63,0.022
5,1.26,-0.01,-0.42,0.1
6,1.3,-0.007,-0.285,0.233
7,1.3,-0.011,-0.468,0.079
8,1.35,-0.011,-0.442,0.027
9,1.36,-0.011,-0.474,0.022
10,1.36,-0.011,-0.452,0.032
11,1.35,-0.016,-0.668,0.019
12,1.39,-0.018,-0.776,0.024
13,1.47,-0.017,-0.724,0.01
14,1.36,-0.014,-0.598,0.009
15,1.32,-0.011,-0.482,0.08
16,1.22,-0.009,-0.368,0.173
17,1.18,-0.006,-0.248,0.408
18,1.22,-0.007,-0.28,0.368
19,1.2,-0.006,-0.25,0.33
20,1.27,-0.009,-0.36,0.041
21,1.36,-0.012,-0.496,0.094
22,1.23,-0.008,-0.338,0.233
23,1.34,-0.009,-0.388,0.254
24,1.29,-0.007,-0.28,0.245
25,1.39,-0.007,-0.294,0.379
26,1.42,-0.006,-0.248,0.483
27,1.44,-0.008,-0.33,0.432
28,1.41,-0.003,-0.14,0.66
29,1.37,-0.001,-0.044,0.875
30,1.45,-0.001,-0.046,0.892
31,1.41,-0.002,-0.086,0.777
32,1.31,-0.004,-0.168,0.66
33,1.32,0.002,0.084,0.818
34,1.33,0.001,0.052,0.859
35,1.33,-0.002,-0.08,0.761
36,1.39,-0.008,-0.328,0.25
37,1.39,-0.004,-0.158,0.623
38,1.4,-0.004,-0.176,0.615
39,1.47,-0.004,-0.186,0.66
40,1.44,-0.005,-0.21,0.523
41,1.47,-0.007,-0.288,0.379
42,1.53,-0.01,-0.44,0.184
43,1.63,-0.018,-0.766,0.1
44,1.66,-0.026,-1.092,0.14
45,1.7,-0.025,-1.07,0.109
46,1.65,-0.024,-1.008,0.072
47,1.73,-0.02,-0.85,0.121
48,1.58,-0.02,-0.858,0.073
49,1.61,-0.024,-0.998,0.057
50,1.6,-0.027,-1.124,0.021
51,1.59,-0.025,-1.04,0.012
52,1.7,-0.031,-1.306,0.004
53,1.7,-0.039,-1.642,0.006
54,1.63,-0.046,-1.94,0.005
55,1.7,-0.039,-1.648,0.005
56,1.71,-0.032,-1.34,0.006
57,2.04,-0.023,-0.98,0.04
58,2.01,-0.024,-1.012,0.065
59,2.04,-0.035,-1.47,0.032
60,2.15,-0.035,-1.49,0.021
61,2.09,-0.026,-1.108,0.084
62,2.15,-0.019,-0.8,0.121
63,2.43,-0.036,-1.496,0.04
64,2.46,-0.022,-0.91,0.281
65,2.07,-0.024,-1.02,0.155
66,2.3,-0.028,-1.174,0.146
67,2.26,-0.026,-1.078,0.17
68,2.38,-0.021,-0.898,0.167
69,2.82,-0.032,-1.344,0.134
70,2.8,-0.037,-1.54,0.107
71,3.14,-0.045,-1.902,0.062
72,3.37,-0.057,-2.394,0.061
73,3.31,-0.053,-2.22,0.062
74,3.34,-0.034,-1.435,0.233
75,3.48,-0.034,-1.428,0.198
76,3.48,-0.037,-1.566,0.213
77,3.62,-0.025,-1.036,0.336
78,4.1,-0.04,-1.68,0.17
79,4.27,-0.043,-1.806,0.225
80,3.99,-0.045,-1.904,0.225
81,3.82,-0.04,-1.68,0.198
82,3.82,-0.057,-2.38,0.164
83,3.79,-0.062,-2.622,0.069
84,3.74,-0.059,-2.496,0.034
85,3.45,-0.049,-2.05,0.032
86,3.17,-0.043,-1.82,0.08
87,3.14,-0.05,-2.1,0.069
88,3.51,-0.042,-1.762,0.161
89,3.51,-0.035,-1.482,0.149
90,3.45,-0.031,-1.284,0.237
91,3.71,-0.024,-1.016,0.258
92,3.82,-0.027,-1.116,0.286
93,4.24,-0.02,-0.84,0.336
94,4.44,-0.022,-0.91,0.445
95,4.41,-0.03,-1.26,0.315
96,4.73,-0.021,-0.892,0.496
97,5.04,-0.014,-0.572,0.675
98,4.47,-0.015,-0.65,0.579
99,4.13,-0.003,-0.135,0.9
