,mean,slp,chg,pvalue
01-01,4.618,0.088,3.706,0.047
01-02,4.578,0.079,3.303,0.043
01-03,4.38,0.08,3.342,0.032
01-04,4.478,0.088,3.694,0.061
01-05,4.409,0.079,3.308,0.086
01-06,4.86,0.08,3.366,0.106
01-07,4.574,0.073,3.083,0.086
01-08,4.031,0.071,2.988,0.08
01-09,3.676,0.086,3.593,0.019
01-10,3.64,0.101,4.229,0.004
01-11,3.269,0.098,4.125,0.002
01-12,3.268,0.158,6.639,0.001
01-13,2.87,0.151,6.321,0.001
01-14,2.514,0.134,5.611,0.002
01-15,2.674,0.125,5.237,0.004
01-16,2.845,0.125,5.232,0.003
01-17,2.861,0.121,5.1,0.002
01-18,3.072,0.102,4.265,0.01
01-19,3.762,0.082,3.444,0.016
01-20,3.439,0.069,2.88,0.043
01-21,3.03,0.061,2.553,0.043
01-22,2.75,0.061,2.541,0.027
01-23,3.185,0.075,3.162,0.026
01-24,3.314,0.065,2.713,0.049
01-25,3.32,0.07,2.956,0.09
01-26,2.904,0.074,3.112,0.092
01-27,3.044,0.074,3.106,0.101
01-28,2.908,0.078,3.278,0.043
01-29,2.925,0.095,3.986,0.014
01-30,2.92,0.09,3.775,0.013
01-31,3.042,0.072,3.035,0.038
02-01,2.899,0.069,2.898,0.042
02-02,2.657,0.057,2.377,0.099
02-03,2.602,0.052,2.198,0.121
02-04,2.868,0.038,1.605,0.16
02-05,3.01,0.039,1.651,0.196
02-06,2.766,0.036,1.498,0.196
02-07,2.545,0.035,1.468,0.147
02-08,2.738,0.048,2.03,0.034
02-09,2.676,0.047,1.957,0.025
02-10,2.555,0.045,1.904,0.026
02-11,2.427,0.037,1.536,0.059
02-12,2.748,0.028,1.19,0.212
02-13,2.738,0.018,0.753,0.419
02-14,2.588,0.018,0.762,0.381
02-15,2.46,0.031,1.287,0.181
02-16,2.458,0.028,1.172,0.174
02-17,2.326,0.026,1.101,0.193
02-18,2.316,0.036,1.505,0.07
02-19,2.869,0.039,1.622,0.044
02-20,3.417,0.017,0.706,0.458
02-21,3.93,0.0,0.0,0.973
02-22,3.987,-0.003,-0.142,0.937
02-23,4.211,-0.029,-1.228,0.544
02-24,3.895,-0.035,-1.456,0.508
02-25,3.921,-0.009,-0.382,0.711
02-26,3.579,-0.011,-0.476,0.762
02-27,3.578,0.008,0.353,0.745
02-28,3.276,0.026,1.094,0.559
03-01,3.394,0.024,1.017,0.486
03-02,3.252,0.023,0.947,0.445
03-03,3.574,0.034,1.409,0.357
03-04,4.626,0.017,0.703,0.574
03-05,4.105,0.005,0.21,0.849
03-06,3.88,0.0,0.013,0.991
03-07,3.891,0.011,0.474,0.653
03-08,4.554,-0.005,-0.231,0.928
03-09,4.513,-0.017,-0.718,0.574
03-10,4.425,-0.015,-0.626,0.753
03-11,4.796,-0.014,-0.572,0.787
03-12,5.761,0.021,0.878,0.686
03-13,5.975,0.035,1.468,0.493
03-14,6.054,0.054,2.287,0.387
03-15,6.243,0.073,3.07,0.167
03-16,6.33,0.08,3.346,0.129
03-17,5.796,0.056,2.337,0.323
03-18,6.092,0.012,0.499,0.745
03-19,5.662,0.001,0.059,0.982
03-20,5.399,-0.011,-0.452,0.796
03-21,5.617,-0.043,-1.816,0.472
03-22,6.046,-0.064,-2.692,0.312
03-23,5.764,-0.066,-2.765,0.276
03-24,5.844,-0.096,-4.032,0.082
03-25,5.56,-0.101,-4.233,0.029
03-26,5.927,-0.133,-5.596,0.009
03-27,6.725,-0.125,-5.254,0.01
03-28,7.224,-0.106,-4.473,0.027
03-29,7.386,-0.114,-4.792,0.048
03-30,7.129,-0.061,-2.558,0.217
03-31,7.192,-0.049,-2.045,0.317
04-01,7.208,-0.061,-2.579,0.307
04-02,7.349,-0.061,-2.562,0.345
04-03,7.426,-0.044,-1.856,0.621
04-04,8.182,-0.028,-1.193,0.605
04-05,7.44,-0.031,-1.285,0.694
04-06,7.271,-0.029,-1.226,0.736
04-07,7.486,-0.014,-0.575,0.875
04-08,7.791,0.011,0.478,0.946
04-09,7.646,-0.023,-0.973,0.711
04-10,8.277,-0.043,-1.82,0.452
04-11,7.532,-0.048,-2.012,0.567
04-12,7.225,-0.015,-0.642,0.822
04-13,7.138,-0.022,-0.908,0.745
04-14,6.718,-0.022,-0.922,0.653
04-15,7.186,-0.004,-0.179,0.911
04-16,8.383,0.003,0.124,0.973
04-17,7.77,-0.011,-0.451,0.884
04-18,6.796,-0.025,-1.035,0.605
04-19,6.225,-0.025,-1.06,0.653
04-20,5.908,0.017,0.735,0.753
04-21,5.428,0.019,0.785,0.582
04-22,5.407,0.027,1.116,0.552
04-23,5.072,0.031,1.319,0.544
04-24,5.332,0.013,0.527,0.77
04-25,4.79,0.01,0.433,0.745
04-26,5.062,0.022,0.913,0.406
04-27,5.094,0.024,1.023,0.425
04-28,5.222,0.011,0.477,0.694
04-29,4.634,-0.005,-0.225,0.884
04-30,4.066,-0.013,-0.565,0.753
05-01,4.551,-0.009,-0.374,0.875
05-02,5.373,-0.007,-0.286,0.822
05-03,4.67,0.0,0.0,1.0
05-04,4.478,0.009,0.367,0.849
05-05,3.932,0.001,0.063,0.982
05-06,4.112,0.013,0.531,0.796
05-07,3.835,0.015,0.613,0.582
05-08,3.974,0.013,0.555,0.613
05-09,3.693,0.013,0.564,0.598
05-10,3.528,0.018,0.745,0.522
05-11,3.214,0.014,0.591,0.582
05-12,3.343,0.032,1.353,0.375
05-13,3.264,0.034,1.441,0.296
05-14,3.174,0.034,1.422,0.317
05-15,2.88,0.02,0.84,0.5
05-16,3.085,0.025,1.031,0.312
05-17,2.802,0.023,0.963,0.381
05-18,2.836,0.006,0.245,0.736
05-19,3.177,0.007,0.28,0.866
05-20,3.072,-0.007,-0.309,0.77
05-21,2.76,-0.01,-0.406,0.787
05-22,3.232,0.002,0.071,0.937
05-23,2.765,-0.005,-0.198,0.928
05-24,2.591,-0.009,-0.38,0.728
05-25,2.609,-0.0,-0.015,1.0
05-26,2.374,-0.006,-0.254,0.779
05-27,2.364,-0.006,-0.256,0.822
05-28,2.312,-0.008,-0.348,0.703
05-29,2.126,0.006,0.236,0.875
05-30,2.292,0.002,0.072,0.937
05-31,1.974,0.005,0.199,0.875
06-01,2.048,0.009,0.361,0.711
06-02,2.212,0.003,0.115,0.911
06-03,2.314,-0.005,-0.225,0.84
06-04,2.097,-0.013,-0.56,0.582
06-05,1.995,-0.014,-0.609,0.552
06-06,2.141,-0.009,-0.36,0.753
