,mean,slp,chg,pvalue
01-01,0.055,0.0,0.0,0.076
01-02,0.055,0.0,0.0,0.168
01-03,0.05,0.0,0.0,0.051
01-04,0.05,0.0,0.0,0.024
01-05,0.062,0.0,0.017,0.035
01-06,0.052,0.0,0.015,0.016
01-07,0.05,0.0,0.0,0.023
01-08,0.052,0.0,0.019,0.016
01-09,0.053,0.0,0.018,0.04
01-10,0.053,0.0,0.018,0.016
01-11,0.055,0.001,0.031,0.006
01-12,0.061,0.001,0.042,0.001
01-13,0.056,0.001,0.04,0.002
01-14,0.055,0.001,0.037,0.004
01-15,0.054,0.001,0.025,0.01
01-16,0.054,0.001,0.026,0.007
01-17,0.054,0.001,0.021,0.01
01-18,0.054,0.001,0.025,0.019
01-19,0.053,0.0,0.018,0.021
01-20,0.052,0.0,0.019,0.01
01-21,0.05,0.0,0.0,0.01
01-22,0.05,0.0,0.0,0.064
01-23,0.05,0.0,0.0,0.041
01-24,0.052,0.0,0.017,0.01
01-25,0.05,0.0,0.0,0.011
01-26,0.05,0.0,0.0,0.023
01-27,0.05,0.0,0.0,0.058
01-28,0.05,0.0,0.0,0.019
01-29,0.05,0.0,0.0,0.023
01-30,0.05,0.0,0.0,0.025
01-31,0.05,0.0,0.0,0.078
02-01,0.05,0.0,0.0,0.05
02-02,0.05,0.0,0.0,0.031
02-03,0.05,0.0,0.0,0.087
02-04,0.04,0.0,0.0,0.052
02-05,0.04,0.0,0.0,0.089
02-06,0.04,0.0,0.0,0.071
02-07,0.04,0.0,0.0,0.127
02-08,0.04,0.0,0.0,0.127
02-09,0.04,0.0,0.0,0.12
02-10,0.04,0.0,0.0,0.06
02-11,0.04,0.0,0.0,0.164
02-12,0.04,0.0,0.0,0.388
02-13,0.04,0.0,0.0,0.212
02-14,0.04,0.0,0.0,0.271
02-15,0.04,0.0,0.0,0.505
02-16,0.04,0.0,0.0,0.287
02-17,0.04,0.0,0.0,0.287
02-18,0.04,0.0,0.0,0.085
02-19,0.04,0.0,0.0,0.117
02-20,0.04,0.0,0.0,0.202
02-21,0.04,0.0,0.0,0.291
02-22,0.04,0.0,0.0,0.339
02-23,0.04,0.0,0.0,0.196
02-24,0.04,0.0,0.0,0.179
02-25,0.04,0.0,0.0,0.193
02-26,0.04,0.0,0.0,0.115
02-27,0.04,0.0,0.0,0.055
02-28,0.04,0.0,0.0,0.056
03-01,0.04,0.0,0.0,0.066
03-02,0.04,0.0,0.0,0.096
03-03,0.04,0.0,0.0,0.041
03-04,0.04,0.0,0.0,0.063
03-05,0.04,0.0,0.0,0.246
03-06,0.04,0.0,0.0,0.254
03-07,0.04,0.0,0.0,0.246
03-08,0.04,0.0,0.0,0.131
03-09,0.04,0.0,0.0,0.057
03-10,0.04,0.0,0.0,0.032
03-11,0.04,0.0,0.0,0.177
03-12,0.04,0.0,0.0,0.113
03-13,0.04,0.0,0.0,0.471
03-14,0.04,0.0,0.0,0.302
03-15,0.04,0.0,0.0,0.582
03-16,0.04,0.0,0.0,0.426
03-17,0.04,0.0,0.0,0.381
03-18,0.04,0.0,0.0,0.456
03-19,0.04,0.0,0.0,0.417
03-20,0.04,0.0,0.0,0.575
03-21,0.04,0.0,0.0,0.804
03-22,0.04,0.0,0.0,0.894
03-23,0.04,0.0,0.0,0.777
03-24,0.04,0.0,0.0,0.984
03-25,0.04,0.0,0.0,0.953
03-26,0.04,0.0,0.0,0.202
03-27,0.04,0.0,0.0,0.143
03-28,0.04,0.0,0.0,0.535
03-29,0.04,0.0,0.0,0.381
03-30,0.04,0.0,0.0,0.224
03-31,0.04,0.0,0.0,0.44
04-01,0.04,0.0,0.0,0.446
04-02,0.04,0.0,0.0,0.767
04-03,0.04,0.0,0.0,0.854
04-04,0.04,0.0,0.0,0.741
04-05,0.04,0.0,0.0,0.546
04-06,0.046,-0.001,-0.023,0.145
04-07,0.05,0.0,0.0,0.458
04-08,0.05,0.0,0.0,0.572
04-09,0.05,0.0,0.0,0.364
04-10,0.05,0.0,0.0,0.383
04-11,0.05,0.0,0.0,0.743
04-12,0.05,0.0,0.0,0.814
04-13,0.05,0.0,0.0,0.663
04-14,0.05,0.0,0.0,0.503
04-15,0.055,-0.001,-0.034,0.297
04-16,0.064,-0.001,-0.038,0.496
04-17,0.075,-0.001,-0.032,0.554
04-18,0.084,-0.001,-0.038,0.431
04-19,0.076,-0.001,-0.021,0.45
04-20,0.072,-0.0,-0.021,0.397
04-21,0.085,0.0,0.0,0.761
04-22,0.085,0.0,0.0,0.9
04-23,0.119,0.001,0.026,0.642
04-24,0.125,0.001,0.03,0.694
04-25,0.13,-0.002,-0.064,0.362
04-26,0.153,-0.003,-0.14,0.253
04-27,0.147,-0.005,-0.21,0.08
04-28,0.12,-0.005,-0.191,0.12
04-29,0.174,-0.004,-0.163,0.268
04-30,0.152,-0.007,-0.28,0.124
05-01,0.209,-0.007,-0.3,0.097
05-02,0.28,0.0,0.0,0.957
05-03,0.246,0.002,0.07,0.681
05-04,0.275,0.002,0.096,0.381
05-05,0.332,0.005,0.211,0.18
05-06,0.334,0.004,0.185,0.382
05-07,0.347,0.003,0.105,0.486
05-08,0.39,0.003,0.131,0.381
05-09,0.408,0.002,0.084,0.721
05-10,0.438,0.007,0.28,0.205
05-11,0.391,0.005,0.202,0.158
05-12,0.366,0.002,0.07,0.592
05-13,0.375,0.0,0.0,0.929
05-14,0.448,0.007,0.31,0.143
05-15,0.385,0.01,0.42,0.017
05-16,0.396,0.007,0.295,0.051
05-17,0.343,0.005,0.21,0.148
05-18,0.363,0.005,0.21,0.198
05-19,0.358,0.004,0.18,0.153
05-20,0.373,0.005,0.21,0.175
05-21,0.363,0.004,0.18,0.231
05-22,0.375,0.007,0.29,0.013
05-23,0.347,0.008,0.336,0.027
05-24,0.308,0.006,0.245,0.049
05-25,0.292,0.006,0.24,0.017
05-26,0.28,0.006,0.263,0.008
05-27,0.265,0.004,0.162,0.198
05-28,0.256,0.002,0.105,0.152
05-29,0.243,0.004,0.18,0.03
05-30,0.228,0.005,0.209,0.051
05-31,0.213,0.003,0.116,0.198
06-01,0.221,0.002,0.07,0.485
06-02,0.189,0.001,0.056,0.431
06-03,0.204,0.004,0.157,0.027
06-04,0.175,0.002,0.096,0.063
06-05,0.169,0.003,0.124,0.016
06-06,0.163,0.002,0.089,0.062
06-07,0.154,0.002,0.09,0.058
06-08,0.143,0.001,0.047,0.23
06-09,0.14,0.0,0.0,0.654
06-10,0.14,0.0,0.0,0.872
06-11,0.13,0.0,0.0,0.829
06-12,0.136,0.001,0.038,0.258
06-13,0.149,0.001,0.06,0.173
06-14,0.141,0.002,0.07,0.136
06-15,0.142,0.001,0.041,0.36
06-16,0.14,0.0,0.0,0.774
06-17,0.12,0.0,0.0,0.733
06-18,0.144,0.001,0.026,0.473
06-19,0.131,0.001,0.038,0.43
06-20,0.124,0.001,0.028,0.473
06-21,0.124,0.001,0.025,0.408
06-22,0.11,0.0,0.0,1.0
06-23,0.11,0.0,0.0,0.957
06-24,0.113,-0.0,-0.014,0.667
06-25,0.115,0.0,0.0,0.747
06-26,0.12,0.0,0.0,0.886
06-27,0.12,0.0,0.0,0.76
06-28,0.1,0.0,0.0,0.985
06-29,0.108,0.001,0.025,0.428
06-30,0.128,0.001,0.047,0.244
07-01,0.124,0.001,0.025,0.321
07-02,0.118,0.001,0.025,0.642
07-03,0.124,0.001,0.021,0.441
07-04,0.126,0.001,0.035,0.389
07-05,0.115,0.0,0.0,0.816
07-06,0.11,0.0,0.0,0.914
07-07,0.115,0.0,0.0,0.788
07-08,0.105,0.0,0.0,0.68
07-09,0.115,0.0,0.0,0.858
07-10,0.12,0.0,0.0,0.76
07-11,0.12,0.0,0.0,1.0
07-12,0.11,0.0,0.0,1.0
07-13,0.1,0.0,0.0,0.899
07-14,0.09,0.0,0.0,0.857
07-15,0.09,0.0,0.0,0.686
07-16,0.087,-0.001,-0.022,0.313
07-17,0.09,0.0,0.0,0.986
07-18,0.09,0.0,0.0,0.774
07-19,0.09,0.0,0.0,0.704
07-20,0.095,0.0,0.0,0.692
07-21,0.1,0.0,0.0,0.9
07-22,0.093,0.0,0.018,0.428
07-23,0.09,0.0,0.0,0.717
07-24,0.09,0.0,0.0,0.705
07-25,0.086,0.001,0.04,0.129
07-26,0.096,0.001,0.035,0.44
07-27,0.108,0.002,0.079,0.132
07-28,0.106,0.001,0.04,0.221
07-29,0.093,0.0,0.02,0.449
07-30,0.085,0.0,0.0,0.653
07-31,0.08,0.0,0.0,0.575
08-01,0.08,0.0,0.0,0.666
08-02,0.085,0.0,0.0,0.787
08-03,0.09,0.0,0.0,0.914
08-04,0.09,0.0,0.0,0.857
08-05,0.092,0.0,0.015,0.517
08-06,0.09,0.0,0.0,0.528
08-07,0.09,0.0,0.0,0.706
08-08,0.093,0.001,0.022,0.378
08-09,0.08,0.0,0.0,0.759
08-10,0.1,0.001,0.03,0.272
08-11,0.08,0.0,0.0,0.829
08-12,0.078,0.001,0.022,0.277
08-13,0.082,0.0,0.017,0.438
08-14,0.08,0.0,0.0,0.815
08-15,0.09,0.0,0.0,0.986
08-16,0.09,0.0,0.0,0.493
08-17,0.088,0.001,0.022,0.417
08-18,0.085,0.001,0.035,0.201
08-19,0.078,0.0,0.017,0.31
08-20,0.08,0.0,0.0,0.404
08-21,0.088,0.001,0.055,0.033
08-22,0.09,0.002,0.063,0.023
08-23,0.088,0.001,0.049,0.02
08-24,0.08,0.0,0.0,0.527
08-25,0.07,0.0,0.0,0.942
08-26,0.07,0.0,0.0,0.676
08-27,0.08,0.0,0.0,0.636
08-28,0.07,0.0,0.0,0.403
08-29,0.07,0.0,0.0,0.674
08-30,0.082,0.0,0.017,0.416
08-31,0.08,0.0,0.0,0.928
09-01,0.075,0.0,0.0,0.787
09-02,0.074,-0.001,-0.038,0.144
09-03,0.075,-0.001,-0.032,0.263
09-04,0.072,-0.0,-0.02,0.396
09-05,0.07,0.0,0.0,0.539
09-06,0.08,0.0,0.0,0.564
09-07,0.072,-0.001,-0.023,0.449
09-08,0.08,0.0,0.0,0.691
09-09,0.09,0.0,0.0,0.971
09-10,0.083,-0.001,-0.042,0.128
09-11,0.084,-0.001,-0.035,0.307
09-12,0.088,-0.0,-0.017,0.541
09-13,0.078,-0.0,-0.015,0.482
09-14,0.072,-0.001,-0.023,0.358
09-15,0.08,0.0,0.0,0.666
09-16,0.076,-0.001,-0.023,0.418
09-17,0.086,-0.001,-0.023,0.388
09-18,0.085,0.0,0.0,0.928
09-19,0.08,0.0,0.0,0.745
09-20,0.076,-0.001,-0.023,0.407
09-21,0.085,0.0,0.0,0.815
09-22,0.08,0.0,0.0,0.801
09-23,0.085,-0.001,-0.032,0.36
09-24,0.092,-0.001,-0.052,0.04
09-25,0.08,-0.001,-0.032,0.112
09-26,0.09,0.0,0.0,0.503
09-27,0.09,-0.001,-0.037,0.16
09-28,0.086,-0.001,-0.028,0.407
09-29,0.09,0.0,0.0,0.913
09-30,0.095,0.0,0.0,0.788
10-01,0.097,-0.0,-0.018,0.483
10-02,0.084,-0.001,-0.038,0.146
10-03,0.087,-0.001,-0.052,0.048
10-04,0.086,-0.001,-0.028,0.214
10-05,0.084,-0.001,-0.038,0.215
10-06,0.08,-0.002,-0.066,0.087
10-07,0.083,-0.001,-0.042,0.16
10-08,0.088,-0.001,-0.044,0.122
10-09,0.094,-0.001,-0.035,0.235
10-10,0.09,0.0,0.0,0.553
10-11,0.09,0.0,0.0,0.971
10-12,0.085,0.0,0.0,0.745
10-13,0.1,0.0,0.0,0.732
10-14,0.1,0.0,0.0,0.871
10-15,0.109,0.001,0.055,0.196
10-16,0.119,0.001,0.058,0.29
10-17,0.1,0.001,0.029,0.34
10-18,0.105,0.0,0.0,0.843
10-19,0.1,0.0,0.0,0.885
10-20,0.118,0.002,0.084,0.173
10-21,0.128,0.002,0.084,0.283
10-22,0.109,0.001,0.06,0.256
10-23,0.11,0.001,0.035,0.578
10-24,0.11,0.0,0.0,0.679
10-25,0.104,0.001,0.028,0.295
10-26,0.11,0.001,0.03,0.441
10-27,0.105,0.001,0.032,0.389
10-28,0.105,0.0,0.0,0.693
10-29,0.116,0.001,0.038,0.306
10-30,0.105,0.001,0.034,0.124
10-31,0.111,0.002,0.07,0.013
11-01,0.111,0.002,0.07,0.015
11-02,0.109,0.001,0.06,0.034
11-03,0.108,0.001,0.052,0.113
11-04,0.1,0.001,0.035,0.257
11-05,0.102,0.0,0.014,0.577
11-06,0.1,0.0,0.0,0.942
11-07,0.1,0.0,0.0,0.577
11-08,0.104,0.001,0.026,0.256
11-09,0.106,0.001,0.035,0.202
11-10,0.103,0.0,0.017,0.416
11-11,0.095,0.0,0.0,0.515
11-12,0.09,0.0,0.0,0.729
11-13,0.09,0.0,0.0,0.393
11-14,0.094,0.001,0.028,0.143
11-15,0.108,0.001,0.052,0.01
11-16,0.098,0.001,0.052,0.017
11-17,0.086,0.001,0.042,0.104
11-18,0.089,0.001,0.028,0.287
11-19,0.08,0.0,0.0,0.373
11-20,0.093,0.0,0.02,0.24
11-21,0.09,0.0,0.0,0.639
11-22,0.08,0.0,0.0,0.538
11-23,0.08,0.0,0.0,0.412
11-24,0.08,0.0,0.0,0.436
11-25,0.08,0.0,0.0,0.971
11-26,0.08,0.0,0.0,0.436
11-27,0.08,0.0,0.0,0.375
11-28,0.08,0.0,0.0,0.303
11-29,0.08,0.0,0.0,0.758
11-30,0.08,0.0,0.0,0.692
12-01,0.085,0.0,0.0,0.565
12-02,0.085,0.0,0.0,0.479
12-03,0.08,0.0,0.0,0.574
12-04,0.08,0.0,0.0,0.359
12-05,0.073,0.0,0.02,0.17
12-06,0.074,0.001,0.021,0.152
12-07,0.07,0.0,0.0,0.283
12-08,0.073,0.0,0.018,0.269
12-09,0.07,0.0,0.0,0.363
12-10,0.07,0.0,0.0,0.433
12-11,0.065,0.0,0.0,0.371
12-12,0.06,0.0,0.0,0.413
12-13,0.065,0.0,0.0,0.599
12-14,0.07,0.0,0.0,0.334
12-15,0.068,0.0,0.015,0.215
12-16,0.06,0.0,0.0,0.228
12-17,0.07,0.0,0.0,0.336
12-18,0.063,0.0,0.02,0.103
12-19,0.063,0.0,0.018,0.106
12-20,0.062,0.0,0.017,0.09
12-21,0.065,0.001,0.03,0.024
12-22,0.063,0.001,0.022,0.063
12-23,0.065,0.001,0.03,0.019
12-24,0.064,0.001,0.023,0.032
12-25,0.063,0.0,0.02,0.083
12-26,0.06,0.0,0.0,0.112
12-27,0.06,0.0,0.0,0.138
12-28,0.05,0.0,0.0,0.12
12-29,0.05,0.0,0.0,0.134
12-30,0.05,0.0,0.0,0.203
12-31,0.05,0.0,0.0,0.164
