,mean,slp,chg,pvalue
01-01,0.236,0.006,0.258,0.018
01-02,0.247,0.007,0.28,0.01
01-03,0.246,0.007,0.289,0.005
01-04,0.237,0.007,0.28,0.005
01-05,0.227,0.007,0.304,0.003
01-06,0.218,0.008,0.328,0.004
01-07,0.217,0.007,0.306,0.003
01-08,0.208,0.007,0.311,0.003
01-09,0.217,0.007,0.31,0.004
01-10,0.197,0.008,0.321,0.003
01-11,0.207,0.007,0.28,0.004
01-12,0.196,0.007,0.273,0.005
01-13,0.207,0.007,0.28,0.004
01-14,0.207,0.007,0.28,0.005
01-15,0.207,0.007,0.284,0.003
01-16,0.197,0.007,0.296,0.003
01-17,0.177,0.007,0.294,0.004
01-18,0.207,0.007,0.284,0.006
01-19,0.217,0.007,0.28,0.006
01-20,0.217,0.007,0.286,0.007
01-21,0.227,0.007,0.28,0.008
01-22,0.238,0.007,0.311,0.007
01-23,0.237,0.007,0.278,0.01
01-24,0.236,0.006,0.273,0.014
01-25,0.236,0.006,0.255,0.043
01-26,0.236,0.006,0.24,0.085
01-27,0.236,0.006,0.252,0.072
01-28,0.235,0.005,0.212,0.11
01-29,0.245,0.005,0.218,0.134
01-30,0.256,0.005,0.227,0.126
01-31,0.255,0.005,0.21,0.129
02-01,0.274,0.004,0.18,0.153
02-02,0.254,0.004,0.175,0.146
02-03,0.254,0.004,0.157,0.134
02-04,0.265,0.005,0.226,0.085
02-05,0.286,0.006,0.246,0.083
02-06,0.286,0.006,0.252,0.094
02-07,0.286,0.006,0.264,0.121
02-08,0.276,0.006,0.258,0.105
02-09,0.266,0.006,0.258,0.105
02-10,0.256,0.006,0.244,0.096
02-11,0.275,0.005,0.21,0.126
02-12,0.285,0.005,0.21,0.115
02-13,0.315,0.005,0.206,0.169
02-14,0.346,0.005,0.223,0.143
02-15,0.346,0.006,0.24,0.162
02-16,0.376,0.006,0.231,0.146
02-17,0.376,0.005,0.219,0.17
02-18,0.425,0.005,0.216,0.225
02-19,0.475,0.005,0.21,0.368
02-20,0.455,0.005,0.212,0.38
02-21,0.576,0.006,0.235,0.362
02-22,0.626,0.006,0.232,0.393
02-23,0.596,0.006,0.256,0.317
02-24,0.576,0.007,0.283,0.281
02-25,0.576,0.006,0.254,0.334
02-26,0.597,0.007,0.28,0.412
02-27,0.685,0.005,0.212,0.522
02-28,0.685,0.005,0.21,0.574
03-01,0.715,0.005,0.21,0.574
03-02,0.742,0.002,0.096,0.736
03-03,0.742,0.002,0.067,0.762
03-04,0.714,0.004,0.156,0.637
03-05,0.743,0.003,0.14,0.613
03-06,1.053,0.004,0.153,0.678
03-07,0.979,-0.001,-0.034,0.955
03-08,0.93,0.0,0.0,0.946
03-09,1.02,0.0,0.0,0.982
03-10,1.188,-0.002,-0.09,0.911
03-11,1.667,-0.003,-0.144,0.849
03-12,1.748,-0.002,-0.09,0.919
03-13,1.828,-0.002,-0.08,0.928
03-14,1.839,-0.001,-0.032,0.911
03-15,1.701,0.001,0.042,0.866
03-16,2.262,0.002,0.095,0.884
03-17,1.66,0.0,0.015,0.946
03-18,2.591,0.001,0.04,0.937
03-19,2.832,0.002,0.067,0.946
03-20,2.542,-0.008,-0.35,0.779
03-21,3.058,-0.002,-0.065,0.973
03-22,2.49,-0.0,-0.018,0.982
03-23,2.832,0.001,0.053,0.982
03-24,3.749,-0.011,-0.454,0.796
03-25,3.066,-0.015,-0.613,0.678
03-26,3.514,-0.026,-1.082,0.522
03-27,2.894,-0.017,-0.711,0.515
03-28,2.666,-0.014,-0.6,0.645
03-29,2.618,-0.011,-0.469,0.621
03-30,2.442,-0.008,-0.329,0.678
03-31,2.007,-0.003,-0.107,0.982
04-01,1.836,-0.004,-0.174,0.805
04-02,1.757,-0.002,-0.095,0.955
04-03,1.822,0.002,0.104,0.919
04-04,1.705,0.005,0.194,0.857
04-05,1.782,0.002,0.098,0.928
