,mean,slp,chg,pvalue
0,29.58,-0.119,-5.013,0.452
1,29.478,-0.122,-5.114,0.452
2,29.582,-0.118,-4.975,0.438
3,29.686,-0.115,-4.815,0.406
4,29.386,-0.115,-4.815,0.369
5,29.49,-0.111,-4.643,0.375
6,29.29,-0.111,-4.653,0.375
7,28.974,-0.125,-5.269,0.334
8,28.991,-0.109,-4.572,0.317
9,28.785,-0.115,-4.838,0.328
10,28.882,-0.118,-4.956,0.357
11,28.579,-0.121,-5.1,0.369
12,28.568,-0.132,-5.546,0.34
13,28.467,-0.133,-5.6,0.328
14,28.367,-0.133,-5.6,0.317
15,28.464,-0.136,-5.699,0.296
16,28.359,-0.141,-5.924,0.281
17,28.35,-0.149,-6.261,0.266
18,28.246,-0.154,-6.451,0.243
19,28.046,-0.154,-6.47,0.212
20,27.836,-0.165,-6.915,0.217
21,27.527,-0.173,-7.268,0.221
22,27.218,-0.182,-7.629,0.204
23,27.118,-0.182,-7.63,0.193
24,27.12,-0.181,-7.591,0.185
25,26.924,-0.176,-7.409,0.174
26,26.416,-0.184,-7.747,0.164
27,26.111,-0.189,-7.942,0.138
28,26.112,-0.188,-7.911,0.127
29,26.1,-0.2,-8.4,0.099
30,26.502,-0.198,-8.295,0.082
31,26.587,-0.213,-8.942,0.062
32,26.99,-0.21,-8.802,0.061
33,26.59,-0.21,-8.833,0.047
34,25.692,-0.208,-8.746,0.047
35,25.8,-0.2,-8.4,0.041
36,25.794,-0.206,-8.659,0.049
37,26.198,-0.202,-8.484,0.059
38,26.198,-0.202,-8.484,0.051
39,25.892,-0.208,-8.743,0.049
40,25.888,-0.212,-8.901,0.048
41,25.998,-0.203,-8.511,0.044
42,25.293,-0.207,-8.676,0.046
43,25.278,-0.223,-9.351,0.043
44,25.284,-0.216,-9.083,0.044
45,25.679,-0.221,-9.282,0.035
46,25.684,-0.216,-9.055,0.035
47,25.582,-0.219,-9.195,0.025
48,25.377,-0.223,-9.361,0.023
49,25.37,-0.23,-9.652,0.018
50,25.666,-0.234,-9.826,0.014
51,25.458,-0.242,-10.159,0.014
