,mean,slp,chg,pvalue
01-01,0.13,0.0,0.0,0.991
01-02,0.119,-0.001,-0.032,0.521
01-03,0.13,0.0,0.017,0.813
01-04,0.14,-0.001,-0.025,0.677
01-05,0.14,0.0,0.0,0.857
01-06,0.14,0.0,0.0,0.813
01-07,0.14,-0.0,-0.019,0.677
01-08,0.119,-0.001,-0.04,0.551
01-09,0.129,-0.001,-0.048,0.411
01-10,0.14,0.0,0.0,0.875
01-11,0.13,-0.0,-0.015,0.805
01-12,0.131,0.001,0.04,0.582
01-13,0.131,0.001,0.032,0.566
01-14,0.11,0.001,0.031,0.629
01-15,0.14,0.0,0.0,0.964
01-16,0.131,0.001,0.05,0.418
01-17,0.121,0.001,0.046,0.405
01-18,0.16,0.001,0.031,0.628
01-19,0.16,0.0,0.0,0.991
01-20,0.149,-0.001,-0.048,0.431
01-21,0.138,-0.001,-0.051,0.285
01-22,0.12,-0.001,-0.023,0.581
01-23,0.14,0.0,0.0,0.875
01-24,0.151,0.001,0.05,0.589
01-25,0.15,0.0,0.0,0.919
01-26,0.15,-0.0,-0.017,0.744
01-27,0.14,0.0,0.0,0.857
01-28,0.13,0.0,0.0,0.893
01-29,0.12,0.0,0.0,1.0
01-30,0.12,0.0,0.0,1.0
01-31,0.15,-0.0,-0.017,0.669
02-01,0.14,-0.0,-0.006,0.753
02-02,0.15,-0.0,-0.015,0.761
02-03,0.16,0.0,0.0,0.991
02-04,0.15,0.0,0.015,0.744
02-05,0.15,0.0,0.017,0.736
02-06,0.14,0.0,0.0,0.991
02-07,0.13,0.0,0.0,0.955
02-08,0.14,0.0,0.006,0.761
02-09,0.13,-0.0,-0.014,0.677
02-10,0.14,0.0,0.0,0.84
02-11,0.15,-0.0,-0.019,0.71
02-12,0.149,-0.001,-0.042,0.45
02-13,0.14,0.0,0.0,1.0
02-14,0.169,-0.0,-0.017,0.719
02-15,0.16,0.0,0.0,0.937
02-16,0.169,-0.001,-0.054,0.339
02-17,0.169,-0.001,-0.042,0.566
02-18,0.198,-0.001,-0.045,0.492
02-19,0.159,-0.001,-0.044,0.471
02-20,0.168,-0.002,-0.103,0.103
