,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.09197500000000003,-164.16830000000007,0.5791014739018652,0.0,43.0,3.863,0.157,17.85,21.713
01-02,0.03047692307692283,-42.50224615384566,0.8917637113420818,0.0,43.0,1.28,0.05,17.812,19.092
01-03,0.008707692307692373,5.168015384615256,0.9415976652703433,0.0,43.0,0.365,0.013,22.401,22.766
01-04,0.052010810810810805,-80.1081216216216,0.80168260643475,0.0,43.0,2.185,0.077,22.821,25.006
01-05,0.19065263157894732,-360.6179631578946,0.3793495934816995,0.0,43.0,8.007,0.284,16.684,24.691
01-06,0.2358333333333332,-451.8849666666664,0.21681007376184036,0.0,43.0,9.905,0.386,14.829,24.734
01-07,0.12532857142857143,-231.46974285714285,0.502744007331529,0.0,43.0,5.264,0.196,16.555,21.819
01-08,-0.097635,215.3347,0.6678120652301731,-0.0,43.0,-4.101,-0.128,22.115,18.014
01-09,-0.12330714285714274,266.33938571428547,0.622788834678109,-0.0,43.0,-5.179,-0.193,22.315,17.136
01-10,-0.05660000000000001,131.53840000000002,0.6831461161779551,-0.0,43.0,-2.377,-0.107,19.527,17.15
01-11,0.028299999999999992,-37.044699999999985,0.8423770475738914,0.0,43.0,1.189,0.052,18.961,20.15
01-12,0.08490000000000009,-151.32010000000017,0.5577896708966845,0.0,43.0,3.566,0.145,16.697,20.263
01-13,0.16171428571428567,-305.3165714285713,0.3793495934816995,0.0,43.0,6.792,0.28,14.716,21.508
01-14,0.17197692307692306,-325.8135461538461,0.25395594521777776,0.0,43.0,7.223,0.316,14.529,21.752
01-15,0.19102499999999978,-361.47589999999957,0.22068822167306035,0.0,43.0,8.023,0.282,16.563,24.586
01-16,0.20596111111111112,-393.69702222222224,0.18724018691704014,0.0,43.0,8.65,0.264,13.9,22.55
01-17,0.2152821428571429,-413.27298571428577,0.1736702772203822,0.0,43.0,9.042,0.326,12.77,21.812
01-18,0.23394666666666666,-450.03603333333336,0.14573208199970367,0.0,43.0,9.826,0.333,12.944,22.77
01-19,0.16665555555555558,-314.15201111111116,0.35160871902862567,0.0,43.0,7.0,0.21,15.659,22.659
01-20,-0.030995238095238097,81.74387619047619,0.8670185603843512,-0.0,43.0,-1.302,-0.037,20.404,19.102
01-21,-0.06917777777777781,157.17505555555562,0.7535233114013147,-0.0,43.0,-2.905,-0.08,20.272,17.367
01-22,-0.1184407407407407,256.8895814814814,0.4896953730929159,-0.0,43.0,-4.974,-0.162,22.495,17.521
01-23,-0.1708107142857143,363.5822285714286,0.5096661617317191,-0.0,43.0,-7.174,-0.236,25.548,18.374
01-24,-0.16682105263157898,355.4048052631579,0.5578328106499548,-0.0,43.0,-7.007,-0.198,25.266,18.259
01-25,-0.06603333333333321,155.0462666666664,0.8917754948870602,-0.0,43.0,-2.773,-0.073,24.366,21.593
01-26,0.09747777777777758,-173.58905555555515,0.7063555824925176,0.0,43.0,4.095,0.123,19.319,23.414
01-27,0.2439190476190476,-464.74529523809514,0.2717988898335211,0.0,43.0,10.244,0.304,17.971,28.215
01-28,0.25555757575757576,-488.05065151515157,0.24534706650602778,0.0,43.0,10.733,0.353,17.698,28.431
01-29,0.22404166666666667,-426.63193333333334,0.30502190645050176,0.0,43.0,9.409,0.338,16.747,26.156
01-30,0.18435428571428575,-348.27597142857144,0.3461972358465202,0.0,43.0,7.743,0.277,16.561,24.304
01-31,0.06468571428571426,-110.63682857142852,0.6526476872328977,0.0,43.0,2.717,0.082,17.376,20.093
02-01,-0.0015722222222222095,21.426244444444418,0.9916494976852062,-0.0,43.0,-0.066,-0.002,18.315,18.249
02-02,0.03962000000000003,-53.43040000000006,0.7141039918093073,0.0,43.0,1.664,0.056,24.978,26.642
02-03,0.04150666666666657,-58.279133333333135,0.8752392492886125,0.0,43.0,1.743,0.05,23.863,25.606
02-04,-0.030186666666666657,87.76773333333333,0.8752528040453418,-0.0,43.0,-1.268,-0.031,28.028,26.76
02-05,0.09004545454545462,-149.24390909090923,0.7297819291642027,0.0,43.0,3.782,0.102,28.956,32.738
02-06,0.2532105263157895,-478.121052631579,0.2495996408749035,0.0,43.0,10.634,0.246,22.983,33.617
02-07,0.3742903225806451,-719.7146451612902,0.12392614720928896,0.0,43.0,15.72,0.346,21.006,36.726
02-08,0.36385714285714277,-700.6877857142856,0.08606746367095908,1.0,43.0,15.282,0.429,19.385,34.667
02-09,0.29108571428571434,-558.1164285714287,0.1516176038952779,0.0,43.0,12.226,0.351,17.942,30.168
02-10,0.2672777777777778,-511.80235555555555,0.18038393817009846,0.0,43.0,11.226,0.3,17.14,28.366
02-11,0.1482380952380953,-273.3267904761906,0.43866997611941727,0.0,43.0,6.226,0.135,20.036,26.262
02-12,0.14503750000000015,-268.8783000000003,0.516431410692801,0.0,43.0,6.091,0.13,18.151,24.242
02-13,0.14352142857142855,-267.20455714285714,0.3908016455141383,0.0,43.0,6.028,0.164,16.824,22.852
02-14,0.13678333333333334,-254.77546666666672,0.414326973448099,0.0,43.0,5.745,0.17,15.919,21.664
02-15,0.13534782608695667,-250.71585217391333,0.4324831630856889,0.0,43.0,5.685,0.18,17.137,22.822
02-16,0.015093333333333328,-5.480766666666661,0.9749521512779935,0.0,43.0,0.634,0.016,24.389,25.023
02-17,-0.24762499999999976,522.1066999999995,0.30502190645050176,-0.0,43.0,-10.4,-0.244,32.057,21.657
02-18,-0.3483076923076922,726.6133846153845,0.29531084070475133,-0.0,43.0,-14.628,-0.319,37.312,22.684
02-19,-0.10753999999999996,243.9459999999999,0.6451366004806696,-0.0,43.0,-4.516,-0.109,31.124,26.608
02-20,-0.07298421052631576,175.96642105263155,0.8260379269556641,-0.0,43.0,-3.066,-0.079,31.531,28.465
02-21,-0.1781851851851852,384.1326703703704,0.39657972785647133,-0.0,43.0,-7.484,-0.193,31.504,24.02
02-22,-0.09004545454545462,211.22090909090923,0.6831132888540932,-0.0,43.0,-3.782,-0.087,33.021,29.239
02-23,-0.13363888888888908,299.25677777777815,0.737705458452796,-0.0,43.0,-5.612,-0.108,34.785,29.173
02-24,-0.2634827586206898,557.5295172413796,0.5028844701346367,-0.0,43.0,-11.066,-0.215,36.097,25.031
02-25,-0.07074999999999998,173.19599999999994,0.785490925317218,-0.0,43.0,-2.972,-0.066,33.182,30.21
02-26,-0.10966250000000022,247.62500000000043,0.6526832370013438,-0.0,43.0,-4.606,-0.118,30.603,25.997
02-27,-0.09220322580645161,211.80085161290322,0.6526832370013438,-0.0,43.0,-3.873,-0.113,29.331,25.458
02-28,-0.06452399999999997,156.86689999999993,0.8423770475738914,-0.0,43.0,-2.71,-0.072,29.174,26.464
03-01,0.21439393939393947,-399.92187878787894,0.38502356531620374,0.0,43.0,9.004,0.19,24.364,33.368
03-02,0.4952499999999998,-961.0679999999996,0.1047543204235093,0.0,43.0,20.8,0.446,19.032,39.832
03-03,0.4500612903225806,-869.8415806451612,0.1736702772203822,0.0,43.0,18.902,0.409,20.83,39.732
03-04,0.41742499999999993,-801.4559999999999,0.12392614720928896,0.0,43.0,17.532,0.362,24.628,42.16
03-05,0.2728928571428568,-512.9577142857137,0.2053090029922391,0.0,43.0,11.462,0.219,27.097,38.559
03-06,0.25941666666666663,-485.4393333333332,0.4263971664376689,0.0,43.0,10.896,0.227,27.946,38.842
03-07,0.14836060606060608,-261.9122121212122,0.6526832370013438,0.0,43.0,6.232,0.151,31.693,37.925
