,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.024880416666666665,-47.213833333333326,0.13997965946991697,0.0,43.0,1.044,0.335,2.025,3.069
01-02,0.0251304,-47.61475,0.08992951761163104,1.0,43.0,1.056,0.34,2.118,3.174
01-03,0.02515555555555555,-47.79241111111109,0.10031239512963563,0.0,43.0,1.057,0.333,1.99,3.047
01-04,0.021103714285714295,-39.65759857142859,0.1768848077357963,0.0,43.0,0.886,0.282,2.107,2.993
01-05,0.018866666666666677,-34.846733333333354,0.285635193454131,0.0,43.0,0.793,0.232,2.49,3.283
01-06,0.024608695652173915,-46.38739130434783,0.0751133847957306,1.0,43.0,1.034,0.3,2.313,3.347
01-07,0.03237520000000001,-61.94870000000001,0.05406183693194788,1.0,43.0,1.36,0.394,2.122,3.482
01-08,0.03190181818181817,-60.94533636363634,0.03820883966061439,2.0,43.0,1.34,0.371,2.188,3.528
01-09,0.030514782608695654,-58.28446521739131,0.0879465025488615,1.0,43.0,1.282,0.367,2.104,3.386
01-10,0.022993749999999993,-43.157499999999985,0.20163008114208414,0.0,43.0,0.966,0.285,2.347,3.313
01-11,0.016508333333333347,-30.2630766666667,0.24534706650602778,0.0,43.0,0.693,0.209,2.407,3.1
01-12,0.01591875000000001,-29.13202000000002,0.4142076529921339,0.0,43.0,0.669,0.21,2.371,3.04
01-13,0.01591874999999998,-29.148999999999962,0.32513267825575465,0.0,43.0,0.669,0.208,2.354,3.023
01-14,0.01467407407407407,-26.63134814814814,0.36243186065188304,0.0,43.0,0.616,0.191,2.409,3.025
01-15,0.01650833333333333,-30.31967666666666,0.5438105094192973,0.0,43.0,0.694,0.217,2.35,3.044
01-16,0.015093333333333337,-27.46986666666667,0.23694499950044023,0.0,43.0,0.634,0.196,2.4,3.034
01-17,0.015407777777777777,-28.042155555555556,0.3303856345990117,0.0,43.0,0.647,0.194,2.45,3.097
01-18,0.020256842105263153,-37.740284210526305,0.23279550680733352,0.0,43.0,0.851,0.26,2.348,3.199
01-19,0.018571875,-34.53732000000001,0.3149270797834882,0.0,43.0,0.78,0.225,2.216,2.996
01-20,0.016831052631578948,-30.973605263157896,0.29520503717793734,0.0,43.0,0.707,0.205,2.335,3.042
01-21,0.01629393939393938,-29.99559878787876,0.2857055748050956,0.0,43.0,0.684,0.202,2.25,2.934
01-22,0.015436363636363653,-28.337047272727304,0.2904289129730353,0.0,43.0,0.648,0.193,2.212,2.86
01-23,0.014982352941176454,-27.26771588235291,0.24524363572402952,0.0,43.0,0.63,0.187,2.382,3.012
01-24,0.012735000000000007,-22.676790000000015,0.44485679135035916,0.0,43.0,0.535,0.153,2.526,3.061
