,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.9020624999999995,1912.558218749999,0.08280273133937444,-1.0,34.0,-37.887,-0.33,127.377,89.49
01-02,-0.7428749999999997,1591.3620624999996,0.10929015759747118,-0.0,34.0,-31.2,-0.273,121.212,90.012
01-03,-0.8699629629629632,1847.796092592593,0.13804881673399905,-0.0,34.0,-36.538,-0.315,126.139,89.601
01-04,-0.7401538461538462,1585.932,0.07518661363105195,-1.0,34.0,-31.087,-0.263,121.168,90.081
01-05,-0.7298421052631574,1569.7414210526306,0.16794879518037176,-0.0,34.0,-30.653,-0.254,125.384,94.731
01-06,-1.1093599999999997,2323.5318799999995,0.10929015759747118,-0.0,34.0,-46.593,-0.379,128.108,81.515
01-07,-0.5817222222222225,1269.7816944444448,0.31331825948549397,-0.0,34.0,-24.432,-0.195,118.553,94.121
01-08,-0.5659999999999996,1243.3604999999993,0.27911778242341057,-0.0,34.0,-23.771,-0.183,123.246,99.475
01-09,-0.5748437499999999,1257.4707031249998,0.35792950542423463,-0.0,34.0,-24.144,-0.186,119.855,95.711
01-10,-1.1005555555555557,2312.471611111111,0.2356398871064984,-0.0,34.0,-46.223,-0.362,134.472,88.249
01-11,-0.5282666666666671,1168.0636333333343,0.5045677761168321,-0.0,34.0,-22.187,-0.176,122.624,100.437
01-12,-0.8489999999999966,1814.4544999999935,0.43199530494137006,-0.0,34.0,-35.658,-0.281,134.284,98.626
01-13,-0.37236842105263096,855.5536842105251,0.5832214326911815,-0.0,34.0,-15.64,-0.125,118.637,102.997
01-14,-0.33960000000000057,786.7683000000011,0.5334399500946116,-0.0,34.0,-14.263,-0.115,114.7,100.437
01-15,-0.5531363636363635,1214.8611136363634,0.2991566762193205,-0.0,34.0,-23.231,-0.186,120.204,96.973
01-16,-0.832352941176471,1779.537294117648,0.16794879518037176,-0.0,34.0,-34.959,-0.277,132.311,97.352
01-17,-0.6431818181818172,1397.659818181816,0.22978538732554243,-0.0,34.0,-27.014,-0.222,124.803,97.789
01-18,-0.6702631578947368,1448.4461315789474,0.17252079847066937,-0.0,34.0,-28.151,-0.234,121.995,93.844
01-19,-1.132000000000005,2369.70050000001,0.08280273133937444,-1.0,34.0,-47.544,-0.385,129.472,81.928
01-20,-0.8376799999999998,1782.3849399999995,0.14207599596726084,-0.0,34.0,-35.182,-0.296,124.616,89.434
01-21,-0.7259565217391305,1566.940239130435,0.2534779968374319,-0.0,34.0,-30.49,-0.251,130.272,99.782
01-22,-0.7169333333333336,1546.6704666666674,0.21293810026339033,-0.0,34.0,-30.111,-0.252,127.859,97.748
01-23,-0.7546666666666653,1620.5523333333306,0.22978538732554243,-0.0,34.0,-31.696,-0.266,127.067,95.371
01-24,-0.8254166666666656,1757.7719583333312,0.1460736080237528,-0.0,34.0,-34.667,-0.299,124.272,89.605
01-25,-0.6037333333333331,1316.5348666666662,0.2661573098636145,-0.0,34.0,-25.357,-0.219,121.747,96.39
01-26,-0.9796153846153846,2065.334,0.05965630554757273,-1.0,34.0,-41.144,-0.357,126.675,85.531
01-27,-1.1885999999999997,2483.7777999999994,0.03657504172947257,-2.0,34.0,-49.921,-0.442,131.538,81.617
01-28,-1.3107368421052636,2727.784868421054,0.04073444385527103,-2.0,34.0,-55.051,-0.486,133.837,78.786
01-29,-1.0426315789473686,2192.780815789474,0.08542999415405728,-1.0,34.0,-43.791,-0.38,129.413,85.622
01-30,-0.9796153846153846,2070.9939999999997,0.15898990520453804,-0.0,34.0,-41.144,-0.35,132.335,91.191
01-31,-0.8175555555555555,1750.999611111111,0.17252079847066937,-0.0,34.0,-34.337,-0.288,133.057,98.72
02-01,-0.823272727272727,1765.0967272727266,0.15469367377127763,-0.0,34.0,-34.577,-0.293,135.84,101.263
