,mean,slp,chg,pvalue
01-01,7.816,0.117,4.903,0.005
01-02,8.243,0.123,5.16,0.004
01-03,8.328,0.118,4.958,0.002
01-04,7.762,0.122,5.12,0.002
01-05,8.04,0.12,5.059,0.001
01-06,7.956,0.116,4.872,0.001
01-07,7.856,0.126,5.29,0.001
01-08,7.768,0.128,5.393,0.001
01-09,7.595,0.126,5.271,0.0
01-10,7.474,0.114,4.795,0.0
01-11,7.583,0.113,4.748,0.001
01-12,7.472,0.112,4.702,0.0
01-13,7.473,0.113,4.758,0.0
01-14,7.472,0.112,4.694,0.001
01-15,7.38,0.11,4.613,0.0
01-16,7.746,0.107,4.475,0.001
01-17,7.463,0.103,4.312,0.001
01-18,7.445,0.085,3.57,0.009
01-19,7.34,0.07,2.94,0.016
01-20,7.402,0.072,3.02,0.018
01-21,7.349,0.079,3.323,0.013
01-22,7.299,0.078,3.293,0.012
01-23,7.143,0.073,3.087,0.013
01-24,7.15,0.079,3.333,0.011
01-25,7.11,0.091,3.813,0.005
01-26,7.172,0.101,4.253,0.002
01-27,7.196,0.096,4.025,0.004
01-28,7.13,0.111,4.643,0.001
01-29,7.194,0.125,5.247,0.0
01-30,7.792,0.152,6.398,0.0
01-31,8.121,0.142,5.945,0.001
02-01,8.071,0.121,5.074,0.003
02-02,8.099,0.118,4.961,0.004
02-03,8.32,0.11,4.62,0.004
02-04,8.484,0.104,4.36,0.009
02-05,8.577,0.087,3.65,0.012
02-06,8.301,0.091,3.83,0.012
02-07,8.301,0.091,3.816,0.014
02-08,8.014,0.094,3.946,0.007
02-09,8.006,0.086,3.617,0.01
02-10,8.013,0.093,3.908,0.012
02-11,8.024,0.104,4.357,0.009
02-12,8.024,0.104,4.372,0.01
02-13,8.111,0.101,4.248,0.028
02-14,8.018,0.098,4.13,0.025
02-15,8.022,0.101,4.245,0.034
02-16,8.037,0.117,4.918,0.019
02-17,8.587,0.097,4.08,0.048
02-18,8.984,0.074,3.104,0.124
02-19,8.276,0.066,2.753,0.234
02-20,8.282,0.072,3.028,0.192
02-21,9.136,0.076,3.178,0.216
02-22,9.665,0.045,1.902,0.452
02-23,9.652,0.033,1.365,0.669
02-24,9.894,-0.006,-0.271,0.919
02-25,9.598,-0.022,-0.921,0.893
02-26,9.888,-0.012,-0.506,0.902
02-27,9.637,0.017,0.716,0.787
02-28,9.654,0.034,1.447,0.694
03-01,12.688,0.068,2.846,0.425
03-02,11.564,0.044,1.85,0.507
03-03,11.538,0.048,2.018,0.529
03-04,11.115,0.045,1.888,0.574
03-05,10.044,0.025,1.039,0.597
03-06,10.236,0.046,1.942,0.479
03-07,10.532,0.062,2.594,0.334
03-08,10.848,0.099,4.139,0.286
03-09,13.161,0.091,3.84,0.345
03-10,13.529,0.118,4.961,0.271
03-11,14.674,0.154,6.451,0.212
03-12,16.639,0.169,7.09,0.243
03-13,20.238,0.259,10.865,0.082
03-14,20.598,0.278,11.664,0.099
03-15,17.162,0.242,10.168,0.082
03-16,17.157,0.177,7.446,0.221
03-17,17.177,0.117,4.926,0.381
03-18,18.542,0.061,2.581,0.719
03-19,18.551,-0.069,-2.879,0.678
03-20,20.244,-0.016,-0.676,0.919
03-21,20.914,0.024,1.019,0.919
03-22,17.721,0.001,0.03,0.991
03-23,16.997,-0.013,-0.544,0.937
03-24,16.701,-0.029,-1.218,0.84
03-25,19.117,-0.013,-0.54,0.911
03-26,19.862,-0.028,-1.164,0.919
03-27,20.4,0.019,0.805,0.911
03-28,21.308,0.027,1.153,0.779
03-29,24.204,0.094,3.946,0.567
03-30,22.102,0.111,4.679,0.425
03-31,21.046,0.186,7.793,0.281
04-01,20.047,0.207,8.696,0.334
04-02,19.298,0.139,5.817,0.34
04-03,20.331,0.121,5.1,0.381
04-04,19.342,0.072,3.013,0.745
04-05,18.489,-0.022,-0.917,0.919
04-06,16.28,-0.05,-2.087,0.84
04-07,18.662,-0.019,-0.777,0.884
04-08,17.296,0.035,1.475,0.736
04-09,19.094,0.024,1.001,0.84
04-10,18.744,0.064,2.7,0.59
04-11,17.146,0.056,2.357,0.661
04-12,15.515,0.065,2.72,0.736
04-13,15.617,0.077,3.214,0.529
04-14,16.3,0.141,5.903,0.296
04-15,17.453,0.193,8.12,0.291
04-16,18.098,0.268,11.256,0.147
04-17,19.444,0.225,9.437,0.174
04-18,16.964,0.184,7.732,0.2
04-19,15.249,0.189,7.956,0.204
04-20,15.044,0.244,10.256,0.047
04-21,15.29,0.29,12.176,0.015
04-22,15.444,0.334,14.04,0.013
04-23,16.002,0.291,12.225,0.013
04-24,14.753,0.234,9.807,0.025
04-25,13.925,0.225,9.45,0.03
04-26,15.468,0.218,9.164,0.034
04-27,14.016,0.175,7.369,0.055
04-28,12.9,0.11,4.622,0.144
04-29,13.236,0.106,4.441,0.212
04-30,13.182,0.111,4.673,0.144
05-01,13.756,0.196,8.242,0.021
05-02,15.299,0.269,11.298,0.019
05-03,15.02,0.33,13.854,0.012
05-04,13.882,0.322,13.516,0.005
05-05,13.164,0.284,11.949,0.013
05-06,13.733,0.262,11.025,0.018
05-07,13.31,0.26,10.904,0.018
05-08,14.524,0.234,9.841,0.029
05-09,15.531,0.251,10.542,0.013
05-10,16.456,0.356,14.956,0.006
05-11,15.234,0.375,15.733,0.005
05-12,15.034,0.373,15.677,0.001
05-13,15.633,0.403,16.922,0.0
05-14,13.919,0.358,15.043,0.0
05-15,13.488,0.298,12.504,0.001
05-16,13.439,0.248,10.427,0.001
05-17,12.871,0.221,9.28,0.002
05-18,12.831,0.211,8.868,0.005
05-19,12.946,0.156,6.573,0.021
05-20,12.847,0.107,4.506,0.135
05-21,11.82,0.099,4.173,0.147
05-22,11.488,0.108,4.536,0.144
05-23,11.014,0.114,4.809,0.113
05-24,10.406,0.106,4.441,0.067
05-25,10.143,0.123,5.152,0.026
05-26,10.912,0.162,6.785,0.012
05-27,10.311,0.15,6.313,0.008
05-28,11.42,0.16,6.72,0.005
05-29,11.673,0.183,7.676,0.006
05-30,10.936,0.206,8.65,0.003
05-31,12.118,0.228,9.57,0.001
06-01,11.85,0.221,9.269,0.001
06-02,10.9,0.199,8.369,0.003
06-03,11.104,0.204,8.579,0.002
06-04,9.802,0.181,7.619,0.001
06-05,8.772,0.172,7.211,0.0
06-06,8.844,0.155,6.491,0.001
06-07,9.558,0.158,6.653,0.003
06-08,9.883,0.143,5.998,0.028
06-09,9.774,0.124,5.218,0.052
06-10,10.64,0.141,5.901,0.056
06-11,10.588,0.149,6.243,0.03
06-12,11.41,0.2,8.383,0.011
06-13,10.686,0.247,10.355,0.001
06-14,10.162,0.232,9.742,0.001
06-15,10.785,0.225,9.45,0.003
06-16,10.608,0.248,10.425,0.004
06-17,12.994,0.315,13.221,0.005
06-18,12.273,0.273,11.485,0.005
06-19,10.252,0.292,12.264,0.001
06-20,9.208,0.238,9.999,0.002
06-21,9.034,0.234,9.826,0.002
06-22,8.928,0.237,9.969,0.005
06-23,8.589,0.239,10.054,0.003
06-24,9.002,0.263,11.027,0.004
06-25,9.625,0.285,11.956,0.002
06-26,9.49,0.26,10.907,0.002
06-27,10.447,0.257,10.804,0.003
06-28,11.911,0.251,10.546,0.005
06-29,11.045,0.175,7.338,0.014
06-30,10.569,0.159,6.672,0.032
07-01,9.973,0.153,6.422,0.035
07-02,9.552,0.152,6.396,0.015
07-03,9.123,0.153,6.436,0.009
07-04,8.984,0.124,5.21,0.023
07-05,8.627,0.107,4.494,0.061
07-06,9.308,0.108,4.532,0.041
07-07,9.418,0.108,4.547,0.03
07-08,8.73,0.13,5.458,0.009
07-09,8.564,0.134,5.623,0.006
07-10,8.46,0.139,5.843,0.008
07-11,8.638,0.148,6.218,0.004
07-12,8.282,0.132,5.529,0.003
07-13,7.862,0.113,4.733,0.003
07-14,8.463,0.113,4.74,0.015
07-15,8.852,0.132,5.563,0.014
07-16,8.58,0.12,5.042,0.014
07-17,8.709,0.109,4.58,0.034
07-18,8.407,0.087,3.656,0.069
07-19,8.755,0.095,3.99,0.072
07-20,9.087,0.117,4.904,0.02
07-21,9.188,0.108,4.524,0.078
07-22,8.766,0.106,4.45,0.032
07-23,8.89,0.12,5.03,0.017
07-24,8.515,0.135,5.674,0.004
07-25,8.353,0.113,4.738,0.008
07-26,8.456,0.136,5.718,0.003
07-27,8.181,0.111,4.648,0.003
07-28,8.113,0.103,4.34,0.006
07-29,8.245,0.095,3.99,0.012
07-30,8.072,0.091,3.843,0.007
07-31,7.966,0.096,4.011,0.013
08-01,7.807,0.077,3.238,0.036
08-02,8.025,0.076,3.175,0.032
08-03,7.824,0.094,3.969,0.01
08-04,7.6,0.1,4.2,0.004
08-05,7.703,0.093,3.916,0.002
08-06,7.794,0.123,5.173,0.001
08-07,7.839,0.109,4.568,0.006
08-08,8.59,0.071,2.967,0.058
08-09,8.328,0.068,2.858,0.099
08-10,8.059,0.049,2.052,0.317
08-11,7.837,0.056,2.369,0.111
08-12,8.216,0.066,2.765,0.129
08-13,7.775,0.075,3.166,0.078
08-14,7.744,0.073,3.077,0.082
08-15,7.674,0.063,2.665,0.111
08-16,7.606,0.076,3.185,0.092
08-17,8.02,0.071,2.965,0.174
08-18,8.157,0.088,3.681,0.111
08-19,8.356,0.115,4.845,0.027
08-20,8.33,0.12,5.038,0.032
08-21,9.278,0.109,4.561,0.078
08-22,9.489,0.119,5.004,0.062
08-23,8.701,0.131,5.518,0.039
08-24,8.823,0.133,5.576,0.026
08-25,8.473,0.123,5.16,0.023
08-26,8.928,0.098,4.114,0.046
08-27,8.993,0.103,4.32,0.071
08-28,8.552,0.122,5.118,0.032
08-29,8.845,0.125,5.258,0.012
08-30,8.78,0.09,3.78,0.067
08-31,8.773,0.083,3.482,0.121
09-01,9.185,0.075,3.158,0.247
09-02,8.44,0.06,2.52,0.247
09-03,7.923,0.053,2.232,0.412
09-04,7.719,0.049,2.047,0.363
09-05,7.302,0.063,2.633,0.103
09-06,7.286,0.066,2.762,0.034
09-07,7.315,0.095,3.985,0.01
09-08,7.312,0.091,3.837,0.019
09-09,7.44,0.08,3.371,0.028
09-10,7.677,0.097,4.076,0.026
09-11,7.496,0.106,4.446,0.031
09-12,7.473,0.113,4.746,0.035
09-13,7.969,0.099,4.152,0.034
09-14,8.855,0.085,3.578,0.121
09-15,8.765,0.075,3.144,0.196
09-16,8.496,0.065,2.751,0.266
09-17,8.833,0.063,2.632,0.281
09-18,8.848,0.078,3.276,0.164
09-19,8.514,0.085,3.553,0.074
09-20,8.472,0.092,3.87,0.059
09-21,8.446,0.096,4.013,0.047
09-22,9.27,0.101,4.225,0.099
09-23,9.481,0.081,3.402,0.174
09-24,8.566,0.076,3.198,0.118
09-25,7.794,0.093,3.919,0.088
09-26,7.82,0.089,3.745,0.138
09-27,8.065,0.084,3.535,0.129
09-28,7.517,0.077,3.248,0.135
09-29,7.826,0.096,4.048,0.058
09-30,7.909,0.099,4.148,0.042
10-01,7.578,0.107,4.513,0.015
10-02,7.429,0.129,5.418,0.01
10-03,7.829,0.129,5.408,0.009
10-04,8.11,0.13,5.472,0.003
10-05,8.61,0.12,5.019,0.004
10-06,8.631,0.141,5.932,0.004
10-07,8.704,0.134,5.645,0.004
10-08,8.856,0.136,5.733,0.003
10-09,8.524,0.114,4.769,0.012
10-10,8.056,0.105,4.427,0.016
10-11,7.91,0.1,4.19,0.01
10-12,7.599,0.099,4.158,0.009
10-13,8.017,0.097,4.072,0.015
10-14,8.472,0.121,5.101,0.009
10-15,8.44,0.15,6.3,0.006
10-16,8.27,0.151,6.327,0.008
10-17,8.468,0.118,4.967,0.016
10-18,8.634,0.114,4.774,0.055
10-19,8.928,0.099,4.143,0.088
10-20,8.88,0.08,3.36,0.147
10-21,8.875,0.076,3.181,0.132
10-22,8.764,0.074,3.105,0.094
10-23,9.023,0.083,3.486,0.065
10-24,9.161,0.101,4.232,0.053
10-25,9.762,0.082,3.457,0.088
10-26,9.933,0.113,4.742,0.052
10-27,9.478,0.108,4.519,0.064
10-28,10.012,0.112,4.706,0.031
10-29,9.95,0.13,5.469,0.023
10-30,9.962,0.141,5.939,0.009
10-31,9.724,0.134,5.643,0.007
11-01,9.376,0.096,4.011,0.062
11-02,9.666,0.076,3.211,0.157
11-03,9.884,0.063,2.651,0.185
11-04,9.818,0.058,2.453,0.147
11-05,9.149,0.069,2.89,0.09
11-06,9.225,0.085,3.56,0.015
11-07,8.964,0.104,4.366,0.002
11-08,8.974,0.114,4.795,0.001
11-09,8.906,0.106,4.448,0.0
11-10,8.71,0.08,3.373,0.01
11-11,8.557,0.067,2.814,0.04
11-12,8.988,0.078,3.28,0.038
11-13,8.578,0.088,3.708,0.011
11-14,8.666,0.095,4.011,0.016
11-15,8.994,0.084,3.532,0.036
11-16,9.125,0.065,2.72,0.129
11-17,8.872,0.042,1.754,0.357
11-18,8.99,0.051,2.127,0.301
11-19,8.933,0.073,3.054,0.144
11-20,9.185,0.075,3.14,0.17
11-21,9.669,0.079,3.33,0.129
11-22,9.657,0.067,2.796,0.141
11-23,9.67,0.05,2.085,0.334
11-24,9.806,0.046,1.925,0.291
