,mean,slp,chg,pvalue
0,10.352,0.042,1.785,0.242
1,10.486,0.032,1.356,0.189
2,10.488,0.037,1.569,0.26
3,10.567,0.054,2.273,0.159
4,10.446,0.061,2.562,0.118
5,10.493,0.046,1.944,0.212
6,10.562,0.042,1.785,0.273
7,10.311,0.042,1.758,0.201
8,10.422,0.044,1.864,0.293
9,10.42,0.04,1.68,0.242
10,10.49,0.039,1.637,0.259
11,10.557,0.034,1.408,0.368
12,10.55,0.02,0.822,0.398
13,10.691,0.023,0.948,0.448
14,10.606,0.021,0.877,0.618
15,10.693,0.026,1.098,0.374
16,10.628,0.034,1.437,0.246
17,10.375,0.04,1.68,0.319
18,10.352,0.042,1.785,0.346
19,10.207,0.034,1.408,0.303
20,10.07,0.021,0.871,0.41
21,10.082,0.014,0.571,0.641
22,9.912,0.024,1.02,0.368
23,9.913,0.026,1.098,0.362
24,10.172,0.026,1.071,0.362
25,10.308,0.016,0.672,0.544
26,10.41,0.021,0.861,0.558
27,10.274,0.028,1.184,0.298
28,10.17,0.051,2.13,0.108
29,10.288,0.057,2.38,0.07
30,10.434,0.068,2.848,0.042
31,10.329,0.058,2.444,0.061
32,10.219,0.058,2.448,0.061
33,10.292,0.065,2.711,0.05
34,10.155,0.069,2.9,0.058
35,10.226,0.072,3.024,0.061
36,10.465,0.071,2.995,0.048
37,10.296,0.071,2.973,0.048
38,10.482,0.075,3.139,0.048
39,10.511,0.082,3.424,0.039
40,10.296,0.072,3.034,0.045
41,10.634,0.068,2.868,0.054
42,10.5,0.059,2.475,0.091
43,10.798,0.065,2.711,0.091
44,11.063,0.056,2.352,0.109
45,10.916,0.042,1.785,0.216
46,11.196,0.032,1.334,0.537
47,11.334,0.029,1.2,0.488
48,11.403,0.026,1.092,0.603
49,11.399,0.018,0.762,0.664
50,11.351,0.012,0.512,0.737
51,11.581,0.012,0.49,0.626
52,11.416,0.022,0.945,0.565
53,11.404,0.028,1.176,0.501
54,11.407,0.034,1.408,0.386
55,11.671,0.052,2.164,0.213
56,11.692,0.043,1.82,0.22
57,11.718,0.035,1.463,0.34
58,11.718,0.036,1.496,0.351
59,12.05,0.04,1.68,0.362
60,12.254,0.028,1.166,0.501
61,13.038,0.035,1.483,0.474
62,13.328,0.026,1.112,0.508
63,13.381,0.022,0.903,0.626
64,13.59,0.019,0.787,0.633
65,13.888,0.036,1.496,0.416
66,14.28,0.061,2.55,0.229
67,14.765,0.089,3.754,0.052
68,15.185,0.089,3.758,0.113
69,15.396,0.062,2.598,0.229
70,15.32,0.05,2.1,0.318
71,15.857,0.044,1.848,0.474
72,15.811,0.064,2.673,0.34
73,16.586,0.062,2.604,0.398
74,16.678,0.076,3.192,0.313
75,16.922,0.106,4.433,0.242
76,17.458,0.106,4.436,0.283
77,18.091,0.102,4.278,0.237
78,17.692,0.125,5.236,0.159
79,16.761,0.103,4.315,0.169
80,18.18,0.129,5.421,0.225
81,19.428,0.134,5.647,0.175
82,20.519,0.148,6.21,0.165
83,20.926,0.142,5.982,0.149
84,19.788,0.147,6.183,0.14
85,19.762,0.124,5.225,0.201
86,20.908,0.095,4.001,0.308
87,20.473,0.105,4.426,0.169
88,21.631,0.161,6.78,0.132
89,21.061,0.182,7.644,0.047
90,21.724,0.178,7.459,0.058
91,22.108,0.216,9.056,0.03
92,23.296,0.21,8.835,0.051
93,24.136,0.192,8.058,0.124
94,23.51,0.179,7.515,0.146
95,25.38,0.16,6.72,0.319
96,27.761,0.143,6.011,0.308
97,29.924,0.127,5.338,0.404
98,29.944,0.17,7.125,0.38
99,30.248,0.216,9.072,0.246
100,28.315,0.309,12.981,0.065
101,26.603,0.397,16.674,0.029
102,27.186,0.433,18.191,0.007
103,27.779,0.407,17.108,0.012
104,27.321,0.361,15.182,0.018
105,32.122,0.284,11.94,0.124
106,33.316,0.131,5.493,0.558
107,35.939,-0.012,-0.486,0.983
108,37.45,-0.1,-4.179,0.696
109,39.445,-0.07,-2.94,0.778
110,38.614,-0.031,-1.307,0.914
111,43.44,0.0,0.0,1.0
112,43.614,0.069,2.907,0.778
113,46.973,-0.013,-0.56,0.991
114,50.058,-0.074,-3.104,0.854
115,50.867,-0.145,-6.09,0.595
116,49.618,-0.104,-4.368,0.786
117,49.282,0.085,3.569,0.871
118,50.894,0.188,7.91,0.641
119,53.595,0.21,8.82,0.544
120,55.462,0.275,11.544,0.448
121,56.973,0.176,7.372,0.672
122,58.466,0.053,2.227,0.888
123,58.44,0.0,0.0,0.991
124,56.976,0.183,7.668,0.618
125,58.406,0.212,8.925,0.649
126,60.252,0.233,9.783,0.665
127,65.582,0.424,17.808,0.442
128,67.65,0.589,24.745,0.303
129,68.648,0.606,25.464,0.237
130,73.454,0.598,25.106,0.313
131,71.994,0.507,21.297,0.442
132,68.418,0.436,18.322,0.357
133,71.019,0.538,22.596,0.398
134,76.764,0.708,29.715,0.229
135,81.337,0.803,33.736,0.149
136,85.05,0.87,36.55,0.141
137,89.127,0.814,34.178,0.179
138,94.601,1.0,42.015,0.172
139,99.382,0.943,39.62,0.201
140,98.38,0.92,38.64,0.179
141,97.118,0.947,39.791,0.221
142,98.58,0.75,31.5,0.288
143,100.212,0.633,26.583,0.41
144,102.388,0.447,18.767,0.551
145,108.227,0.244,10.24,0.762
146,110.767,-0.057,-2.395,0.983
147,115.902,-0.257,-10.776,0.712
148,119.96,-0.34,-14.266,0.704
149,125.357,-0.307,-12.88,0.737
150,136.777,-0.106,-4.462,0.965
151,134.71,0.0,0.0,1.0
152,129.615,0.0,0.0,1.0
153,127.756,0.243,10.2,0.871
154,127.933,0.316,13.292,0.729
155,133.565,0.539,22.64,0.573
156,144.986,0.462,19.398,0.544
157,147.262,0.496,20.825,0.649
158,143.594,0.508,21.319,0.753
159,138.976,0.322,13.526,0.696
160,136.155,0.07,2.94,0.983
161,133.127,-0.047,-1.96,0.931
162,134.099,-0.092,-3.848,0.914
163,130.522,-0.166,-6.992,0.888
164,122.846,-0.228,-9.595,0.795
165,118.978,-0.615,-25.812,0.649
166,111.97,-0.479,-20.137,0.626
167,107.318,-0.443,-18.607,0.626
168,103.337,-0.485,-20.376,0.737
169,105.762,-0.437,-18.365,0.68
170,103.9,-0.489,-20.557,0.68
171,97.374,-0.524,-21.987,0.665
172,94.157,-0.446,-18.738,0.68
173,87.189,-0.512,-21.522,0.665
174,78.68,-0.551,-23.134,0.53
175,73.331,-0.498,-20.93,0.537
176,68.12,-0.44,-18.48,0.495
177,63.984,-0.513,-21.54,0.448
178,58.04,-0.512,-21.485,0.442
179,53.348,-0.563,-23.637,0.386
180,48.957,-0.566,-23.76,0.34
181,48.684,-0.551,-23.133,0.313
182,45.737,-0.497,-20.86,0.308
183,43.874,-0.551,-23.16,0.293
184,40.717,-0.636,-26.702,0.225
185,38.445,-0.651,-27.347,0.264
186,38.919,-0.552,-23.184,0.288
187,38.698,-0.423,-17.78,0.374
188,35.514,-0.291,-12.215,0.442
189,34.708,-0.204,-8.558,0.573
190,36.248,-0.233,-9.783,0.442
191,39.779,-0.242,-10.172,0.448
192,38.804,-0.211,-8.876,0.588
193,33.956,-0.288,-12.078,0.329
194,28.361,-0.308,-12.94,0.197
195,26.184,-0.271,-11.385,0.179
196,24.92,-0.251,-10.551,0.205
197,23.106,-0.199,-8.367,0.298
198,22.748,-0.214,-9.002,0.346
199,23.32,-0.28,-11.76,0.233
200,22.551,-0.287,-12.06,0.153
201,23.125,-0.33,-13.876,0.135
202,23.224,-0.362,-15.218,0.124
203,21.157,-0.326,-13.696,0.111
204,21.262,-0.325,-13.641,0.076
205,20.143,-0.294,-12.36,0.153
206,20.477,-0.286,-12.018,0.159
207,19.717,-0.326,-13.702,0.095
208,19.8,-0.28,-11.742,0.129
209,18.263,-0.234,-9.818,0.165
210,18.143,-0.193,-8.12,0.209
211,17.015,-0.19,-7.98,0.264
212,15.853,-0.194,-8.164,0.197
213,15.724,-0.161,-6.759,0.229
214,14.84,-0.149,-6.255,0.229
215,14.221,-0.148,-6.23,0.255
216,15.035,-0.13,-5.46,0.246
217,15.216,-0.139,-5.845,0.288
218,13.43,-0.109,-4.59,0.398
219,13.153,-0.074,-3.102,0.435
220,12.966,-0.078,-3.29,0.41
221,12.192,-0.067,-2.8,0.488
222,11.466,-0.076,-3.195,0.351
223,11.989,-0.101,-4.26,0.209
224,11.806,-0.129,-5.4,0.193
225,11.428,-0.124,-5.216,0.175
226,11.038,-0.113,-4.753,0.172
227,10.704,-0.122,-5.145,0.135
228,10.478,-0.125,-5.25,0.116
229,10.672,-0.137,-5.775,0.091
230,10.757,-0.137,-5.74,0.095
231,10.908,-0.126,-5.273,0.143
232,9.96,-0.119,-4.993,0.169
233,9.821,-0.109,-4.56,0.091
234,9.212,-0.117,-4.905,0.077
235,8.908,-0.106,-4.445,0.085
236,8.6,-0.09,-3.794,0.165
237,8.104,-0.101,-4.237,0.124
238,8.052,-0.116,-4.89,0.093
239,8.713,-0.095,-3.99,0.175
240,8.39,-0.08,-3.374,0.293
241,8.045,-0.07,-2.94,0.26
242,7.535,-0.07,-2.919,0.269
243,6.974,-0.062,-2.596,0.303
244,6.879,-0.052,-2.174,0.335
245,6.796,-0.059,-2.469,0.288
246,6.884,-0.062,-2.625,0.274
247,6.772,-0.065,-2.73,0.255
248,7.148,-0.053,-2.235,0.308
249,7.588,-0.053,-2.215,0.308
250,7.911,-0.059,-2.485,0.269
251,7.763,-0.064,-2.7,0.246
252,7.354,-0.073,-3.06,0.255
253,7.271,-0.058,-2.436,0.255
254,7.219,-0.052,-2.18,0.324
255,7.164,-0.043,-1.802,0.515
256,6.983,-0.043,-1.803,0.351
257,7.068,-0.045,-1.905,0.423
258,7.206,-0.047,-1.978,0.442
259,7.817,-0.017,-0.714,0.649
260,7.736,-0.009,-0.363,0.931
261,7.554,-0.011,-0.471,0.888
262,7.531,0.002,0.084,1.0
263,7.806,-0.008,-0.35,0.922
264,7.721,-0.017,-0.714,0.737
265,8.106,-0.008,-0.33,0.948
266,8.042,0.005,0.191,0.965
267,8.742,-0.007,-0.285,0.974
268,8.768,-0.015,-0.63,0.905
269,9.482,0.005,0.194,0.957
270,9.488,-0.014,-0.58,0.897
271,8.974,-0.023,-0.973,0.762
272,8.793,-0.014,-0.568,0.837
273,8.992,-0.014,-0.605,0.888
274,9.117,0.005,0.196,0.974
275,8.802,0.005,0.201,0.957
276,9.005,0.01,0.42,0.871
277,9.16,0.009,0.387,0.897
278,10.014,0.017,0.735,0.845
279,10.918,0.017,0.7,0.729
280,10.864,0.027,1.127,0.672
281,11.295,0.03,1.26,0.786
282,11.814,-0.002,-0.078,0.965
283,11.364,0.008,0.346,0.974
284,11.615,0.02,0.84,0.721
285,11.365,0.03,1.26,0.712
286,11.486,0.021,0.901,0.803
287,11.904,0.009,0.367,0.862
288,12.073,0.007,0.28,0.897
289,12.225,-0.009,-0.392,0.828
290,11.877,-0.016,-0.672,0.704
291,12.0,-0.02,-0.857,0.812
292,12.434,-0.032,-1.33,0.688
293,12.646,-0.037,-1.568,0.573
294,12.546,-0.038,-1.6,0.522
295,12.734,-0.031,-1.32,0.673
296,13.208,-0.013,-0.549,0.922
297,12.41,0.0,0.0,1.0
298,12.684,0.007,0.308,0.94
299,14.284,-0.012,-0.485,0.854
300,12.58,-0.032,-1.327,0.665
301,12.674,-0.062,-2.625,0.386
302,12.968,-0.074,-3.108,0.404
303,13.238,-0.034,-1.428,0.641
304,12.573,-0.033,-1.4,0.753
305,13.001,-0.028,-1.176,0.828
306,12.902,-0.005,-0.23,0.922
307,12.991,0.002,0.07,0.983
308,13.497,0.003,0.129,0.991
309,13.154,-0.013,-0.525,0.888
310,12.616,-0.007,-0.312,0.905
311,12.153,-0.003,-0.14,0.931
312,12.278,-0.035,-1.47,0.673
313,12.934,-0.021,-0.881,0.745
314,13.146,-0.027,-1.138,0.704
315,13.26,-0.05,-2.1,0.53
316,12.698,-0.075,-3.131,0.319
317,13.079,-0.071,-2.994,0.357
318,12.372,-0.028,-1.155,0.595
319,11.903,-0.014,-0.602,0.778
320,11.879,-0.012,-0.494,0.879
321,12.51,0.0,0.0,1.0
322,13.202,-0.006,-0.269,0.94
323,13.104,-0.003,-0.105,0.965
324,13.148,0.006,0.24,0.922
325,12.904,0.048,2.016,0.474
326,11.968,0.027,1.12,0.696
327,11.777,0.005,0.194,0.965
328,11.49,-0.02,-0.84,0.803
329,11.168,-0.044,-1.848,0.386
330,11.424,-0.012,-0.486,0.845
331,11.195,0.0,0.0,0.991
332,11.01,0.029,1.23,0.58
333,11.191,0.022,0.92,0.672
334,10.614,0.008,0.32,0.914
335,10.89,-0.009,-0.363,0.888
336,10.745,-0.01,-0.432,0.871
337,11.024,-0.053,-2.223,0.255
338,11.215,-0.071,-2.97,0.129
339,10.638,-0.083,-3.465,0.102
340,10.548,-0.076,-3.175,0.121
341,10.764,-0.061,-2.553,0.204
342,10.706,-0.087,-3.665,0.091
343,11.093,-0.034,-1.408,0.522
344,11.305,0.0,0.0,0.922
345,11.32,0.0,0.0,0.983
346,11.2,-0.01,-0.42,0.905
347,10.942,0.004,0.159,0.948
348,10.655,0.0,0.0,1.0
349,10.53,0.0,0.0,0.957
350,10.323,-0.014,-0.588,0.737
351,10.471,0.002,0.101,0.957
352,10.96,0.011,0.475,0.753
353,10.558,0.007,0.28,0.82
354,10.73,0.009,0.392,0.778
355,10.756,0.011,0.453,0.795
356,10.65,0.019,0.811,0.573
357,10.271,0.022,0.914,0.588
358,10.303,0.036,1.512,0.544
359,10.344,0.029,1.197,0.641
360,10.508,0.014,0.609,0.753
361,10.482,0.023,0.957,0.672
362,10.616,0.031,1.314,0.537
363,10.622,0.024,1.008,0.626
364,10.492,0.013,0.566,0.761
