,mean,slp,chg,pvalue
01-01,1.08,0.0,0.0,0.919
01-02,1.076,0.001,0.056,0.779
01-03,1.05,0.0,0.018,0.762
01-04,1.02,0.0,0.0,0.857
01-05,1.0,0.0,0.0,1.0
01-06,1.01,0.0,0.014,0.849
01-07,1.0,0.0,0.0,0.893
01-08,0.985,0.0,0.0,0.991
01-09,0.991,0.001,0.062,0.598
01-10,0.971,0.001,0.056,0.661
01-11,0.97,0.001,0.051,0.645
01-12,0.96,0.001,0.039,0.719
01-13,0.961,0.002,0.084,0.445
01-14,0.962,0.002,0.097,0.328
01-15,0.961,0.002,0.09,0.438
01-16,0.952,0.002,0.097,0.357
01-17,0.936,0.002,0.078,0.286
01-18,0.94,0.001,0.039,0.465
01-19,0.93,0.001,0.053,0.419
01-20,0.92,0.001,0.035,0.59
01-21,0.911,0.001,0.053,0.522
01-22,0.911,0.002,0.09,0.445
01-23,0.911,0.002,0.078,0.621
01-24,0.911,0.002,0.078,0.645
01-25,0.906,0.001,0.047,0.745
01-26,0.85,0.0,0.02,0.728
01-27,0.865,0.0,0.0,0.77
01-28,0.85,0.0,0.0,0.736
01-29,0.84,0.0,0.0,0.719
01-30,0.85,0.0,0.0,0.753
01-31,0.85,0.001,0.023,0.613
02-01,0.85,0.001,0.028,0.694
02-02,0.85,0.0,0.0,0.805
02-03,0.85,0.0,0.0,0.849
02-04,0.82,0.001,0.023,0.787
02-05,0.806,0.001,0.035,0.661
02-06,0.79,0.001,0.025,0.745
02-07,0.79,0.0,0.0,0.753
02-08,0.79,0.001,0.037,0.678
02-09,0.79,0.001,0.026,0.686
02-10,0.79,0.001,0.045,0.567
02-11,0.776,0.001,0.06,0.537
02-12,0.761,0.001,0.06,0.479
02-13,0.76,0.001,0.047,0.419
02-14,0.791,0.001,0.06,0.479
02-15,0.775,0.001,0.042,0.438
02-16,0.776,0.001,0.037,0.486
02-17,0.75,0.0,0.016,0.637
02-18,0.745,0.0,0.0,0.866
02-19,0.74,0.0,0.0,0.849
02-20,0.74,0.0,0.014,0.866
02-21,0.74,0.001,0.023,0.822
02-22,0.74,0.001,0.045,0.805
02-23,0.74,0.001,0.045,0.928
02-24,0.74,0.001,0.033,0.902
02-25,0.715,0.0,0.014,0.857
02-26,0.71,0.0,0.0,0.893
02-27,0.71,0.0,0.017,0.796
02-28,0.71,0.0,0.018,0.686
03-01,0.7,0.001,0.037,0.465
03-02,0.686,0.001,0.025,0.369
03-03,0.68,0.001,0.033,0.529
03-04,0.68,0.001,0.026,0.432
03-05,0.68,0.001,0.053,0.291
03-06,0.681,0.001,0.06,0.281
03-07,0.666,0.001,0.063,0.225
03-08,0.68,0.002,0.063,0.276
03-09,0.666,0.002,0.07,0.406
03-10,0.676,0.001,0.055,0.507
03-11,0.676,0.001,0.049,0.486
03-12,0.661,0.001,0.053,0.574
03-13,0.661,0.001,0.049,0.465
03-14,0.651,0.001,0.054,0.363
03-15,0.671,0.002,0.074,0.147
03-16,0.656,0.002,0.086,0.113
03-17,0.642,0.002,0.101,0.059
03-18,0.636,0.003,0.108,0.056
03-19,0.636,0.003,0.105,0.069
03-20,0.636,0.003,0.105,0.058
03-21,0.656,0.002,0.08,0.062
03-22,0.651,0.002,0.084,0.048
03-23,0.651,0.002,0.094,0.047
03-24,0.652,0.003,0.115,0.047
03-25,0.646,0.002,0.097,0.033
03-26,0.621,0.003,0.126,0.059
