,mean,slp,chg,pvalue
01-01,0.221,0.001,0.033,0.277
01-02,0.24,0.005,0.225,0.14
01-03,0.222,0.001,0.042,0.408
01-04,0.209,-0.001,-0.026,0.91
01-05,0.222,0.001,0.037,0.549
01-06,0.258,-0.001,-0.025,1.0
01-07,0.244,-0.003,-0.135,0.39
01-08,0.246,-0.002,-0.069,0.39
01-09,0.248,-0.001,-0.038,0.57
01-10,0.246,-0.002,-0.091,0.372
01-11,0.299,-0.001,-0.024,0.627
01-12,0.279,-0.0,-0.007,0.661
01-13,0.278,-0.001,-0.036,0.685
01-14,0.24,-0.0,-0.008,0.987
01-15,0.219,-0.001,-0.022,0.858
01-16,0.21,0.0,0.0,0.91
01-17,0.21,-0.0,-0.007,0.884
01-18,0.213,-0.004,-0.15,0.048
01-19,0.273,-0.003,-0.146,0.277
01-20,0.25,-0.005,-0.197,0.086
01-21,0.276,-0.002,-0.084,0.163
01-22,0.308,-0.001,-0.039,0.833
01-23,0.37,0.0,0.0,0.638
01-24,0.364,-0.003,-0.123,0.733
01-25,0.344,-0.002,-0.105,0.149
01-26,0.283,0.002,0.066,0.57
01-27,0.277,-0.001,-0.057,0.685
01-28,0.262,-0.004,-0.153,0.39
01-29,0.303,-0.003,-0.14,0.427
01-30,0.344,-0.002,-0.105,0.39
01-31,0.278,-0.001,-0.044,0.91
02-01,0.282,0.001,0.042,0.808
02-02,0.332,-0.004,-0.17,0.935
02-03,0.318,-0.001,-0.047,0.77
02-04,0.303,0.001,0.058,0.638
02-05,0.294,0.002,0.084,0.486
02-06,0.393,0.002,0.077,0.685
02-07,0.343,0.001,0.062,0.858
02-08,0.314,0.002,0.097,0.709
02-09,0.292,0.001,0.053,0.758
02-10,0.308,-0.001,-0.047,0.206
02-11,0.27,0.0,0.0,0.783
02-12,0.26,0.0,0.0,0.91
02-13,0.262,0.001,0.025,0.987
02-14,0.253,0.001,0.06,0.685
02-15,0.276,-0.002,-0.101,0.116
02-16,0.353,-0.004,-0.157,0.212
02-17,0.322,-0.004,-0.157,0.292
02-18,0.299,-0.005,-0.23,0.263
02-19,0.294,-0.003,-0.126,0.733
02-20,0.277,-0.001,-0.062,0.733
02-21,0.29,0.0,0.0,0.858
02-22,0.29,0.0,0.0,0.935
02-23,0.31,0.0,0.013,0.858
02-24,0.251,0.001,0.024,0.987
02-25,0.315,0.002,0.104,0.733
02-26,0.31,0.0,0.0,0.884
02-27,0.415,-0.002,-0.098,0.685
02-28,0.38,-0.01,-0.42,0.039
03-01,0.356,-0.007,-0.304,0.072
03-02,0.363,-0.008,-0.348,0.043
03-03,0.315,-0.002,-0.102,0.25
03-04,0.332,-0.004,-0.168,0.116
03-05,0.332,-0.004,-0.177,0.064
03-06,0.359,-0.006,-0.232,0.758
03-07,0.412,-0.004,-0.161,0.948
03-08,0.362,-0.004,-0.157,0.709
03-09,0.366,-0.002,-0.099,0.506
03-10,0.374,0.002,0.071,0.858
03-11,0.329,0.004,0.186,0.127
03-12,0.356,0.008,0.315,0.263
03-13,0.341,0.006,0.232,0.132
03-14,0.321,0.006,0.24,0.083
03-15,0.308,0.004,0.168,0.292
03-16,0.308,0.004,0.168,0.593
03-17,0.274,0.002,0.103,0.871
03-18,0.28,0.0,0.0,0.236
03-19,0.312,0.001,0.037,0.82
03-20,0.277,-0.001,-0.051,0.408
03-21,0.247,-0.002,-0.07,0.661
03-22,0.268,-0.001,-0.036,0.65
03-23,0.284,0.002,0.095,0.935
03-24,0.254,0.002,0.091,0.82
03-25,0.282,0.001,0.035,0.506
03-26,0.27,0.0,0.0,0.833
03-27,0.25,0.0,0.0,0.758
03-28,0.26,0.0,0.015,1.0
03-29,0.266,-0.002,-0.095,0.212
03-30,0.276,-0.002,-0.105,0.224
03-31,0.316,-0.002,-0.097,0.224
04-01,0.33,0.0,0.0,0.974
04-02,0.294,-0.003,-0.137,0.236
04-03,0.31,0.0,0.0,0.685
04-04,0.318,0.004,0.151,0.638
04-05,0.308,-0.001,-0.055,0.783
04-06,0.31,0.0,0.0,0.91
04-07,0.28,0.0,0.0,0.604
04-08,0.28,0.0,0.0,1.0
04-09,0.257,-0.001,-0.062,0.263
04-10,0.227,-0.002,-0.066,0.33
04-11,0.252,0.001,0.046,0.758
04-12,0.281,0.001,0.026,0.486
04-13,0.244,0.002,0.093,0.256
04-14,0.212,0.001,0.053,0.638
04-15,0.263,0.001,0.056,0.961
04-16,0.227,0.003,0.14,0.466
04-17,0.214,0.002,0.065,0.559
04-18,0.21,0.0,0.0,0.661
04-19,0.22,0.0,0.0,0.638
04-20,0.218,-0.001,-0.029,0.987
04-21,0.207,-0.002,-0.07,0.795
04-22,0.188,-0.001,-0.041,0.987
04-23,0.179,-0.001,-0.022,0.758
04-24,0.17,0.0,0.0,0.709
04-25,0.17,0.0,0.0,0.709
04-26,0.18,0.0,0.0,0.935
04-27,0.19,0.0,0.0,0.661
04-28,0.2,0.0,0.0,0.974
04-29,0.19,0.0,0.0,0.638
04-30,0.172,0.001,0.029,0.549
05-01,0.192,0.001,0.04,0.323
05-02,0.17,0.0,0.0,0.733
05-03,0.236,0.003,0.143,0.372
05-04,0.201,0.001,0.028,0.733
05-05,0.179,-0.001,-0.028,0.592
05-06,0.17,0.0,0.0,0.795
05-07,0.16,0.0,0.0,0.593
05-08,0.16,0.0,0.0,1.0
05-09,0.158,-0.001,-0.027,0.581
05-10,0.15,0.0,0.0,0.685
05-11,0.14,0.0,0.0,0.935
05-12,0.14,0.0,0.0,0.974
05-13,0.141,0.001,0.024,0.808
05-14,0.139,-0.0,-0.016,0.224
05-15,0.14,-0.0,-0.017,0.263
05-16,0.132,0.001,0.05,0.974
05-17,0.12,0.0,0.0,0.884
05-18,0.119,-0.001,-0.022,0.517
05-19,0.138,-0.001,-0.033,0.189
05-20,0.132,0.001,0.035,0.808
05-21,0.12,0.0,0.0,0.808
05-22,0.121,0.001,0.022,0.884
05-23,0.101,0.0,0.018,0.833
05-24,0.101,0.0,0.018,0.948
05-25,0.101,0.0,0.02,0.408
05-26,0.1,0.0,0.0,0.33
05-27,0.1,0.0,0.0,0.256
05-28,0.1,0.0,0.0,0.627
05-29,0.1,0.0,0.0,0.263
05-30,0.101,0.0,0.018,0.783
05-31,0.12,0.0,0.0,0.661
06-01,0.11,0.0,0.0,0.82
06-02,0.12,0.0,0.0,0.987
06-03,0.117,-0.002,-0.064,0.277
06-04,0.12,-0.005,-0.21,0.083
06-05,0.116,-0.002,-0.086,0.427
06-06,0.14,0.0,0.0,0.922
06-07,0.118,-0.001,-0.038,0.783
06-08,0.098,-0.001,-0.048,0.57
06-09,0.108,-0.001,-0.042,0.57
06-10,0.1,0.0,0.0,0.858
06-11,0.089,-0.001,-0.022,0.935
06-12,0.099,-0.001,-0.026,0.884
06-13,0.108,-0.001,-0.059,0.372
06-14,0.1,-0.0,-0.01,0.91
06-15,0.1,0.0,0.0,0.746
06-16,0.097,-0.001,-0.06,0.101
06-17,0.086,-0.002,-0.067,0.33
06-18,0.079,-0.0,-0.018,0.517
06-19,0.089,-0.001,-0.022,0.466
06-20,0.098,-0.001,-0.049,0.092
06-21,0.097,-0.001,-0.056,0.023
06-22,0.108,-0.001,-0.048,0.116
06-23,0.098,-0.001,-0.031,0.263
06-24,0.078,-0.001,-0.047,0.158
06-25,0.087,-0.002,-0.072,0.004
06-26,0.088,-0.001,-0.055,0.036
06-27,0.096,-0.002,-0.067,0.638
06-28,0.118,-0.001,-0.043,0.783
06-29,0.137,-0.002,-0.07,0.685
06-30,0.119,-0.001,-0.028,0.673
07-01,0.096,-0.002,-0.084,0.154
07-02,0.097,-0.002,-0.072,0.008
07-03,0.086,-0.002,-0.077,0.016
07-04,0.08,0.0,0.0,0.158
07-05,0.078,-0.001,-0.053,0.218
07-06,0.088,-0.001,-0.039,0.144
07-07,0.09,0.0,0.0,0.25
07-08,0.088,-0.001,-0.031,0.158
07-09,0.089,-0.001,-0.028,0.456
07-10,0.12,0.0,0.0,0.627
07-11,0.098,-0.001,-0.035,0.82
07-12,0.098,-0.001,-0.049,0.27
07-13,0.097,-0.001,-0.058,0.074
07-14,0.078,-0.001,-0.049,0.116
07-15,0.108,-0.001,-0.046,0.224
07-16,0.107,-0.002,-0.064,0.427
07-17,0.096,-0.002,-0.077,0.795
07-18,0.089,-0.001,-0.024,0.733
07-19,0.079,-0.0,-0.016,0.626
07-20,0.078,-0.001,-0.025,0.485
07-21,0.079,-0.001,-0.022,0.592
07-22,0.09,0.0,0.0,0.922
07-23,0.09,0.0,0.0,0.758
07-24,0.079,-0.001,-0.024,0.77
07-25,0.069,-0.001,-0.022,0.884
07-26,0.069,-0.0,-0.02,0.446
07-27,0.07,-0.0,-0.015,0.673
07-28,0.07,0.0,0.0,0.858
07-29,0.07,0.0,0.0,0.615
07-30,0.08,0.0,0.0,0.884
07-31,0.07,0.0,0.0,0.638
08-01,0.07,-0.0,-0.017,0.721
08-02,0.059,-0.001,-0.028,0.381
08-03,0.069,-0.0,-0.02,0.638
08-04,0.07,0.0,0.0,0.733
08-05,0.07,0.0,0.0,1.0
08-06,0.07,0.0,0.0,0.347
08-07,0.08,0.0,0.0,0.733
08-08,0.082,0.001,0.035,0.381
08-09,0.083,0.002,0.064,0.054
08-10,0.083,0.002,0.068,0.173
08-11,0.083,0.002,0.064,0.077
08-12,0.082,0.001,0.047,0.149
08-13,0.082,0.001,0.035,0.178
08-14,0.073,0.001,0.058,0.064
08-15,0.072,0.001,0.041,0.149
08-16,0.072,0.001,0.048,0.041
08-17,0.072,0.001,0.035,0.2
08-18,0.092,0.001,0.038,0.194
08-19,0.083,0.001,0.06,0.163
08-20,0.073,0.001,0.051,0.115
08-21,0.07,0.0,0.008,0.455
08-22,0.06,0.0,0.0,0.795
08-23,0.06,0.0,0.0,0.922
08-24,0.06,0.0,0.0,0.339
08-25,0.05,0.0,0.0,0.783
08-26,0.05,0.0,0.0,0.884
08-27,0.05,0.0,0.0,0.795
08-28,0.05,0.0,0.0,0.987
08-29,0.05,0.0,0.0,0.808
08-30,0.061,0.001,0.022,0.39
08-31,0.07,0.0,0.0,0.833
09-01,0.06,0.0,0.0,0.987
09-02,0.06,0.0,0.0,0.709
09-03,0.05,0.0,0.0,0.661
09-04,0.059,-0.0,-0.02,0.364
09-05,0.072,0.001,0.033,0.355
09-06,0.061,0.0,0.02,0.604
09-07,0.05,0.0,0.0,1.0
09-08,0.07,0.0,0.0,0.82
09-09,0.07,0.0,0.0,0.661
09-10,0.061,0.0,0.014,0.746
09-11,0.07,0.0,0.0,0.615
09-12,0.071,0.001,0.03,0.381
09-13,0.06,0.0,0.0,0.516
09-14,0.06,0.0,0.0,1.0
09-15,0.06,0.0,0.0,0.987
09-16,0.059,-0.0,-0.016,0.243
09-17,0.07,0.0,0.0,0.381
09-18,0.06,0.0,0.0,0.592
09-19,0.07,0.0,0.0,0.884
09-20,0.05,0.0,0.0,0.987
09-21,0.07,0.0,0.0,0.758
09-22,0.07,0.0,0.0,0.783
09-23,0.06,0.0,0.0,0.721
09-24,0.07,0.0,0.0,0.721
09-25,0.059,-0.0,-0.018,0.427
09-26,0.06,0.0,0.0,0.746
09-27,0.06,0.0,0.0,0.935
09-28,0.059,-0.0,-0.018,0.277
09-29,0.059,-0.001,-0.028,0.284
09-30,0.06,0.0,0.0,0.506
10-01,0.06,0.0,0.0,0.495
10-02,0.06,0.0,0.0,0.516
10-03,0.07,0.0,0.0,0.548
10-04,0.068,-0.001,-0.035,0.069
10-05,0.059,-0.0,-0.018,0.27
10-06,0.06,-0.0,-0.015,0.697
10-07,0.059,-0.0,-0.016,0.57
10-08,0.06,0.0,0.0,0.746
10-09,0.07,0.0,0.0,0.858
10-10,0.07,0.0,0.0,0.496
10-11,0.06,0.0,0.0,0.604
10-12,0.059,-0.0,-0.018,0.82
10-13,0.07,0.0,0.0,0.922
10-14,0.059,-0.0,-0.016,0.897
10-15,0.07,0.0,0.0,0.627
10-16,0.07,0.0,0.0,0.808
10-17,0.07,0.0,0.0,0.871
10-18,0.06,0.0,0.0,0.758
10-19,0.06,0.0,0.0,0.506
10-20,0.07,0.0,0.0,0.592
10-21,0.069,-0.0,-0.016,0.243
10-22,0.068,-0.001,-0.035,0.072
10-23,0.07,0.0,0.0,0.399
10-24,0.069,-0.0,-0.018,0.178
10-25,0.07,0.0,0.0,0.846
10-26,0.071,0.0,0.016,0.922
10-27,0.08,0.0,0.0,0.922
10-28,0.082,0.001,0.038,0.381
10-29,0.081,0.0,0.018,0.661
10-30,0.08,0.0,0.0,0.615
10-31,0.08,0.0,0.0,0.673
11-01,0.08,0.0,0.0,0.758
11-02,0.079,-0.0,-0.014,0.974
11-03,0.08,0.0,0.0,0.638
11-04,0.09,0.0,0.0,0.697
11-05,0.088,-0.001,-0.043,0.105
11-06,0.09,0.0,0.0,0.697
11-07,0.1,0.0,0.0,1.0
11-08,0.09,0.0,0.0,0.948
11-09,0.088,-0.001,-0.033,0.224
11-10,0.089,-0.0,-0.02,0.427
11-11,0.09,0.0,0.0,0.783
11-12,0.099,-0.001,-0.022,0.77
11-13,0.089,-0.001,-0.024,0.381
11-14,0.098,-0.001,-0.053,0.136
11-15,0.109,-0.0,-0.016,0.364
11-16,0.1,0.0,0.0,0.846
11-17,0.099,-0.0,-0.016,0.604
11-18,0.1,0.0,0.0,0.256
11-19,0.1,0.0,0.0,1.0
11-20,0.106,-0.003,-0.105,0.005
11-21,0.117,-0.002,-0.07,0.263
11-22,0.106,-0.002,-0.073,0.074
11-23,0.106,-0.002,-0.101,0.017
11-24,0.125,-0.002,-0.102,0.032
11-25,0.098,-0.001,-0.055,0.056
11-26,0.108,-0.001,-0.053,0.399
11-27,0.126,-0.002,-0.084,0.041
11-28,0.158,-0.006,-0.252,0.243
11-29,0.155,-0.003,-0.108,0.2
11-30,0.138,-0.001,-0.055,0.615
12-01,0.127,-0.002,-0.07,0.615
12-02,0.114,-0.003,-0.12,0.307
12-03,0.113,-0.003,-0.144,0.003
12-04,0.132,-0.004,-0.161,0.277
12-05,0.138,-0.001,-0.044,0.961
12-06,0.14,-0.0,-0.009,0.746
12-07,0.118,-0.001,-0.046,0.604
12-08,0.126,-0.002,-0.069,0.486
12-09,0.126,-0.002,-0.075,0.399
12-10,0.167,-0.001,-0.062,0.733
12-11,0.155,-0.002,-0.102,0.604
12-12,0.156,-0.002,-0.097,0.549
12-13,0.15,-0.005,-0.21,0.173
12-14,0.143,-0.004,-0.159,0.292
12-15,0.145,-0.003,-0.108,0.581
12-16,0.203,-0.003,-0.14,0.935
12-17,0.19,-0.0,-0.01,0.615
12-18,0.158,-0.001,-0.033,0.987
12-19,0.136,-0.002,-0.093,0.721
12-20,0.196,-0.002,-0.075,0.57
12-21,0.176,-0.002,-0.089,0.527
12-22,0.208,-0.001,-0.057,0.935
12-23,0.246,-0.002,-0.084,0.527
12-24,0.222,0.001,0.048,0.795
12-25,0.243,0.006,0.272,0.015
12-26,0.196,0.003,0.126,0.178
12-27,0.183,0.001,0.062,0.833
12-28,0.233,0.002,0.064,0.236
12-29,0.254,0.002,0.077,0.292
12-30,0.242,0.001,0.042,0.527
