,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0009056,1.831859,0.3134091950221709,-0.0,43.0,-0.038,-0.006,0.04,0.002
01-02,-0.0007074999999999999,1.4393379999999998,0.11340670884149784,-0.0,43.0,-0.03,-0.005,0.039,0.009
01-03,-0.0007546666666666667,1.5243323333333334,0.09503506008169027,-1.0,43.0,-0.032,-0.004,0.031,-0.001
01-04,-0.0004373636363636364,0.8840662727272728,0.07030349320355422,-1.0,43.0,-0.019,-0.003,0.019,0.0
01-05,-0.0009055999999999999,1.8253499999999998,0.013873549301627541,-2.0,43.0,-0.038,-0.009,0.033,-0.005
01-06,-0.0023701250000000124,4.768550000000024,0.007419339793532931,-3.0,43.0,-0.099,-0.031,0.078,-0.021
01-07,-0.0010187999999999998,2.0579759999999996,0.008991598899883435,-3.0,43.0,-0.043,-0.012,0.042,-0.001
01-08,-0.0006603333333333334,1.3376466666666669,0.0191206390069123,-2.0,43.0,-0.028,-0.004,0.031,0.003
01-09,-0.00020214285714285714,0.4161717142857143,0.028430204978525886,-2.0,43.0,-0.008,-0.002,0.016,0.008
01-10,-0.000283,0.586659,0.09074252451478149,-1.0,43.0,-0.012,-0.002,0.027,0.015
01-11,-0.000566,1.1738840000000001,0.11111762009317694,-0.0,43.0,-0.024,-0.003,0.054,0.03
01-12,-0.0026885,5.45907,0.030198435580170102,-2.0,43.0,-0.113,-0.009,0.139,0.026
01-13,-0.003773333333333336,7.660432666666671,0.03948427930446696,-2.0,43.0,-0.158,-0.013,0.193,0.035
01-14,-0.0035905625,7.294325,0.09949985377978687,-1.0,43.0,-0.151,-0.017,0.189,0.038
01-15,-0.0023583333333333334,4.8581666666666665,0.3187451826272518,-0.0,43.0,-0.099,-0.018,0.191,0.092
01-16,-0.0031534285714285713,6.4766571428571424,0.25512352640657143,-0.0,43.0,-0.132,-0.035,0.236,0.104
01-17,-0.0033959999999999,6.9221799999998,0.21255586153305073,-0.0,43.0,-0.142,-0.047,0.201,0.059
01-18,-0.003563703703703704,7.2292874074074085,0.03272626512868371,-2.0,43.0,-0.15,-0.055,0.177,0.027
01-19,-0.0033959999999999997,6.88256,0.02777399873763109,-2.0,43.0,-0.143,-0.052,0.162,0.019
01-20,-0.004150666666666666,8.380573333333333,0.01661113379134549,-2.0,43.0,-0.174,-0.046,0.166,-0.008
01-21,-0.0037497500000000126,7.619492000000025,0.0327535707523301,-2.0,43.0,-0.158,-0.028,0.199,0.041
01-22,-0.0032673636363636364,6.633777272727273,0.04495932953183668,-2.0,43.0,-0.138,-0.013,0.168,0.03
01-23,-0.003162941176470588,6.402009352941176,0.02097137075715194,-2.0,43.0,-0.133,-0.016,0.143,0.01
01-24,-0.002594166666666667,5.369453333333333,0.1754961934962176,-0.0,43.0,-0.109,-0.018,0.236,0.127
01-25,-0.002216833333333325,4.58082666666665,0.20478044554122032,-0.0,43.0,-0.093,-0.02,0.194,0.101
01-26,-0.002315454545454555,4.74976909090911,0.4101432374855567,-0.0,43.0,-0.097,-0.024,0.167,0.07
01-27,-0.001945625,4.045202,0.48793753671895557,-0.0,43.0,-0.082,-0.025,0.195,0.113
01-28,-0.0016647058823529412,3.5125127647058823,0.5879084322109032,-0.0,43.0,-0.07,-0.026,0.218,0.148
01-29,-0.0019914814814815016,4.104652962963003,0.4744436456632575,-0.0,43.0,-0.084,-0.025,0.164,0.08
01-30,-0.0015995652173913,3.3344044347826,0.7615493074182684,-0.0,43.0,-0.067,-0.01,0.169,0.102
01-31,-0.001268620689655169,2.636008379310338,0.8965279189482995,-0.0,43.0,-0.053,-0.007,0.125,0.072
02-01,-0.0019038181818181817,3.8925363636363635,0.5879084322109032,-0.0,43.0,-0.08,-0.011,0.125,0.045
02-02,-0.0020753333333333335,4.235566666666667,0.5584004547635599,-0.0,43.0,-0.087,-0.012,0.128,0.041
02-03,-0.0021022857142857115,4.278151428571423,0.2882065615900147,-0.0,43.0,-0.089,-0.014,0.118,0.029
02-04,-0.0020309411764705882,4.118482352941176,0.15256341552303954,-0.0,43.0,-0.085,-0.018,0.099,0.014
