,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.22659928956228953,-413.85868019023565,0.2554939683022921,0.0,40.0,9.517,0.225,34.581,44.098
01-02,0.2118182545454545,-384.4687812090908,0.2358223797536274,0.0,40.0,8.896,0.214,34.72,43.616
01-03,0.2197317835249042,-400.883969374521,0.19974847790467765,0.0,40.0,9.229,0.226,33.965,43.194
01-04,0.23484867424242428,-433.09507547348494,0.13361124376778633,0.0,40.0,9.864,0.245,31.67,41.534
01-05,0.24705467671809256,-457.788770421108,0.09993379657133428,1.0,40.0,10.377,0.261,31.132,41.509
01-06,0.2857142857142857,-534.8999995,0.09034851458293014,1.0,40.0,12.0,0.305,30.529,42.529
01-07,0.27846152692307685,-520.755361555769,0.07339972979721177,1.0,40.0,11.695,0.3,30.32,42.015
01-08,0.24807696153846154,-460.2318086346154,0.10502173077524635,0.0,40.0,10.42,0.27,30.712,41.132
01-09,0.25323902935222675,-470.34820016042516,0.1158129900126863,0.0,40.0,10.636,0.278,30.812,41.448
01-10,0.2662238500948766,-496.34836591461084,0.11031315574785938,0.0,40.0,11.181,0.296,30.509,41.69
01-11,0.27083329166666675,-505.5603323958335,0.15694021604412933,0.0,40.0,11.375,0.303,30.419,41.794
01-12,0.27048278137931037,-504.7598370865517,0.2358223797536274,0.0,40.0,11.36,0.305,30.526,41.886
01-13,0.2899268021978022,-543.9187141923077,0.18330223399258028,0.0,40.0,12.177,0.33,29.846,42.023
01-14,0.2830357232142857,-530.3468938437501,0.16054611379599892,0.0,40.0,11.887,0.326,29.781,41.668
01-15,0.2845237886904762,-533.3707916979166,0.13361124376778633,0.0,40.0,11.95,0.33,29.702,41.652
01-16,0.26461094117647055,-493.9749654411764,0.12152609711609252,0.0,40.0,11.114,0.308,29.69,40.804
01-17,0.28611776588235294,-536.9563546158823,0.12152609711609252,0.0,40.0,12.017,0.334,29.271,41.288
01-18,0.26794871794871794,-501.0455143205128,0.1678813518323119,0.0,40.0,11.254,0.314,29.225,40.479
01-19,0.25192303846153846,-469.3681943653846,0.1754654405428091,0.0,40.0,10.581,0.297,29.187,39.768
01-20,0.28222235555555564,-530.3213790777779,0.19139541400462035,0.0,40.0,11.853,0.335,28.197,40.05
01-21,0.2866600128458498,-539.2900351724309,0.1274572747761462,0.0,40.0,12.04,0.343,28.01,40.05
01-22,0.2633333583333335,-493.17171612916695,0.1534557123832827,0.0,40.0,11.06,0.315,27.965,39.025
01-23,0.23448275862068968,-435.56379410344834,0.1754654405428091,0.0,40.0,9.848,0.282,28.478,38.326
01-24,0.23610543509127788,-439.1567110299188,0.1754654405428091,0.0,40.0,9.916,0.287,28.096,38.012
01-25,0.22083327083333332,-409.3352917604167,0.2263989227367953,0.0,40.0,9.275,0.271,27.694,36.969
01-26,0.22000002500000004,-408.72004996250007,0.2554939683022921,0.0,40.0,9.24,0.272,26.66,35.9
01-27,0.21143788071895428,-392.0086046168301,0.18330223399258028,0.0,40.0,8.88,0.262,26.427,35.307
01-28,0.2257353504901961,-421.1320979546569,0.16054611379599892,0.0,40.0,9.481,0.281,25.598,35.079
01-29,0.2271264022988505,-424.16211499425276,0.13361124376778633,0.0,40.0,9.539,0.285,25.321,34.86
01-30,0.2430769865384616,-455.9393580971155,0.09993379657133428,1.0,40.0,10.209,0.307,25.11,35.319
01-31,0.2535713571428571,-476.9123567499999,0.09034851458293014,1.0,40.0,10.65,0.321,24.905,35.555
02-01,0.27071437142857147,-510.9726713000001,0.13361124376778633,0.0,40.0,11.37,0.345,24.771,36.141
02-02,0.25893997445721584,-487.4415389527458,0.1158129900126863,0.0,40.0,10.875,0.332,25.001,35.876
02-03,0.28768943560606064,-545.1473370587121,0.09034851458293014,1.0,40.0,12.083,0.369,24.19,36.273
