,mean,slp,chg,pvalue
0,2.986,0.007,0.303,0.611
1,2.98,0.007,0.301,0.333
2,2.944,0.009,0.373,0.2
3,3.025,0.01,0.42,0.333
4,2.952,0.012,0.499,0.333
5,2.848,0.012,0.483,0.287
6,2.956,0.014,0.579,0.183
7,2.936,0.014,0.571,0.153
8,2.862,0.015,0.639,0.183
9,2.83,0.014,0.57,0.175
10,2.716,0.011,0.467,0.191
11,2.784,0.009,0.385,0.345
12,2.759,0.009,0.392,0.333
13,2.724,0.013,0.543,0.175
14,2.567,0.011,0.468,0.287
15,2.662,0.012,0.491,0.384
16,2.754,0.013,0.555,0.266
17,2.651,0.014,0.582,0.168
18,2.659,0.013,0.538,0.183
19,2.571,0.011,0.448,0.217
20,2.515,0.01,0.42,0.2
21,2.554,0.012,0.519,0.1
22,2.592,0.015,0.616,0.07
23,2.573,0.015,0.644,0.053
24,2.476,0.014,0.573,0.07
25,2.45,0.013,0.543,0.073
26,2.397,0.011,0.48,0.116
27,2.354,0.013,0.538,0.066
28,2.397,0.014,0.608,0.042
29,2.528,0.015,0.646,0.04
30,2.468,0.012,0.506,0.077
31,2.244,0.003,0.108,0.358
32,2.278,0.006,0.231,0.287
33,2.338,0.008,0.35,0.14
34,2.319,0.013,0.53,0.086
35,2.325,0.01,0.42,0.2
36,2.338,0.012,0.513,0.122
37,2.322,0.012,0.493,0.105
38,2.27,0.016,0.681,0.062
39,2.334,0.016,0.664,0.037
40,2.292,0.015,0.616,0.031
41,2.321,0.014,0.578,0.045
42,2.314,0.012,0.519,0.082
43,2.358,0.015,0.638,0.059
44,2.33,0.017,0.696,0.022
45,2.346,0.011,0.45,0.105
46,2.34,0.01,0.437,0.116
47,2.392,0.011,0.463,0.095
48,2.333,0.009,0.37,0.175
49,2.294,0.002,0.099,0.425
50,2.263,0.002,0.084,0.468
51,2.328,0.002,0.09,0.578
52,2.334,0.003,0.114,0.514
53,2.328,0.005,0.215,0.287
54,2.314,0.006,0.258,0.183
55,2.343,0.005,0.203,0.333
56,2.308,0.005,0.224,0.287
57,2.294,0.002,0.095,0.529
58,2.268,0.002,0.077,0.561
59,2.304,0.003,0.119,0.663
60,2.408,0.002,0.103,0.545
61,2.376,0.001,0.022,0.809
62,2.46,0.0,0.0,0.79
63,2.495,0.003,0.121,0.514
64,2.448,0.002,0.105,0.483
65,2.392,0.005,0.202,0.483
66,2.409,0.006,0.238,0.425
67,2.356,0.004,0.156,0.514
68,2.464,0.006,0.231,0.411
69,2.51,0.007,0.278,0.321
70,2.486,0.007,0.283,0.439
71,2.535,0.007,0.278,0.255
72,2.752,0.011,0.469,0.298
73,2.735,0.013,0.56,0.147
74,2.772,0.015,0.629,0.134
75,2.756,0.014,0.584,0.226
76,2.787,0.011,0.478,0.175
77,2.8,0.011,0.443,0.191
78,2.846,0.007,0.295,0.246
79,2.854,0.009,0.373,0.333
80,2.842,0.008,0.334,0.371
81,2.983,0.009,0.368,0.345
82,3.096,0.007,0.297,0.425
83,2.865,0.01,0.42,0.255
84,2.815,0.01,0.42,0.2
85,2.941,0.011,0.454,0.321
86,3.044,0.013,0.54,0.298
87,3.044,0.016,0.661,0.345
88,3.405,0.027,1.114,0.105
89,3.363,0.029,1.202,0.175
90,3.478,0.032,1.365,0.161
91,3.685,0.024,0.988,0.545
92,4.37,0.01,0.42,0.923
93,4.2,0.02,0.84,1.0
94,4.135,0.013,0.554,0.961
