,mean,slp,chg,pvalue
01-01,0.418,-0.002,-0.063,0.65
01-02,0.399,-0.001,-0.044,0.735
01-03,0.408,-0.001,-0.053,0.744
01-04,0.399,-0.001,-0.032,0.633
01-05,0.389,-0.001,-0.03,0.735
01-06,0.38,-0.0,-0.018,0.916
01-07,0.37,-0.001,-0.023,0.954
01-08,0.37,-0.0,-0.013,0.972
01-09,0.36,-0.0,-0.013,1.0
01-10,0.36,-0.0,-0.015,0.935
01-11,0.34,0.0,0.0,1.0
01-12,0.33,0.0,0.0,0.798
01-13,0.31,0.001,0.029,0.735
01-14,0.32,0.0,0.0,0.898
01-15,0.34,0.0,0.0,0.916
01-16,0.33,0.0,0.017,0.666
01-17,0.31,0.001,0.029,0.6
01-18,0.311,0.001,0.032,0.616
01-19,0.31,0.0,0.0,0.807
01-20,0.31,0.0,0.0,0.981
01-21,0.3,0.0,0.0,0.935
01-22,0.28,0.0,0.0,1.0
01-23,0.28,0.0,0.006,0.963
01-24,0.28,0.0,0.0,0.861
01-25,0.27,0.0,0.0,0.88
01-26,0.27,0.0,0.0,0.843
01-27,0.27,0.0,0.0,0.861
01-28,0.27,0.0,0.0,0.843
01-29,0.27,-0.0,-0.015,0.683
01-30,0.26,0.0,0.0,0.916
01-31,0.26,0.0,0.0,0.954
02-01,0.25,0.0,0.0,0.789
02-02,0.25,0.0,0.0,0.935
02-03,0.24,0.0,0.0,0.907
02-04,0.25,0.0,0.0,0.861
02-05,0.25,0.0,0.0,1.0
02-06,0.24,0.001,0.023,0.744
02-07,0.24,0.001,0.023,0.718
02-08,0.24,0.0,0.013,0.771
02-09,0.25,0.0,0.0,0.852
02-10,0.24,0.0,0.0,0.807
02-11,0.24,0.0,0.0,0.926
02-12,0.24,0.0,0.0,0.843
02-13,0.23,0.0,0.0,0.825
02-14,0.23,0.0,0.016,0.789
02-15,0.22,0.0,0.0,0.861
02-16,0.23,0.0,0.008,0.898
02-17,0.23,0.0,0.0,0.898
02-18,0.24,0.0,0.0,0.954
02-19,0.22,-0.0,-0.009,1.0
02-20,0.22,0.0,0.0,0.861
02-21,0.22,-0.0,-0.014,0.825
02-22,0.2,0.0,0.0,0.907
02-23,0.2,0.0,0.0,0.944
02-24,0.2,0.0,0.0,0.807
02-25,0.2,0.0,0.0,0.88
02-26,0.2,-0.0,-0.017,0.88
02-27,0.2,0.0,0.0,0.963
02-28,0.2,0.0,0.0,0.972
03-01,0.19,0.0,0.0,0.972
03-02,0.18,0.0,0.0,0.889
03-03,0.18,0.0,0.0,0.935
03-04,0.19,0.0,0.0,0.861
03-05,0.19,0.0,0.017,0.675
03-06,0.19,0.0,0.015,0.735
03-07,0.19,0.0,0.0,0.727
03-08,0.19,0.0,0.0,0.762
03-09,0.18,0.0,0.0,0.798
03-10,0.18,0.0,0.013,0.789
03-11,0.17,0.0,0.0,0.88
03-12,0.18,0.0,0.0,0.88
03-13,0.17,0.0,0.0,1.0
03-14,0.17,0.0,0.0,0.991
03-15,0.17,0.0,0.0,0.935
03-16,0.18,0.0,0.0,0.972
03-17,0.18,0.0,0.0,0.935
03-18,0.18,0.0,0.0,0.898
03-19,0.17,0.0,0.0,0.916
03-20,0.17,0.0,0.0,0.972
03-21,0.17,0.0,0.0,0.861
03-22,0.18,0.0,0.0,0.889
03-23,0.17,0.0,0.0,0.88
03-24,0.18,0.0,0.0,0.834
03-25,0.18,0.0,0.0,0.834
03-26,0.18,0.0,0.0,0.683
03-27,0.18,0.0,0.0,0.701
03-28,0.19,0.0,0.0,0.718
03-29,0.2,0.0,0.019,0.718
03-30,0.201,0.001,0.034,0.507
03-31,0.201,0.001,0.034,0.408
04-01,0.201,0.001,0.056,0.311
04-02,0.202,0.002,0.07,0.37
04-03,0.222,0.002,0.084,0.408
04-04,0.222,0.002,0.084,0.568
04-05,0.232,0.003,0.107,0.584
04-06,0.242,0.002,0.088,0.507
04-07,0.272,0.002,0.078,0.463
04-08,0.283,0.003,0.112,0.395
04-09,0.323,0.003,0.132,0.477
04-10,0.344,0.004,0.17,0.37
04-11,0.355,0.005,0.21,0.449
04-12,0.374,0.004,0.168,0.408
04-13,0.404,0.004,0.173,0.322
04-14,0.444,0.005,0.199,0.421
04-15,0.443,0.003,0.144,0.568
04-16,0.482,0.002,0.067,0.88
04-17,0.51,-0.0,-0.02,0.771
04-18,0.677,-0.003,-0.128,0.408
04-19,1.067,-0.003,-0.124,0.507
04-20,1.239,-0.001,-0.038,0.666
04-21,1.576,-0.004,-0.162,0.633
04-22,2.033,-0.008,-0.327,0.522
04-23,2.202,-0.009,-0.369,0.568
04-24,2.804,-0.016,-0.657,0.37
04-25,3.237,-0.013,-0.556,0.37
04-26,3.178,-0.012,-0.523,0.633
04-27,3.294,-0.017,-0.695,0.449
04-28,3.892,-0.018,-0.742,0.522
04-29,4.06,-0.01,-0.407,0.616
04-30,4.272,-0.018,-0.756,0.477
05-01,4.974,-0.026,-1.092,0.463
05-02,4.999,-0.031,-1.286,0.477
05-03,5.312,-0.028,-1.176,0.507
05-04,5.416,-0.025,-1.037,0.65
05-05,5.783,-0.017,-0.735,0.616
05-06,5.992,-0.008,-0.318,0.789
05-07,6.438,-0.032,-1.356,0.735
05-08,6.298,-0.032,-1.34,0.616
05-09,6.079,-0.011,-0.468,0.633
05-10,6.358,-0.002,-0.067,0.843
05-11,6.766,-0.004,-0.176,0.753
05-12,8.114,0.013,0.553,0.954
