,mean,slp,chg,pvalue
0,7.518,0.029,1.204,0.09
1,7.433,0.032,1.352,0.053
2,7.282,0.038,1.594,0.031
3,7.274,0.039,1.648,0.029
4,7.251,0.041,1.704,0.053
5,7.24,0.04,1.695,0.07
6,7.232,0.041,1.711,0.059
7,7.224,0.043,1.794,0.023
8,7.225,0.046,1.947,0.013
9,7.087,0.045,1.89,0.01
10,7.047,0.045,1.872,0.022
11,7.011,0.044,1.84,0.019
12,6.972,0.045,1.883,0.029
13,6.825,0.047,1.962,0.024
14,6.849,0.049,2.062,0.028
15,6.899,0.049,2.064,0.033
16,6.87,0.05,2.109,0.029
17,6.852,0.048,2.011,0.029
18,6.77,0.046,1.947,0.031
19,6.76,0.047,1.964,0.033
20,6.762,0.048,1.997,0.037
21,6.735,0.047,1.962,0.045
22,6.684,0.045,1.909,0.059
23,6.742,0.044,1.869,0.073
24,6.652,0.044,1.865,0.086
25,6.732,0.042,1.753,0.073
26,6.738,0.042,1.779,0.053
27,6.614,0.046,1.945,0.062
28,6.627,0.048,2.033,0.047
29,6.64,0.05,2.117,0.037
30,6.605,0.05,2.1,0.017
31,6.55,0.05,2.11,0.01
32,6.508,0.049,2.059,0.009
33,6.522,0.047,1.995,0.01
34,6.594,0.047,1.959,0.017
35,6.588,0.045,1.892,0.015
36,6.56,0.043,1.822,0.01
37,6.546,0.044,1.842,0.014
38,6.526,0.044,1.846,0.017
39,6.467,0.045,1.886,0.016
40,6.367,0.045,1.89,0.013
41,6.372,0.045,1.89,0.015
42,6.395,0.043,1.809,0.02
43,6.452,0.041,1.732,0.035
44,6.411,0.041,1.704,0.035
45,6.378,0.039,1.628,0.023
46,6.314,0.039,1.648,0.022
47,6.312,0.038,1.585,0.023
48,6.287,0.038,1.608,0.024
49,6.313,0.039,1.634,0.024
50,6.294,0.039,1.637,0.033
51,6.272,0.037,1.575,0.028
52,6.295,0.037,1.546,0.031
53,6.328,0.035,1.465,0.073
54,6.252,0.034,1.439,0.066
55,6.247,0.031,1.314,0.095
56,6.26,0.03,1.26,0.082
57,6.288,0.029,1.208,0.066
58,6.252,0.028,1.193,0.082
59,6.23,0.03,1.254,0.077
60,6.284,0.029,1.213,0.07
61,6.188,0.029,1.202,0.059
62,6.089,0.029,1.224,0.037
63,6.078,0.028,1.181,0.047
64,6.056,0.027,1.142,0.07
65,6.041,0.027,1.142,0.059
66,6.079,0.026,1.086,0.073
67,6.132,0.025,1.042,0.07
68,6.086,0.024,1.017,0.05
69,6.088,0.022,0.945,0.082
70,5.988,0.022,0.937,0.077
71,5.981,0.021,0.874,0.095
72,6.025,0.02,0.83,0.09
73,6.012,0.018,0.747,0.153
74,5.95,0.016,0.685,0.147
75,5.916,0.017,0.707,0.127
76,5.948,0.016,0.659,0.11
77,5.942,0.015,0.622,0.127
78,5.923,0.015,0.63,0.208
79,5.913,0.015,0.636,0.191
80,5.878,0.016,0.657,0.168
81,5.845,0.017,0.7,0.134
82,5.845,0.017,0.719,0.161
83,5.845,0.017,0.696,0.161
84,5.838,0.016,0.663,0.168
85,5.916,0.015,0.615,0.246
86,5.922,0.014,0.597,0.298
87,5.908,0.012,0.495,0.411
88,5.933,0.012,0.492,0.483
89,5.962,0.011,0.478,0.595
90,5.988,0.012,0.491,0.561
91,6.002,0.011,0.461,0.498
92,6.031,0.008,0.319,0.545
93,6.084,0.007,0.275,0.628
94,6.103,0.005,0.21,0.708
95,6.117,0.005,0.21,0.699
96,6.104,0.006,0.248,0.611
97,6.118,0.009,0.373,0.425
98,6.122,0.011,0.468,0.358
99,6.198,0.012,0.495,0.371
100,6.252,0.011,0.465,0.333
101,6.217,0.008,0.332,0.425
102,6.201,0.008,0.329,0.529
103,6.24,0.007,0.288,0.904
104,6.267,0.005,0.192,0.942
105,6.4,0.0,0.007,0.79
106,6.548,-0.002,-0.067,0.663
107,6.536,-0.003,-0.108,0.663
108,6.688,-0.001,-0.043,0.753
109,6.845,-0.003,-0.136,0.809
110,6.986,-0.002,-0.101,0.904
111,7.086,-0.006,-0.254,0.904
112,7.118,-0.005,-0.211,0.847
113,7.078,-0.005,-0.2,0.885
114,7.017,-0.005,-0.222,0.981
115,6.996,-0.006,-0.237,0.904
116,7.128,-0.008,-0.323,0.961
117,7.228,-0.012,-0.487,0.717
118,7.354,-0.014,-0.586,0.545
119,7.364,-0.01,-0.435,0.809
120,7.392,-0.015,-0.636,0.735
121,7.525,-0.01,-0.399,0.646
122,7.401,-0.006,-0.254,0.885
123,7.448,-0.001,-0.054,1.0
124,7.456,-0.006,-0.265,0.772
125,7.62,-0.01,-0.42,0.578
126,7.54,-0.007,-0.282,0.699
127,7.569,-0.004,-0.168,0.981
128,7.646,-0.002,-0.093,0.942
129,7.663,0.005,0.23,0.79
130,7.741,0.007,0.3,0.79
131,7.906,0.01,0.437,0.866
132,8.778,0.012,0.512,0.772
133,8.924,0.016,0.653,0.699
134,9.4,0.02,0.848,0.646
135,9.517,0.025,1.03,0.772
136,9.51,0.023,0.977,0.809
137,10.196,0.031,1.283,0.828
138,10.692,0.061,2.567,0.663
139,11.494,0.063,2.634,0.809
140,12.927,0.085,3.556,0.717
141,13.846,0.131,5.491,0.453
142,15.532,0.155,6.515,0.371
143,17.026,0.15,6.317,0.371
144,18.517,0.178,7.468,0.183
145,20.385,0.19,7.98,0.208
146,21.802,0.234,9.841,0.236
147,22.545,0.23,9.663,0.266
148,25.274,0.183,7.68,0.425
149,30.602,0.068,2.85,1.0
150,32.767,-0.089,-3.728,0.514
151,34.981,-0.146,-6.13,0.561
152,35.114,-0.224,-9.397,0.611
153,35.862,-0.259,-10.86,0.545
154,36.164,-0.158,-6.623,0.809
155,35.605,-0.197,-8.26,0.904
156,39.701,-0.233,-9.78,0.847
157,41.642,-0.172,-7.245,0.828
158,43.205,-0.163,-6.86,0.904
159,43.134,-0.144,-6.04,0.79
160,42.458,-0.027,-1.153,0.942
161,42.004,-0.064,-2.697,0.847
162,41.818,-0.054,-2.285,0.753
163,42.28,-0.113,-4.745,0.628
164,42.28,-0.18,-7.56,0.483
165,41.305,-0.163,-6.86,0.545
166,41.525,-0.15,-6.3,0.545
167,40.006,-0.096,-4.053,0.809
168,39.134,-0.111,-4.643,0.611
169,39.194,-0.204,-8.562,0.287
170,38.828,-0.181,-7.614,0.2
171,39.772,-0.185,-7.788,0.2
172,39.772,-0.219,-9.205,0.31
173,39.788,-0.174,-7.323,0.439
174,38.859,-0.161,-6.744,0.453
175,38.549,-0.167,-7.032,0.514
176,38.485,-0.11,-4.62,0.663
177,37.834,-0.111,-4.661,0.681
178,36.57,-0.153,-6.432,0.595
179,35.154,-0.164,-6.892,0.611
180,35.308,-0.194,-8.169,0.468
181,35.001,-0.199,-8.376,0.628
182,33.537,-0.275,-11.56,0.411
183,36.038,-0.308,-12.941,0.483
184,35.718,-0.288,-12.09,0.384
185,36.382,-0.279,-11.717,0.453
186,37.219,-0.287,-12.072,0.468
187,35.841,-0.273,-11.456,0.545
188,35.356,-0.263,-11.028,0.439
189,33.85,-0.3,-12.6,0.439
190,33.798,-0.202,-8.471,0.561
191,32.392,-0.172,-7.237,0.595
192,30.962,-0.192,-8.047,0.498
193,29.528,-0.181,-7.618,0.384
194,28.08,-0.18,-7.56,0.321
