,mean,slp,chg,pvalue
01-01,0.05,-0.001,-0.046,0.124
01-02,0.05,-0.001,-0.038,0.099
01-03,0.05,-0.001,-0.044,0.095
01-04,0.05,-0.001,-0.05,0.132
01-05,0.06,-0.002,-0.094,0.043
01-06,0.06,-0.001,-0.058,0.085
01-07,0.06,-0.001,-0.046,0.179
01-08,0.05,-0.001,-0.06,0.034
01-09,0.05,-0.001,-0.042,0.213
01-10,0.05,-0.001,-0.05,0.044
01-11,0.05,-0.001,-0.05,0.029
01-12,0.05,-0.001,-0.032,0.213
01-13,0.05,-0.001,-0.044,0.058
01-14,0.05,-0.001,-0.05,0.02
01-15,0.05,-0.001,-0.052,0.106
01-16,0.05,-0.001,-0.058,0.061
01-17,0.05,-0.001,-0.062,0.058
01-18,0.05,-0.002,-0.078,0.062
01-19,0.06,-0.002,-0.064,0.313
01-20,0.06,-0.002,-0.062,0.495
01-21,0.06,-0.001,-0.05,0.293
01-22,0.06,-0.002,-0.07,0.481
01-23,0.08,-0.002,-0.076,0.335
01-24,0.09,-0.002,-0.074,0.165
01-25,0.07,-0.002,-0.07,0.102
01-26,0.08,-0.002,-0.064,0.165
01-27,0.08,-0.002,-0.064,0.172
01-28,0.07,-0.002,-0.074,0.149
01-29,0.07,-0.002,-0.078,0.109
01-30,0.08,-0.002,-0.1,0.064
01-31,0.09,-0.002,-0.074,0.274
02-01,0.07,-0.002,-0.064,0.351
02-02,0.07,-0.001,-0.052,0.745
02-03,0.08,-0.001,-0.024,0.803
02-04,0.08,-0.001,-0.035,0.974
02-05,0.08,-0.001,-0.028,0.837
02-06,0.08,-0.0,-0.012,0.488
02-07,0.08,-0.001,-0.028,0.812
02-08,0.08,-0.001,-0.052,0.398
02-09,0.09,-0.002,-0.078,0.225
02-10,0.09,-0.002,-0.084,0.237
02-11,0.09,-0.001,-0.062,0.324
02-12,0.09,-0.002,-0.09,0.116
02-13,0.1,-0.003,-0.12,0.061
02-14,0.11,-0.003,-0.134,0.102
02-15,0.08,-0.004,-0.164,0.026
02-16,0.1,-0.004,-0.152,0.079
