,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.01458538461538462,30.531999230769237,0.1861143787191537,-0.0,43.0,-0.613,-0.147,1.668,1.055
01-02,-0.013357599999999996,28.02265999999999,0.2882065615900147,-0.0,43.0,-0.561,-0.069,1.588,1.027
01-03,-0.013159499999999996,27.615139999999993,0.34024045120657065,-0.0,43.0,-0.552,-0.09,1.572,1.02
01-04,-0.010219444444444448,21.910488888888896,0.32937921868675035,-0.0,43.0,-0.429,-0.118,1.686,1.257
01-05,-0.014149999999999996,29.952719999999992,0.2689803649247009,-0.0,43.0,-0.594,-0.181,1.95,1.356
01-06,-0.01021944444444444,22.190658888888883,0.34024045120657065,-0.0,43.0,-0.429,-0.149,1.966,1.537
01-07,-0.012876499999999996,27.558539999999994,0.34024045120657065,-0.0,43.0,-0.541,-0.186,2.076,1.535
01-08,-0.00970285714285714,21.216914285714278,0.5296315348267777,-0.0,43.0,-0.408,-0.107,2.015,1.607
01-09,-0.0059172727272727285,13.676875454545458,0.5584004547635599,-0.0,43.0,-0.249,-0.057,1.967,1.718
01-10,-0.008489999999999998,19.020429999999998,0.5439213911923737,-0.0,43.0,-0.357,-0.107,2.219,1.862
01-11,-0.026682857142857168,55.556134285714336,0.5439213911923737,-0.0,43.0,-1.121,-0.321,2.751,1.63
01-12,-0.03447454545454545,71.0149909090909,0.3741826491069973,-0.0,43.0,-1.448,-0.4,2.79,1.342
01-13,-0.03344545454545454,69.12660909090908,0.3859468605971168,-0.0,43.0,-1.405,-0.338,2.938,1.533
01-14,-0.032545,67.22382,0.39793422470267026,-0.0,43.0,-1.367,-0.377,2.817,1.45
01-15,-0.03228772727272727,66.86775454545453,0.3859468605971168,-0.0,43.0,-1.356,-0.401,2.97,1.614
01-16,-0.030462119999999995,63.21653999999999,0.34024045120657065,-0.0,43.0,-1.279,-0.399,2.932,1.653
01-17,-0.018866666666666653,40.175623333333306,0.5296315348267777,-0.0,43.0,-0.792,-0.252,2.838,2.046
01-18,-0.028300000000000065,59.18379000000013,0.27848056798213805,-0.0,43.0,-1.189,-0.384,3.178,1.989
01-19,-0.02320600000000006,49.01277000000012,0.32937921868675035,-0.0,43.0,-0.975,-0.319,3.088,2.113
01-20,-0.022639999999999993,47.894919999999985,0.34024045120657065,-0.0,43.0,-0.951,-0.324,3.09,2.139
01-21,-0.019144117647058832,41.07861529411767,0.5439213911923737,-0.0,43.0,-0.804,-0.262,3.192,2.388
01-22,-0.017586428571428576,37.878337142857156,0.3347530676955732,-0.0,43.0,-0.739,-0.238,3.075,2.336
01-23,-0.015388125000000002,33.493050000000004,0.448081548716583,-0.0,43.0,-0.646,-0.208,3.04,2.394
01-24,-0.018564800000000003,39.903000000000006,0.36264285850970546,-0.0,43.0,-0.779,-0.249,3.163,2.384
01-25,-0.01636478260869565,35.4746652173913,0.448081548716583,-0.0,43.0,-0.688,-0.219,3.089,2.401
01-26,-0.014150000000000051,30.818700000000103,0.42257215707244233,-0.0,43.0,-0.594,-0.194,2.816,2.222
01-27,-0.014433000000000007,31.274330000000013,0.5155350369501335,-0.0,43.0,-0.606,-0.206,2.711,2.105
01-28,-0.018009090909090922,38.31048181818184,0.46115733267686343,-0.0,43.0,-0.756,-0.265,2.67,1.914
