,mean,slp,chg,pvalue
0,0.13,0.0,0.0,0.694
1,0.13,0.0,0.0,0.884
2,0.13,0.0,0.0,0.982
3,0.13,0.0,0.0,0.919
4,0.13,0.0,0.0,0.77
5,0.13,0.0,0.0,0.955
6,0.125,0.0,0.0,0.964
7,0.12,0.0,0.0,0.964
8,0.12,0.0,0.0,0.574
9,0.12,0.0,0.0,0.597
10,0.12,0.0,0.0,0.678
11,0.12,0.0,0.0,0.813
12,0.12,0.0,0.0,0.787
13,0.12,0.0,0.0,0.669
14,0.12,0.0,0.0,0.884
15,0.12,0.0,0.0,0.678
16,0.12,0.0,0.0,0.645
17,0.12,0.0,0.012,0.399
18,0.12,0.0,0.012,0.34
19,0.115,0.0,0.014,0.286
20,0.12,0.0,0.0,0.351
21,0.115,0.0,0.0,0.374
22,0.11,0.0,0.012,0.216
23,0.11,0.0,0.012,0.465
24,0.11,0.0,0.011,0.387
25,0.11,0.0,0.0,0.472
26,0.11,0.0,0.0,0.866
27,0.11,0.0,0.0,0.91
28,0.11,0.0,0.0,0.946
29,0.11,0.0,0.0,0.831
30,0.11,0.0,0.0,0.973
31,0.11,0.0,0.0,0.857
32,0.11,0.0,0.0,0.479
33,0.11,0.0,0.013,0.363
34,0.11,0.0,0.014,0.406
35,0.11,0.0,0.0,0.5
36,0.11,0.0,0.011,0.458
37,0.11,0.0,0.016,0.306
38,0.1,0.0,0.016,0.204
39,0.105,0.0,0.014,0.252
40,0.105,0.0,0.014,0.323
41,0.105,0.0,0.0,0.472
42,0.105,0.0,0.0,0.479
43,0.11,0.0,0.0,0.637
44,0.11,0.0,0.0,0.884
45,0.11,0.0,0.0,0.893
46,0.11,0.0,0.0,0.605
47,0.11,0.0,0.0,0.567
48,0.11,0.0,0.0,0.77
49,0.11,0.0,0.0,0.711
50,0.11,0.0,0.0,0.574
51,0.11,0.0,0.0,0.711
52,0.11,0.0,0.0,0.796
53,0.11,0.0,0.0,0.762
54,0.11,0.0,0.0,0.91
55,0.11,0.0,0.0,1.0
56,0.11,0.0,0.0,1.0
57,0.11,0.0,0.0,0.849
58,0.11,0.0,0.0,0.84
59,0.11,0.0,0.0,0.77
60,0.11,0.0,0.0,0.84
61,0.11,0.0,0.0,0.694
62,0.11,0.0,0.0,0.544
63,0.11,0.0,0.0,0.574
64,0.11,0.0,0.0,0.686
65,0.11,0.0,0.0,0.574
66,0.11,0.0,0.016,0.465
67,0.11,0.0,0.018,0.515
68,0.11,0.0,0.02,0.445
69,0.11,0.001,0.021,0.418
70,0.11,0.001,0.023,0.328
71,0.11,0.001,0.028,0.233
72,0.11,0.001,0.03,0.15
73,0.11,0.001,0.03,0.185
74,0.11,0.001,0.029,0.192
75,0.11,0.001,0.03,0.103
76,0.11,0.001,0.033,0.212
77,0.11,0.001,0.028,0.174
78,0.11,0.001,0.035,0.141
79,0.115,0.001,0.03,0.208
80,0.11,0.001,0.03,0.164
81,0.11,0.001,0.033,0.09
82,0.11,0.001,0.042,0.058
83,0.11,0.001,0.039,0.046
84,0.11,0.001,0.039,0.046
85,0.11,0.001,0.041,0.034
86,0.106,0.001,0.039,0.034
87,0.11,0.001,0.043,0.016
88,0.11,0.001,0.047,0.011
89,0.11,0.001,0.047,0.018
90,0.11,0.001,0.047,0.011
91,0.111,0.001,0.055,0.006
92,0.12,0.001,0.049,0.007
93,0.12,0.001,0.053,0.007
94,0.126,0.001,0.049,0.013
95,0.13,0.001,0.053,0.021
96,0.13,0.001,0.055,0.116
97,0.141,0.001,0.06,0.086
98,0.156,0.002,0.078,0.049
99,0.161,0.002,0.084,0.019
100,0.176,0.002,0.082,0.028
101,0.171,0.002,0.094,0.029
102,0.171,0.002,0.084,0.09
103,0.171,0.002,0.078,0.124
104,0.176,0.002,0.07,0.189
105,0.186,0.001,0.057,0.387
106,0.196,0.001,0.041,0.493
107,0.206,0.001,0.025,0.613
108,0.21,0.0,0.01,0.831
109,0.21,0.001,0.03,0.486
110,0.235,0.001,0.042,0.552
111,0.24,0.001,0.047,0.59
112,0.246,0.002,0.076,0.328
113,0.261,0.002,0.09,0.281
114,0.271,0.002,0.088,0.257
115,0.266,0.003,0.105,0.147
116,0.276,0.003,0.115,0.147
