,mean,slp,chg,pvalue
01-01,0.342,0.002,0.093,0.861
01-02,0.391,0.001,0.038,0.789
01-03,0.42,-0.001,-0.035,0.584
01-04,0.399,-0.001,-0.04,0.616
01-05,0.42,0.0,0.0,0.807
01-06,0.41,0.0,0.0,0.843
01-07,0.421,0.001,0.04,0.683
01-08,0.401,0.001,0.046,0.552
01-09,0.402,0.002,0.07,0.65
01-10,0.441,0.001,0.038,0.701
01-11,0.45,-0.0,-0.017,0.789
01-12,0.418,-0.002,-0.089,0.545
01-13,0.459,-0.001,-0.046,0.935
01-14,0.418,-0.002,-0.078,0.972
01-15,0.418,-0.003,-0.117,0.991
01-16,0.417,-0.003,-0.13,0.735
01-17,0.398,-0.002,-0.076,0.861
01-18,0.419,-0.001,-0.042,0.843
01-19,0.4,0.0,0.0,0.972
01-20,0.47,0.0,0.0,0.916
01-21,0.449,-0.001,-0.044,0.861
01-22,0.445,-0.005,-0.216,0.477
01-23,0.448,-0.003,-0.115,0.522
01-24,0.576,-0.004,-0.183,0.65
01-25,0.629,-0.001,-0.055,0.633
01-26,0.54,0.001,0.025,0.522
01-27,0.59,0.0,0.0,0.633
01-28,0.571,0.001,0.046,0.507
01-29,0.622,0.003,0.119,0.196
01-30,0.594,0.004,0.189,0.139
01-31,0.647,0.007,0.298,0.061
02-01,0.608,0.007,0.303,0.073
02-02,0.574,0.003,0.145,0.221
02-03,0.543,0.003,0.122,0.382
02-04,0.544,0.004,0.168,0.311
02-05,0.527,0.007,0.28,0.103
02-06,0.507,0.007,0.294,0.166
02-07,0.516,0.006,0.246,0.124
02-08,0.573,0.003,0.124,0.972
02-09,0.541,0.001,0.044,0.633
02-10,0.519,-0.001,-0.044,0.898
02-11,0.538,-0.003,-0.105,0.825
02-12,0.537,-0.003,-0.14,0.449
02-13,0.568,-0.002,-0.074,0.421
02-14,0.54,0.0,0.0,0.825
02-15,0.509,-0.001,-0.038,0.954
02-16,0.479,-0.002,-0.075,0.568
02-17,0.486,-0.004,-0.154,0.345
02-18,0.513,-0.007,-0.28,0.145
02-19,0.566,-0.004,-0.175,0.258
02-20,0.508,-0.003,-0.107,0.322
