,mean,slp,chg,pvalue
01-01,0.82,0.005,0.226,0.435
01-02,0.83,0.007,0.28,0.386
01-03,0.8,0.007,0.3,0.186
01-04,0.76,0.007,0.28,0.129
01-05,0.76,0.004,0.168,0.558
01-06,0.74,0.005,0.198,0.363
01-07,0.71,0.005,0.196,0.246
01-08,0.74,0.001,0.062,0.68
01-09,0.72,0.001,0.032,0.502
01-10,0.71,0.002,0.076,0.762
01-11,0.71,0.0,0.0,1.0
01-12,0.68,0.0,0.0,0.762
01-13,0.68,-0.002,-0.07,0.729
01-14,0.67,-0.002,-0.068,0.837
01-15,0.68,-0.004,-0.175,0.649
01-16,0.7,-0.003,-0.118,0.713
01-17,0.67,-0.001,-0.034,0.974
01-18,0.73,-0.003,-0.132,0.515
01-19,0.71,0.0,0.0,0.778
01-20,0.7,0.002,0.092,0.879
01-21,0.71,0.003,0.13,0.633
01-22,0.68,0.0,0.0,0.803
01-23,0.73,-0.001,-0.035,0.862
01-24,0.76,0.0,0.016,1.0
01-25,0.7,0.001,0.036,0.696
01-26,0.77,0.002,0.07,0.673
01-27,0.75,0.0,0.0,0.965
01-28,0.68,-0.0,-0.016,0.862
01-29,0.63,0.0,0.0,0.888
01-30,0.65,0.001,0.026,0.862
01-31,0.69,0.0,0.0,0.957
02-01,0.76,0.005,0.21,0.193
02-02,0.71,0.005,0.198,0.146
02-03,0.63,0.004,0.15,0.251
02-04,0.56,0.001,0.052,0.544
02-05,0.68,0.003,0.124,0.251
02-06,0.65,0.006,0.268,0.153
02-07,0.65,0.004,0.175,0.153
02-08,0.68,0.004,0.178,0.201
02-09,0.65,0.002,0.084,0.649
02-10,0.74,0.004,0.154,0.186
02-11,0.71,0.005,0.222,0.329
02-12,0.71,0.004,0.152,0.319
02-13,0.76,0.006,0.252,0.225
02-14,0.72,0.003,0.126,0.363
02-15,0.7,0.003,0.122,0.696
02-16,0.72,0.007,0.3,0.104
02-17,0.74,0.009,0.376,0.046
02-18,0.68,0.007,0.312,0.111
02-19,0.71,0.01,0.4,0.022
02-20,0.73,0.009,0.39,0.165
02-21,0.68,0.004,0.184,0.398
02-22,0.72,0.005,0.21,0.544
02-23,0.71,0.005,0.21,0.329
02-24,0.76,0.006,0.252,0.201
02-25,0.93,0.004,0.156,0.435
02-26,0.76,0.007,0.28,0.34
02-27,0.8,0.008,0.35,0.41
02-28,0.78,0.008,0.352,0.135
03-01,0.74,0.008,0.342,0.087
03-02,0.73,0.009,0.366,0.126
03-03,0.74,0.012,0.504,0.062
