,mean,slp,chg,pvalue
0,1.294,0.008,0.334,0.902
1,1.507,0.015,0.63,0.412
2,1.654,0.017,0.714,0.552
3,1.762,0.013,0.549,0.728
4,1.958,0.006,0.245,0.866
5,1.992,0.014,0.576,0.919
6,2.274,0.018,0.77,0.645
7,1.919,0.017,0.72,0.479
8,2.15,0.051,2.145,0.108
9,2.351,0.052,2.184,0.103
10,2.472,0.046,1.925,0.238
11,2.464,0.048,2.034,0.181
12,3.648,0.045,1.901,0.276
13,4.05,0.039,1.645,0.257
14,4.139,0.008,0.34,0.991
15,3.774,0.017,0.735,0.849
16,3.9,0.019,0.809,0.645
17,5.051,0.092,3.85,0.103
18,5.764,0.118,4.958,0.317
19,4.983,0.146,6.152,0.387
20,4.436,0.123,5.16,0.387
21,3.894,0.086,3.621,0.181
22,4.192,0.094,3.967,0.204
23,5.765,0.07,2.958,0.508
24,5.304,0.077,3.249,0.34
25,5.498,0.104,4.387,0.196
26,5.006,0.083,3.48,0.4
27,5.006,0.081,3.407,0.307
28,6.283,0.104,4.387,0.204
29,7.024,0.128,5.376,0.537
30,7.296,0.073,3.049,0.508
31,6.943,0.056,2.336,0.629
32,6.353,0.086,3.596,0.212
33,6.642,0.093,3.92,0.363
34,6.076,0.072,3.041,0.387
35,6.688,0.106,4.448,0.147
36,6.558,0.176,7.382,0.387
37,5.634,0.198,8.312,0.113
38,6.521,0.222,9.324,0.078
39,6.519,0.187,7.86,0.09
40,7.045,0.17,7.14,0.086
41,8.148,0.138,5.785,0.074
42,7.974,0.128,5.355,0.074
43,7.952,0.054,2.258,0.266
44,9.084,-0.053,-2.222,0.598
45,9.566,-0.028,-1.194,0.661
46,10.064,-0.051,-2.129,0.796
47,10.312,-0.064,-2.695,0.849
48,10.939,-0.112,-4.698,0.711
49,10.27,-0.15,-6.3,0.537
50,9.006,-0.147,-6.169,0.661
51,10.388,-0.133,-5.6,0.598
52,9.766,-0.108,-4.536,0.307
53,10.637,-0.146,-6.12,0.181
54,11.278,-0.143,-6.02,0.113
55,11.384,-0.182,-7.644,0.086
56,10.807,-0.225,-9.46,0.067
57,10.008,-0.224,-9.408,0.094
58,10.91,-0.17,-7.14,0.266
59,10.499,-0.161,-6.782,0.129
60,10.088,-0.204,-8.575,0.061
61,10.959,-0.182,-7.654,0.074
62,12.32,-0.23,-9.66,0.061
63,11.045,-0.241,-10.123,0.129
64,13.276,-0.278,-11.69,0.036
65,13.028,-0.263,-11.06,0.061
66,14.054,-0.192,-8.07,0.247
67,14.846,-0.168,-7.056,0.257
68,19.786,-0.078,-3.276,0.661
69,19.594,-0.091,-3.827,0.849
70,20.578,-0.085,-3.571,0.694
71,19.683,-0.024,-1.028,0.973
72,22.588,0.016,0.653,0.973
73,22.696,0.081,3.393,0.711
74,21.147,0.134,5.644,0.508
75,19.904,0.048,2.016,0.537
76,18.936,0.062,2.596,0.493
77,19.8,0.07,2.924,0.465
78,18.91,0.069,2.901,0.493
79,17.031,0.102,4.294,0.438
80,18.628,0.176,7.392,0.094
81,17.584,0.298,12.53,0.099
82,21.927,0.443,18.62,0.064
83,20.608,0.466,19.565,0.049
84,18.815,0.33,13.86,0.03
85,22.718,0.235,9.851,0.099
86,20.136,0.283,11.88,0.036
87,20.134,0.307,12.887,0.014
88,19.567,0.244,10.244,0.238
89,18.83,0.218,9.165,0.465
90,18.565,0.14,5.88,0.438
91,17.495,0.149,6.27,0.238
92,16.617,0.075,3.15,0.465
93,15.186,0.091,3.817,0.4
94,16.726,0.113,4.74,0.221
95,15.993,0.146,6.12,0.108
96,14.064,0.136,5.727,0.189
97,15.212,0.145,6.083,0.147
98,14.182,0.123,5.171,0.351
99,14.24,0.091,3.833,0.387
100,15.346,0.071,2.975,0.479
101,15.964,0.037,1.549,0.866
102,14.714,0.078,3.29,0.479
103,13.063,0.035,1.48,0.582
104,12.403,-0.013,-0.56,0.694
105,12.046,-0.047,-1.98,0.849
106,12.118,-0.014,-0.588,0.831
107,11.971,0.022,0.916,0.522
108,11.217,0.023,0.976,0.522
109,10.37,0.051,2.143,0.412
110,9.54,0.06,2.54,0.34
111,9.483,0.066,2.792,0.257
112,11.474,0.048,2.006,0.493
113,12.203,0.017,0.714,0.598
114,11.069,0.008,0.338,0.465
115,10.184,0.018,0.766,0.412
116,9.108,0.046,1.946,0.438
117,10.298,0.047,1.977,0.412
118,9.966,0.013,0.555,0.598
119,9.488,0.017,0.709,0.598
120,8.952,0.015,0.616,0.522
121,7.765,0.0,0.0,0.678
122,7.64,0.0,0.0,0.629
123,7.722,-0.006,-0.233,0.902
124,7.406,-0.019,-0.793,0.973
125,7.042,-0.036,-1.5,0.779
126,6.883,-0.015,-0.62,0.796
127,6.397,-0.026,-1.076,0.955
128,5.868,-0.035,-1.454,0.849
129,5.87,-0.03,-1.242,0.884
130,5.297,-0.025,-1.069,0.866
131,5.522,-0.025,-1.031,0.919
132,4.925,-0.02,-0.824,0.902
133,4.477,-0.016,-0.66,0.919
134,4.448,-0.053,-2.226,0.661
135,4.096,-0.049,-2.04,0.508
136,5.242,-0.015,-0.631,0.902
137,5.102,0.015,0.63,0.567
138,5.001,0.013,0.54,0.613
139,4.732,0.013,0.56,0.582
140,4.747,0.014,0.6,0.582
141,4.206,0.011,0.476,0.694
142,3.883,0.016,0.672,0.745
143,4.015,0.02,0.86,0.694
144,3.913,0.015,0.648,0.629
145,3.76,-0.01,-0.42,0.884
146,3.363,-0.015,-0.63,0.728
147,3.332,-0.014,-0.595,0.567
148,3.432,-0.016,-0.66,0.493
149,3.533,-0.034,-1.428,0.212
150,3.214,-0.022,-0.945,0.375
