,mean,slp,chg,pvalue
01-01,2.15,-0.002,-0.086,0.897
01-02,2.28,0.003,0.14,0.983
01-03,2.29,0.005,0.192,0.983
01-04,2.26,0.0,0.0,0.897
01-05,2.24,0.0,0.0,0.673
01-06,2.43,0.008,0.346,0.845
01-07,2.32,0.01,0.42,0.845
01-08,2.37,0.006,0.26,0.897
01-09,2.28,0.005,0.21,0.713
01-10,2.25,0.005,0.202,0.573
01-11,2.15,0.016,0.651,0.914
01-12,2.12,0.012,0.494,0.795
01-13,2.07,0.005,0.189,0.762
01-14,2.01,0.012,0.498,0.713
01-15,2.04,0.015,0.644,0.641
01-16,1.95,0.013,0.56,0.68
01-17,1.95,0.01,0.404,0.729
01-18,2.07,0.008,0.33,1.0
01-19,1.92,0.005,0.194,0.845
01-20,1.98,0.005,0.22,0.965
01-21,1.95,0.003,0.14,0.983
01-22,1.99,0.009,0.392,0.795
01-23,2.07,0.013,0.55,0.665
01-24,1.95,0.009,0.39,0.812
01-25,1.87,0.005,0.224,0.745
01-26,1.87,0.002,0.09,0.845
01-27,1.84,0.001,0.046,0.948
01-28,1.84,0.005,0.202,0.862
01-29,1.91,0.007,0.306,0.68
01-30,1.98,0.01,0.404,0.729
01-31,1.92,0.012,0.494,0.603
02-01,1.74,0.006,0.27,0.828
02-02,1.78,0.001,0.052,0.812
02-03,1.75,0.002,0.104,0.914
02-04,1.84,0.011,0.448,0.573
02-05,2.01,0.007,0.288,0.828
02-06,2.12,0.004,0.152,0.948
02-07,1.95,0.01,0.42,0.448
02-08,2.12,0.015,0.616,0.558
02-09,2.03,0.008,0.33,0.633
02-10,2.13,0.012,0.488,0.474
02-11,2.09,0.012,0.483,0.423
02-12,2.15,0.003,0.114,0.879
02-13,2.15,0.006,0.252,0.845
02-14,2.09,0.001,0.056,0.897
02-15,2.12,0.008,0.315,0.665
02-16,2.04,0.005,0.19,0.914
02-17,2.12,0.005,0.222,0.965
02-18,2.21,-0.01,-0.408,0.398
02-19,2.43,-0.003,-0.14,0.618
02-20,2.6,-0.012,-0.49,0.745
02-21,2.91,-0.026,-1.108,0.34
02-22,2.86,-0.059,-2.496,0.251
02-23,3.25,-0.032,-1.334,0.423
02-24,3.23,-0.017,-0.7,0.374
02-25,2.97,-0.003,-0.14,0.713
02-26,2.91,0.003,0.114,0.665
02-27,2.91,0.004,0.168,1.0
02-28,2.69,0.002,0.09,0.845
03-01,3.42,0.01,0.406,0.948
03-02,3.28,0.009,0.396,0.862
03-03,3.11,0.01,0.42,1.0
03-04,3.08,0.002,0.07,0.948
03-05,3.23,0.0,0.0,0.931
03-06,3.2,0.003,0.114,0.812
03-07,2.97,0.016,0.651,0.603
03-08,3.2,0.012,0.5,0.618
03-09,3.25,0.021,0.88,0.649
03-10,3.59,0.049,2.048,0.119
03-11,4.39,0.081,3.412,0.095
03-12,3.82,0.078,3.27,0.165
03-13,3.59,0.093,3.904,0.019
03-14,3.59,0.068,2.866,0.013
03-15,3.91,0.032,1.334,0.269
03-16,3.62,0.029,1.228,0.618
03-17,3.51,0.026,1.085,0.374
03-18,3.14,0.029,1.204,0.193
03-19,3.2,0.023,0.984,0.53
03-20,3.17,0.027,1.146,0.423
03-21,3.0,0.029,1.202,0.104
03-22,3.37,0.025,1.034,0.124
03-23,3.2,0.025,1.032,0.34
03-24,3.06,0.025,1.058,0.278
03-25,3.06,0.029,1.22,0.135
03-26,3.06,0.034,1.428,0.135
03-27,3.03,0.03,1.26,0.135
03-28,3.06,0.026,1.078,0.091
03-29,3.25,0.014,0.588,0.179
03-30,3.48,0.015,0.63,0.363
03-31,3.62,0.016,0.651,0.26
04-01,3.51,0.014,0.608,0.251
04-02,3.4,0.008,0.318,0.351
04-03,3.45,0.006,0.252,0.423
04-04,3.57,0.0,0.0,0.404
04-05,3.45,0.005,0.198,0.448
04-06,3.37,0.01,0.42,0.329
04-07,3.2,0.01,0.42,0.329
04-08,3.4,0.005,0.21,0.41
04-09,3.96,-0.001,-0.032,0.845
04-10,3.82,0.005,0.202,0.53
04-11,3.85,0.008,0.336,0.41
04-12,3.71,-0.004,-0.16,0.879
04-13,3.62,-0.006,-0.272,0.795
04-14,3.54,-0.005,-0.226,0.862
04-15,3.71,0.002,0.07,0.845
04-16,3.62,0.003,0.146,0.68
04-17,4.08,0.01,0.42,0.474
04-18,3.91,0.018,0.762,0.269
04-19,4.08,0.004,0.184,0.544
04-20,3.91,0.008,0.344,0.558
04-21,3.82,0.004,0.176,0.713
04-22,3.99,0.0,0.0,0.729
04-23,3.85,0.005,0.196,0.713
04-24,3.76,0.004,0.186,0.516
04-25,3.68,0.013,0.55,0.34
04-26,3.74,0.023,0.972,0.308
04-27,3.71,0.019,0.818,0.242
04-28,3.51,0.015,0.648,0.288
04-29,3.57,0.015,0.63,0.308
04-30,3.54,0.017,0.706,0.288
05-01,3.45,0.02,0.856,0.153
05-02,3.4,0.023,0.98,0.193
05-03,3.42,0.024,1.02,0.153
05-04,3.37,0.022,0.916,0.146
05-05,3.37,0.023,0.964,0.129
05-06,3.23,0.026,1.11,0.104
05-07,3.14,0.034,1.422,0.109
05-08,3.08,0.025,1.062,0.119
05-09,3.0,0.032,1.362,0.062
05-10,3.0,0.033,1.382,0.474
05-11,3.23,0.031,1.298,0.251
05-12,3.11,0.027,1.148,0.278
05-13,3.03,0.026,1.11,0.076
05-14,2.94,0.031,1.298,0.146
05-15,3.08,0.04,1.68,0.165
05-16,3.17,0.042,1.746,0.209
05-17,3.2,0.036,1.496,0.042
05-18,3.17,0.036,1.52,0.034
05-19,3.14,0.027,1.116,0.398
05-20,3.11,0.022,0.93,0.233
05-21,3.42,0.026,1.072,0.26
05-22,3.57,0.033,1.378,0.179
05-23,3.54,0.031,1.3,0.114
05-24,3.28,0.032,1.354,0.386
05-25,3.51,0.02,0.84,0.502
05-26,3.59,0.028,1.158,0.34
05-27,3.59,0.032,1.33,0.461
05-28,3.42,0.025,1.042,0.474
05-29,3.31,0.004,0.18,0.729
05-30,3.54,0.015,0.65,0.618
05-31,3.34,0.023,0.98,0.288
06-01,3.11,0.027,1.156,0.278
06-02,2.97,0.026,1.11,0.448
06-03,3.14,0.023,0.945,0.435
06-04,2.89,0.022,0.944,0.109
