,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0009051507936507965,2.5168964365079423,0.8980212621322816,-0.0,41.0,-0.038,-0.007,0.726,0.688
01-02,0.0005255714285714268,-0.33745728571428224,0.8612638836213089,0.0,41.0,0.022,0.007,0.703,0.725
01-03,0.0019161458333333365,-3.1228755208333396,0.8067106222830902,0.0,41.0,0.081,0.024,0.669,0.75
01-04,-0.002246848484848486,5.057450121212123,0.842992183820956,-0.0,41.0,-0.094,-0.017,0.611,0.517
01-05,-2.7387096774193182e-05,1.0452468064516123,0.8980212621322816,-0.0,41.0,-0.001,-0.0,0.991,0.99
01-06,0.00022534295415959165,0.39853943463497626,0.9535453737590693,0.0,41.0,0.01,0.004,0.844,0.854
01-07,0.00043675212224108563,-0.0806674923599302,0.7887194899032053,0.0,41.0,0.018,0.009,0.784,0.802
01-08,0.0033625902777777734,-5.986017965277768,0.6495478982562364,0.0,41.0,0.141,0.065,0.669,0.81
01-09,0.0031770119047618995,-5.728246797619037,0.4488598208640493,0.0,41.0,0.133,0.066,0.559,0.692
01-10,0.004718400735294115,-8.724583069852935,0.4629394880460813,0.0,41.0,0.198,0.124,0.613,0.811
01-11,0.012500091503267974,-24.28018291503268,0.20409789310190107,0.0,41.0,0.526,0.254,0.457,0.983
01-12,0.010423833333333327,-20.18634283333332,0.15860607706086882,0.0,41.0,0.438,0.142,0.442,0.88
01-13,0.00940975,-18.159190249999998,0.18028794638930234,0.0,41.0,0.395,0.065,0.463,0.858
01-14,0.008618636363636363,-16.57775409090909,0.26835952882925307,0.0,41.0,0.362,0.081,0.479,0.841
01-15,0.007924,-15.132576,0.4081104204610595,0.0,41.0,0.333,0.123,0.549,0.882
01-16,0.00849,-16.26401,0.3822121517615815,0.0,41.0,0.356,0.229,0.538,0.894
01-17,0.015921826086956522,-31.176830347826087,0.15860607706086882,0.0,41.0,0.669,0.418,0.332,1.001
01-18,0.01226976515151515,-23.893340537878785,0.3453056974481019,0.0,41.0,0.515,0.19,0.389,0.904
01-19,0.005788636363636364,-10.977184090909091,0.700619648328836,0.0,41.0,0.243,0.087,0.479,0.722
01-20,0.005174460784313726,-9.769257107843138,0.8612638836213089,0.0,41.0,0.217,0.064,0.471,0.688
01-21,0.004844690476190494,-9.061936261904796,0.8796101413969479,0.0,41.0,0.203,0.085,0.526,0.729
01-22,0.006409829059829058,-11.935948290598288,0.5369017953048782,0.0,41.0,0.269,0.068,0.749,1.018
01-23,0.012233854166666665,-23.606474479166664,0.42144237894257297,0.0,41.0,0.514,0.076,0.604,1.118
01-24,0.01167375,-22.475506250000002,0.3696497329509345,0.0,41.0,0.49,0.056,0.627,1.117
01-25,0.008856851851851848,-16.912446851851847,0.3822121517615815,0.0,41.0,0.372,0.076,0.615,0.987
01-26,0.006409829059829059,-12.108578290598288,0.3696497329509345,0.0,41.0,0.27,0.103,0.576,0.846
01-27,0.0043879292929292985,-8.117740656565667,0.5066205695044608,0.0,41.0,0.184,0.067,0.566,0.75
01-28,0.003927844827586211,-7.115961810344836,0.6163750034803586,0.0,41.0,0.165,0.063,0.657,0.822
01-29,0.011059342105263157,-21.17372486842105,0.25841287570987026,0.0,41.0,0.464,0.092,0.713,1.177
