,mean,slp,chg,pvalue
0,5.66,0.068,2.86,0.386
1,5.04,0.07,2.94,0.201
2,3.76,0.078,3.268,0.141
3,4.24,0.046,1.942,0.573
4,3.54,0.028,1.184,0.516
5,3.28,0.021,0.874,0.68
6,3.14,0.016,0.686,0.983
7,2.86,0.016,0.676,0.795
8,2.58,0.029,1.204,0.461
9,2.94,0.05,2.082,0.072
10,3.4,0.122,5.134,0.002
11,3.11,0.128,5.38,0.026
12,3.2,0.126,5.292,0.076
13,3.23,0.102,4.263,0.649
14,3.17,0.067,2.808,0.53
15,3.14,0.06,2.52,0.179
16,3.71,0.056,2.372,0.558
17,4.16,0.036,1.496,0.363
18,3.71,0.038,1.602,0.129
19,3.42,0.021,0.9,0.544
20,3.14,0.024,1.012,0.665
21,2.89,0.027,1.128,0.618
22,3.51,0.038,1.59,0.474
23,4.16,0.054,2.254,0.251
24,3.91,0.072,3.016,0.109
25,3.71,0.042,1.786,0.398
26,3.17,0.022,0.904,0.68
27,2.91,0.017,0.71,0.862
28,3.11,0.021,0.876,0.729
29,3.48,0.012,0.496,0.948
30,3.68,0.001,0.028,1.0
31,3.48,0.012,0.508,0.812
32,3.62,-0.032,-1.334,0.351
33,3.62,-0.022,-0.93,0.298
34,3.96,-0.025,-1.05,0.423
35,3.65,-0.013,-0.56,0.729
36,3.28,-0.007,-0.31,0.862
37,3.79,0.027,1.15,0.573
38,3.28,0.041,1.718,0.795
39,3.03,0.037,1.562,0.308
40,2.63,0.043,1.792,0.278
41,3.51,0.028,1.176,0.603
42,3.91,0.028,1.19,0.68
43,3.23,0.028,1.172,0.665
44,3.06,0.018,0.77,0.778
45,3.2,0.016,0.692,0.879
46,3.2,0.015,0.646,0.713
47,3.4,-0.012,-0.484,0.696
48,5.38,-0.022,-0.915,0.41
49,5.77,-0.039,-1.628,0.146
50,5.41,-0.039,-1.628,0.119
51,5.24,-0.008,-0.336,0.423
52,6.23,-0.104,-4.352,0.054
53,5.58,-0.09,-3.801,0.023
54,5.69,-0.063,-2.66,0.461
55,6.79,0.032,1.348,0.618
56,5.94,0.055,2.33,0.269
57,6.11,0.089,3.758,0.179
58,5.89,0.069,2.908,0.193
59,6.37,0.114,4.788,0.069
60,6.23,0.15,6.28,0.03
61,5.8,0.095,3.99,0.079
62,5.52,0.029,1.224,0.448
63,5.63,-0.012,-0.516,0.914
64,4.84,-0.048,-2.006,0.983
65,5.46,-0.038,-1.594,0.948
66,5.97,-0.048,-2.016,0.745
67,7.07,-0.025,-1.062,0.729
68,8.26,0.075,3.158,0.159
69,9.62,0.068,2.856,0.386
70,7.64,0.049,2.068,0.53
71,7.64,0.054,2.258,0.351
72,6.23,0.049,2.04,0.474
73,5.46,0.045,1.89,0.448
74,6.42,0.02,0.84,0.845
75,5.35,-0.011,-0.482,0.124
76,6.54,-0.007,-0.31,0.062
77,6.28,-0.008,-0.356,0.448
78,7.05,0.026,1.098,0.278
79,6.68,-0.012,-0.514,0.062
80,5.52,-0.015,-0.616,0.069
81,4.78,-0.01,-0.4,0.665
82,4.58,-0.019,-0.78,0.26
83,4.78,0.016,0.651,0.165
84,5.49,0.045,1.878,0.879
85,4.9,0.046,1.942,0.516
86,6.99,0.11,4.62,0.109
87,8.12,0.126,5.278,0.099
88,8.69,0.134,5.628,0.039
89,8.69,0.079,3.3,0.104
90,6.74,0.043,1.812,0.386
91,5.661,0.006,0.245,0.795
92,6.23,-0.005,-0.23,0.423
