,mean,slp,chg,pvalue
0,4.05,0.0,0.0,0.696
1,4.61,0.007,0.315,0.516
2,4.3,0.009,0.37,0.544
3,3.99,-0.004,-0.16,0.729
4,3.88,-0.007,-0.28,0.762
5,3.91,-0.014,-0.604,0.745
6,3.51,-0.023,-0.964,0.965
7,3.25,-0.018,-0.75,0.948
8,3.37,-0.003,-0.132,0.845
9,3.25,-0.001,-0.032,0.618
10,4.19,0.023,0.974,0.329
11,4.47,0.049,2.05,0.186
12,4.02,0.039,1.622,0.329
13,3.99,0.04,1.68,0.329
14,3.37,0.019,0.802,0.544
15,3.37,0.006,0.232,0.649
16,3.68,-0.003,-0.12,0.914
17,4.24,-0.025,-1.05,0.544
18,4.41,-0.056,-2.358,0.588
19,5.24,-0.065,-2.73,0.225
20,4.87,-0.059,-2.474,0.179
21,5.01,-0.078,-3.266,0.351
22,5.86,-0.043,-1.82,0.879
23,6.76,-0.012,-0.504,0.41
24,6.74,0.011,0.464,0.544
25,5.66,0.011,0.46,0.68
26,4.53,0.0,0.0,0.729
27,4.87,-0.026,-1.1,0.965
28,4.95,-0.024,-0.99,0.812
29,4.7,-0.053,-2.24,0.435
30,4.58,-0.063,-2.628,0.225
31,4.56,-0.081,-3.42,0.172
32,4.95,-0.069,-2.88,0.762
33,4.27,-0.077,-3.23,0.745
34,4.47,-0.086,-3.594,0.448
35,4.87,-0.077,-3.242,0.34
36,4.36,-0.08,-3.36,0.179
37,4.78,-0.07,-2.94,0.179
38,4.3,-0.072,-3.012,0.558
39,4.24,-0.091,-3.83,0.233
40,4.73,-0.133,-5.568,0.026
41,5.09,-0.125,-5.24,0.019
42,6.42,-0.098,-4.122,0.288
43,6.99,-0.088,-3.696,0.502
44,6.51,-0.065,-2.75,0.374
45,5.8,-0.034,-1.428,0.588
46,5.8,-0.059,-2.476,0.242
47,5.77,-0.068,-2.862,0.217
48,6.42,-0.066,-2.76,0.141
49,6.14,-0.066,-2.758,0.278
50,6.4,-0.032,-1.334,0.573
51,6.2,-0.028,-1.176,0.862
52,6.57,-0.017,-0.724,0.762
53,7.07,0.008,0.318,0.516
54,6.65,-0.007,-0.31,0.398
55,7.78,-0.017,-0.735,0.558
56,5.72,-0.03,-1.26,0.745
57,6.85,-0.025,-1.03,0.965
58,7.19,-0.004,-0.168,0.965
59,7.58,-0.034,-1.436,0.862
60,6.99,-0.043,-1.824,0.745
61,6.25,-0.08,-3.36,0.448
62,6.79,-0.092,-3.872,0.363
63,7.36,-0.145,-6.084,0.153
64,6.59,-0.115,-4.816,0.217
65,5.07,-0.095,-4.002,0.233
66,4.75,-0.085,-3.57,0.124
67,5.29,-0.057,-2.38,0.488
68,5.15,-0.043,-1.82,0.812
69,5.07,-0.007,-0.302,0.879
70,5.77,-0.013,-0.564,0.879
71,5.29,-0.003,-0.112,0.862
72,5.01,0.006,0.27,0.423
73,5.26,0.012,0.526,0.351
74,5.07,0.01,0.42,0.374
75,5.29,0.005,0.21,0.983
76,5.24,-0.034,-1.428,0.588
77,5.29,-0.046,-1.942,0.288
78,5.24,-0.061,-2.554,0.26
79,5.94,-0.042,-1.762,0.713
80,5.35,-0.069,-2.914,0.603
81,4.73,-0.098,-4.112,0.278
82,4.22,-0.108,-4.542,0.065
83,4.1,-0.074,-3.092,0.135
84,3.85,-0.06,-2.52,0.242
85,4.73,-0.058,-2.442,0.141
86,4.41,-0.06,-2.52,0.027
87,4.56,-0.062,-2.594,0.072
88,4.19,-0.092,-3.85,0.044
89,4.87,-0.112,-4.716,0.079
90,4.41,-0.091,-3.832,0.558
91,4.16,-0.057,-2.38,0.603
92,4.27,-0.055,-2.294,0.448
93,4.13,-0.042,-1.785,0.502
94,4.33,-0.034,-1.418,0.931
95,4.1,-0.03,-1.26,0.633
96,3.88,-0.012,-0.486,0.713
97,3.96,0.004,0.168,0.502
98,3.23,0.0,0.016,0.897
99,2.91,-0.008,-0.35,0.762
100,3.45,0.014,0.606,0.588
101,3.65,0.01,0.404,0.588
102,4.39,0.014,0.578,0.448
103,4.58,0.008,0.318,0.603
104,4.44,0.014,0.57,0.588
105,4.02,0.03,1.248,0.544
106,3.45,0.034,1.44,0.386
107,2.86,0.032,1.344,0.269
108,2.75,0.045,1.89,0.172
109,3.28,0.007,0.308,0.897
110,2.94,-0.004,-0.152,0.879
111,2.71,-0.02,-0.84,0.603
112,2.63,-0.019,-0.798,0.931
113,2.26,-0.014,-0.6,0.795
114,2.47,-0.008,-0.315,0.931
115,2.69,0.0,0.02,0.603
116,2.72,0.019,0.802,0.26
117,2.29,0.013,0.544,0.398
118,2.18,0.011,0.476,0.53
119,2.72,0.001,0.03,0.862
120,2.58,-0.009,-0.388,0.812
121,2.24,-0.018,-0.752,0.461
122,2.46,-0.018,-0.772,0.879
123,2.77,-0.016,-0.682,0.983
124,3.31,-0.023,-0.98,0.965
125,2.6,-0.022,-0.944,0.713
126,2.24,-0.012,-0.516,0.897
127,1.95,-0.006,-0.262,0.948
