,mean,slp,chg,pvalue
01-01,2.97,0.034,1.408,0.109
01-02,2.91,0.038,1.586,0.042
01-03,2.94,0.043,1.812,0.018
01-04,2.89,0.047,1.98,0.054
01-05,3.11,0.054,2.288,0.374
01-06,3.14,0.049,2.072,0.26
01-07,2.97,0.042,1.762,0.172
01-08,2.94,0.027,1.12,0.225
01-09,2.94,0.031,1.316,0.146
01-10,3.11,0.031,1.298,0.165
01-11,3.34,0.048,2.032,0.051
01-12,3.65,0.093,3.896,0.042
01-13,3.4,0.071,2.984,0.054
01-14,3.54,0.057,2.38,0.193
01-15,3.65,0.034,1.438,0.072
01-16,3.45,0.025,1.05,0.242
01-17,3.14,0.024,1.02,0.34
01-18,3.08,0.014,0.606,0.502
01-19,3.34,0.002,0.096,0.828
01-20,2.83,-0.0,-0.02,0.897
01-21,2.66,-0.008,-0.344,0.897
01-22,2.7,-0.014,-0.595,0.812
01-23,3.11,-0.004,-0.18,0.965
01-24,3.68,0.012,0.504,0.423
01-25,3.4,0.011,0.476,0.251
01-26,3.06,0.012,0.504,0.225
01-27,2.82,0.03,1.26,0.153
01-28,2.83,0.041,1.706,0.34
01-29,2.97,0.038,1.606,0.242
01-30,3.31,0.019,0.81,0.288
01-31,3.4,0.005,0.2,1.0
02-01,2.94,0.005,0.224,0.897
02-02,3.4,0.009,0.368,0.795
02-03,3.45,-0.003,-0.11,0.795
02-04,3.4,0.004,0.16,0.68
02-05,3.28,0.019,0.798,0.983
02-06,3.11,0.02,0.84,0.398
02-07,2.94,0.069,2.88,0.059
02-08,3.88,0.067,2.824,0.217
02-09,3.48,0.064,2.688,0.062
02-10,3.14,0.056,2.338,0.013
02-11,3.2,0.063,2.63,0.051
02-12,3.06,0.052,2.184,0.461
02-13,2.72,0.034,1.418,0.351
02-14,3.34,0.019,0.802,0.948
02-15,3.11,0.011,0.466,0.914
02-16,3.62,0.012,0.498,0.795
02-17,3.88,-0.002,-0.068,0.914
02-18,3.68,-0.006,-0.252,0.696
02-19,3.91,0.005,0.21,0.729
02-20,4.3,-0.031,-1.284,0.278
02-21,5.86,-0.058,-2.444,0.201
02-22,6.08,-0.104,-4.376,0.072
02-23,5.09,-0.121,-5.074,0.054
02-24,6.06,-0.116,-4.86,0.172
02-25,4.81,-0.054,-2.275,0.603
02-26,4.41,-0.03,-1.26,0.374
02-27,4.27,0.0,0.0,0.845
02-28,3.88,0.003,0.132,0.633
03-01,3.99,0.022,0.93,0.398
03-02,4.3,0.03,1.26,0.278
03-03,4.78,0.042,1.764,0.119
03-04,4.58,0.026,1.098,0.225
03-05,5.41,-0.028,-1.176,0.745
03-06,4.61,-0.04,-1.698,0.516
03-07,4.5,-0.037,-1.544,0.713
03-08,4.56,-0.045,-1.896,0.573
03-09,4.67,-0.047,-1.97,0.329
03-10,4.92,-0.001,-0.038,0.649
03-11,5.63,0.019,0.794,0.618
03-12,5.12,0.025,1.044,0.448
03-13,5.09,0.024,0.992,0.363
03-14,4.81,0.013,0.54,0.448
03-15,4.5,0.003,0.144,0.573
03-16,4.22,-0.009,-0.362,0.845
