,mean,slp,chg,pvalue
0,6.786,0.152,6.395,0.042
1,6.263,0.136,5.718,0.038
2,5.985,0.109,4.578,0.021
3,5.923,0.106,4.472,0.044
4,6.434,0.098,4.126,0.078
5,6.454,0.118,4.97,0.032
6,6.004,0.099,4.153,0.052
7,5.818,0.086,3.605,0.055
8,5.671,0.082,3.436,0.052
9,5.321,0.113,4.74,0.012
10,5.685,0.11,4.602,0.052
11,5.814,0.137,5.775,0.008
12,5.528,0.156,6.536,0.017
13,5.226,0.152,6.376,0.003
14,5.224,0.148,6.216,0.005
15,5.361,0.143,6.0,0.001
16,5.11,0.141,5.927,0.001
17,4.948,0.137,5.775,0.001
18,5.1,0.131,5.499,0.001
19,5.031,0.102,4.284,0.036
20,4.884,0.088,3.696,0.058
21,4.338,0.076,3.202,0.058
22,4.108,0.066,2.776,0.082
23,4.922,0.085,3.571,0.049
24,5.187,0.103,4.335,0.118
25,5.39,0.13,5.444,0.074
26,5.664,0.116,4.889,0.036
27,5.222,0.114,4.778,0.017
28,5.498,0.107,4.48,0.03
29,5.406,0.093,3.897,0.03
30,5.456,0.103,4.32,0.011
31,5.281,0.094,3.945,0.019
32,4.97,0.089,3.754,0.025
33,5.142,0.035,1.463,0.678
34,4.884,0.029,1.205,0.645
35,4.852,0.024,1.008,0.452
36,5.032,0.013,0.564,0.412
37,4.834,0.019,0.784,0.375
38,4.61,0.021,0.893,0.307
39,4.382,0.023,0.98,0.375
40,4.312,0.024,0.993,0.493
41,4.299,0.028,1.184,0.351
42,5.022,0.024,1.02,0.452
43,4.898,0.007,0.309,0.866
44,4.534,0.009,0.379,0.678
45,4.477,0.004,0.158,0.629
46,4.39,0.011,0.455,0.645
47,4.155,0.019,0.814,0.613
48,3.968,0.015,0.621,0.711
49,3.815,0.019,0.798,0.661
50,3.911,0.012,0.504,0.831
51,4.168,0.017,0.711,0.937
52,4.884,0.007,0.302,0.884
53,5.29,-0.01,-0.42,0.661
54,5.312,0.004,0.158,0.866
55,5.208,0.026,1.071,0.598
56,5.025,0.031,1.302,0.522
57,4.97,0.041,1.733,0.317
58,5.339,0.068,2.848,0.196
59,5.387,0.054,2.258,0.465
60,6.192,0.043,1.82,0.537
61,5.848,0.037,1.565,0.567
62,6.365,0.05,2.114,0.387
63,6.211,0.052,2.182,0.452
64,5.835,0.04,1.68,0.537
65,6.474,0.048,2.035,0.328
66,7.336,0.042,1.777,0.257
67,7.544,0.039,1.635,0.307
68,6.962,0.036,1.505,0.412
69,6.71,0.031,1.307,0.629
70,7.82,0.019,0.814,0.711
71,8.068,0.036,1.522,0.728
72,8.033,0.046,1.922,0.412
73,8.354,0.037,1.563,0.425
74,10.734,0.049,2.049,0.4
75,10.858,0.036,1.53,0.406
76,10.548,-0.043,-1.803,0.796
77,10.711,-0.088,-3.696,0.694
78,10.59,-0.098,-4.133,0.582
79,10.119,-0.113,-4.743,0.452
80,11.218,-0.146,-6.125,0.412
81,11.413,-0.184,-7.74,0.4
82,12.024,-0.172,-7.21,0.351
83,11.728,-0.233,-9.8,0.276
84,12.918,-0.254,-10.668,0.124
85,15.512,-0.357,-15.007,0.016
86,15.245,-0.38,-15.944,0.03
87,14.397,-0.296,-12.42,0.042
88,16.837,-0.166,-6.982,0.351
89,18.608,-0.114,-4.802,0.493
90,17.21,-0.109,-4.563,0.552
91,17.818,-0.013,-0.543,0.973
92,18.794,0.028,1.184,0.831
93,18.098,0.025,1.041,0.866
94,18.556,0.031,1.293,0.678
95,18.014,0.007,0.285,0.567
96,17.667,0.044,1.86,0.937
97,17.03,0.071,2.982,0.831
98,15.853,0.066,2.776,0.866
99,17.625,0.049,2.078,0.991
100,17.542,-0.005,-0.229,0.991
101,16.484,0.029,1.2,0.779
102,16.813,0.116,4.878,0.375
103,17.534,0.177,7.451,0.196
104,16.638,0.186,7.793,0.147
105,17.14,0.211,8.859,0.135
106,17.656,0.162,6.814,0.212
107,19.344,0.088,3.692,0.537
