,mean,slp,chg,pvalue
01-01,12.261,0.207,8.706,0.147
01-02,12.086,0.191,8.023,0.168
01-03,11.93,0.187,7.842,0.183
01-04,11.627,0.185,7.758,0.153
01-05,11.62,0.18,7.543,0.2
01-06,11.346,0.164,6.885,0.183
01-07,11.298,0.165,6.949,0.183
01-08,11.389,0.159,6.678,0.208
01-09,11.131,0.154,6.462,0.226
01-10,10.762,0.141,5.938,0.246
01-11,10.482,0.154,6.477,0.333
01-12,10.23,0.146,6.153,0.39
01-13,9.978,0.149,6.261,0.31
01-14,9.977,0.161,6.774,0.266
01-15,10.04,0.164,6.881,0.175
01-16,10.258,0.165,6.925,0.175
01-17,10.018,0.175,7.358,0.147
01-18,9.951,0.174,7.306,0.147
01-19,9.826,0.174,7.314,0.147
01-20,9.735,0.17,7.14,0.116
01-21,9.634,0.166,6.953,0.062
01-22,9.965,0.16,6.72,0.037
01-23,9.947,0.152,6.366,0.077
01-24,10.076,0.151,6.337,0.122
01-25,10.056,0.144,6.065,0.161
01-26,9.76,0.143,6.025,0.217
01-27,9.71,0.136,5.723,0.168
01-28,9.555,0.127,5.324,0.208
01-29,9.454,0.116,4.883,0.153
01-30,9.239,0.116,4.866,0.134
01-31,9.058,0.105,4.418,0.1
02-01,8.848,0.099,4.157,0.062
02-02,8.886,0.094,3.94,0.045
02-03,8.94,0.09,3.78,0.047
02-04,8.811,0.087,3.664,0.045
02-05,8.604,0.086,3.624,0.053
02-06,8.78,0.08,3.373,0.082
02-07,8.659,0.076,3.196,0.09
02-08,8.47,0.073,3.07,0.11
02-09,8.563,0.062,2.594,0.116
02-10,8.256,0.06,2.535,0.122
02-11,8.288,0.058,2.445,0.183
02-12,8.06,0.063,2.662,0.161
02-13,7.99,0.057,2.375,0.183
02-14,7.911,0.054,2.266,0.217
02-15,7.959,0.046,1.93,0.287
02-16,7.876,0.04,1.685,0.31
02-17,7.83,0.037,1.534,0.345
02-18,7.653,0.035,1.49,0.425
02-19,7.588,0.036,1.492,0.333
02-20,7.573,0.035,1.49,0.333
02-21,7.558,0.035,1.484,0.397
02-22,7.513,0.042,1.752,0.498
02-23,7.47,0.046,1.933,0.371
02-24,7.371,0.051,2.149,0.287
02-25,7.244,0.06,2.503,0.345
02-26,7.184,0.066,2.759,0.321
02-27,7.152,0.069,2.879,0.276
02-28,7.111,0.081,3.386,0.191
03-01,6.983,0.089,3.745,0.153
03-02,7.126,0.094,3.946,0.147
03-03,7.14,0.1,4.2,0.161
03-04,7.116,0.1,4.209,0.07
03-05,7.18,0.103,4.338,0.082
03-06,7.396,0.097,4.086,0.095
03-07,7.353,0.102,4.288,0.086
03-08,7.247,0.095,3.982,0.095
03-09,7.492,0.091,3.836,0.086
03-10,7.604,0.096,4.023,0.062
03-11,7.82,0.086,3.625,0.053
03-12,7.703,0.092,3.866,0.045
03-13,8.17,0.1,4.186,0.045
03-14,8.349,0.113,4.737,0.053
03-15,8.512,0.128,5.371,0.031
03-16,8.526,0.128,5.363,0.04
03-17,8.648,0.145,6.089,0.024
03-18,8.761,0.144,6.048,0.022
03-19,8.66,0.133,5.596,0.019
03-20,8.758,0.135,5.678,0.037
03-21,8.768,0.155,6.528,0.053
03-22,9.2,0.144,6.037,0.175
03-23,9.397,0.132,5.526,0.168
03-24,9.49,0.114,4.777,0.175
03-25,9.578,0.092,3.849,0.2
03-26,9.654,0.059,2.491,0.226
03-27,10.138,0.049,2.055,0.282
03-28,10.896,0.031,1.298,0.345
03-29,11.569,0.013,0.536,0.646
03-30,13.106,0.004,0.153,0.717
03-31,15.014,-0.024,-1.015,0.961
04-01,15.432,-0.078,-3.285,0.885
04-02,15.59,-0.107,-4.48,0.981
04-03,15.646,-0.103,-4.337,0.885
04-04,15.554,-0.13,-5.481,0.923
04-05,17.425,-0.117,-4.913,0.961
04-06,19.084,-0.11,-4.635,0.904
04-07,19.278,-0.181,-7.618,0.866
04-08,21.086,-0.21,-8.805,0.663
04-09,25.222,-0.219,-9.186,0.646
04-10,27.288,-0.308,-12.932,0.561
04-11,29.111,-0.326,-13.704,0.561
04-12,30.792,-0.406,-17.043,0.321
04-13,31.766,-0.356,-14.95,0.345
04-14,37.758,-0.262,-10.995,0.371
04-15,43.189,-0.24,-10.097,0.514
04-16,50.814,-0.157,-6.591,0.809
04-17,60.225,-0.05,-2.1,0.809
04-18,66.465,-0.057,-2.382,0.514
04-19,77.39,-0.207,-8.691,0.468
04-20,83.946,-0.002,-0.1,0.753
04-21,83.026,0.084,3.527,0.885
04-22,91.23,0.387,16.25,0.699
04-23,105.725,0.483,20.3,0.717
04-24,110.092,0.728,30.567,0.384
04-25,116.124,1.082,45.459,0.333
04-26,122.133,1.089,45.72,0.298
04-27,127.124,1.082,45.465,0.116
04-28,132.7,0.8,33.6,0.208
04-29,126.25,0.5,21.0,0.31
04-30,128.355,0.237,9.942,0.397
05-01,131.646,0.097,4.069,0.561
05-02,133.365,-0.09,-3.778,0.753
05-03,135.632,0.089,3.719,0.578
05-04,130.07,0.38,15.96,0.411
05-05,127.228,0.485,20.38,0.345
05-06,117.154,0.436,18.308,0.453
05-07,109.707,0.471,19.792,0.453
05-08,101.582,0.388,16.315,0.578
05-09,98.61,0.44,18.471,0.561
05-10,93.828,0.386,16.197,0.561
05-11,87.114,0.243,10.209,0.681
05-12,81.077,0.251,10.562,0.628
05-13,75.06,0.307,12.893,0.498
05-14,72.35,0.2,8.4,0.663
05-15,72.152,-0.066,-2.757,0.942
05-16,65.822,-0.152,-6.395,0.717
05-17,61.91,-0.126,-5.307,0.753
05-18,56.518,-0.122,-5.109,0.578
05-19,55.448,-0.135,-5.652,0.439
05-20,53.432,-0.079,-3.313,0.611
05-21,50.793,-0.071,-2.992,0.717
05-22,47.636,-0.009,-0.394,0.753
05-23,45.99,-0.04,-1.697,0.681
05-24,44.52,-0.053,-2.217,0.411
05-25,43.77,-0.02,-0.84,0.561
05-26,41.984,-0.011,-0.463,0.545
05-27,39.538,-0.041,-1.725,0.628
05-28,37.903,-0.032,-1.33,0.663
05-29,36.56,-0.06,-2.509,0.663
05-30,35.925,-0.117,-4.9,0.498
05-31,34.086,-0.243,-10.19,0.453
06-01,31.495,-0.27,-11.332,0.371
06-02,29.73,-0.28,-11.771,0.345
06-03,28.67,-0.287,-12.048,0.397
06-04,27.251,-0.266,-11.18,0.246
06-05,26.048,-0.268,-11.265,0.371
06-06,26.644,-0.205,-8.591,0.425
06-07,26.33,-0.147,-6.154,0.663
06-08,24.05,-0.1,-4.2,0.717
06-09,22.888,-0.041,-1.734,1.0
06-10,21.974,-0.017,-0.721,1.0
06-11,22.074,0.016,0.668,0.681
06-12,20.858,0.006,0.241,0.498
06-13,20.463,0.009,0.366,0.345
06-14,19.128,0.018,0.771,0.358
06-15,18.316,0.045,1.869,0.266
06-16,17.761,0.007,0.308,0.411
06-17,16.8,0.0,0.0,0.384
06-18,16.05,0.0,0.0,0.545
06-19,16.579,-0.014,-0.6,0.772
06-20,16.676,-0.016,-0.673,0.809
06-21,16.344,-0.004,-0.162,0.866
06-22,16.359,-0.027,-1.133,0.942
06-23,16.462,-0.025,-1.05,1.0
06-24,16.772,-0.052,-2.184,0.699
06-25,16.978,-0.082,-3.429,0.439
06-26,16.56,-0.094,-3.937,0.298
06-27,17.025,-0.117,-4.902,0.217
06-28,17.494,-0.137,-5.775,0.191
06-29,16.871,-0.119,-5.012,0.226
06-30,16.129,-0.081,-3.386,0.358
07-01,16.522,-0.085,-3.58,0.498
07-02,16.551,-0.066,-2.755,0.561
07-03,16.169,-0.054,-2.27,0.663
07-04,15.254,-0.031,-1.311,0.866
07-05,15.07,-0.02,-0.829,0.942
07-06,14.294,-0.037,-1.541,0.866
07-07,13.928,-0.047,-1.993,0.847
07-08,14.215,-0.056,-2.367,0.663
07-09,14.6,-0.1,-4.2,0.2
07-10,14.252,-0.132,-5.53,0.105
07-11,13.808,-0.128,-5.368,0.095
07-12,12.934,-0.111,-4.642,0.07
07-13,13.407,-0.129,-5.415,0.1
07-14,12.968,-0.122,-5.111,0.095
07-15,12.332,-0.112,-4.71,0.1
07-16,11.982,-0.113,-4.725,0.09
07-17,12.198,-0.102,-4.27,0.153
07-18,11.976,-0.083,-3.466,0.208
07-19,11.782,-0.079,-3.302,0.276
07-20,11.429,-0.081,-3.384,0.191
07-21,10.852,-0.065,-2.731,0.266
07-22,10.612,-0.059,-2.481,0.358
07-23,10.076,-0.049,-2.072,0.578
07-24,9.502,-0.042,-1.753,0.646
07-25,9.78,-0.047,-1.97,0.735
07-26,9.976,-0.036,-1.495,0.753
07-27,9.48,-0.03,-1.251,0.828
07-28,9.365,-0.037,-1.548,0.809
07-29,9.71,-0.013,-0.556,0.79
07-30,9.47,-0.006,-0.259,0.942
07-31,9.368,0.002,0.09,0.961
08-01,9.218,-0.001,-0.043,0.847
08-02,8.926,0.014,0.581,0.981
08-03,9.074,0.019,0.8,0.809
08-04,8.756,0.011,0.444,0.809
08-05,8.726,0.003,0.147,0.735
08-06,10.058,-0.012,-0.499,0.628
08-07,9.605,-0.037,-1.538,0.498
08-08,9.421,-0.039,-1.648,0.646
08-09,9.162,-0.045,-1.91,0.498
08-10,9.151,-0.039,-1.647,0.468
08-11,8.765,-0.037,-1.538,0.425
08-12,8.306,-0.05,-2.081,0.384
08-13,7.877,-0.059,-2.468,0.439
08-14,7.799,-0.057,-2.413,0.345
08-15,7.68,-0.06,-2.512,0.31
08-16,7.771,-0.056,-2.356,0.266
08-17,7.584,-0.057,-2.406,0.397
08-18,7.487,-0.059,-2.464,0.358
08-19,7.324,-0.057,-2.4,0.371
08-20,7.433,-0.055,-2.298,0.358
08-21,7.094,-0.054,-2.253,0.345
08-22,7.002,-0.049,-2.044,0.468
08-23,6.652,-0.039,-1.639,0.514
08-24,6.267,-0.043,-1.787,0.468
08-25,5.978,-0.048,-2.035,0.453
08-26,5.808,-0.058,-2.44,0.321
08-27,5.926,-0.066,-2.791,0.2
08-28,6.022,-0.075,-3.162,0.255
08-29,6.254,-0.054,-2.272,0.358
08-30,5.981,-0.049,-2.074,0.628
08-31,6.341,-0.053,-2.212,0.595
09-01,6.551,-0.05,-2.082,0.699
09-02,6.504,-0.057,-2.381,0.561
09-03,6.232,-0.042,-1.758,0.514
09-04,6.079,-0.051,-2.128,0.468
09-05,6.036,-0.06,-2.513,0.321
09-06,6.115,-0.066,-2.786,0.298
09-07,6.18,-0.07,-2.952,0.266
09-08,5.988,-0.071,-2.977,0.345
09-09,5.804,-0.06,-2.541,0.468
09-10,5.828,-0.051,-2.147,0.483
09-11,5.81,-0.043,-1.799,0.717
09-12,5.84,-0.04,-1.68,0.79
09-13,5.812,-0.035,-1.473,0.772
09-14,5.934,-0.037,-1.572,0.663
09-15,6.304,-0.054,-2.279,0.611
09-16,6.324,-0.057,-2.412,0.498
09-17,6.105,-0.064,-2.67,0.529
09-18,6.048,-0.058,-2.436,0.498
09-19,5.9,-0.059,-2.497,0.468
09-20,5.773,-0.055,-2.306,0.483
09-21,5.856,-0.06,-2.499,0.425
09-22,5.656,-0.076,-3.179,0.333
09-23,5.699,-0.081,-3.39,0.266
09-24,5.647,-0.102,-4.276,0.191
09-25,5.708,-0.101,-4.263,0.236
09-26,6.042,-0.112,-4.719,0.2
09-27,6.267,-0.106,-4.441,0.255
09-28,6.973,-0.111,-4.676,0.345
09-29,7.652,-0.105,-4.426,0.411
09-30,7.46,-0.093,-3.918,0.425
10-01,7.262,-0.095,-3.995,0.411
10-02,7.527,-0.112,-4.702,0.246
10-03,7.783,-0.132,-5.53,0.2
10-04,7.912,-0.129,-5.4,0.127
10-05,7.896,-0.153,-6.439,0.127
10-06,7.817,-0.168,-7.073,0.11
10-07,7.672,-0.199,-8.358,0.1
10-08,7.556,-0.217,-9.093,0.175
10-09,7.917,-0.239,-10.03,0.161
10-10,9.014,-0.234,-9.811,0.161
10-11,10.32,-0.22,-9.242,0.255
10-12,10.15,-0.2,-8.406,0.246
10-13,10.187,-0.208,-8.75,0.321
10-14,10.438,-0.208,-8.755,0.345
10-15,10.597,-0.169,-7.082,0.498
10-16,11.122,-0.152,-6.388,0.483
10-17,11.427,-0.149,-6.238,0.529
10-18,12.123,-0.085,-3.552,0.453
10-19,12.536,-0.076,-3.181,0.529
10-20,12.464,-0.058,-2.421,0.628
10-21,12.844,-0.037,-1.57,0.904
10-22,12.442,-0.005,-0.222,0.885
10-23,12.022,0.014,0.595,0.866
10-24,12.25,0.033,1.394,0.981
10-25,12.655,0.037,1.544,0.866
10-26,13.5,0.034,1.417,0.681
10-27,15.054,0.036,1.498,0.847
10-28,18.108,0.072,3.03,0.611
10-29,18.642,0.094,3.968,0.545
10-30,19.207,0.071,2.992,0.545
10-31,19.906,0.071,2.968,0.578
11-01,20.736,0.091,3.808,0.483
11-02,20.418,0.112,4.698,0.333
11-03,19.488,0.159,6.672,0.246
11-04,18.912,0.175,7.343,0.298
11-05,18.693,0.195,8.202,0.217
11-06,19.206,0.17,7.143,0.226
11-07,19.725,0.15,6.3,0.191
11-08,19.77,0.113,4.739,0.266
11-09,20.898,0.098,4.119,0.321
11-10,20.556,0.104,4.387,0.595
11-11,20.652,0.101,4.258,0.498
11-12,20.632,0.088,3.687,0.529
11-13,19.885,0.056,2.367,0.828
11-14,19.806,0.037,1.555,0.828
11-15,20.662,0.009,0.359,0.961
11-16,20.1,0.033,1.396,1.0
11-17,19.503,0.035,1.48,0.847
11-18,19.334,0.056,2.348,0.885
11-19,18.683,0.055,2.322,0.809
11-20,18.688,0.058,2.45,0.753
11-21,17.984,0.089,3.753,0.809
11-22,18.1,0.1,4.2,0.561
11-23,19.187,0.091,3.84,0.595
11-24,19.122,0.081,3.418,0.561
11-25,18.742,0.094,3.959,0.561
11-26,19.07,0.08,3.381,0.595
11-27,18.91,0.106,4.463,0.561
11-28,18.777,0.085,3.554,0.483
11-29,19.349,0.066,2.774,0.468
11-30,19.071,0.047,1.984,0.453
12-01,18.173,0.049,2.044,0.439
12-02,18.951,0.034,1.43,0.561
12-03,19.429,0.053,2.208,0.561
12-04,18.914,0.042,1.779,0.681
12-05,18.58,0.053,2.225,0.514
12-06,17.958,0.072,3.03,0.595
12-07,18.12,0.047,1.974,0.578
12-08,18.528,0.018,0.771,0.717
12-09,18.426,0.018,0.743,0.717
12-10,18.73,0.02,0.827,0.904
12-11,17.781,0.02,0.856,0.79
12-12,17.46,0.007,0.275,0.828
12-13,16.96,0.007,0.282,0.885
12-14,16.271,0.014,0.58,0.809
12-15,16.108,0.038,1.613,0.781
12-16,15.866,0.044,1.852,0.753
12-17,15.204,0.036,1.501,0.753
12-18,14.879,0.053,2.216,0.611
12-19,15.082,0.054,2.281,0.483
12-20,14.631,0.054,2.283,0.468
12-21,14.192,0.061,2.572,0.514
12-22,13.754,0.069,2.914,0.425
12-23,13.624,0.082,3.463,0.236
12-24,13.484,0.122,5.144,0.095
12-25,13.848,0.132,5.533,0.073
12-26,13.503,0.168,7.071,0.047
12-27,13.148,0.199,8.353,0.066
12-28,13.076,0.218,9.141,0.05
12-29,12.879,0.219,9.202,0.066
12-30,13.098,0.232,9.729,0.062
12-31,13.1,0.2,8.4,0.056
