,mean,slp,chg,pvalue
01-01,5.611,0.121,5.084,0.044
01-02,5.324,0.105,4.389,0.055
01-03,5.396,0.096,4.04,0.046
01-04,5.164,0.085,3.555,0.035
01-05,5.262,0.072,3.045,0.044
01-06,5.05,0.07,2.94,0.046
01-07,4.888,0.078,3.282,0.033
01-08,4.738,0.079,3.299,0.037
01-09,4.62,0.081,3.387,0.028
01-10,4.798,0.089,3.727,0.026
01-11,5.168,0.099,4.157,0.046
01-12,5.346,0.106,4.462,0.028
01-13,4.964,0.114,4.772,0.012
01-14,4.959,0.129,5.43,0.019
01-15,4.721,0.121,5.086,0.014
01-16,4.634,0.113,4.761,0.008
01-17,4.918,0.108,4.517,0.011
01-18,4.945,0.095,4.0,0.02
01-19,4.94,0.101,4.231,0.311
01-20,4.998,0.089,3.717,0.408
01-21,4.675,0.075,3.15,0.435
01-22,4.364,0.064,2.707,0.334
01-23,4.063,0.063,2.66,0.435
01-24,3.974,0.075,3.143,0.204
01-25,3.694,0.093,3.923,0.035
01-26,4.193,0.123,5.172,0.064
01-27,4.307,0.107,4.496,0.029
01-28,4.274,0.104,4.389,0.039
01-29,4.039,0.099,4.15,0.025
01-30,4.056,0.096,4.022,0.016
01-31,4.125,0.115,4.828,0.008
02-01,3.625,0.106,4.445,0.035
02-02,3.993,0.113,4.76,0.026
02-03,4.22,0.091,3.813,0.064
02-04,4.395,0.065,2.72,0.159
02-05,4.296,0.065,2.743,0.145
02-06,4.364,0.064,2.688,0.204
02-07,3.897,0.067,2.816,0.18
02-08,3.734,0.064,2.696,0.173
02-09,3.534,0.064,2.681,0.133
02-10,3.437,0.057,2.4,0.133
02-11,3.302,0.052,2.17,0.096
02-12,3.216,0.057,2.375,0.031
02-13,3.012,0.052,2.194,0.033
02-14,2.97,0.04,1.688,0.087
02-15,2.87,0.031,1.283,0.204
02-16,3.026,0.027,1.127,0.322
02-17,3.151,0.041,1.743,0.1
02-18,3.011,0.041,1.738,0.116
02-19,3.192,0.042,1.748,0.049
02-20,3.038,0.038,1.612,0.091
02-21,2.922,0.032,1.352,0.1
02-22,2.95,0.03,1.26,0.121
02-23,2.878,0.028,1.197,0.196
02-24,2.78,0.03,1.26,0.159
02-25,2.859,0.029,1.216,0.173
02-26,2.754,0.034,1.435,0.139
02-27,3.072,0.042,1.749,0.133
02-28,2.944,0.045,1.871,0.064
03-01,2.74,0.04,1.667,0.075
03-02,2.73,0.03,1.247,0.322
03-03,2.785,0.035,1.49,0.633
03-04,2.815,0.035,1.47,0.584
03-05,2.74,0.031,1.293,0.552
03-06,2.949,0.029,1.232,0.357
